trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,delta
0,0_0,COMPLETED,SOBOL,0.739999999999999991118215802999,4.000000000000000000000000000000,0.220000000000000001110223024625,3146,0.262303070366382617972789148553
1,1_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.040000000000000000832667268469,967,0.627150971595197948005306898267
2,2_0,COMPLETED,SOBOL,0.729999999999999982236431605997,6.000000000000000000000000000000,0.680000000000000048849813083507,2164,0.006889592552557587297468177923
3,3_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.230000000000000009992007221626,4977,0.882419563336297896327664602723
4,4_0,COMPLETED,SOBOL,0.689999999999999946709294817992,10.000000000000000000000000000000,0.699999999999999955591079014994,4308,0.138395674124360074097594974774
5,5_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,0.029999999999999998889776975375,1504,0.752009908016771033700820225931
6,6_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.020000000000000000416333634234,376,0.382007250832393785433538369034
7,7_0,COMPLETED,SOBOL,0.739999999999999991118215802999,5.000000000000000000000000000000,0.119999999999999995559107901499,2565,0.508299572473391858551394761889
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.369999999999999995559107901499,3057,0.066683394959196451434735308794
9,9_0,COMPLETED,SOBOL,0.709999999999999964472863211995,4.000000000000000000000000000000,0.010000000000000000208166817117,253,0.949355428786948341013385288534
10,10_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.110000000000000000555111512313,1625,0.322081651937216495440452490584
11,11_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.179999999999999993338661852249,3814,0.694041148513555472554514835792
12,12_0,COMPLETED,SOBOL,0.729999999999999982236431605997,6.000000000000000000000000000000,0.200000000000000011102230246252,4395,0.441039647100493314990643511919
13,13_0,COMPLETED,SOBOL,0.689999999999999946709294817992,5.000000000000000000000000000000,0.100000000000000005551115123126,2216,0.575935945848003005842485890753
14,14_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.080000000000000001665334536938,913,0.197473758924752468280061634687
15,15_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.089999999999999996669330926125,3726,0.819661505945026847008705317421
16,16_0,COMPLETED,SOBOL,0.670000000000000039968028886506,6.000000000000000000000000000000,0.340000000000000024424906541753,3543,0.231180266354233027170650416338
17,17_0,COMPLETED,SOBOL,0.729999999999999982236431605997,6.000000000000000000000000000000,0.029999999999999998889776975375,725,0.845284567289054433736339433381
18,18_0,COMPLETED,SOBOL,0.640000000000000013322676295502,5.000000000000000000000000000000,0.170000000000000012212453270877,2399,0.474880993140861407120212334121
19,19_0,COMPLETED,SOBOL,0.689999999999999946709294817992,5.000000000000000000000000000000,0.209999999999999992228438827624,4583,0.601667374784126907094616854010
20,20_0,COMPLETED,SOBOL,0.719999999999999973354647408996,4.000000000000000000000000000000,0.179999999999999993338661852249,3924,0.356521659400314105958784693939
21,21_0,COMPLETED,SOBOL,0.709999999999999964472863211995,5.000000000000000000000000000000,0.080000000000000001665334536938,1731,0.720879482433199880730967379350
22,22_0,COMPLETED,SOBOL,0.709999999999999964472863211995,7.000000000000000000000000000000,0.029999999999999998889776975375,144,0.101262672698125250070333436270
23,23_0,COMPLETED,SOBOL,0.699999999999999955591079014994,5.000000000000000000000000000000,0.070000000000000006661338147751,2952,0.976298590915277597623855854181
24,24_0,COMPLETED,SOBOL,0.680000000000000048849813083507,5.000000000000000000000000000000,0.190000000000000002220446049250,2675,0.409681146921589967035970403231
25,25_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,0.010000000000000000208166817117,481,0.544096888860687633027168885747
26,26_0,COMPLETED,SOBOL,0.729999999999999982236431605997,6.000000000000000000000000000000,0.179999999999999993338661852249,1395,0.165965188145637515537700323875
27,27_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.190000000000000002220446049250,4203,0.787668400269001756086595378292
28,28_0,COMPLETED,SOBOL,0.699999999999999955591079014994,9.000000000000000000000000000000,0.760000000000000008881784197001,4794,0.035788725027814508039547547469
29,29_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,0.050000000000000002775557561563,1975,0.918941308228299003069139416766
30,30_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.080000000000000001665334536938,1150,0.291093392826616781388082699777
31,31_0,COMPLETED,SOBOL,0.729999999999999982236431605997,4.000000000000000000000000000000,0.080000000000000001665334536938,3334,0.663537431735545357724959103507
32,32_0,COMPLETED,SOBOL,0.719999999999999973354647408996,7.000000000000000000000000000000,0.429999999999999993338661852249,3390,0.021357979424297811321675766294
33,33_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.059999999999999997779553950750,1211,0.900113521922379700157534898608
34,34_0,COMPLETED,SOBOL,0.709999999999999964472863211995,5.000000000000000000000000000000,0.130000000000000004440892098501,1919,0.280667792299762353103176337754
35,35_0,COMPLETED,SOBOL,0.699999999999999955591079014994,5.000000000000000000000000000000,0.220000000000000001110223024625,4733,0.640948126671835760603812559566
36,36_0,COMPLETED,SOBOL,0.719999999999999973354647408996,5.000000000000000000000000000000,0.190000000000000002220446049250,4064,0.394767007797956481773837822402
37,37_0,COMPLETED,SOBOL,0.729999999999999982236431605997,5.000000000000000000000000000000,0.059999999999999997779553950750,1260,0.525752466332167434082123236294
38,38_0,COMPLETED,SOBOL,0.689999999999999946709294817992,6.000000000000000000000000000000,0.140000000000000013322676295502,620,0.155055985899642118086561026757
