trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,COMPLETED,SOBOL,0.600000000000000088817841970013,1468.000000000000000000000000000000,0.969999999999999973354647408996,1728,72,0.768852158784866346330488795502,0.663242311477661106167147408996,870,EDFSMode.RANDOM
1,1_0,COMPLETED,SOBOL,0.609999999999999986677323704498,124.000000000000000000000000000000,1.000000000000000000000000000000,2568,31,0.096722753556445245637362972957,0.400291261253878483117318864970,189,EDFSMode.RANDOM
2,2_0,COMPLETED,SOBOL,0.609999999999999986677323704498,4250.000000000000000000000000000000,1.000000000000000000000000000000,4810,88,0.731417162815108934381669314462,0.891155802590772538884777986823,398,EDFSMode.RANDOM
3,3_0,COMPLETED,SOBOL,0.570000000000000062172489379009,174.000000000000000000000000000000,0.680000000000000048849813083507,886,11,0.403142097961157575003454667240,0.172135099306702621380082973701,632,EDFSMode.RANDOM
4,4_0,COMPLETED,SOBOL,0.450000000000000011102230246252,64.000000000000000000000000000000,0.119999999999999995559107901499,164,76,0.190303878074511878537578013493,0.040434937207028273653541816657,676,EDFSMode.RANDOM
5,5_0,COMPLETED,SOBOL,0.609999999999999986677323704498,7729.000000000000000000000000000000,1.000000000000000000000000000000,4127,24,0.924747011445462674394946134271,0.771645862519741099205816681206,438,EDFSMode.RANDOM
6,6_0,COMPLETED,SOBOL,0.609999999999999986677323704498,259.000000000000000000000000000000,1.000000000000000000000000000000,3251,59,0.309545176342129690905125016798,0.280043716654181484848606942251,261,EDFSMode.RANDOM
7,7_0,COMPLETED,SOBOL,0.479999999999999982236431605997,348.000000000000000000000000000000,0.989999999999999991118215802999,2450,43,0.575505767626687925186956817925,0.531794397367164495271651958319,938,EDFSMode.RANDOM
8,8_0,COMPLETED,SOBOL,0.609999999999999986677323704498,1019.000000000000000000000000000000,1.000000000000000000000000000000,1993,98,0.372443679776042702034288822688,0.825387307209894061088562011719,130,EDFSMode.RANDOM
9,9_0,COMPLETED,SOBOL,0.579999999999999960031971113494,239.000000000000000000000000000000,0.979999999999999982236431605997,3694,2,0.512618689114227921166389023711,0.113148954823613173692464783926,814,EDFSMode.RANDOM
10,10_0,COMPLETED,SOBOL,0.600000000000000088817841970013,119.000000000000000000000000000000,1.000000000000000000000000000000,3910,69,0.129373691933229562067708684481,0.620833107143640483549518194195,573,EDFSMode.RANDOM
11,11_0,FAILED,SOBOL,,,,375,34,0.985703850779682366756162537058,0.317947744129225606801725234618,342,EDFSMode.RANDOM
12,12_0,COMPLETED,SOBOL,0.600000000000000088817841970013,4218.000000000000000000000000000000,0.959999999999999964472863211995,1059,56,0.668583498505875506445761402574,0.440388403341174128335921977850,499,EDFSMode.RANDOM
13,13_0,COMPLETED,SOBOL,0.600000000000000088817841970013,426.000000000000000000000000000000,0.989999999999999991118215802999,4633,46,0.465971951484680180222142098501,0.745702684951946137559275484818,727,EDFSMode.RANDOM
14,14_0,COMPLETED,SOBOL,0.520000000000000017763568394003,4025.000000000000000000000000000000,0.979999999999999982236431605997,2971,85,0.829725385762751121987434999028,0.239732650069519881430579744119,999,EDFSMode.RANDOM
15,15_0,COMPLETED,SOBOL,0.609999999999999986677323704498,113.000000000000000000000000000000,0.989999999999999991118215802999,1309,14,0.035830515405163167186319839175,0.946603027462959323301561198605,311,EDFSMode.RANDOM
16,16_0,COMPLETED,SOBOL,0.600000000000000088817841970013,905.000000000000000000000000000000,0.979999999999999982236431605997,1521,82,0.551657801868393971034265632625,0.292503320336341854357442571199,652,EDFSMode.RANDOM
17,17_0,COMPLETED,SOBOL,0.600000000000000088817841970013,189.000000000000000000000000000000,0.989999999999999991118215802999,2945,18,0.317674714345484998645474661316,0.521287923602387293087190300866,433,EDFSMode.RANDOM
18,18_0,FAILED,SOBOL,,,,4453,53,0.947992475252598554291694199492,0.029502086712047459471364163619,167,EDFSMode.RANDOM
19,19_0,COMPLETED,SOBOL,0.560000000000000053290705182008,86.000000000000000000000000000000,0.670000000000000039968028886506,1112,49,0.182542714783921838916924684781,0.784531872674822827740115371853,834,EDFSMode.RANDOM
