trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,,,,2448,2177,1266,0.972198182702064483962089980196,0.965185325741767852214536560496,1.799195411384105769414532005612,str\(\'ks-test\'\),str\(\'bounded\'\),895
1,1_0,FAILED,SOBOL,,,,4866,4710,4714,0.417151161536574388577491845354,0.455307035474106669425964355469,6.587960842582397447131370427087,str\(\'t-test\'\),str\(\'full\'\),4261
2,2_0,COMPLETED,SOBOL,0.709999999999999964472863211995,170.000000000000000000000000000000,0.000000000000000000000000000000,2864,654,256,0.722847103560343429151657801413,0.156027596836909643318591633943,9.920621825399807747203340113629,str\(\'ks-test\'\),str\(\'full\'\),2660
3,3_0,FAILED,SOBOL,,,,446,3731,3682,0.166831189198419466146461331846,0.640806631268933446499147521536,4.819086028297432378053599677514,str\(\'t-test\'\),str\(\'bounded\'\),2500
4,4_0,COMPLETED,SOBOL,0.709999999999999964472863211995,961.000000000000000000000000000000,0.000000000000000000000000000000,701,397,4364,0.072058109465986494579503585101,0.581143521152436726140422251774,0.361896191737614614236662191615,str\(\'ks-test\'\),str\(\'full\'\),3246
5,5_0,FAILED,SOBOL,,,,3273,2700,2168,0.506247699521481964168856393371,0.090818261761218307959175888300,5.608376026333310448990232544020,str\(\'t-test\'\),str\(\'bounded\'\),1602
6,6_0,FAILED,SOBOL,,,,3986,1765,2866,0.320855256514623765617955086782,0.267178654666990034183271518486,8.545534180195071272123641392682,str\(\'ks-test\'\),str\(\'bounded\'\),74
7,7_0,FAILED,SOBOL,,,,1414,3831,687,0.756025166546925864174966136488,0.779185879409313164600803247595,3.611214374414645433830628462601,str\(\'t-test\'\),str\(\'full\'\),4768
8,8_0,COMPLETED,SOBOL,0.709999999999999964472863211995,134.000000000000000000000000000000,0.000000000000000000000000000000,1838,984,2771,0.614241119863465412365144402429,0.435965236449614157443477324705,4.375474470880814870099584368290,str\(\'ks-test\'\),str\(\'full\'\),3537
9,9_0,FAILED,SOBOL,,,,4265,3361,1178,0.059196721633896234870952923757,0.922148346511647121204191535071,9.114186589608900490588894172106,str\(\'t-test\'\),str\(\'bounded\'\),1305
