trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
435,435_0,ABANDONED,SOBOL,,,,3981,26,426,1973,850
436,436_0,ABANDONED,SOBOL,,,,4467,1,258,1647,515
437,437_0,ABANDONED,SOBOL,,,,2165,22,57,824,1148
438,438_0,ABANDONED,SOBOL,,,,521,8,485,1440,1870
439,439_0,ABANDONED,SOBOL,,,,2830,14,205,30,472
440,440_0,ABANDONED,SOBOL,,,,2621,4,446,895,1660
441,441_0,ABANDONED,SOBOL,,,,241,24,241,1572,59
442,442_0,ABANDONED,SOBOL,,,,2349,11,282,189,954
443,443_0,ABANDONED,SOBOL,,,,4732,19,30,1277,1321
444,444_0,ABANDONED,SOBOL,,,,4322,10,170,1109,1032
445,445_0,ABANDONED,SOBOL,,,,1705,16,395,425,680
446,446_0,ABANDONED,SOBOL,,,,687,0,69,1806,334
447,447_0,ABANDONED,SOBOL,,,,3308,20,371,726,1950
448,448_0,ABANDONED,SOBOL,,,,3346,3,79,1586,1390
449,449_0,ABANDONED,SOBOL,,,,649,23,359,880,773
450,450_0,COMPLETED,SOBOL,0.100000000000000005551115123126,834.000000000000000000000000000000,0.000000000000000000000000000000,1668,12,181,1263,245
451,451_0,ABANDONED,SOBOL,,,,4359,20,382,204,1596
452,452_0,ABANDONED,SOBOL,,,,4695,9,303,410,1761
453,453_0,ABANDONED,SOBOL,,,,2386,15,11,1123,394
454,454_0,ABANDONED,SOBOL,,,,280,1,467,741,624
455,455_0,ABANDONED,SOBOL,,,,2583,21,223,1792,1225
456,456_0,ABANDONED,SOBOL,,,,2867,11,495,1157,907
457,457_0,ABANDONED,SOBOL,,,,484,18,192,372,1305
458,458_0,ABANDONED,SOBOL,,,,2126,5,269,1989,1709
459,459_0,COMPLETED,SOBOL,0.100000000000000005551115123126,622.000000000000000000000000000000,0.059999999999999997779553950750,4506,25,44,541,76
460,460_0,ABANDONED,SOBOL,,,,3942,2,156,838,286
461,461_0,ABANDONED,SOBOL,,,,1322,23,408,1632,1934
462,462_0,ABANDONED,SOBOL,,,,1090,7,117,16,1080
463,463_0,ABANDONED,SOBOL,,,,3706,13,322,1456,697
464,464_0,ABANDONED,SOBOL,,,,3516,8,218,659,1513
465,465_0,ABANDONED,SOBOL,,,,1124,14,470,1873,147
466,466_0,ABANDONED,SOBOL,,,,1522,1,54,491,868
467,467_0,ABANDONED,SOBOL,,,,3899,22,258,1043,1469
468,468_0,ABANDONED,SOBOL,,,,4550,6,434,1336,1135
469,469_0,ABANDONED,SOBOL,,,,1926,26,131,130,517
470,470_0,ABANDONED,SOBOL,,,,449,10,332,1513,497
471,471_0,ABANDONED,SOBOL,,,,3057,17,108,954,1848
472,472_0,ABANDONED,SOBOL,,,,2705,0,364,88,34
473,473_0,ABANDONED,SOBOL,,,,2,20,73,1382,1681
474,474_0,ABANDONED,SOBOL,,,,2274,9,403,766,1335
475,475_0,ABANDONED,SOBOL,,,,4964,16,159,1706,952
476,476_0,ABANDONED,SOBOL,,,,4090,12,18,1907,662
477,477_0,ABANDONED,SOBOL,,,,1780,19,297,621,1061
478,478_0,ABANDONED,SOBOL,,,,927,4,244,1239,1956
479,479_0,ABANDONED,SOBOL,,,,3224,24,445,291,324
480,480_0,ABANDONED,SOBOL,,,,3147,13,275,997,1196
481,481_0,ABANDONED,SOBOL,,,,848,19,39,1533,579
482,482_0,ABANDONED,SOBOL,,,,1857,3,486,166,436
483,483_0,ABANDONED,SOBOL,,,,4170,24,203,1363,1786
484,484_0,ABANDONED,SOBOL,,,,4884,1,122,1007,1575
485,485_0,ABANDONED,SOBOL,,,,2197,21,316,464,208
486,486_0,ABANDONED,SOBOL,,,,81,8,146,1830,806
487,487_0,ABANDONED,SOBOL,,,,2782,15,417,640,1408
488,488_0,ABANDONED,SOBOL,,,,2980,5,176,256,726
489,489_0,ABANDONED,SOBOL,,,,370,25,388,1212,1124
490,490_0,ABANDONED,SOBOL,,,,2003,11,90,579,1892
491,491_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1760.000000000000000000000000000000,0.000000000000000000000000000000,4629,17,350,1888,261
492,492_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1564.000000000000000000000000000000,0.000000000000000000000000000000,3819,6,460,1748,97
493,493_0,ABANDONED,SOBOL,,,,1446,14,228,785,1745
494,494_0,ABANDONED,SOBOL,,,,1203,3,312,1417,1272
495,495_0,ABANDONED,SOBOL,,,,3593,23,1,116,889
496,496_0,ABANDONED,SOBOL,,,,3627,2,399,1757,1822
497,497_0,ABANDONED,SOBOL,,,,1012,22,166,714,455
498,498_0,ABANDONED,SOBOL,,,,1401,7,375,1080,562
499,499_0,ABANDONED,SOBOL,,,,4020,14,65,390,1163
500,500_0,ABANDONED,SOBOL,,,,4429,10,237,247,1451
501,501_0,ABANDONED,SOBOL,,,,2047,17,450,1283,835
502,502_0,ABANDONED,SOBOL,,,,560,6,26,915,183
503,503_0,ABANDONED,SOBOL,,,,2947,26,286,1613,1534
504,504_0,FAILED,SOBOL,,,,2503,9,61,1498,350
505,505_0,ABANDONED,SOBOL,,,,203,16,254,35,1997
506,506_0,ABANDONED,SOBOL,,,,2466,0,209,1667,1016
507,507_0,ABANDONED,SOBOL,,,,4772,20,481,866,634
508,508_0,ABANDONED,SOBOL,,,,4282,4,337,506,971
509,509_0,ABANDONED,SOBOL,,,,1589,25,101,1961,1368
510,510_0,ABANDONED,SOBOL,,,,726,12,423,329,1645
511,511_0,COMPLETED,SOBOL,0.100000000000000005551115123126,4728.000000000000000000000000000000,0.000000000000000000000000000000,3425,18,139,1138,13
512,512_0,COMPLETED,SOBOL,0.119999999999999995559107901499,1275.000000000000000000000000000000,0.000000000000000000000000000000,3423,4,383,1467,297
513,513_0,ABANDONED,SOBOL,,,,728,25,182,4,1914
514,514_0,ABANDONED,SOBOL,,,,1586,12,360,1636,1068
515,515_0,ABANDONED,SOBOL,,,,4284,18,81,835,716
516,516_0,ABANDONED,SOBOL,,,,4769,9,221,537,926
517,517_0,ABANDONED,SOBOL,,,,2468,16,466,1992,1293
518,518_0,ABANDONED,SOBOL,,,,201,0,11,360,1688
519,519_0,FAILED,SOBOL,,,,2506,20,301,1169,88
520,520_0,ABANDONED,SOBOL,,,,2944,10,45,1788,1781
521,521_0,ABANDONED,SOBOL,,,,563,17,270,745,383
522,522_0,ABANDONED,SOBOL,,,,2044,6,194,1112,604
523,523_0,ABANDONED,SOBOL,,,,4431,26,496,422,1237
524,524_0,ABANDONED,SOBOL,,,,4017,2,321,216,1402
525,525_0,ABANDONED,SOBOL,,,,1404,22,116,1251,754
526,526_0,ABANDONED,SOBOL,,,,1010,7,407,885,234
527,527_0,ABANDONED,SOBOL,,,,3630,14,155,1582,1615
528,528_0,ABANDONED,SOBOL,,,,3585,6,260,287,675
529,529_0,ABANDONED,SOBOL,,,,1211,14,54,1243,1042
530,530_0,ABANDONED,SOBOL,,,,1438,3,470,610,1945
531,531_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1063.000000000000000000000000000000,0.000000000000000000000000000000,3826,23,219,1919,344
532,532_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1690.000000000000000000000000000000,0.000000000000000000000000000000,4622,5,107,1717,54
533,533_0,ABANDONED,SOBOL,,,,2010,25,331,753,1671
534,534_0,ABANDONED,SOBOL,,,,363,11,130,1386,1316
535,535_0,ABANDONED,SOBOL,,,,2988,17,433,85,965
536,536_0,ABANDONED,SOBOL,,,,2774,1,160,965,1153
537,537_0,ABANDONED,SOBOL,,,,88,21,404,1501,506
538,538_0,ABANDONED,SOBOL,,,,2189,8,74,135,477
539,539_0,ABANDONED,SOBOL,,,,4892,15,365,1333,1859
540,540_0,ABANDONED,SOBOL,,,,4162,13,445,1038,1525
541,541_0,ABANDONED,SOBOL,,,,1864,19,243,495,126
542,542_0,ABANDONED,SOBOL,,,,841,3,296,1862,856
543,543_0,ABANDONED,SOBOL,,,,3155,24,17,672,1488
544,544_0,ABANDONED,SOBOL,,,,3231,12,202,120,117
545,545_0,ABANDONED,SOBOL,,,,920,19,485,1414,1734
546,546_0,ABANDONED,SOBOL,,,,1788,4,38,796,1252
547,547_0,ABANDONED,SOBOL,,,,4083,24,274,1736,901
548,548_0,ABANDONED,SOBOL,,,,4971,0,418,1876,738
549,549_0,ABANDONED,SOBOL,,,,2267,20,147,591,1105
550,550_0,ABANDONED,SOBOL,,,,9,9,317,1207,1881
551,551_0,ABANDONED,SOBOL,,,,2697,16,123,259,280
552,552_0,ABANDONED,SOBOL,,,,3065,6,348,629,1586
553,553_0,ABANDONED,SOBOL,,,,442,26,89,1842,188
554,554_0,ABANDONED,SOBOL,,,,1933,10,388,459,794
555,555_0,ABANDONED,SOBOL,,,,4543,17,175,1011,1427
556,556_0,ABANDONED,SOBOL,,,,3906,8,2,1368,1215
557,557_0,ABANDONED,SOBOL,,,,1515,14,313,162,567
558,558_0,ABANDONED,SOBOL,,,,1131,1,229,1544,415
559,559_0,ABANDONED,SOBOL,,,,3509,22,461,984,1798
560,560_0,ABANDONED,SOBOL,,,,3709,2,64,1127,989
561,561_0,ABANDONED,SOBOL,,,,1087,23,374,341,1357
562,562_0,ABANDONED,SOBOL,,,,1325,7,165,1957,1625
563,563_0,COMPLETED,SOBOL,0.100000000000000005551115123126,3058.000000000000000000000000000000,0.000000000000000000000000000000,3940,13,398,509,24
564,564_0,ABANDONED,SOBOL,,,,4508,11,287,870,361
565,565_0,ABANDONED,SOBOL,,,,2124,18,27,1664,1977
566,566_0,ABANDONED,SOBOL,,,,486,5,451,47,1004
567,567_0,ABANDONED,SOBOL,,,,2864,25,238,1486,653
568,568_0,ABANDONED,SOBOL,,,,2585,9,480,1618,1464
569,569_0,ABANDONED,SOBOL,,,,277,15,208,912,815
570,570_0,FAILED,SOBOL,,,,2388,1,253,1294,172
571,571_0,ABANDONED,SOBOL,,,,4693,21,60,235,1554
572,572_0,ABANDONED,SOBOL,,,,4361,3,141,379,1842
573,573_0,ABANDONED,SOBOL,,,,1665,23,424,1093,445
574,574_0,ABANDONED,SOBOL,,,,651,12,101,709,543
575,575_0,ABANDONED,SOBOL,,,,3344,20,338,1760,1175
576,576_0,ABANDONED,SOBOL,,,,3305,10,112,926,1736
577,577_0,ABANDONED,SOBOL,,,,690,16,325,1602,104
578,578_0,ABANDONED,SOBOL,,,,1702,0,151,221,880
579,579_0,ABANDONED,SOBOL,,,,4324,20,411,1309,1278
580,580_0,ABANDONED,SOBOL,,,,4730,4,274,1077,1115
581,581_0,ABANDONED,SOBOL,,,,2351,24,42,393,732
582,582_0,ABANDONED,SOBOL,,,,239,11,500,1776,251
583,583_0,ABANDONED,SOBOL,,,,2624,19,190,695,1899
584,584_0,ABANDONED,SOBOL,,,,2827,1,462,326,217
585,585_0,ABANDONED,SOBOL,,,,523,22,226,1141,1568
586,586_0,ABANDONED,SOBOL,,,,2162,8,298,525,1417
587,587_0,ABANDONED,SOBOL,,,,4470,14,14,1943,800
588,588_0,ABANDONED,SOBOL,,,,3978,10,186,1677,588
589,589_0,ABANDONED,SOBOL,,,,1286,17,379,855,1190
590,590_0,ABANDONED,SOBOL,,,,1050,6,84,1472,1796
591,591_0,ABANDONED,SOBOL,,,,3746,26,356,62,429
592,592_0,ABANDONED,SOBOL,,,,3468,5,247,1827,1362
593,593_0,ABANDONED,SOBOL,,,,1172,25,441,643,980
594,594_0,RUNNING,SOBOL,,,,1555,11,21,1026,7
595,595_0,ABANDONED,SOBOL,,,,3866,18,292,445,1654
596,596_0,ABANDONED,SOBOL,,,,4582,7,400,176,1991
597,597_0,ABANDONED,SOBOL,,,,1893,13,164,1352,359
598,598_0,ABANDONED,SOBOL,,,,401,2,361,971,627
599,599_0,ABANDONED,SOBOL,,,,3106,23,78,1559,1026
