trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,SOBOL,0.540000000000000035527136788005,499.000000000000000000000000000000,0.200000000000000011102230246252,70,28,9.232036385416984458629485743586,0.031705216109752652753339674518,False,True
1,1_0,FAILED,SOBOL,,,,4264,3320,2.178918687811121301933781069238,0.019106157557573170274745066877,True,False
2,2_0,FAILED,SOBOL,,,,3212,2348,5.547210790605284991272583283717,0.042670742584858090129529273327,True,False
3,3_0,FAILED,SOBOL,,,,2456,4073,3.376437929169274987373228213983,0.005771991047542541705683838416,False,True
4,4_0,COMPLETED,SOBOL,0.600000000000000088817841970013,7015.000000000000000000000000000000,0.969999999999999973354647408996,1564,1325,0.755186121544800692539922692958,0.011648790861945600844107318039,False,True
5,5_0,FAILED,SOBOL,,,,2692,4599,7.846143861926161200415208440972,0.048636809131596236976946556751,True,False
6,6_0,FAILED,SOBOL,,,,4844,1148,4.488919905293733414453072327888,0.013420824417378754422891518061,True,False
7,7_0,COMPLETED,SOBOL,0.589999999999999968913755310496,12007.000000000000000000000000000000,0.969999999999999973354647408996,902,2855,6.619416273865849298374541831436,0.025933633927721532613785981880,False,True
8,8_0,COMPLETED,SOBOL,0.600000000000000088817841970013,7743.000000000000000000000000000000,0.969999999999999973354647408996,1239,2052,4.303743505899794818958525866037,0.045345893563702707740326047769,True,True
9,9_0,COMPLETED,SOBOL,0.320000000000000006661338147751,7.000000000000000000000000000000,0.000000000000000000000000000000,4506,3757,7.099511380066164889512947411276,0.007984823119826615911431844097,False,False
10,10_0,COMPLETED,SOBOL,0.429999999999999993338661852249,22.000000000000000000000000000000,0.179999999999999993338661852249,2980,344,0.606502648415043976726224173035,0.030775885269045830106016126138,False,False
11,11_0,COMPLETED,SOBOL,0.589999999999999968913755310496,13865.000000000000000000000000000000,0.969999999999999973354647408996,1277,3617,8.284576563732699128195235971361,0.018639291162602603796338840425,True,True
