trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,threshold,outlier_detector_kwargs
26,26_0,COMPLETED,SOBOL,0.140000000000000013322676295502,879.000000000000000000000000000000,0.900000000000000022204460492503,4424,4879,0.066035056691616772495123655062,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
27,27_0,COMPLETED,SOBOL,0.270000000000000017763568394003,1135.000000000000000000000000000000,0.849999999999999977795539507497,745,871,0.720070995431393412467002690391,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
28,28_0,COMPLETED,SOBOL,0.089999999999999996669330926125,1490.000000000000000000000000000000,0.140000000000000013322676295502,532,3752,0.890824122956022645958285011147,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
29,29_0,COMPLETED,SOBOL,0.419999999999999984456877655248,2221.000000000000000000000000000000,1.000000000000000000000000000000,4364,416,0.299682848980650284875792976891,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
30,30_0,COMPLETED,SOBOL,0.100000000000000005551115123126,1358.000000000000000000000000000000,0.770000000000000017763568394003,2740,3564,0.535877100298181141546649541851,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
31,31_0,COMPLETED,SOBOL,0.220000000000000001110223024625,939.000000000000000000000000000000,0.729999999999999982236431605997,1409,1938,0.133274676153436300030108441206,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
32,32_0,COMPLETED,SOBOL,0.140000000000000013322676295502,1319.000000000000000000000000000000,0.369999999999999995559107901499,1503,4028,0.337144318757578720369139091417,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
33,33_0,COMPLETED,SOBOL,0.330000000000000015543122344752,1398.000000000000000000000000000000,1.000000000000000000000000000000,2670,537,0.994681332288309905109713326965,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
34,34_0,COMPLETED,SOBOL,0.179999999999999993338661852249,1043.000000000000000000000000000000,1.000000000000000000000000000000,4290,3600,0.232137049617245794230768751731,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
35,35_0,COMPLETED,SOBOL,0.140000000000000013322676295502,1211.000000000000000000000000000000,0.289999999999999980015985556747,621,2130,0.576384261550381804539711083635,"\{\'nu\':0.5,\'kernel\':\'rbf\',\'gamma\':\'auto\'\}"
