trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
4193,4193_0,FAILED,SOBOL,,,,3804,1434,718,229,37
4194,4194_0,RUNNING,SOBOL,,,,4918,3691,768,200,16
4195,4195_0,ABANDONED,SOBOL,,,,2219,2373,252,97,136
4196,4196_0,ABANDONED,SOBOL,,,,545,4670,567,170,240
4197,4197_0,ABANDONED,SOBOL,,,,2578,3064,553,122,206
4198,4198_0,ABANDONED,SOBOL,,,,1951,4047,852,30,55
4199,4199_0,FAILED,SOBOL,,,,4562,210,367,177,170
4200,4200_0,ABANDONED,SOBOL,,,,4073,4984,183,147,149
4201,4201_0,FAILED,SOBOL,,,,1775,1146,668,63,3
4202,4202_0,FAILED,SOBOL,,,,951,3375,478,235,123
4203,4203_0,ABANDONED,SOBOL,,,,3652,2057,994,89,226
4204,4204_0,FAILED,SOBOL,,,,3625,2866,454,206,179
4205,4205_0,FAILED,SOBOL,,,,1011,1704,968,119,45
4206,4206_0,FAILED,SOBOL,,,,1752,3777,155,180,81
4207,4207_0,ABANDONED,SOBOL,,,,4140,96,638,31,196
4208,4208_0,ABANDONED,SOBOL,,,,4588,4713,814,60,248
4209,4209_0,FAILED,SOBOL,,,,1890,1031,331,146,102
4210,4210_0,FAILED,SOBOL,,,,211,3177,520,90,24
4211,4211_0,FAILED,SOBOL,,,,2868,4090,599,138,62
4212,4212_0,FAILED,SOBOL,,,,2247,2550,804,230,214
4213,4213_0,FAILED,SOBOL,,,,4857,1387,289,67,63
4214,4214_0,ABANDONED,SOBOL,,,,3783,3488,231,96,115
4215,4215_0,ABANDONED,SOBOL,,,,1484,2327,745,197,235
4216,4216_0,ABANDONED,SOBOL,,,,655,4404,432,8,142
4217,4217_0,FAILED,SOBOL,,,,3357,722,915,171,11
4218,4218_0,FAILED,SOBOL,,,,829,799,582,245,88
4219,4219_0,FAILED,SOBOL,,,,1253,3726,267,54,38
4220,4220_0,ABANDONED,SOBOL,,,,3951,2407,752,157,184
4221,4221_0,FAILED,SOBOL,,,,4752,2787,701,186,135
4222,4222_0,FAILED,SOBOL,,,,2365,1469,216,21,20
4223,4223_0,FAILED,SOBOL,,,,379,4323,906,215,107
4224,4224_0,ABANDONED,SOBOL,,,,2993,484,390,113,241
4225,4225_0,ABANDONED,SOBOL,,,,2725,3409,979,15,74
4226,4226_0,ABANDONED,SOBOL,,,,23,2090,494,161,205
4227,4227_0,ABANDONED,SOBOL,,,,2097,4950,684,106,171
4228,4228_0,FAILED,SOBOL,,,,4396,1112,168,191,51
4229,4229_0,FAILED,SOBOL,,,,4220,4014,352,220,2
4230,4230_0,ABANDONED,SOBOL,,,,1609,175,868,73,152
4231,4231_0,ABANDONED,SOBOL,,,,3486,1780,538,47,124
4232,4232_0,ABANDONED,SOBOL,,,,3520,3836,796,116,133
4233,4233_0,RUNNING,SOBOL,,,,1220,38,313,216,29
4234,4234_0,ABANDONED,SOBOL,,,,1643,2961,622,20,97
4235,4235_0,ABANDONED,SOBOL,,,,4518,3273,409,150,201
4236,4236_0,ABANDONED,SOBOL,,,,2131,1916,923,50,86
4237,4237_0,RUNNING,SOBOL,,,,145,4776,239,249,41
4238,4238_0,ABANDONED,SOBOL,,,,2759,976,722,87,174
4239,4239_0,RUNNING,SOBOL,,,,3116,2652,132,40,16
