trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
121,121_0,FAILED,SOBOL,,,,665,526,37,312,0.861558797210454918591437944997
122,122_0,FAILED,SOBOL,,,,1287,2768,57,602,0.520987780543044176617684115627
123,123_0,FAILED,SOBOL,,,,4843,1549,11,229,0.366951014015823584468733997710
124,124_0,FAILED,SOBOL,,,,3916,3490,40,70,0.493157746339216829234430861106
125,125_0,FAILED,SOBOL,,,,2471,2195,93,693,0.650144973736256348573192553886
126,126_0,FAILED,SOBOL,,,,579,4513,14,395,0.996551260670647032213764759945
127,127_0,FAILED,SOBOL,,,,3351,743,68,768,0.156480863772332667860354149525
128,128_0,FAILED,SOBOL,,,,3326,3051,40,452,0.883193581316620068832889955956
129,129_0,FAILED,SOBOL,,,,553,1852,93,825,0.230862916203215723376374057807
130,130_0,FAILED,SOBOL,,,,2494,3937,15,27,0.387597287744283702792813528504
131,131_0,COMPLETED,SOBOL,0.780000000000000026645352591004,6457.000000000000000000000000000000,1.000000000000000000000000000000,3939,223,68,649,0.732320692671462936118587094825
132,132_0,FAILED,SOBOL,,,,4810,4816,82,553,0.595363811932504205515215289779
133,133_0,FAILED,SOBOL,,,,1254,1025,36,180,0.253598515471443519686545187142
134,134_0,FAILED,SOBOL,,,,700,3188,59,970,0.098823845129460102798546472513
135,135_0,FAILED,SOBOL,,,,2927,1912,12,348,0.756000924373045557480566003505
136,136_0,FAILED,SOBOL,,,,2517,4167,55,225,0.175625607067719097242886050481
137,137_0,FAILED,SOBOL,,,,1072,463,2,598,0.954015896093100335129122413491
138,138_0,FAILED,SOBOL,,,,1665,2520,80,300,0.678028956582769737337912374642
139,139_0,FAILED,SOBOL,,,,4438,1291,27,923,0.457476884774863701288438733172
140,140_0,FAILED,SOBOL,,,,4310,3748,23,779,0.340015004081651583955903106471
141,141_0,FAILED,SOBOL,,,,2083,2444,70,406,0.555720661759376510779873115098
142,142_0,FAILED,SOBOL,,,,181,4576,50,697,0.841473728599026804531035850232
143,143_0,COMPLETED,SOBOL,0.729999999999999982236431605997,11266.000000000000000000000000000000,1.000000000000000000000000000000,3737,795,97,74,0.060125331107527019147696023538
144,144_0,FAILED,SOBOL,,,,3500,4419,5,964,0.713514090616256035914943822718
145,145_0,FAILED,SOBOL,,,,101,641,52,337,0.431683567749336360996892381081
146,146_0,FAILED,SOBOL,,,,2008,3586,31,515,0.217934096053242681856332296775
147,147_0,FAILED,SOBOL,,,,4079,2294,78,138,0.933096492199227189878740773565
148,148_0,FAILED,SOBOL,,,,4675,2667,73,33,0.800086544461548365703151830530
149,149_0,FAILED,SOBOL,,,,1746,1455,20,660,0.080016824817284948334616956345
150,150_0,FAILED,SOBOL,,,,1148,4320,100,490,0.303501963581889855348094897636
151,151_0,FAILED,SOBOL,,,,2749,622,47,867,0.582435294786468160666004223458
152,152_0,FAILED,SOBOL,,,,3003,3347,89,737,0.469857130238786335763023771506
153,153_0,FAILED,SOBOL,,,,932,2064,42,110,0.628551842447370279209906129836
154,154_0,FAILED,SOBOL,,,,1491,4980,65,788,0.972274637287482645930936087098
155,155_0,FAILED,SOBOL,,,,4891,1173,18,411,0.131966313518583788777505105827
156,156_0,FAILED,SOBOL,,,,3863,3788,32,260,0.010648869452998043633185076828
