trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
158,158_0,FAILED,SOBOL,,,,4174,2841,75,610,0.138998690996319063106767544014
159,159_0,FAILED,SOBOL,,,,237,1319,24,197,0.647754868457093846423333616258
160,160_0,FAILED,SOBOL,,,,195,4036,29,439,0.456981684325262926815724995322
161,161_0,FAILED,SOBOL,,,,4068,560,81,869,0.946244542203843574945665295672
162,162_0,FAILED,SOBOL,,,,2678,3013,18,42,0.692856640132144097066202448332
163,163_0,FAILED,SOBOL,,,,1576,1410,67,644,0.219202758666127928144362613239
164,164_0,FAILED,SOBOL,,,,2451,3233,100,549,0.015729891352355480915736762881
165,165_0,FAILED,SOBOL,,,,3219,2336,48,136,0.520587631313130239085751327366
166,166_0,FAILED,SOBOL,,,,4953,4710,61,963,0.773990772809833305068138997740
167,167_0,FAILED,SOBOL,,,,707,686,12,346,0.253554512979462742805480957031
168,168_0,FAILED,SOBOL,,,,1124,2812,51,209,0.935430197849869693449420537945
169,169_0,FAILED,SOBOL,,,,4380,1836,2,607,0.411084079315885919658768443696
170,170_0,FAILED,SOBOL,,,,3622,4286,91,312,0.165692914012819519919972321986
171,171_0,COMPLETED,SOBOL,0.709999999999999964472863211995,6353.000000000000000000000000000000,1.000000000000000000000000000000,1892,184,39,882,0.674430056134238786746948335349
172,172_0,FAILED,SOBOL,,,,1505,4470,21,788,0.595539655527099975884652849345
173,173_0,FAILED,SOBOL,,,,2905,1072,70,405,0.117975915357470512168092113825
174,174_0,FAILED,SOBOL,,,,4022,3444,32,701,0.363778240272775277297512275254
175,175_0,FAILED,SOBOL,,,,398,1920,85,115,0.856920500312000510412246967462
176,176_0,FAILED,SOBOL,,,,552,3687,6,975,0.222919865969568503638598144789
177,177_0,FAILED,SOBOL,,,,3867,2165,55,342,0.743352082649245904377721672063
178,178_0,FAILED,SOBOL,,,,3060,4539,41,515,0.988821409955620733711612047045
179,179_0,FAILED,SOBOL,,,,1350,1140,94,179,0.483967716863378860647770807191
180,180_0,FAILED,SOBOL,,,,2046,4217,74,23,0.312338031480088818003792994205
181,181_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2286.000000000000000000000000000000,1.000000000000000000000000000000,3466,116,25,671,0.785988341961056047324518658570
182,182_0,FAILED,SOBOL,,,,4535,2568,87,498,0.540260137757286429405212402344
183,183_0,FAILED,SOBOL,,,,969,1591,35,818,0.051000847145915031988216981063
184,184_0,FAILED,SOBOL,,,,864,4953,78,736,0.639040939958766096573583581630
185,185_0,FAILED,SOBOL,,,,4796,930,26,73,0.145894633051007999169357276514
186,186_0,FAILED,SOBOL,,,,3377,3302,64,776,0.399204611061140912653399936971
187,187_0,FAILED,SOBOL,,,,2294,2403,15,410,0.876772394381463482382343954669
188,188_0,FAILED,SOBOL,,,,1733,2944,45,252,0.829816604819148762040015299135
189,189_0,FAILED,SOBOL,,,,2521,1343,97,933,0.321075895430520175111155367631
190,190_0,FAILED,SOBOL,,,,4226,3793,9,228,0.067598395280539985696677263149
191,191_0,COMPLETED,SOBOL,0.739999999999999991118215802999,10194.000000000000000000000000000000,0.500000000000000000000000000000,38,316,58,580,0.591948084799572837866321606271
192,192_0,FAILED,SOBOL,,,,77,4764,10,67,0.940223780548199994377966959291
193,193_0,FAILED,SOBOL,,,,4266,663,63,747,0.462675030708313006488907603853
194,194_0,FAILED,SOBOL,,,,2560,3272,49,422,0.209127239221706978655745956530
195,195_0,FAILED,SOBOL,,,,1772,2295,98,774,0.702284965474158529019632624113
196,196_0,FAILED,SOBOL,,,,2333,2984,69,929,0.530640070408582742444991708908
197,197_0,FAILED,SOBOL,,,,3416,1461,17,266,0.006309418087825179217997817460
198,198_0,FAILED,SOBOL,,,,4835,3992,80,591,0.259567898441106059692629060009
199,199_0,FAILED,SOBOL,,,,903,593,30,224,0.768320030892267857858257684711
200,200_0,FAILED,SOBOL,,,,1008,3491,83,329,0.420733214594423754473240251173
201,201_0,FAILED,SOBOL,,,,4574,1890,34,978,0.925575488341972230088572359818
202,202_0,FAILED,SOBOL,,,,3505,4496,72,184,0.679902592580765463559089312184
203,203_0,FAILED,SOBOL,,,,2086,1019,19,504,0.159451342420652508735656738281
204,204_0,FAILED,SOBOL,,,,1389,4250,40,660,0.112510755104944112914289178207
205,205_0,COMPLETED,SOBOL,0.709999999999999964472863211995,848.000000000000000000000000000000,1.000000000000000000000000000000,3099,227,89,27,0.601758622653782326850091521919
206,206_0,FAILED,SOBOL,,,,3906,2756,1,821,0.847294445382431149482727050781
207,207_0,FAILED,SOBOL,,,,591,1856,53,485,0.373625097703188635556159624684
208,208_0,FAILED,SOBOL,,,,437,2530,37,595,0.737677762310951945501358295587
209,209_0,FAILED,SOBOL,,,,4062,1632,86,212,0.228921586709097041323346388708
210,210_0,FAILED,SOBOL,,,,2944,4163,23,887,0.474550818301737287185915192822
211,211_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3521.000000000000000000000000000000,1.000000000000000000000000000000,1544,138,75,301,0.998885517491027719039209387120
212,212_0,FAILED,SOBOL,,,,1931,4584,92,395,0.795427844988182197738524337183
213,213_0,FAILED,SOBOL,,,,3661,1108,43,793,0.302266547750681624506796651985
214,214_0,FAILED,SOBOL,,,,4419,3716,57,118,0.056683019561693075150099474513
215,215_0,FAILED,SOBOL,,,,1164,2114,4,688,0.534235336668789417835512267629
216,216_0,FAILED,SOBOL,,,,745,3767,59,864,0.155737930649891498369186138007
217,217_0,COMPLETED,SOBOL,0.739999999999999991118215802999,9775.000000000000000000000000000000,0.989999999999999991118215802999,4992,369,7,451,0.629403231460601064739535104309
218,218_0,FAILED,SOBOL,,,,3258,2897,96,656,0.882994925057515533950436292798
219,219_0,FAILED,SOBOL,,,,2490,1373,46,40,0.393751100659370412149229423449
220,220_0,FAILED,SOBOL,,,,1615,3359,13,132,0.314845512676984073952013432063
221,221_0,FAILED,SOBOL,,,,2717,2383,66,563,0.835293195569887791940288934711
222,222_0,FAILED,SOBOL,,,,4107,4989,28,356,0.582082182735204733958767064905
223,223_0,FAILED,SOBOL,,,,234,887,77,958,0.077243479972705239577912550430
224,224_0,FAILED,SOBOL,,,,276,3140,69,717,0.759718514995649463195093176182
225,225_0,FAILED,SOBOL,,,,4213,2241,22,100,0.266576253097504378697379934238
226,226_0,FAILED,SOBOL,,,,2793,4769,84,803,0.028540236962959170813336484684
227,227_0,FAILED,SOBOL,,,,1706,746,33,390,0.506103975273668793555259526329
228,228_0,FAILED,SOBOL,,,,2395,3977,3,296,0.709287490557879207742075777787
229,229_0,FAILED,SOBOL,,,,3187,500,51,898,0.200550350295379764542502698532
230,230_0,FAILED,SOBOL,,,,4893,3106,39,193,0.438114308603107904804829786372
231,231_0,FAILED,SOBOL,,,,700,1505,90,623,0.962460428996011585489611661615
232,232_0,FAILED,SOBOL,,,,1219,4413,48,947,0.351274378497153538791764049165
233,233_0,FAILED,SOBOL,,,,4528,1014,99,361,0.871710640186443952437400639610
234,234_0,FAILED,SOBOL,,,,3722,3544,13,534,0.610480038881301867448314624198
235,235_0,FAILED,SOBOL,,,,2016,2022,60,151,0.105622300779446953722384705543
236,236_0,FAILED,SOBOL,,,,1463,2711,80,58,0.183888357127085316777836965230
237,237_0,FAILED,SOBOL,,,,2878,1734,30,628,0.657542236734181662072273866215
238,238_0,FAILED,SOBOL,,,,3946,4343,67,456,0.918696670657023761741299949790
239,239_0,COMPLETED,SOBOL,0.729999999999999982236431605997,9054.000000000000000000000000000000,1.000000000000000000000000000000,386,242,19,853,0.429433810919523262228381099703
240,240_0,FAILED,SOBOL,,,,541,4119,96,244,0.556603306651115459224854475906
241,241_0,FAILED,SOBOL,,,,3792,17,46,564,0.032253618991002444560400874707
242,242_0,FAILED,SOBOL,,,,3034,2623,57,269,0.293558337289839987871431503663
243,243_0,FAILED,SOBOL,,,,1309,1647,9,917,0.802299048537388426183269984904
244,244_0,FAILED,SOBOL,,,,2172,3633,27,761,0.974461708551272787204311498499
245,245_0,FAILED,SOBOL,,,,3567,2109,78,425,0.496893923372030255070086468550
246,246_0,FAILED,SOBOL,,,,4684,4637,16,721,0.235817655170336371028838584607
247,247_0,FAILED,SOBOL,,,,1065,1239,63,88,0.728963960219174644805661955616
248,248_0,FAILED,SOBOL,,,,856,2882,25,482,0.085827983034774665838106955107
249,249_0,FAILED,SOBOL,,,,4735,1280,73,834,0.575087271787226184116548211023
250,250_0,FAILED,SOBOL,,,,3344,3889,36,6,0.813048932986333960926117470080
251,251_0,FAILED,SOBOL,,,,2237,413,87,687,0.339398620646446935733564487236
252,252_0,FAILED,SOBOL,,,,1862,4857,54,530,0.386735131867229964264254249429
253,253_0,FAILED,SOBOL,,,,2635,833,7,163,0.891588826818391688711074039020
254,254_0,FAILED,SOBOL,,,,4370,3364,93,990,0.653946940731257253531794049195
255,255_0,FAILED,SOBOL,,,,118,2466,42,326,0.133514725910499704175649071658
256,256_0,FAILED,SOBOL,,,,133,3375,22,625,0.446678963977843512811460868761
257,257_0,FAILED,SOBOL,,,,4365,2476,69,195,0.955418961400166133479672225803
258,258_0,FAILED,SOBOL,,,,2621,4850,33,896,0.717794203400611841026091042295
259,259_0,FAILED,SOBOL,,,,1868,828,84,294,0.193445229565724741149779219995
260,260_0,FAILED,SOBOL,,,,2233,3905,51,388,0.021997138345614074966816176016
261,261_0,FAILED,SOBOL,,,,3360,428,3,801,0.515144157219678211490077046619
262,262_0,FAILED,SOBOL,,,,4740,2881,90,102,0.753119139438495066585232962098
263,263_0,FAILED,SOBOL,,,,842,1280,39,718,0.275550640434026716807380807950
264,264_0,FAILED,SOBOL,,,,1069,4642,99,855,0.909642215924337471655292119976
265,265_0,FAILED,SOBOL,,,,4669,1242,48,457,0.435991189759224628819112012934
266,266_0,FAILED,SOBOL,,,,3561,3614,61,626,0.174897786034271113253524276843
267,267_0,FAILED,SOBOL,,,,2186,2091,13,56,0.664157788611948518564531696029
268,268_0,FAILED,SOBOL,,,,1294,2632,29,149,0.617505330156534859575856444280
269,269_0,FAILED,SOBOL,,,,3038,1655,80,532,0.097073829161003238885641053457
270,270_0,FAILED,SOBOL,,,,3806,4105,19,363,0.358365219004452228990231787975
271,271_0,FAILED,SOBOL,,,,535,4,67,949,0.863218200130388191304575684626
272,272_0,FAILED,SOBOL,,,,381,4350,46,90,0.243821716083213679837626841618
273,273_0,COMPLETED,SOBOL,0.709999999999999964472863211995,9774.000000000000000000000000000000,1.000000000000000000000000000000,3962,247,97,723,0.721386644102632978992062362522
274,274_0,FAILED,SOBOL,,,,2883,2700,9,423,0.982523949937894935935389639781
275,275_0,FAILED,SOBOL,,,,1449,1724,57,759,0.489380498331040136861247447086
276,276_0,FAILED,SOBOL,,,,2032,3546,78,915,0.287431157119572178171296172877
277,277_0,FAILED,SOBOL,,,,3718,2022,27,267,0.811776087803766088768497866113
278,278_0,FAILED,SOBOL,,,,4514,4396,63,566,0.550532165478914925493825194280
279,279_0,FAILED,SOBOL,,,,1224,999,16,246,0.041796214925125245442938393126
280,280_0,FAILED,SOBOL,,,,685,3125,73,329,0.644484174251556352075454014994
281,281_0,FAILED,SOBOL,,,,4897,1523,25,992,0.139627625858411180681528662717
282,282_0,FAILED,SOBOL,,,,3201,3973,87,161,0.377208719689399007979346833963
283,283_0,FAILED,SOBOL,,,,2389,497,36,528,0.897643791669979651537403242401
284,284_0,FAILED,SOBOL,,,,1710,4783,7,685,0.820642425423487975599812216387
285,285_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2002.000000000000000000000000000000,0.979999999999999982236431605997,2778,759,54,5,0.331378375977277761510464415551
286,286_0,FAILED,SOBOL,,,,4207,3131,42,836,0.093355688298121089485626100668
287,287_0,FAILED,SOBOL,,,,290,2233,93,484,0.567010757613927163234279760218
288,288_0,FAILED,SOBOL,,,,220,4992,63,226,0.251015616036951549894240542926
289,289_0,FAILED,SOBOL,,,,4113,891,10,592,0.775349125517532211659954555216
290,290_0,FAILED,SOBOL,,,,2732,3341,98,264,0.522151441138237748518236003292
291,291_0,FAILED,SOBOL,,,,1610,2364,49,927,0.013396455245092510344395719812
292,292_0,FAILED,SOBOL,,,,2495,2905,17,772,0.215680807275697578040407620392
293,293_0,FAILED,SOBOL,,,,3243,1382,69,420,0.693234314091503600607779844722
294,294_0,FAILED,SOBOL,,,,4988,3754,30,749,0.946843143211677618076294038474
295,295_0,COMPLETED,SOBOL,0.739999999999999991118215802999,3106.000000000000000000000000000000,1.000000000000000000000000000000,761,355,79,69,0.453680656265467385779288633785
296,296_0,FAILED,SOBOL,,,,1158,3727,34,487,0.856330816542729689189172859187
297,297_0,FAILED,SOBOL,,,,4433,2126,83,823,0.367085802435874963833839501604
298,298_0,FAILED,SOBOL,,,,3665,4578,19,25,0.121488953227177259863722724731
299,299_0,FAILED,SOBOL,,,,1916,1101,72,658,0.595155443746596568566076257412
300,300_0,FAILED,SOBOL,,,,1558,4178,89,502,0.672857314199209244343080627004
301,301_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1052.000000000000000000000000000000,1.000000000000000000000000000000,2939,155,40,182,0.168019801145419478416442871094
302,302_0,FAILED,SOBOL,,,,4046,2529,53,979,0.413631904650479553797737253262
303,303_0,FAILED,SOBOL,,,,442,1630,1,331,0.934078397834673501698432573903
304,304_0,FAILED,SOBOL,,,,597,2773,86,690,0.048666585678234695888644267825
305,305_0,FAILED,SOBOL,,,,3892,1875,37,120,0.541825025755912070835051963513
306,306_0,FAILED,SOBOL,,,,3095,4247,75,791,0.787347520029172298627884174493
307,307_0,COMPLETED,SOBOL,0.719999999999999973354647408996,3370.000000000000000000000000000000,0.989999999999999991118215802999,1404,223,23,393,0.309798056364059437584046463598
308,308_0,FAILED,SOBOL,,,,2071,4509,43,299,0.480667529035359641920166495765
309,309_0,FAILED,SOBOL,,,,3511,1033,92,885,0.989418947661295566931016765011
310,310_0,FAILED,SOBOL,,,,4589,3483,4,214,0.743728916376829141121618249599
311,311_0,FAILED,SOBOL,,,,1004,1881,57,597,0.219398977881297474468169639295
312,312_0,FAILED,SOBOL,,,,917,3997,7,960,0.591563032787293163750064195483
313,313_0,FAILED,SOBOL,,,,4830,599,59,358,0.071112496452406054325834361407
314,314_0,FAILED,SOBOL,,,,3401,2974,47,561,0.324384297825396072934012181577
