trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4400,2565,1.995461179658770456413208194135,8,0.932685993432998627916674649896
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1603,365,6.804925187356770877045164525043,18,0.049104457968845965920579033082
2,2_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1149,4958,3.861984787767752891340933274478,5,0.280330671606585368760278242917
3,3_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2688,2113,9.999312147372402037603933422361,11,0.644445209432393362192215136020
4,4_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3284,3925,6.088859948762693541368662408786,13,0.540790541501715793515359109733
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,534,1740,0.274409653386101126670837402344,3,0.409805401772260657899948910199
6,6_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2257,3563,7.893996828220785744179011089727,16,0.138133196499198668272256895762
7,7_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3765,773,3.407362252364866339604532186058,10,0.755448157822713239895051628991
8,8_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4212,4593,8.406936620348133715197036508471,1,0.120986222293227918544999965889
9,9_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1970,2402,2.894422795480117382993512364919,15,0.985060332691296891560739368288
10,10_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,236,2923,5.273826643593610086213629983831,9,0.716798962803557482281746615627
11,11_0,COMPLETED,SOBOL,0.920000000000000039968028886506,12.000000000000000000000000000000,0.989999999999999991118215802999,3736,88,1.089443219299428111668248675414,17,0.333207493633031870405858398954
12,12_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3102,3140,4.999880816231482505429539742181,20,0.477780142245814221091393392271
13,13_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,890,965,8.861415783666073409108321357053,6,0.597085225630551552633562550909
14,14_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1355,4341,1.805346088727936226803194585955,12,0.823925399653613554917797046073
15,15_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4807,1560,6.995040064104833810176842234796,4,0.194899869674816733633448961882
16,16_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4868,4156,2.563406385497190242972465057392,16,0.670697140576317907267878126731
17,17_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1455,1352,8.621996638162061188381812826265,10,0.287086606323719017996864977249
18,18_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,677,3327,0.638676271781325355370029228652,14,0.011028361435979603527579584465
19,19_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2850,1166,5.525637687223963645521962462226,2,0.875121536916121822713421352091
20,20_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3446,3114,9.115076770457438470884881098755,5,0.808996176324784710409687704669
21,21_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,62,285,4.549705087661743974081218766514,11,0.179982097292318954373513406608
22,22_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2109,4413,7.211911881921813538554033584660,7,0.399025396315380920242432694067
23,23_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4233,2189,1.474959040851332225940950593213,19,0.518319028753787325314306144719
24,24_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4062,3684,6.474385566848330775258091307478,13,0.359462287513539202610246547920
25,25_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2435,889,2.212485616669058963168481568573,3,0.723565374393016047527282808005
26,26_0,RUNNING,SOBOL,,,,401,3792,9.549288991434499607180441671517,19,0.946994713030755552729544888280
27,27_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3266,1641,4.115493201927282740371083491482,6,0.063424609923735261740596058644
28,28_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2632,4830,0.526068124384619362210457893525,8,0.248437411304563288139135579513
29,29_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1055,2009,5.638245573876425886794550024206,18,0.865771437710151081645904014295
30,30_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1820,2691,3.622574842810630801892557428801,1,0.586302357437089138869623639039
31,31_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4657,476,7.562827845606022059143924707314,14,0.455298152625560781370239737953
32,32_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4572,4889,5.002402362066321828137915872503,19,0.777361887725070088706047499727
33,33_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1744,2104,1.140857765719294425466046050133,7,0.147407442480325695521869988625
34,34_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,970,2594,8.194400513691826759554714953993,11,0.431749588217586299787598136390
35,35_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2556,414,3.004735238806344632678246853175,5,0.550034330939874083199470078398
36,36_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3191,3476,1.592810075194574848111983556009,2,0.639099838905036410352522580069
37,37_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,315,626,7.105352414308116593133490823675,14,0.254488066250458333517059372753
38,38_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2359,4052,4.728456441581250224714949581539,10,0.043728630898520352843217295913
39,39_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3976,1847,8.912830423208884411678809556179,16,0.906873863209038955091045863810
40,40_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4313,2854,3.913404195205308688798595539993,15,0.215899884698912497560385759243
41,41_0,COMPLETED,SOBOL,0.900000000000000022204460492503,1.000000000000000000000000000000,0.890000000000000013322676295502,2180,79,9.727883004827424073823749495205,1,0.834113360513001667051469212311
42,42_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,142,4622,2.105768808528781121935935516376,17,0.617993871025741103863992975676
43,43_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3517,2451,6.592393941718154515285732486518,9,0.488059472734108545921571931103
44,44_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2921,4253,8.004304503652267754887361661531,6,0.326826619233936077613122961338
45,45_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,758,1414,3.194830913603305955206224098220,20,0.691991861319169454525024320901
46,46_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1526,3267,6.140279263077304428009028924862,4,0.978770827921107366975661534525
47,47_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4948,1072,0.002980603964067995645392805670,12,0.096087751179933553191681028238
48,48_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4737,3395,9.473763201289809643412809236906,9,0.508070154808461627027327267569
49,49_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1274,1175,4.361595194464549685164911352331,17,0.378086294377222631446500145103
50,50_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,820,4128,6.379640299864114183492347365245,3,0.169763679889962076918763500544
51,51_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3021,1303,2.439358782823197735467601887649,13,0.788026617843657684048253031506
52,52_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3656,4501,3.527829668949358232765689535881,12,0.899989551486447436623450357729
53,53_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,165,2336,7.789700918637216808804168977076,4,0.017348322749137879555947350241
54,54_0,RUNNING,SOBOL,,,,1890,2987,0.450542241116985708870856797148,18,0.311924164351075894341391858688
55,55_0,COMPLETED,SOBOL,0.910000000000000031086244689504,3.000000000000000000000000000000,0.660000000000000031086244689504,4141,177,5.884347659536637742405673634494,8,0.677047558432444906983960208890
56,56_0,RUNNING,SOBOL,,,,3841,3860,0.884773589546792305071676310035,4,0.446084819730371229251630893486
57,57_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2343,1650,5.450116571851075342181047744816,12,0.564327714448794703905321057391
58,58_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,610,3655,2.790284226423129343430673543480,6,0.856466735186055316830788797233
59,59_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,3369,840,8.527246696406043824367770866957,20,0.226554137945175176893641832976
60,60_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,2773,2778,7.438789815970697105740327970125,17,0.089206302193924780219447256968
61,61_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1225,623,1.380209005972370395198822734528,9,0.952400996644049868677939230110
62,62_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1688,4702,9.361173995099962397148374293465,15,0.749438436292111820336003802367
63,63_0,RUNNING,SOBOL,,,,4476,1902,4.474184065411798805200760398293,1,0.364777201497927305862134517156
64,64_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,4506,4003,8.750435239088721672828796727117,12,0.154309410223737369927121676483
65,65_0,COMPLETED,SOBOL,0.910000000000000031086244689504,0.000000000000000000000000000000,0.000000000000000000000000000000,1680,1817,4.888294879393652259125246928306,4,0.772781762935221161470167317020
