trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,FAILED,SOBOL,,,,4337,2894,9.926095247507095820083122816868,0.003317537020891905136243948959,True,True
1,1_0,COMPLETED,SOBOL,0.059999999999999997779553950750,415.000000000000000000000000000000,0.029999999999999998889776975375,2458,2041,1.848038591193966517778335401090,0.025951904879882931737045126397,False,False
2,2_0,COMPLETED,SOBOL,0.059999999999999997779553950750,90.000000000000000000000000000000,0.000000000000000000000000000000,193,4299,5.160360331016593526953784021316,0.015165038507431746403475436580,False,False
3,3_0,FAILED,SOBOL,,,,3321,634,3.331611849678680403741282134433,0.038958069237880407764684775884,True,True
4,4_0,FAILED,SOBOL,,,,2709,4584,0.262479728873819151413471217893,0.044224531963467601791695216207,True,True
5,5_0,COMPLETED,SOBOL,0.059999999999999997779553950750,128.000000000000000000000000000000,0.000000000000000000000000000000,811,448,8.433329189960844018969510216266,0.021976883499883116679374239766,False,False
6,6_0,COMPLETED,SOBOL,0.059999999999999997779553950750,89.000000000000000000000000000000,0.000000000000000000000000000000,1825,3178,4.873191352878698090478337690001,0.032866660867817698576942575528,False,False
7,7_0,FAILED,SOBOL,,,,4974,1854,6.794751505699009541672239720356,0.008686910649761557870474071308,True,True
8,8_0,FAILED,SOBOL,,,,4650,3842,3.893182249871082856174098196789,0.023786973083391785982465549409,False,True
9,9_0,FAILED,SOBOL,,,,1520,1112,6.990690151695162946055006614188,0.047942558542825280953891819991,True,False
10,10_0,FAILED,SOBOL,,,,1129,2748,1.003404239866882541321047028759,0.012327139924280345814611159483,True,False
11,11_0,FAILED,SOBOL,,,,3010,2205,7.850622796175071194113570527406,0.034550613302737474830106378931,False,True
12,12_0,FAILED,SOBOL,,,,3648,3636,6.056921591202729437952712032711,0.029283967650495471013449844122,False,True
13,13_0,FAILED,SOBOL,,,,496,1376,2.905736860712990310418035733164,0.005515100203454494781629691147,True,False
14,14_0,FAILED,SOBOL,,,,2137,4729,8.789235239734873417205562873278,0.041027985481545334311981321207,True,False
15,15_0,FAILED,SOBOL,,,,4038,283,1.888358665595762486688613535080,0.018417794090695681352709556222,False,True
16,16_0,FAILED,SOBOL,,,,3900,4970,7.352790013360791299135144072352,0.034429113077465448022884686452,True,False
17,17_0,FAILED,SOBOL,,,,1963,43,4.274854896826670191956054623006,0.007131443675141782220783248647,False,True
18,18_0,FAILED,SOBOL,,,,322,3564,7.742818004740402493268902617274,0.045792460908647629469481188380,False,True
19,19_0,FAILED,SOBOL,,,,3510,1449,0.915172270971350454438208998909,0.020426891785580665594768134952,True,False
20,20_0,FAILED,SOBOL,,,,2872,2518,2.679541089479811510898343840381,0.013608440780546517470672718275,True,False
21,21_0,FAILED,SOBOL,,,,954,2436,5.850287877496332278326462983387,0.040519392170477661063721086521,False,True
22,22_0,FAILED,SOBOL,,,,1346,3924,2.446977422323077799859447623021,0.001767926557455211942007644588,False,True
23,23_0,FAILED,SOBOL,,,,4513,1030,9.367416091238148112552153179422,0.027520213692914696074209857102,True,False
24,24_0,COMPLETED,SOBOL,0.080000000000000001665334536938,254.000000000000000000000000000000,0.070000000000000006661338147751,4839,3416,1.310113075021654305274410035054,0.042559849846642468229607203511,False,False
25,25_0,FAILED,SOBOL,,,,1649,1616,9.407741231528110148474297602661,0.016880077640060338339811352171,True,True
26,26_0,FAILED,SOBOL,,,,633,4509,3.576097879764624121179394933279,0.030809222314972430772916922592,True,True
27,27_0,COMPLETED,SOBOL,0.059999999999999997779553950750,124.000000000000000000000000000000,0.000000000000000000000000000000,2573,522,5.424417954418808918148897646461,0.003970775527413934746778778617,False,False
28,28_0,COMPLETED,SOBOL,0.059999999999999997779553950750,96.000000000000000000000000000000,0.000000000000000000000000000000,3185,4071,8.483746985634788018160179490224,0.010789043605793267877057672877,False,False
29,29_0,FAILED,SOBOL,,,,16,863,0.332460811297409231102051307971,0.036082096324767921891041311255,True,True
30,30_0,FAILED,SOBOL,,,,2281,2978,6.372785380254500253727201197762,0.022243777684401722094520437167,True,True
31,31_0,COMPLETED,SOBOL,0.059999999999999997779553950750,112.000000000000000000000000000000,0.000000000000000000000000000000,4202,1957,4.470788476934656863193140452495,0.049468943959567697465917746058,False,False
32,32_0,FAILED,SOBOL,,,,4096,4247,1.152634232931770252861269909772,0.028028617254458369767444736453,True,False
33,33_0,FAILED,SOBOL,,,,2236,726,7.976042611993849895668518001912,0.001162984468042850506527829957,False,True
34,34_0,FAILED,SOBOL,,,,125,2841,4.041163147635758789988358330447,0.039772640986368061610800594963,False,True
35,35_0,FAILED,SOBOL,,,,3237,2132,7.114879757546820115976515808143,0.014065672454424202678091582186,True,False
36,36_0,FAILED,SOBOL,,,,2600,3279,8.978115604235791025189428182784,0.019628260979428890226072823566,True,False
37,37_0,FAILED,SOBOL,,,,757,1792,2.052207154320552895399032422574,0.046880611778236928877117151160,False,True
38,38_0,FAILED,SOBOL,,,,1618,4686,6.244591078059748667783424025401,0.008168421919457614574500148308,False,True
39,39_0,FAILED,SOBOL,,,,4709,386,3.068393208130262728161596896825,0.033488672439008951298156091525,True,False
40,40_0,COMPLETED,SOBOL,0.059999999999999997779553950750,94.000000000000000000000000000000,0.000000000000000000000000000000,4408,2694,5.030076647946611245743042672984,0.048576647698879246717318380888,False,False
41,41_0,FAILED,SOBOL,,,,1299,2300,3.187283867022954186865035808296,0.023232233895920217925379347435,True,True
42,42_0,FAILED,SOBOL,,,,1065,3787,9.797003538123332688769551168662,0.037218782504089178986284025541,True,True
43,43_0,COMPLETED,SOBOL,0.059999999999999997779553950750,383.000000000000000000000000000000,0.040000000000000000832667268469,2923,1206,1.704921523431315977248345916450,0.009942255144938827102207845599,False,False
44,44_0,COMPLETED,SOBOL,0.070000000000000006661338147751,89.000000000000000000000000000000,0.000000000000000000000000000000,3536,4833,4.704442045718431941736525914166,0.004379483693279326295133557778,False,False
45,45_0,FAILED,SOBOL,,,,447,218,6.610733816475607760310140292859,0.030110616983845830962884804194,True,True
46,46_0,FAILED,SOBOL,,,,1931,3740,0.094960743428207941563279348429,0.016226979371160271670149199963,True,True
