trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,4400,2757,1526,0.191978555738925943385808636776,0.848432904601097104269058490900,9.025876192569732836545881582424,str\(\'t-test\'\),str\(\'bounded\'\),1262
1,1_0,FAILED,SOBOL,1816,163,4167,0.814557100692763880189772862650,0.430140198606997703478782568709,0.413325647140853125183213023774,str\(\'ks-test\'\),str\(\'full\'\),4695
2,2_0,FAILED,SOBOL,365,4171,1236,0.268987577946856626365246256682,0.205846946483477954981111679444,3.476362843308598016278665454593,str\(\'t-test\'\),str\(\'full\'\),2568
3,3_0,FAILED,SOBOL,3427,1582,3213,0.644046746242791456893428403419,0.515579836914315858820145876962,7.089418864366598960202736634528,str\(\'ks-test\'\),str\(\'bounded\'\),1010
4,4_0,FAILED,SOBOL,3124,4428,4639,0.517188802691176507941861473228,0.736990547522902494925745031651,8.420650007551536475602915743366,str\(\'t-test\'\),str\(\'full\'\),3688
5,5_0,FAILED,SOBOL,668,2029,2309,0.391415998030453904377168328210,0.046781863082200288161960344269,2.269095771516673298862087904126,str\(\'ks-test\'\),str\(\'bounded\'\),236
6,6_0,FAILED,SOBOL,2119,3634,3054,0.937290524911135403129947007983,0.317289385354146358242388714643,4.078615296099335374435668200022,str\(\'t-test\'\),str\(\'bounded\'\),2484
7,7_0,FAILED,SOBOL,4097,1240,139,0.064937436083331703806642565269,0.898938321152702002336809528060,5.230674765643664514414012955967,str\(\'ks-test\'\),str\(\'full\'\),4061
8,8_0,FAILED,SOBOL,3927,4055,2691,0.463140496805310275529876662404,0.489583878105506298261673236993,6.749335101240315104575984150870,str\(\'t-test\'\),str\(\'full\'\),3323
9,9_0,FAILED,SOBOL,2281,1463,363,0.588790649933740528609860120923,0.788984445819631230456536741258,2.550705244697630380557029639021,str\(\'ks-test\'\),str\(\'bounded\'\),524
10,10_0,FAILED,SOBOL,1145,2954,4862,0.011850307947024702609484236859,0.565289808645844438217409333447,0.750969440131448284780901758495,str\(\'t-test\'\),str\(\'bounded\'\),2069
11,11_0,FAILED,SOBOL,2643,357,1947,0.884082648776471580198688116070,0.156141746599227193570413874113,9.949094063164666934540036891121,str\(\'ks-test\'\),str\(\'full\'\),4242
12,12_0,FAILED,SOBOL,3591,3128,833,0.757757248586043763438624409901,0.098432444905862212514158215981,6.107814267330804014477507735137,str\(\'t-test\'\),str\(\'bounded\'\),1687
13,13_0,FAILED,SOBOL,197,731,3475,0.134812163673341284253481831001,0.685342807987704860650524096854,4.447687859274447319535283895675,str\(\'ks-test\'\),str\(\'full\'\),4504
14,14_0,FAILED,SOBOL,1334,4859,1788,0.711934791341424011434924068453,0.956441331073641820559316784056,1.394396239965222772383413030184,str\(\'t-test\'\),str\(\'full\'\),2923
15,15_0,FAILED,SOBOL,4874,2457,3766,0.336510984761640430384943556419,0.259783533144742229126222810009,8.054017414512113504088119952939,str\(\'ks-test\'\),str\(\'bounded\'\),731
16,16_0,FAILED,SOBOL,4731,4794,576,0.981606340622529383033167960093,0.551813514290377504778462025570,4.774688928961754008639672974823,str\(\'ks-test\'\),str\(\'full\'\),354
17,17_0,FAILED,SOBOL,1561,2190,2621,0.109256105236709116779181272250,0.228063182132318603700937842405,5.926748622001149158222688129172,str\(\'t-test\'\),str\(\'bounded\'\),3182
18,18_0,FAILED,SOBOL,34,3395,2117,0.561564339920878397016679173248,0.377703458197414854158324715172,7.725261312568560967406483541708,str\(\'ks-test\'\),str\(\'bounded\'\),4101
19,19_0,FAILED,SOBOL,3682,796,4826,0.435796295953914503140680380966,0.842419724550098170112732987036,1.573707151032052831141072601895,str\(\'t-test\'\),str\(\'full\'\),1898
20,20_0,FAILED,SOBOL,2754,3026,3714,0.309410426959395412627173982401,0.908853738335892558097839355469,2.916993767082691313419218204217,str\(\'ks-test\'\),str\(\'bounded\'\),4655
21,21_0,FAILED,SOBOL,962,617,730,0.684464838279411180721467644616,0.373613142060115921427865259830,6.530050011635758266947959782556,str\(\'t-test\'\),str\(\'full\'\),1848
