trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,threshold,window_size
0,0_0,COMPLETED,SOBOL,0.570000000000000062172489379009,7758.000000000000000000000000000000,0.640000000000000013322676295502,3229,7,0.573523879289627114275162966806,4429
1,1_0,COMPLETED,SOBOL,0.570000000000000062172489379009,27.000000000000000000000000000000,0.000000000000000000000000000000,2327,2,0.135193671654909836066238426611,276
2,2_0,COMPLETED,SOBOL,0.619999999999999995559107901499,2728.000000000000000000000000000000,0.289999999999999980015985556747,911,5,0.840568942112848160874705172318,3406
3,3_0,FAILED,SOBOL,,,,4941,0,0.406140273585915589915629198003,1300
4,4_0,FAILED,SOBOL,,,,3814,4,0.100059615084901451509402647844,1991
5,5_0,COMPLETED,SOBOL,0.570000000000000062172489379009,35.000000000000000000000000000000,0.000000000000000000000000000000,341,1,0.663136741559952502811370322888,2681
6,6_0,COMPLETED,SOBOL,0.600000000000000088817841970013,10440.000000000000000000000000000000,0.660000000000000031086244689504,1423,6,0.363198991550132632699643409069,810
7,7_0,COMPLETED,SOBOL,0.609999999999999986677323704498,28.000000000000000000000000000000,0.000000000000000000000000000000,3019,3,0.922380744025111165562691439845,3861
8,8_0,COMPLETED,SOBOL,0.609999999999999986677323704498,5444.000000000000000000000000000000,0.670000000000000039968028886506,2811,5,0.273826912380754960985029811127,3070
9,9_0,FAILED,SOBOL,,,,1831,0,0.957273265561088937403155796346,2226
10,10_0,COMPLETED,SOBOL,0.570000000000000062172489379009,846.000000000000000000000000000000,0.910000000000000031086244689504,80,7,0.002881619129329919797716241803,4096
11,11_0,COMPLETED,SOBOL,0.570000000000000062172489379009,33.000000000000000000000000000000,0.000000000000000000000000000000,4187,2,0.690227153377607427486850610876,1200
12,12_0,COMPLETED,SOBOL,0.589999999999999968913755310496,697.000000000000000000000000000000,0.330000000000000015543122344752,4562,6,0.805284352071583220400441405218,509
13,13_0,COMPLETED,SOBOL,0.630000000000000004440892098501,1576.000000000000000000000000000000,0.400000000000000022204460492503,1168,3,0.496087279489263899279194447445,4822
14,14_0,COMPLETED,SOBOL,0.560000000000000053290705182008,216.000000000000000000000000000000,0.050000000000000002775557561563,1924,4,0.546041420344263284114560974558,1692
15,15_0,COMPLETED,SOBOL,0.570000000000000062172489379009,36.000000000000000000000000000000,0.000000000000000000000000000000,3441,1,0.232946594344452029279324278832,3639
16,16_0,COMPLETED,SOBOL,0.570000000000000062172489379009,30.000000000000000000000000000000,0.000000000000000000000000000000,3708,4,0.982562538325786549719964568794,704
17,17_0,COMPLETED,SOBOL,0.570000000000000062172489379009,38.000000000000000000000000000000,0.000000000000000000000000000000,2179,1,0.295219890980049970430343364569,4046
18,18_0,COMPLETED,SOBOL,0.579999999999999960031971113494,637.000000000000000000000000000000,0.119999999999999995559107901499,1059,6,0.742811452057212551203235761932,2176
19,19_0,COMPLETED,SOBOL,0.719999999999999973354647408996,7386.000000000000000000000000000000,1.000000000000000000000000000000,4461,3,0.059369829827919599896102198500,2573
20,20_0,COMPLETED,SOBOL,0.570000000000000062172489379009,13972.000000000000000000000000000000,0.700000000000000066613381477509,4291,7,0.439520785957574822155891069997,3220
21,21_0,COMPLETED,SOBOL,0.570000000000000062172489379009,33.000000000000000000000000000000,0.000000000000000000000000000000,196,2,0.752610825238749336918431254162,1407
22,22_0,COMPLETED,SOBOL,0.609999999999999986677323704498,11097.000000000000000000000000000000,0.640000000000000013322676295502,1568,5,0.211456773456186047921434578711,4538
23,23_0,COMPLETED,SOBOL,0.570000000000000062172489379009,9331.000000000000000000000000000000,1.000000000000000000000000000000,2541,0,0.520651022339239766267837694613,90
24,24_0,COMPLETED,SOBOL,0.600000000000000088817841970013,6565.000000000000000000000000000000,0.700000000000000066613381477509,2959,6,0.176175932856276640237069841533,1799
25,25_0,COMPLETED,SOBOL,0.619999999999999995559107901499,1242.000000000000000000000000000000,0.380000000000000004440892098501,1351,3,0.610609388101845951268842327408,3453
26,26_0,COMPLETED,SOBOL,0.600000000000000088817841970013,788.000000000000000000000000000000,0.260000000000000008881784197001,559,4,0.412026826804503809587032492345,324
27,27_0,COMPLETED,SOBOL,0.570000000000000062172489379009,41.000000000000000000000000000000,0.000000000000000000000000000000,4040,1,0.850359879516065064741781043267,4928
28,28_0,COMPLETED,SOBOL,0.600000000000000088817841970013,10761.000000000000000000000000000000,0.619999999999999995559107901499,4708,5,0.653435508193448200131570047233,4283
29,29_0,COMPLETED,SOBOL,0.570000000000000062172489379009,7387.000000000000000000000000000000,0.989999999999999991118215802999,690,0,0.094250868815928701138773249113,1092
30,30_0,COMPLETED,SOBOL,0.570000000000000062172489379009,326.000000000000000000000000000000,0.119999999999999995559107901499,2401,7,0.885395905947312766848256160301,2962
31,31_0,COMPLETED,SOBOL,0.570000000000000062172489379009,35.000000000000000000000000000000,0.000000000000000000000000000000,3296,2,0.322314048521220697374189967377,2412
32,32_0,FAILED,SOBOL,,,,3381,5,0.032083218313753603112559176225,5
33,33_0,COMPLETED,SOBOL,0.570000000000000062172489379009,4732.000000000000000000000000000000,0.869999999999999995559107901499,2488,0,0.715527430018410126599803788849,4622
34,34_0,COMPLETED,SOBOL,0.579999999999999960031971113494,5790.000000000000000000000000000000,0.650000000000000022204460492503,760,7,0.260146728906780477785787297762,1502
35,35_0,COMPLETED,SOBOL,0.570000000000000062172489379009,34.000000000000000000000000000000,0.000000000000000000000000000000,4780,2,0.947486790494993291744663110876,3126
36,36_0,COMPLETED,SOBOL,0.589999999999999968913755310496,10419.000000000000000000000000000000,0.619999999999999995559107901499,3975,6,0.547965467460453492520855434122,2645
37,37_0,COMPLETED,SOBOL,0.709999999999999964472863211995,1415.000000000000000000000000000000,0.800000000000000044408920985006,492,3,0.238773867538198819593375787917,2104
38,38_0,COMPLETED,SOBOL,0.570000000000000062172489379009,37.000000000000000000000000000000,0.000000000000000000000000000000,1261,4,0.787717063073068879397453656566,3984
39,39_0,COMPLETED,SOBOL,0.570000000000000062172489379009,32.000000000000000000000000000000,0.000000000000000000000000000000,2867,1,0.474624378548935077493098333434,766
40,40_0,COMPLETED,SOBOL,0.570000000000000062172489379009,1541.000000000000000000000000000000,0.400000000000000022204460492503,2650,7,0.815269498268142323027518614253,2494
