trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
22,22_0,FAILED,SOBOL,,,,2269,293,4150,0.850156556438654620322381560982,0.522517980167642281941198234563,9.742848634886556169476534705609,str\(\'ks-test\'\),str\(\'full\'\),3707
23,23_0,FAILED,SOBOL,,,,2535,4904,1886,0.212732788097113378888991519489,0.291894348414614812625700324134,2.495198857483454268901823525084,str\(\'t-test\'\),str\(\'bounded\'\),1245
24,24_0,FAILED,SOBOL,,,,2934,1904,3857,0.343275296701118337594493823417,0.682552928050980001195569002448,0.683195911599323246754522642732,str\(\'ks-test\'\),str\(\'bounded\'\),2239
25,25_0,FAILED,SOBOL,,,,1951,2901,2218,0.719568532181903752764640103123,0.381268027184531066442474411815,8.428848123196512887034259620123,str\(\'t-test\'\),str\(\'full\'\),4706
26,26_0,FAILED,SOBOL,,,,680,1060,3343,0.178136375764384874420542814732,0.183601672647520891556993660743,7.374123986333609437338054704014,str\(\'ks-test\'\),str\(\'full\'\),3326
27,27_0,FAILED,SOBOL,,,,4203,3823,622,0.760923485437408064768760596053,0.880311128100380257954782337038,4.783901227967814584474126604619,str\(\'t-test\'\),str\(\'bounded\'\),787
28,28_0,FAILED,SOBOL,,,,4823,485,1779,0.940513862203806616513190874684,0.873748339803889439991735343938,1.810144797855056886248803493800,str\(\'ks-test\'\),str\(\'full\'\),2932
29,29_0,FAILED,SOBOL,,,,59,4632,4687,0.123335101377218966933746457926,0.065445872971788054961450598057,9.096859054378233722104596381541,str\(\'t-test\'\),str\(\'bounded\'\),400
30,30_0,FAILED,SOBOL,,,,1291,1561,1042,0.540004884824156761169433593750,0.374674782345071455402774063259,5.152390273462049918862248887308,str\(\'ks-test\'\),str\(\'bounded\'\),1540
31,31_0,FAILED,SOBOL,,,,3594,3635,2533,0.398110914632678059010828519604,0.564366671832278399278948199935,2.708636571173556273350868650596,str\(\'t-test\'\),str\(\'full\'\),3999
32,32_0,FAILED,SOBOL,,,,3444,426,4800,0.191098410164937365651738332417,0.046820603901520374545697222857,4.860817064301111045665493293200,str\(\'ks-test\'\),str\(\'full\'\),131
33,33_0,FAILED,SOBOL,,,,1361,4380,1275,0.871774752473458591772725867486,0.767409937189891921960338549979,7.299687771885656317749635491055,str\(\'t-test\'\),str\(\'bounded\'\),2594
34,34_0,FAILED,SOBOL,,,,92,1309,3046,0.291420100780203916723820611878,0.545895990537479502968665201479,8.198177235755137459705110813957,str\(\'ks-test\'\),str\(\'bounded\'\),4345
35,35_0,FAILED,SOBOL,,,,4714,3576,920,0.647671027453616265923130868032,0.268487309152260433808834250158,0.916345824939198805303419703705,str\(\'t-test\'\),str\(\'full\'\),1799
36,36_0,FAILED,SOBOL,,,,4074,2118,2105,0.593323664117604510082060187415,0.479718304140493267961886658668,2.629318013882264715164183144225,str\(\'ks-test\'\),str\(\'bounded\'\),4419
37,37_0,FAILED,SOBOL,,,,733,3001,4360,0.470493586290627707757749931261,0.708883583521470406196840485791,5.234188415389509074771012819838,str\(\'t-test\'\),str\(\'full\'\),1880
38,38_0,FAILED,SOBOL,,,,1962,1160,110,0.926087768547236955818391379580,0.978671388721093493678893082688,9.334891273312271309237075911369,str\(\'ks-test\'\),str\(\'full\'\),1151
39,39_0,FAILED,SOBOL,,,,2843,4037,3465,0.011998191528022290885946432581,0.209838653428480043094950246996,1.574591567570343686455203169317,str\(\'t-test\'\),str\(\'bounded\'\),3606
40,40_0,FAILED,SOBOL,,,,2627,1658,403,0.388188032956793882544133111878,0.819129530483856838074530060112,0.270355126955546476441583081396,str\(\'ks-test\'\),str\(\'bounded\'\),4800
41,41_0,FAILED,SOBOL,,,,2259,3148,3134,0.549943952115252598922268134629,0.119971885012462739505956221819,7.513124293602072789610701875063,str\(\'t-test\'\),str\(\'full\'\),2340
42,42_0,FAILED,SOBOL,,,,988,76,2399,0.102081906115636236731525343657,0.320083090947940962500695150084,6.693362382258289500214232248254,str\(\'ks-test\'\),str\(\'full\'\),887
43,43_0,FAILED,SOBOL,,,,3895,4807,4028,0.961781332110986153516307695099,0.618927430802956202171571931103,4.293553769846447210056794574484,str\(\'t-test\'\),str\(\'bounded\'\),3421
44,44_0,FAILED,SOBOL,,,,4506,888,2714,0.766594348184764351472608723270,0.627927932245656794663091204711,2.257204465089365896801609778777,str\(\'ks-test\'\),str\(\'full\'\),336
45,45_0,FAILED,SOBOL,,,,377,4229,1213,0.172481687478721140704962522250,0.435803081011399640054548854096,9.978439691711217918168586038519,str\(\'t-test\'\),str\(\'bounded\'\),2877
46,46_0,FAILED,SOBOL,,,,1609,2389,4468,0.745096588779240898148259475420,0.129002842998132111196341043069,5.799009281262756054786677850643,str\(\'ks-test\'\),str\(\'bounded\'\),3944
47,47_0,FAILED,SOBOL,,,,3277,2807,1568,0.317761518467217674022151641111,0.934879977090284253193885888322,3.233203507872298487768603081349,str\(\'t-test\'\),str\(\'full\'\),1477
48,48_0,FAILED,SOBOL,,,,3312,2235,3370,0.889320998499169901307936925150,0.305007934974506511593972390983,9.615108325669542210789586533792,str\(\'t-test\'\),str\(\'bounded\'\),2423
49,49_0,FAILED,SOBOL,,,,1807,2649,478,0.048810622224584224171373136869,0.510288109237328146861045752303,1.898450389750301781077723717317,str\(\'ks-test\'\),str\(\'full\'\),4971
50,50_0,FAILED,SOBOL,,,,575,730,3806,0.598952398164197763463789669913,0.804052470976486799436599994806,3.578416724886745114986297267023,str\(\'t-test\'\),str\(\'full\'\),3221
51,51_0,FAILED,SOBOL,,,,4542,4076,2308,0.464910505456849920680184595767,0.011334466980770230293273925781,6.139035215040669513086868391838,str\(\'ks-test\'\),str\(\'bounded\'\),755
52,52_0,FAILED,SOBOL,,,,3932,231,996,0.269729343667626408898030376804,0.238677687024697660067573679044,7.852313610848971059397172211902,str\(\'t-test\'\),str\(\'full\'\),2980
53,53_0,FAILED,SOBOL,,,,1185,4966,2618,0.669346580460667639478344881354,0.950990655524656225416890720226,0.614121734905056726461225480307,str\(\'ks-test\'\),str\(\'bounded\'\),527
54,54_0,FAILED,SOBOL,,,,2456,1817,1810,0.243965273957699541051979963413,0.737600872738286894580994612625,3.933957714094780566682629796560,str\(\'t-test\'\),str\(\'bounded\'\),1257
55,55_0,FAILED,SOBOL,,,,2664,3302,4538,0.818892692010849687633822213684,0.451915662979707144497609760947,6.328579043270089243833353975788,str\(\'ks-test\'\),str\(\'full\'\),3793
56,56_0,FAILED,SOBOL,,,,3119,1006,1517,0.688335094554349824491623621725,0.593195834564045121339859178988,5.495486871140077944630775164114,str\(\'t-test\'\),str\(\'full\'\),2794
57,57_0,FAILED,SOBOL,,,,2076,3877,4871,0.374538209361955531928600748870,0.346972987586632364287453356155,2.895803752869367642119868833106,str\(\'ks-test\'\),str\(\'bounded\'\),263
58,58_0,COMPLETED,SOBOL,0.190000000000000002220446049250,2873.000000000000000000000000000000,0.000000000000000000000000000000,847,1959,703,0.792187349865212997457319943351,0.094118544394150377430108278531,1.294564970258623270993325604650,str\(\'t-test\'\),str\(\'bounded\'\),1716
59,59_0,FAILED,SOBOL,,,,4351,2846,2950,0.146903889903798712257554370808,0.845897519158199440170164962183,9.050287385297938413941665203311,str\(\'ks-test\'\),str\(\'full\'\),4174
60,60_0,FAILED,SOBOL,,,,4990,1462,4138,0.092558541636914015704462599388,0.901221232747659084516556049493,7.013631910924800649809185415506,str\(\'t-test\'\),str\(\'bounded\'\),2100
61,61_0,FAILED,SOBOL,,,,208,3734,2015,0.971259043376892838850267253292,0.163574331862851973795613957918,4.579948486576788546642546862131,str\(\'ks-test\'\),str\(\'full\'\),4571
62,62_0,FAILED,SOBOL,,,,1476,584,3702,0.428857047572731964191206088799,0.402266244633123271068342319268,1.181384954861365299549902374565,str\(\'t-test\'\),str\(\'full\'\),3504
63,63_0,FAILED,SOBOL,,,,3719,4533,185,0.509229276850819534416814349242,0.662621165489777896873135887290,8.458639074974692917407992354129,str\(\'ks-test\'\),str\(\'bounded\'\),961
64,64_0,FAILED,SOBOL,,,,3704,1105,3541,0.360611887238919737175280033625,0.776555369319394284133295514039,6.495209840698167980121979780961,str\(\'ks-test\'\),str\(\'bounded\'\),1839
65,65_0,FAILED,SOBOL,,,,1415,4012,34,0.701271443329751442696817775868,0.038649335006251929469645034487,3.788115217123180666902726443368,str\(\'t-test\'\),str\(\'full\'\),4305
66,66_0,FAILED,SOBOL,,,,184,2181,4280,0.151129682261496783857168679788,0.277630346992984389231651221053,0.468278716444969211885052118305,str\(\'ks-test\'\),str\(\'full\'\),2637
67,67_0,FAILED,SOBOL,,,,4933,3015,2186,0.785022395152598639889163223415,0.537726164164021636082679833635,8.018944333778694755210381117649,str\(\'t-test\'\),str\(\'bounded\'\),89
68,68_0,FAILED,SOBOL,,,,4322,1274,845,0.979718178095296043927930895734,0.718257915606722252555016439146,5.991976774537005390186550357612,str\(\'ks-test\'\),str\(\'full\'\),3647
69,69_0,FAILED,SOBOL,,,,795,3531,3121,0.081220923425629740211029172769,0.471319087056443097871749614569,3.743822340986691532549457406276,str\(\'t-test\'\),str\(\'bounded\'\),1111
70,70_0,FAILED,SOBOL,,,,2065,430,1356,0.506602215057238902673475422489,0.219211542991921304324165475919,2.063855633358471219906959959189,str\(\'ks-test\'\),str\(\'bounded\'\),1923
71,71_0,FAILED,SOBOL,,,,3054,4453,4719,0.430554814880713843106008198447,0.970274565925821619316593569238,9.468049661670811190106178401038,str\(\'t-test\'\),str\(\'full\'\),4377
72,72_0,FAILED,SOBOL,,,,2728,2374,1649,0.062097474057227375343614994563,0.113752942981198423844091394130,8.625264955511315889680190593936,str\(\'ks-test\'\),str\(\'full\'\),3383
73,73_0,FAILED,SOBOL,,,,2467,2745,4387,0.875014222402125563249342121708,0.826324539283290526725522795459,1.035546778794377953403227365925,str\(\'t-test\'\),str\(\'bounded\'\),925
74,74_0,FAILED,SOBOL,,,,1238,914,1137,0.457365067027509231145643298078,0.612706094482913576904081764951,4.434110683001578401274400675902,str\(\'ks-test\'\),str\(\'bounded\'\),2304
75,75_0,FAILED,SOBOL,,,,3960,4283,2789,0.603528663836419565491553385073,0.327279542269185208525072994235,7.180258014956489631686054053716,str\(\'t-test\'\),str\(\'full\'\),4835
76,76_0,FAILED,SOBOL,,,,4600,4,3948,0.658359435563907080535273053101,0.429354287257418032464073576193,8.903224027902819415203339303844,str\(\'ks-test\'\),str\(\'bounded\'\),1439
77,77_0,FAILED,SOBOL,,,,598,4802,2479,0.277807994669303282009309441491,0.635349937466904490790398085664,1.459974907263182020145109163423,str\(\'t-test\'\),str\(\'full\'\),3982
78,78_0,FAILED,SOBOL,,,,1866,1702,3209,0.820210005344823023243350235134,0.928429740814492143741176732874,3.061214211362414339134829788236,str\(\'ks-test\'\),str\(\'full\'\),2842
79,79_0,FAILED,SOBOL,,,,3329,3183,327,0.241688715221360317375598469880,0.136427242508158075295909839042,5.348423588243313986367866164073,str\(\'t-test\'\),str\(\'bounded\'\),372
80,80_0,FAILED,SOBOL,,,,3209,1860,4619,0.558966516148298953048367820884,0.503093829134479197939811001561,1.721655092586763080575451567711,str\(\'t-test\'\),str\(\'full\'\),715
81,81_0,FAILED,SOBOL,,,,1595,3336,1730,0.378144801091402749104730673935,0.311228111328557155434992864684,9.169481205935589684941078303382,str\(\'ks-test\'\),str\(\'bounded\'\),3261
82,82_0,FAILED,SOBOL,,,,327,157,2543,0.958499467656016346239766789949,0.004138774098828434597208136836,5.068778124517761440870344813447,str\(\'t-test\'\),str\(\'bounded\'\),4928
83,83_0,FAILED,SOBOL,,,,4479,4960,1072,0.102393913730978960985318337862,0.810275011876598005855498740857,2.776381166406907130550507645239,str\(\'ks-test\'\),str\(\'full\'\),2465
84,84_0,FAILED,SOBOL,,,,3840,754,2228,0.157230522466823452454320886318,0.943567475466057681288134517672,0.749720074774697486930108425440,str\(\'t-test\'\),str\(\'bounded\'\),3752
85,85_0,FAILED,SOBOL,,,,966,4129,3887,0.778936811102554194086167171918,0.245125811567530049739360720196,8.344015244200825520692887948826,str\(\'ks-test\'\),str\(\'full\'\),1297
86,86_0,FAILED,SOBOL,,,,2196,2220,554,0.323342613974586134961697325707,0.444490118375048037790975286043,7.445525705832988450083576026373,str\(\'t-test\'\),str\(\'full\'\),484
87,87_0,FAILED,SOBOL,,,,2609,2585,3295,0.738555980185046756503197684651,0.744050410060211997453905041766,4.694190792648122112495912006125,str\(\'ks-test\'\),str\(\'bounded\'\),3023
88,88_0,FAILED,SOBOL,,,,2862,590,261,0.861381523177027652593551465543,0.355143081644549940545374511203,3.380261818003840623703126766486,str\(\'t-test\'\),str\(\'bounded\'\),4212
89,89_0,FAILED,SOBOL,,,,2024,4607,3627,0.200501933798193920921448807348,0.584049733223393596759365209437,5.633603832784109144427020510193,str\(\'ks-test\'\),str\(\'full\'\),1678
90,90_0,FAILED,SOBOL,,,,753,1429,1935,0.648363964926451430414999776985,0.854066200437024192204660266725,9.813034317730926048284345597494,str\(\'t-test\'\),str\(\'full\'\),299
91,91_0,FAILED,SOBOL,,,,4130,3690,4219,0.287788209151476626068699715688,0.084974807599559429305280389144,2.404263296709395980599310860271,str\(\'ks-test\'\),str\(\'bounded\'\),2759
92,92_0,FAILED,SOBOL,,,,4740,2023,2875,0.482486022034659955970425926353,0.171974277643486855859933370994,4.126922804797068522475456120446,str\(\'t-test\'\),str\(\'full\'\),998
93,93_0,FAILED,SOBOL,,,,143,2861,779,0.578453428963199289825070081861,0.891848134985193663482050396851,6.839205009602011386959929950535,str\(\'ks-test\'\),str\(\'bounded\'\),3466
94,94_0,FAILED,SOBOL,,,,1375,952,4951,0.005838542534038424110243159504,0.671018746724352244115152643644,7.658967144440860685961069975747,str\(\'t-test\'\),str\(\'bounded\'\),4606
95,95_0,FAILED,SOBOL,,,,3510,3854,1437,0.931318866623565555507013868919,0.392894559649750563234960054615,0.103724534397944809227531948181,str\(\'ks-test\'\),str\(\'full\'\),2065
96,96_0,FAILED,SOBOL,,,,3516,2082,1204,0.732900816015899181365966796875,0.998094439273700118064880371094,2.329826765643432828767345199594,str\(\'t-test\'\),str\(\'full\'\),3198
97,97_0,FAILED,SOBOL,,,,1288,3114,2684,0.329013952605426318598347279476,0.190507954014465213932183473844,9.889949837446213365410585538484,str\(\'ks-test\'\),str\(\'bounded\'\),661
98,98_0,COMPLETED,SOBOL,0.190000000000000002220446049250,3707.000000000000000000000000000000,0.000000000000000000000000000000,19,1205,1637,0.753423508752137371935475584905,0.499051829112693690060353901572,5.866754025492817881115570344264,str\(\'t-test\'\),str\(\'bounded\'\),2411
99,99_0,FAILED,SOBOL,,,,4787,3913,4516,0.182758103180676700905138432063,0.689459670430049298417429781693,3.149591209931299040647445508512,str\(\'ks-test\'\),str\(\'full\'\),4866
100,100_0,FAILED,SOBOL,,,,4158,376,3202,0.112332505138590929560926667818,0.557627931194379922175130559481,0.185522396956570467807523527881,str\(\'t-test\'\),str\(\'bounded\'\),1392
101,101_0,FAILED,SOBOL,,,,649,4508,452,0.948577061863616122217024440033,0.256602163756266210548062645103,7.579648307780735727590126771247,str\(\'ks-test\'\),str\(\'full\'\),3854
102,102_0,FAILED,SOBOL,,,,1878,1329,4018,0.399412746882066127529498089643,0.058706671321764589133174183644,6.603652095935307997365271148738,str\(\'t-test\'\),str\(\'full\'\),3123
103,103_0,FAILED,SOBOL,,,,2926,3476,2369,0.537712845003232353668920495693,0.755675230460241431629242470080,4.364955340349116141851482097991,str\(\'ks-test\'\),str\(\'bounded\'\),579
104,104_0,FAILED,SOBOL,,,,2544,851,4311,0.906155338633805484960248577408,0.148531539684161550951557728695,2.543269396224990597232817890472,str\(\'t-test\'\),str\(\'bounded\'\),1578
105,105_0,FAILED,SOBOL,,,,2341,4346,2037,0.030985892344266175585376643653,0.915198075665160981628787340014,5.299487155117095227296886150725,str\(\'ks-test\'\),str\(\'full\'\),4117
106,106_0,FAILED,SOBOL,,,,1070,2437,3495,0.572418033890426114496108311869,0.647610755695030126943834147824,9.243955563541501163626890047453,str\(\'t-test\'\),str\(\'full\'\),2665
107,107_0,FAILED,SOBOL,,,,3813,2682,120,0.488507135026156891211002175623,0.416271618252620101419125830944,1.644777399411424978481477410241,str\(\'ks-test\'\),str\(\'bounded\'\),198
108,108_0,FAILED,SOBOL,,,,4432,1606,1305,0.309405929302796700586242195641,0.331709385471418483071204263979,4.929782166090794781609929486876,str\(\'t-test\'\),str\(\'full\'\),3520
109,109_0,FAILED,SOBOL,,,,451,3279,4809,0.626730062877759341866124032094,0.607393487418070421313132101204,7.207531630056910998405328427907,str\(\'ks-test\'\),str\(\'bounded\'\),1061
110,110_0,FAILED,SOBOL,,,,1682,100,872,0.210060294302180400327628717605,0.830666299426928156357519128505,8.262255245431326500238355947658,str\(\'t-test\'\),str\(\'bounded\'\),2128
111,111_0,FAILED,SOBOL,,,,3203,4706,2977,0.851808891745284180174735411128,0.108344727950170638397509037532,0.829076775223948070348001238017,str\(\'ks-test\'\),str\(\'full\'\),4660
112,112_0,FAILED,SOBOL,,,,3396,258,1966,0.408920914690941550428959772034,0.726094530595466469691245947615,6.947107822247781783175923919771,str\(\'ks-test\'\),str\(\'bounded\'\),4239
113,113_0,FAILED,SOBOL,,,,1723,4859,4070,0.528219937067478939596298914694,0.463573365813121196499224652143,4.664781291074119984330081933876,str\(\'t-test\'\),str\(\'full\'\),1787
114,114_0,FAILED,SOBOL,,,,491,1759,215,0.071648286417126658132126237888,0.227021025186404573625864600217,1.109983309860341105235193026601,str\(\'ks-test\'\),str\(\'full\'\),37
115,115_0,FAILED,SOBOL,,,,4625,3437,3712,0.989276533022522941429599541152,0.962494112623855424537566705112,8.548349435796030348910790053196,str\(\'t-test\'\),str\(\'bounded\'\),2572
116,116_0,FAILED,SOBOL,,,,4005,2278,4900,0.810169743103906547787573799724,0.784400074327364582593702380109,5.583976501910016487784105265746,str\(\'ks-test\'\),str\(\'full\'\),1202
117,117_0,FAILED,SOBOL,,,,1112,2528,1527,0.125966152412816889683000454170,0.030896475510671737169099415610,2.823181675810366719758803810691,str\(\'t-test\'\),str\(\'bounded\'\),3750
118,118_0,FAILED,SOBOL,,,,2383,697,2901,0.707292561898008043108632136864,0.285448870973661561478706971684,1.378177044704556486465207854053,str\(\'ks-test\'\),str\(\'bounded\'\),4479
119,119_0,FAILED,SOBOL,,,,2736,4187,635,0.354576497742906227017556375358,0.529939524376764947710682918114,8.982542864562944373574282508343,str\(\'t-test\'\),str\(\'full\'\),2015
120,120_0,FAILED,SOBOL,,,,3045,1488,2608,0.231766303852200511448344855125,0.390410604013130047018620416566,7.944469976172783276524569373578,str\(\'ks-test\'\),str\(\'full\'\),822
121,121_0,FAILED,SOBOL,,,,2150,3631,967,0.830148591175675409914447300253,0.674386417990550435241914328799,0.545156409620307425001328738290,str\(\'t-test\'\),str\(\'bounded\'\),3290
122,122_0,FAILED,SOBOL,,,,921,530,4607,0.256554325383156534012840666037,0.889458924775943127194466342189,4.021226987305097644309626048198,str\(\'ks-test\'\),str\(\'bounded\'\),4743
123,123_0,FAILED,SOBOL,,,,4277,4667,1859,0.679627383213490254831867787289,0.175428990973159670829772949219,6.264500810098835081873858143808,str\(\'t-test\'\),str\(\'full\'\),2201
124,124_0,COMPLETED,SOBOL,0.190000000000000002220446049250,9489.000000000000000000000000000000,0.000000000000000000000000000000,4908,1047,547,0.609200008044019303277138988051,0.074815446222200987502759517156,9.549809660440310210560710402206,str\(\'ks-test\'\),str\(\'bounded\'\),4034
125,125_0,FAILED,SOBOL,,,,290,3760,3419,0.451709908435121154646196828253,0.865351978020742484964955565374,1.984498932909220414444462221581,str\(\'t-test\'\),str\(\'full\'\),1504
126,126_0,FAILED,SOBOL,,,,1559,1929,2299,0.900541801257058960317181117716,0.573742416696622958838247541280,3.508230967544019307524649775587,str\(\'ks-test\'\),str\(\'full\'\),437
127,127_0,FAILED,SOBOL,,,,3637,2956,3777,0.036584169847890736504414377350,0.366273200714960667223607515552,6.229970850313082841864797956077,str\(\'t-test\'\),str\(\'bounded\'\),2894
128,128_0,FAILED,SOBOL,,,,3658,47,572,0.997302597969770387997812122194,0.533336027489975106341546506883,0.877891757406294437338090119738,str\(\'ks-test\'\),str\(\'bounded\'\),4471
129,129_0,FAILED,SOBOL,,,,1537,4836,3316,0.063599483162164682781281044299,0.281046320432797092081500522909,8.154835964361206279704674670938,str\(\'t-test\'\),str\(\'full\'\),2005
130,130_0,COMPLETED,SOBOL,0.190000000000000002220446049250,6580.000000000000000000000000000000,0.000000000000000000000000000000,308,1667,2248,0.520174955751746881382757692336,0.034260581368580463046402684313,7.334442083468661444101144297747,str\(\'ks-test\'\),str\(\'full\'\),1177
131,131_0,FAILED,SOBOL,,,,4890,3138,3905,0.416958415713161223425942125687,0.779969007955864102044074570586,4.900458281751722822150441061240,str\(\'t-test\'\),str\(\'bounded\'\),3717
132,132_0,FAILED,SOBOL,,,,4290,2418,2564,0.346553763980045892445502886403,0.973688442504033413449349154689,1.615456215637735892798332315579,str\(\'ks-test\'\),str\(\'full\'\),9
133,133_0,FAILED,SOBOL,,,,908,2778,1090,0.715353262240067122590403414506,0.214822551412507889434522212468,9.370868717518634483099049248267,str\(\'t-test\'\),str\(\'bounded\'\),2541
134,134_0,FAILED,SOBOL,,,,2176,879,4638,0.134030644951388250296631099445,0.474735298437997721432424214072,5.192065210730769209135360142682,str\(\'ks-test\'\),str\(\'bounded\'\),4233
135,135_0,FAILED,SOBOL,,,,3019,4239,1750,0.802158415673300595472028362565,0.713867540990933746591906583490,2.592081715091131499661969428416,str\(\'t-test\'\),str\(\'full\'\),1774
136,136_0,FAILED,SOBOL,,,,2764,1319,4930,0.671566697742789986413924907538,0.322889405595138678783939667483,4.257514194011688957175465475302,str\(\'ks-test\'\),str\(\'full\'\),468
137,137_0,FAILED,SOBOL,,,,2355,3566,1418,0.264577074017375735159873784141,0.616122067922726279753931066807,6.652445436345414186973812320502,str\(\'t-test\'\),str\(\'bounded\'\),2922
138,138_0,FAILED,SOBOL,,,,1124,397,2857,0.838159903734922440143861877004,0.821935785645619088057856060914,7.550346139712259763143720192602,str\(\'ks-test\'\),str\(\'bounded\'\),4048
139,139_0,FAILED,SOBOL,,,,3993,4409,758,0.223701796442270284259734580701,0.117166581617668269510446066306,0.312454641137272115525291837912,str\(\'t-test\'\),str\(\'full\'\),1510
140,140_0,FAILED,SOBOL,,,,4642,1150,1916,0.044632958231493831402492133975,0.139841119086369869428665424493,3.276520790795795612382335093571,str\(\'ks-test\'\),str\(\'bounded\'\),4754
141,141_0,FAILED,SOBOL,,,,475,4047,4198,0.892515721438452591662837676267,0.924040749235078728851533469424,5.837449194108137007219738734420,str\(\'t-test\'\),str\(\'full\'\),2210
142,142_0,FAILED,SOBOL,,,,1746,2148,240,0.443672422284260403735345335008,0.638766148848459169862223916425,9.938745878421700652438630640972,str\(\'ks-test\'\),str\(\'full\'\),855
143,143_0,FAILED,SOBOL,,,,3373,2971,3609,0.617245004231110172554508608300,0.424963912641629582012114951795,2.222388319871388517867671907879,str\(\'t-test\'\),str\(\'bounded\'\),3316
