trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,,,,3630,1403,2450,0.840145869612693774186595874198,0.199649291872978223993939650427,8.817175307810305895372948725708,str\(\'t-test\'\),str\(\'bounded\'\),4905
1,1_0,FAILED,SOBOL,,,,1489,3481,3938,0.222697802191600208177035824519,0.989927200516685812381467712839,1.525273721489123879280214168830,str\(\'ks-test\'\),str\(\'full\'\),2371
2,2_0,FAILED,SOBOL,,,,257,332,376,0.679269467713311314582824707031,0.698606262525543586505705206946,2.970278427093290041227646725019,str\(\'t-test\'\),str\(\'full\'\),703
3,3_0,FAILED,SOBOL,,,,4859,4474,3277,0.259790281953290125294131485134,0.490878388999029968697840331515,5.418609494582750762958767154487,str\(\'ks-test\'\),str\(\'bounded\'\),3155
4,4_0,FAILED,SOBOL,,,,4240,1220,4436,0.439382450718432682190695004465,0.265972406217828416519211032210,8.694230131799354666100043687038,str\(\'t-test\'\),str\(\'full\'\),619
5,5_0,FAILED,SOBOL,,,,877,3977,1718,0.624466178257018333930261633213,0.549232744248583926172102565033,0.943390562467277149494293553289,str\(\'ks-test\'\),str\(\'bounded\'\),3083
6,6_0,FAILED,SOBOL,,,,2148,2058,2760,0.043139753900468348624119840906,0.765051674278452997768340537732,4.498188767176122482283062709030,str\(\'t-test\'\),str\(\'bounded\'\),3896
7,7_0,FAILED,SOBOL,,,,2971,3060,1128,0.894975681208074136385732799681,0.050306234786286950499967218775,7.092988890742883967277521151118,str\(\'ks-test\'\),str\(\'full\'\),1349
8,8_0,FAILED,SOBOL,,,,2812,134,3053,0.518801437975838775074066688830,0.908975044010207011702107138262,6.064599000592716393498449178878,str\(\'t-test\'\),str\(\'full\'\),160
9,9_0,FAILED,SOBOL,,,,2384,4749,796,0.419299168528988963622339269932,0.155730578621849413689659513693,3.655332561220042464356083655730,str\(\'ks-test\'\),str\(\'bounded\'\),2702
10,10_0,FAILED,SOBOL,,,,1154,1600,4729,0.992893419450148972948966274998,0.410053836187347753305942887891,2.131600303090177561671225703321,str\(\'t-test\'\),str\(\'bounded\'\),4081
11,11_0,FAILED,SOBOL,,,,4043,3205,1385,0.070940343743190165115564127518,0.654803593276068518491683789762,9.384437438228166783460437727626,str\(\'ks-test\'\),str\(\'full\'\),1613
12,12_0,FAILED,SOBOL,,,,4673,2490,44,0.140882295452058325935240645777,0.600940604040399173335629257053,6.410377185197547511563698208192,str\(\'t-test\'\),str\(\'bounded\'\),4622
13,13_0,COMPLETED,SOBOL,0.190000000000000002220446049250,4678.000000000000000000000000000000,0.000000000000000000000000000000,525,2706,3570,0.798223215244710404547845428169,0.339135420830920353285620194583,3.854639156803489008495944290189,str\(\'ks-test\'\),str\(\'full\'\),2166
14,14_0,FAILED,SOBOL,,,,1794,787,2118,0.349391337294131520962991999113,0.101898045929148792221319297369,0.378568504620343471156473924566,str\(\'t-test\'\),str\(\'full\'\),1025
15,15_0,FAILED,SOBOL,,,,3402,4330,4231,0.713498148519545738466263173905,0.838087085196748349247286569152,8.090345829783007758351232041605,str\(\'ks-test\'\),str\(\'bounded\'\),3555
16,16_0,FAILED,SOBOL,,,,3126,634,710,0.018034062484279276411536230285,0.456375501712784181762572188745,4.219079095622524810949016682571,str\(\'ks-test\'\),str\(\'full\'\),2531
17,17_0,FAILED,SOBOL,,,,1678,4172,2826,0.920066179672256123645013303758,0.732318231461569713047765617375,6.770239758815616681886240257882,str\(\'t-test\'\),str\(\'bounded\'\),77
18,18_0,FAILED,SOBOL,,,,410,2332,1446,0.495656638396903881371713396220,0.955302420137450147841207126476,7.746236343152821390845019777771,str\(\'ks-test\'\),str\(\'bounded\'\),1745
19,19_0,FAILED,SOBOL,,,,4397,2553,4980,0.568176790190860647733472887921,0.233239506205543872807695038318,0.039646375725045805704649382051,str\(\'t-test\'\),str\(\'full\'\),4282
20,20_0,COMPLETED,SOBOL,0.190000000000000002220446049250,6329.000000000000000000000000000000,0.000000000000000000000000000000,3767,1754,3636,0.638113142833113711205328399956,0.023469711454585196613864539472,3.314963227272964996217297084513,str\(\'ks-test\'\),str\(\'bounded\'\),1975
21,21_0,FAILED,SOBOL,,,,1040,3365,291,0.300992256328463547720986070999,0.790851723382249516269837386062,5.719652301444672737318342115032,str\(\'t-test\'\),str\(\'full\'\),4520
