trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,theta,lambida
0,0_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,2581,2048,0.556391304427385380293458183587,0.709115635275840761053700589400
1,1_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,2092,3741,0.109393891193065792566407878894,0.224941610477864734063402352149
2,2_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,788,850,0.915976652284991033070582489017,0.838166789174079940316630654706
3,3_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,3895,4926,0.468992537662293762501519722719,0.353491915598511674545534333447
4,4_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4840,165,0.160404874968156196946011959881,0.380703155348077415531804490456
5,5_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,488,4361,0.731816951060295095565777501179,0.927665986860170987959861577110
6,6_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,1792,1480,0.301479380745626968085559838073,0.010693414749577641320588128337
7,7_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,3526,3058,0.872904815918766008309148674016,0.557155334280803771207501995377
8,8_0,COMPLETED,SOBOL,0.699999999999999955591079014994,3.000000000000000000000000000000,0.020000000000000000416333634234,3165,1011,0.359874797487910846882641635602,0.977698940340429589745951943769
9,9_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,1509,4465,0.806462605111580299599438603764,0.462424253124743722676015522666
10,10_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,283,2197,0.219060343525651846086077512155,0.599709317799657637415577937645
11,11_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4401,3267,0.665600527327973368052482783241,0.083934253972023725731688159613
12,12_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4100,1631,0.982174976137094146722006371419,0.181473945541307329909486156794
13,13_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,1228,2583,0.410353263734467343937240002560,0.634961110917851345725182454771
14,14_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,2454,329,0.622851630929857513763181486866,0.302423424785956740379333496094
15,15_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,2864,3897,0.050982279821112752582479288321,0.755410183807834978431117178843
16,16_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,3088,579,0.760168454214744215846621955279,0.042764299491420389165430293588
17,17_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,2211,3962,0.313618513445742430612028783798,0.524901777202263497557055416110
18,18_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,984,1840,0.651285054276138586359934379288,0.412957024725154053790276975633
19,19_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,4324,2684,0.204721769310906520633608352000,0.895594908790662835862406154774
20,20_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4649,2445,0.395397419971879549027704570108,0.868227556951344014990468167525
21,21_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,55,3329,0.967257475541811406749559409946,0.323126649312674985026205831673
22,22_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.059999999999999997779553950750,1281,1223,0.005571958652976900967790374608,0.739481210142374001392795435095
23,23_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,3413,4568,0.577418684911448543140011224750,0.194880679115653043798062071801
24,24_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,3598,1379,0.064235984092578302107057197645,0.272362738801166404112308327967
25,25_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,1701,2849,0.511195546287298241416863220365,0.785775502143427728718449998269
26,26_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,397,101,0.453799458576180037017167023805,0.151108433878049258636266927169
27,27_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4912,4110,0.900806674361787740323848083790,0.665022109201177991089082297549
28,28_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,3982,746,0.717752050085831427850280306302,0.567638485107570867072013243160
29,29_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.000000000000000000000000000000,721,4715,0.146301630826387557560153140912,0.116187892843037848811249546088
30,30_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,2025,1985,0.826375398209225342505135358806,0.945445137884467823319312174135
31,31_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,2668,3493,0.254972587886359514097733836024,0.494495368372648957944193170988
32,32_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,2769,922,0.240841510155145072102911285583,0.206092215158045294343125419800
33,33_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,1925,4852,0.683449494979996186039272743074,0.719506763063371135302759284968
34,34_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,661,2122,0.349738254289980954325756101753,0.342132881700992597107102710652
35,35_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4043,3669,0.792332894918601926548262781580,0.856052148655056965864673657052
36,36_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,4968,1555,0.601832564520090818049879999307,0.875617844352498675419838036760
