trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,theta,lambida
0,0_0,COMPLETED,SOBOL,0.059999999999999997779553950750,138.000000000000000000000000000000,0.000000000000000000000000000000,3601,4855,0.231920035843551142207275006513,0.489082132399082158968894873396
1,1_0,COMPLETED,SOBOL,0.140000000000000013322676295502,677.000000000000000000000000000000,0.300000000000000044408920985006,972,2186,0.630890505366865528280584385357,0.620077424619346895262594898668
2,2_0,COMPLETED,SOBOL,0.059999999999999997779553950750,145.000000000000000000000000000000,0.000000000000000000000000000000,2466,3381,0.267387101854104525244792966987,0.059528221882879733817262035700
3,3_0,COMPLETED,SOBOL,0.149999999999999994448884876874,769.000000000000000000000000000000,0.320000000000000006661338147751,4841,1142,0.867316500228457187837705077982,0.924887993786484008396087119763
4,4_0,COMPLETED,SOBOL,0.149999999999999994448884876874,686.000000000000000000000000000000,0.300000000000000044408920985006,4365,2937,0.621512329102307581329966978956,0.757297710584476591044733595481
5,5_0,COMPLETED,SOBOL,0.059999999999999997779553950750,138.000000000000000000000000000000,0.000000000000000000000000000000,1691,23,0.021590428930800407286705322463,0.133518880596384420522682034971
6,6_0,COMPLETED,SOBOL,0.149999999999999994448884876874,634.000000000000000000000000000000,0.280000000000000026645352591004,491,3826,0.876710045017953909507468779339,0.687862086819484797040047396877
7,7_0,COMPLETED,SOBOL,0.059999999999999997779553950750,143.000000000000000000000000000000,0.000000000000000000000000000000,2832,1654,0.477731818668916841108540438654,0.327711166730150604831095506597
8,8_0,COMPLETED,SOBOL,0.059999999999999997779553950750,164.000000000000000000000000000000,0.000000000000000000000000000000,2738,3591,0.983412188909575379902605618554,0.247665187181904916657870785457
9,9_0,COMPLETED,SOBOL,0.149999999999999994448884876874,722.000000000000000000000000000000,0.320000000000000006661338147751,114,638,0.401041211199667291253945222707,0.861519106483086938297333290393
10,10_0,COMPLETED,SOBOL,0.059999999999999997779553950750,150.000000000000000000000000000000,0.000000000000000000000000000000,1451,4422,0.514794980418216474582493447087,0.302971949281170938039764450878
11,11_0,COMPLETED,SOBOL,0.149999999999999994448884876874,716.000000000000000000000000000000,0.320000000000000006661338147751,3822,2289,0.098265816722810275796184953379,0.681453778481110883369353814487
12,12_0,COMPLETED,SOBOL,0.059999999999999997779553950750,150.000000000000000000000000000000,0.000000000000000000000000000000,4590,4240,0.344108226822875451489380793646,0.501809967063367334816348375170
13,13_0,COMPLETED,SOBOL,0.059999999999999997779553950750,156.000000000000000000000000000000,0.000000000000000000000000000000,1932,1532,0.760644866393972218787666861317,0.389031375635415288538609956959
14,14_0,COMPLETED,SOBOL,0.149999999999999994448884876874,839.000000000000000000000000000000,0.320000000000000006661338147751,887,2746,0.155214184509310848536500770933,0.945498446129262481996136102680
15,15_0,COMPLETED,SOBOL,0.059999999999999997779553950750,134.000000000000000000000000000000,0.000000000000000000000000000000,3215,546,0.737577403532899911198228437570,0.070084330666810273902100902887
16,16_0,COMPLETED,SOBOL,0.149999999999999994448884876874,756.000000000000000000000000000000,0.309999999999999997779553950750,3284,2590,0.428430532126873708786973793394,0.720769362809136504566254188830
17,17_0,COMPLETED,SOBOL,0.160000000000000003330669073875,660.000000000000000000000000000000,0.309999999999999997779553950750,663,389,0.963969132171850651147337885050,0.357211310302838702668282166997
18,18_0,COMPLETED,SOBOL,0.149999999999999994448884876874,796.000000000000000000000000000000,0.320000000000000006661338147751,2159,4085,0.071013748259004208507327859934,0.790696098329499386103691449534
19,19_0,COMPLETED,SOBOL,0.059999999999999997779553950750,186.000000000000000000000000000000,0.000000000000000000000000000000,4524,1375,0.534375021693482943341280133609,0.162527912413701403071542017642
20,20_0,COMPLETED,SOBOL,0.059999999999999997779553950750,139.000000000000000000000000000000,0.000000000000000000000000000000,4048,4577,0.788005612284131351508165153064,0.030517539344727992456363097062
21,21_0,COMPLETED,SOBOL,0.149999999999999994448884876874,672.000000000000000000000000000000,0.320000000000000006661338147751,1384,2445,0.324651829610113074053856507817,0.891495182801038010822480828210
22,22_0,COMPLETED,SOBOL,0.059999999999999997779553950750,142.000000000000000000000000000000,0.000000000000000000000000000000,183,3747,0.710323426097352106367566193512,0.459587948523461797822875496422
23,23_0,COMPLETED,SOBOL,0.160000000000000003330669073875,732.000000000000000000000000000000,0.320000000000000006661338147751,2514,795,0.174777082250826054643511042741,0.587168111253529745319212906907
24,24_0,COMPLETED,SOBOL,0.149999999999999994448884876874,695.000000000000000000000000000000,0.300000000000000044408920985006,3055,3981,0.666083974421583069336350035883,0.978891123272478624883774500631
25,25_0,COMPLETED,SOBOL,0.059999999999999997779553950750,143.000000000000000000000000000000,0.000000000000000000000000000000,421,1810,0.189065965521801243598432051840,0.099095266018062830304380383950
26,26_0,COMPLETED,SOBOL,0.160000000000000003330669073875,691.000000000000000000000000000000,0.280000000000000026645352591004,1759,3093,0.832260283637139997026110904699,0.534719146586954630073762473330
27,27_0,COMPLETED,SOBOL,0.149999999999999994448884876874,678.000000000000000000000000000000,0.320000000000000006661338147751,4140,180,0.310378151131607604717999038257,0.418525808606296789715628392514
28,28_0,COMPLETED,SOBOL,0.059999999999999997779553950750,147.000000000000000000000000000000,0.000000000000000000000000000000,4908,3225,0.056755315506085757260024138304,0.273472058521583682999533948532
29,29_0,COMPLETED,SOBOL,0.149999999999999994448884876874,797.000000000000000000000000000000,0.309999999999999997779553950750,2240,985,0.578644931329693634758370990312,0.648546368649229432179481591447
30,30_0,COMPLETED,SOBOL,0.059999999999999997779553950750,139.000000000000000000000000000000,0.000000000000000000000000000000,1194,4700,0.442673700548242787800035102919,0.218656408177688721394815729582
31,31_0,COMPLETED,SOBOL,0.140000000000000013322676295502,727.000000000000000000000000000000,0.300000000000000044408920985006,3531,2030,0.919683943319320684750550753961,0.828120584895834288552407542738
32,32_0,COMPLETED,SOBOL,0.160000000000000003330669073875,705.000000000000000000000000000000,0.289999999999999980015985556747,3489,3317,0.519774352728854860394847037242,0.562693287046626244851665887836
33,33_0,COMPLETED,SOBOL,0.140000000000000013322676295502,815.000000000000000000000000000000,0.320000000000000006661338147751,1162,1225,0.124698310218751440281437226076,0.452895254259929047613297825592
34,34_0,COMPLETED,SOBOL,0.160000000000000003330669073875,602.000000000000000000000000000000,0.280000000000000026645352591004,2284,4928,0.978630962656065861438037245534,0.882603639157488961686226502934
35,35_0,COMPLETED,SOBOL,0.059999999999999997779553950750,139.000000000000000000000000000000,0.000000000000000000000000000000,4944,2095,0.374806863760855035749841590587,0.008228239780291916188881273797
36,36_0,COMPLETED,SOBOL,0.059999999999999997779553950750,146.000000000000000000000000000000,0.000000000000000000000000000000,4174,3887,0.128956974063906798511069951019,0.184834135584533210128199698374
37,37_0,COMPLETED,SOBOL,0.149999999999999994448884876874,683.000000000000000000000000000000,0.309999999999999997779553950750,1804,1572,0.732788556277193081633924975904,0.799597367841750394923394651414
38,38_0,COMPLETED,SOBOL,0.059999999999999997779553950750,136.000000000000000000000000000000,0.000000000000000000000000000000,388,2862,0.370533099316619318752685785512,0.363913314037024981928425404476
39,39_0,COMPLETED,SOBOL,0.149999999999999994448884876874,841.000000000000000000000000000000,0.320000000000000006661338147751,3013,118,0.765601375698018782323117648048,0.745261527020484204619776846812
40,40_0,COMPLETED,SOBOL,0.149999999999999994448884876874,672.000000000000000000000000000000,0.309999999999999997779553950750,2636,4503,0.258709638227242966213026420519,0.821167320258915478525807429833
41,41_0,COMPLETED,SOBOL,0.059999999999999997779553950750,142.000000000000000000000000000000,0.000000000000000000000000000000,294,2227,0.844974579661898261839780843729,0.194400287751108402645172645862
42,42_0,COMPLETED,SOBOL,0.149999999999999994448884876874,821.000000000000000000000000000000,0.320000000000000006661338147751,1261,3497,0.240795639945752898425368471180,0.626004112847149407627966866130
43,43_0,COMPLETED,SOBOL,0.059999999999999997779553950750,136.000000000000000000000000000000,0.000000000000000000000000000000,3934,713,0.653430571990553321626293836744,0.264822061065584424266461383013
44,44_0,COMPLETED,SOBOL,0.059999999999999997779553950750,152.000000000000000000000000000000,0.000000000000000000000000000000,4410,2662,0.899227248635049880576275427302,0.427166080193594088765252081430
45,45_0,COMPLETED,SOBOL,0.140000000000000013322676295502,686.000000000000000000000000000000,0.320000000000000006661338147751,2034,610,0.486599807350710011899508344868,0.557244478782638941183336100949
46,46_0,COMPLETED,SOBOL,0.059999999999999997779553950750,142.000000000000000000000000000000,0.000000000000000000000000000000,776,4333,0.599162787533551455254610118573,0.123334046440199018856986867831
47,47_0,COMPLETED,SOBOL,0.160000000000000003330669073875,713.000000000000000000000000000000,0.320000000000000006661338147751,3404,1460,0.012890102297347038121100304409,0.985835078438743961370960278146
48,48_0,COMPLETED,SOBOL,0.059999999999999997779553950750,145.000000000000000000000000000000,0.000000000000000000000000000000,3181,4176,0.825398523783776871809436670446,0.334419089265167723823424239527
49,49_0,COMPLETED,SOBOL,0.149999999999999994448884876874,707.000000000000000000000000000000,0.320000000000000006661338147751,845,1304,0.285949981213547255176621320061,0.712352139297872777312647940562
50,50_0,COMPLETED,SOBOL,0.059999999999999997779553950750,146.000000000000000000000000000000,0.000000000000000000000000000000,1968,2506,0.672869524252973527644883233734,0.155823408432304855164574064474
51,51_0,COMPLETED,SOBOL,0.160000000000000003330669073875,719.000000000000000000000000000000,0.320000000000000006661338147751,4637,454,0.213417925417888898476093118006,0.766204482499510008963738982857
52,52_0,COMPLETED,SOBOL,0.149999999999999994448884876874,809.000000000000000000000000000000,0.300000000000000044408920985006,3867,3654,0.467033281446527670510704410844,0.916001952545717368359134979983
53,53_0,COMPLETED,SOBOL,0.059999999999999997779553950750,140.000000000000000000000000000000,0.000000000000000000000000000000,1487,869,0.926492356157302854313684292720,0.037237226983532309421143224881
54,54_0,COMPLETED,SOBOL,0.149999999999999994448884876874,719.000000000000000000000000000000,0.320000000000000006661338147751,70,4660,0.032350008594617250812230935253,0.595600488679483563991823302786
55,55_0,COMPLETED,SOBOL,0.059999999999999997779553950750,168.000000000000000000000000000000,0.000000000000000000000000000000,2705,2382,0.571790792478527820641431844706,0.482395353218540545725545598543
56,56_0,COMPLETED,SOBOL,0.059999999999999997779553950750,141.000000000000000000000000000000,0.000000000000000000000000000000,2943,3019,0.081710777468141176926863522567,0.094325222821906209991205116694
57,57_0,COMPLETED,SOBOL,0.149999999999999994448884876874,728.000000000000000000000000000000,0.330000000000000015543122344752,611,273,0.554819312712922729780018471502,0.952436482494696923239985153486
58,58_0,COMPLETED,SOBOL,0.059999999999999997779553950750,160.000000000000000000000000000000,0.000000000000000000000000000000,1579,4044,0.417657292895764087337084902174,0.397666144819930178488931460379
59,59_0,COMPLETED,SOBOL,0.149999999999999994448884876874,744.000000000000000000000000000000,0.300000000000000044408920985006,4242,1728,0.943448631130438308822760973271,0.524336994593962990585112038389
60,60_0,COMPLETED,SOBOL,0.149999999999999994448884876874,595.000000000000000000000000000000,0.280000000000000026645352591004,4718,4771,0.689810546058136964120421907865,0.658913218013942203477029124770
61,61_0,COMPLETED,SOBOL,0.059999999999999997779553950750,154.000000000000000000000000000000,0.000000000000000000000000000000,2352,1939,0.164026706026308227714949339315,0.294316449422389270207389699863
62,62_0,COMPLETED,SOBOL,0.149999999999999994448884876874,699.000000000000000000000000000000,0.300000000000000044408920985006,1092,3160,0.808472766310162849201503831864,0.854559923045337233027396450780
63,63_0,COMPLETED,SOBOL,0.059999999999999997779553950750,140.000000000000000000000000000000,0.000000000000000000000000000000,3712,1070,0.335356479821447284184188220024,0.223411178488284345444725431662
64,64_0,COMPLETED,SOBOL,0.149999999999999994448884876874,890.000000000000000000000000000000,0.300000000000000044408920985006,3675,2837,0.756140221492666797509230036667,0.966527093166485440356439085008
65,65_0,COMPLETED,SOBOL,0.059999999999999997779553950750,143.000000000000000000000000000000,0.000000000000000000000000000000,1051,123,0.355210188755206768274064188518,0.080273642031475897495873539356
66,66_0,COMPLETED,SOBOL,0.140000000000000013322676295502,614.000000000000000000000000000000,0.280000000000000026645352591004,2389,3843,0.742127700023539338403111287334,0.521867692822590489853951112309
67,67_0,COMPLETED,SOBOL,0.149999999999999994448884876874,766.000000000000000000000000000000,0.309999999999999997779553950750,4760,1636,0.144157844396773704431780060986,0.400191608278080812599597493318
68,68_0,COMPLETED,SOBOL,0.059999999999999997779553950750,149.000000000000000000000000000000,0.000000000000000000000000000000,4279,5000,0.397773073904868212924412773646,0.284011015981435799293564059553
69,69_0,COMPLETED,SOBOL,0.149999999999999994448884876874,744.000000000000000000000000000000,0.300000000000000044408920985006,1620,2043,0.995750658448413039636193389015,0.669196753378957565061568857345
70,70_0,COMPLETED,SOBOL,0.059999999999999997779553950750,167.000000000000000000000000000000,0.000000000000000000000000000000,574,3329,0.101610089615732437917650088366,0.229682789295911793381321786001
71,71_0,COMPLETED,SOBOL,0.149999999999999994448884876874,686.000000000000000000000000000000,0.320000000000000006661338147751,2901,1193,0.502532616707962009883203791105,0.848283545967191465742018863239
72,72_0,COMPLETED,SOBOL,0.160000000000000003330669073875,949.000000000000000000000000000000,0.320000000000000006661338147751,2663,4346,0.026109318556915967618481388968,0.709986568972468368166062191449
73,73_0,COMPLETED,SOBOL,0.059999999999999997779553950750,144.000000000000000000000000000000,0.000000000000000000000000000000,34,1427,0.610422676874697200943842290144,0.336804639261215899015411423534
