trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
34,34_0,FAILED,SOBOL,3243,1046,2609,0.832657170994207218583937901712,0.119296769933775068106562855519,7.872898577356711946606537821935,str\(\'t-test\'\),str\(\'bounded\'\),3703
35,35_0,FAILED,SOBOL,1598,4285,1665,0.345268188914284124280129617546,0.520567596804350607442302134586,4.398049009092153127653546107467,str\(\'ks-test\'\),str\(\'full\'\),2122
36,36_0,FAILED,SOBOL,2345,334,392,0.385891848674044024569695920945,0.706568828629329792612168148480,2.447830614738166321586732010473,str\(\'t-test\'\),str\(\'bounded\'\),2746
37,37_0,FAILED,SOBOL,2809,5000,3843,0.935182802570983739975929438515,0.187675187867134801722457382311,5.302618749359623073758029931923,str\(\'ks-test\'\),str\(\'full\'\),1827
38,38_0,FAILED,SOBOL,4537,2315,2300,0.143082539021968851988830806476,0.455973013032227758589698396463,9.679071477506310472449513326865,str\(\'t-test\'\),str\(\'full\'\),1123
39,39_0,FAILED,SOBOL,616,2977,3232,0.661445825301110734706355742674,0.935322520846501026525743327511,3.079536383448168823662172144395,str\(\'ks-test\'\),str\(\'bounded\'\),4541
40,40_0,FAILED,SOBOL,129,635,2013,0.979370059102773637960126507096,0.339992559483274836562571863396,3.804731907671317525654330893303,str\(\'t-test\'\),str\(\'bounded\'\),2959
41,41_0,FAILED,SOBOL,4713,4036,3588,0.468529665343463408433422046073,0.803744627341628103955883943854,8.456527316655963133484874560963,str\(\'ks-test\'\),str\(\'full\'\),1377
42,42_0,FAILED,SOBOL,2946,1405,132,0.734850916823372224406796249241,0.588639161907136387874572847068,6.565139025704936237559650180629,str\(\'t-test\'\),str\(\'full\'\),675
43,43_0,FAILED,SOBOL,1896,3302,4189,0.192595550758764139098744294643,0.054148084906861189413707080575,0.668356118574738533588686095754,str\(\'ks-test\'\),str\(\'bounded\'\),4757
44,44_0,FAILED,SOBOL,1422,1944,2956,0.047056922806426884631214591082,0.235277100794017313134531832475,3.716488661587238340189287555404,str\(\'t-test\'\),str\(\'full\'\),383
45,45_0,FAILED,SOBOL,3732,2766,1407,0.526496620764955847171506775339,0.652145605562254759846041451965,8.993219670863821235684554267209,str\(\'ks-test\'\),str\(\'bounded\'\),3801
46,46_0,FAILED,SOBOL,4230,97,4816,0.301553943835198901002314642028,0.984629516860470177519459866744,5.871676206331700953455765557010,str\(\'t-test\'\),str\(\'bounded\'\),3250
47,47_0,FAILED,SOBOL,924,4571,747,0.749546309411525779609064557008,0.403741225972771622387824663747,1.849708071401342746042928411043,str\(\'ks-test\'\),str\(\'full\'\),2333
48,48_0,FAILED,SOBOL,679,201,3665,0.162406392963603152246321315033,0.548590804383158658907859717146,9.120737490742467201698673306964,str\(\'ks-test\'\),str\(\'bounded\'\),1497
49,49_0,FAILED,SOBOL,4170,4467,2094,0.642243104154244015546737500699,0.092254547825083133005819036043,3.140959206552244697974174414412,str\(\'t-test\'\),str\(\'full\'\),3078
50,50_0,FAILED,SOBOL,3496,2146,4265,0.436404613535851249039865251689,0.298238390175625700528883044171,1.253428552190773093144571248558,str\(\'ks-test\'\),str\(\'full\'\),4872
51,51_0,FAILED,SOBOL,1352,2563,214,0.884792088810354426797744054056,0.839658925555646473704030086083,5.978444334526546555252934922464,str\(\'t-test\'\),str\(\'bounded\'\),790
52,52_0,FAILED,SOBOL,2129,1432,1482,0.844063496742397556538151093264,0.899988787470385465105948696873,8.408355553274041938038863008842,str\(\'ks-test\'\),str\(\'full\'\),3916
53,53_0,FAILED,SOBOL,3033,3275,3036,0.333739786040037844649930320884,0.490323849968612168748194335421,4.303392264778726605811698391335,str\(\'t-test\'\),str\(\'bounded\'\),497
54,54_0,FAILED,SOBOL,4937,916,822,0.619043650472536732820572069613,0.152342183187603952276845120650,1.185325377748347674966566955845,str\(\'ks-test\'\),str\(\'bounded\'\),2452
55,55_0,FAILED,SOBOL,225,3754,4896,0.077306870998814697371059878606,0.740920394262298942500422072044,6.535275791897439567890160105890,str\(\'t-test\'\),str\(\'full\'\),3371
56,56_0,FAILED,SOBOL,362,2348,1111,0.250707350427284814120554301553,0.018822638595476746947721125025,5.350875235996209511313281836919,str\(\'ks-test\'\),str\(\'full\'\),4132
57,57_0,FAILED,SOBOL,4488,2945,4540,0.800514987381175213698725201539,0.622998285908252014131392115814,1.949273903467692470314887032146,str\(\'t-test\'\),str\(\'bounded\'\),50
58,58_0,FAILED,SOBOL,2544,620,1740,0.027396385017782451387624576000,0.768418452333658907882352195884,2.562671068104915406138388789259,str\(\'ks-test\'\),str\(\'bounded\'\),2001
59,59_0,FAILED,SOBOL,2305,4714,2689,0.546278257887810481108203930489,0.374350954787805667578481916280,9.709019136575051334148156456649,str\(\'t-test\'\),str\(\'full\'\),3584
60,60_0,FAILED,SOBOL,1802,1156,3919,0.691678641688078688076757316594,0.431758057456463562040482884186,7.138128720057197895698664069641,str\(\'ks-test\'\),str\(\'bounded\'\),1708
61,61_0,FAILED,SOBOL,3360,4176,473,0.235646700534969555373976390911,0.957580918656662061216877646075,0.611842681217007355876091878599,str\(\'t-test\'\),str\(\'full\'\),2625
62,62_0,FAILED,SOBOL,3994,1811,3308,0.967385776581242695648654716933,0.680161262208595851497250350803,4.994279601507821020334176864708,str\(\'ks-test\'\),str\(\'full\'\),4426
63,63_0,FAILED,SOBOL,1167,3484,2381,0.480391904199495900495975320155,0.208227327752858404341651521463,7.766062599784695485993779584533,str\(\'t-test\'\),str\(\'bounded\'\),1009
64,64_0,FAILED,SOBOL,1104,2290,3151,0.811786204975098346636741553084,0.281503592411056158262283588556,6.296618764569052117963110504206,str\(\'t-test\'\),str\(\'bounded\'\),2167
65,65_0,FAILED,SOBOL,4058,3044,2225,0.261733844939619320069112973215,0.862269698355346947415966951667,0.946660118351690504923112712277,str\(\'ks-test\'\),str\(\'full\'\),3749
66,66_0,FAILED,SOBOL,3286,365,3762,0.535860180409625130870665543625,0.530150202270597170617350002431,4.073276622892358034278004197404,str\(\'t-test\'\),str\(\'full\'\),4280
67,67_0,FAILED,SOBOL,1875,4928,316,0.017222792679443956614937505378,0.112673163356259459222385999055,8.178237043200992317792952235322,str\(\'ks-test\'\),str\(\'bounded\'\),198
68,68_0,FAILED,SOBOL,2310,1059,1584,0.246063842976465829703869303557,0.176902412679046383559011701436,6.228093147202395485351189563517,str\(\'t-test\'\),str\(\'full\'\),4572
69,69_0,FAILED,SOBOL,2539,4236,2533,0.701853202523663677325771459437,0.710541303189471395995724378736,1.503074869171716176907693807152,str\(\'ks-test\'\),str\(\'bounded\'\),1153
70,70_0,FAILED,SOBOL,4502,1595,955,0.469121621642261732443301980311,0.926254821309819842412025536760,3.360096174801699753231787326513,str\(\'t-test\'\),str\(\'bounded\'\),1874
71,71_0,FAILED,SOBOL,347,3737,4384,0.956358313571661677876534213283,0.462136916164308797494442160314,9.339866599415428183306175924372,str\(\'ks-test\'\),str\(\'full\'\),2793
72,72_0,FAILED,SOBOL,171,144,667,0.650342439357191270943303607055,0.808332820773124738344961315306,7.526256360826082847381712781498,str\(\'t-test\'\),str\(\'full\'\),4726
73,73_0,FAILED,SOBOL,4991,4566,4740,0.170750451248139145654647563788,0.328617241447791474939776890096,4.754474964263849301460140850395,str\(\'ks-test\'\),str\(\'bounded\'\),644
74,74_0,FAILED,SOBOL,2988,1890,1326,0.875596437031403218576031122211,0.060929640186950566327350742313,0.383018989809788767963993905141,str\(\'t-test\'\),str\(\'bounded\'\),1329
75,75_0,FAILED,SOBOL,2173,2777,2880,0.426964476617053168006066243834,0.578970852799713608938247944025,6.909311994246207788705760322046,str\(\'ks-test\'\),str\(\'full\'\),2911
76,76_0,FAILED,SOBOL,1387,1336,4108,0.342936406316235675717507547233,0.648072318060323615540596620122,9.957366462982259136538232269231,str\(\'t-test\'\),str\(\'bounded\'\),2288
77,77_0,FAILED,SOBOL,3462,3335,57,0.853502698624506561664304626902,0.246192715384066118655681520977,2.811025136613287234155222904519,str\(\'ks-test\'\),str\(\'full\'\),3205
78,78_0,FAILED,SOBOL,4194,699,3508,0.069206567298620944028719748076,0.397476480156183253900081808752,2.169550547557883124483169012819,str\(\'t-test\'\),str\(\'full\'\),3768
79,79_0,FAILED,SOBOL,654,4007,1937,0.610700527224689704297588832560,0.993840026056393988085346791195,5.571153258305974631525714357849,str\(\'ks-test\'\),str\(\'bounded\'\),351
80,80_0,FAILED,SOBOL,871,887,4971,0.457136383635923293500269437573,0.085137018805369737983745892507,2.840951433278620097411248934804,str\(\'ks-test\'\),str\(\'full\'\),823
81,81_0,FAILED,SOBOL,4284,3820,903,0.968221500476822205527582809736,0.556704878032207473026460320398,9.440484329635276949943545332644,str\(\'t-test\'\),str\(\'bounded\'\),4904
82,82_0,FAILED,SOBOL,3688,1464,3111,0.202892515890300273451174462025,0.834732854850590233475315926626,5.072579952526838020787636196474,str\(\'ks-test\'\),str\(\'bounded\'\),3123
83,83_0,FAILED,SOBOL,1466,3206,1562,0.744903396815061569213867187500,0.308057569218799454091595180216,2.217785448295995553991133419913,str\(\'t-test\'\),str\(\'full\'\),1542
84,84_0,FAILED,SOBOL,1930,2157,289,0.516200590670108816482297697803,0.497958188451826599951743901329,4.647622168688104515865688881604,str\(\'ks-test\'\),str\(\'bounded\'\),3418
85,85_0,FAILED,SOBOL,2912,2511,4346,0.037003474317491055756157436463,0.891416913909837571594607652514,8.122465590838343629798146139365,str\(\'t-test\'\),str\(\'full\'\),2500
86,86_0,FAILED,SOBOL,4738,195,2170,0.760938656082376874145722922549,0.746361370896920561790466308594,7.484771234581248045003576407908,str\(\'ks-test\'\),str\(\'full\'\),528
87,87_0,FAILED,SOBOL,104,4514,3745,0.312703470958396789747268940118,0.142063300698995587101336468550,0.255416428051888966255233981428,str\(\'t-test\'\),str\(\'bounded\'\),3947
88,88_0,FAILED,SOBOL,553,1857,2457,0.111800881942734117724391751381,0.614783369574695814918641190161,1.609821336969733174271368625341,str\(\'ks-test\'\),str\(\'bounded\'\),3537
89,89_0,FAILED,SOBOL,4601,3475,3389,0.567985113246366357664385304815,0.026082977274432778830304258122,5.631797107981518557551225967472,str\(\'t-test\'\),str\(\'full\'\),1954
90,90_0,FAILED,SOBOL,2736,1106,548,0.354341776579618461529008754951,0.364430962802842262071578716132,8.764320251878350731544742302503,str\(\'ks-test\'\),str\(\'full\'\),19
91,91_0,FAILED,SOBOL,2418,4189,3999,0.841975243799388373133751883870,0.773487362440675507713194747339,3.487592706775292761278706166195,str\(\'t-test\'\),str\(\'bounded\'\),4102
92,92_0,FAILED,SOBOL,1603,548,2764,0.926108246408402946414639700379,0.966310740919783750513261111337,0.916780364533886338307411278947,str\(\'ks-test\'\),str\(\'full\'\),975
93,93_0,FAILED,SOBOL,3239,4745,1821,0.376574710905551890416376181747,0.424038015332072970586807514337,6.813566363345832321840589429485,str\(\'t-test\'\),str\(\'bounded\'\),4393
94,94_0,FAILED,SOBOL,3795,2414,4615,0.669667241347953634544865053613,0.218664129201322804396667720539,8.676876112403348884072329383343,str\(\'ks-test\'\),str\(\'bounded\'\),2580
95,95_0,FAILED,SOBOL,1046,2920,1191,0.151546774616464985374619800496,0.674634552190080283295969820756,4.025087967008352585196462314343,str\(\'t-test\'\),str\(\'full\'\),1663
96,96_0,FAILED,SOBOL,939,447,1350,0.289363886320963492604363409555,0.452076133307069527589305835136,3.630301747045479920927846251288,str\(\'ks-test\'\),str\(\'full\'\),4950
97,97_0,FAILED,SOBOL,3903,4848,2923,0.768559099139645707232659788133,0.908031238796189410500403482729,8.982388289787806456843100022525,str\(\'t-test\'\),str\(\'bounded\'\),868
98,98_0,FAILED,SOBOL,3131,2213,720,0.060221474442631005297155155631,0.702672699907794573448427399853,5.841321041258983548516425798880,str\(\'ks-test\'\),str\(\'bounded\'\),1418
99,99_0,FAILED,SOBOL,1711,3118,4773,0.508458563100546601098983501288,0.160384597335010758989426449261,1.743986347106285306196582496341,str\(\'t-test\'\),str\(\'full\'\),3001
