trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,SOBOL,0.170000000000000012212453270877,4685.000000000000000000000000000000,0.419999999999999984456877655248,916,1084,7.974026165008545774526282912120,18,0.793098719716072042551502363494
1,1_0,COMPLETED,SOBOL,0.119999999999999995559107901499,364.000000000000000000000000000000,0.540000000000000035527136788005,4443,4082,1.252173906763084154647458490217,5,0.035669637974351645071102723250
2,2_0,COMPLETED,SOBOL,0.110000000000000000555111512313,5268.000000000000000000000000000000,0.640000000000000013322676295502,3089,2391,5.438605300159194300135823141318,15,0.451746951131150153990745366173
3,3_0,COMPLETED,SOBOL,0.119999999999999995559107901499,963.000000000000000000000000000000,0.260000000000000008881784197001,1636,3085,4.028732063374482308404367358889,8,0.688418645566329368001845523395
4,4_0,COMPLETED,SOBOL,0.209999999999999992228438827624,919.000000000000000000000000000000,0.719999999999999973354647408996,1955,1364,1.042347724345512594013030138740,10,0.581945209154859144362603728950
5,5_0,COMPLETED,SOBOL,0.100000000000000005551115123126,511.000000000000000000000000000000,0.520000000000000017763568394003,3314,3171,9.629095084588042752216097142082,12,0.339413418577983960755517500729
6,6_0,COMPLETED,SOBOL,0.440000000000000002220446049250,2615.000000000000000000000000000000,1.000000000000000000000000000000,4157,172,3.662596411614678970636305166408,2,0.179190135158598412568053959149
7,7_0,COMPLETED,SOBOL,0.050000000000000002775557561563,521.000000000000000000000000000000,0.050000000000000002775557561563,497,4674,6.937364927330055053289470379241,20,0.930761156275868417608876370650
8,8_0,COMPLETED,SOBOL,0.040000000000000000832667268469,2674.000000000000000000000000000000,0.050000000000000002775557561563,197,1964,3.048661117419600330435969226528,12,0.066782188184559346244562050288
9,9_0,COMPLETED,SOBOL,0.140000000000000013322676295502,660.000000000000000000000000000000,0.760000000000000008881784197001,3900,2560,6.335602664405480588527552754385,9,0.823876253530383073631071511045
10,10_0,COMPLETED,SOBOL,0.260000000000000008881784197001,2823.000000000000000000000000000000,1.000000000000000000000000000000,3649,813,0.355186506671831048187470969424,19,0.657641600647941193535928050551
11,11_0,COMPLETED,SOBOL,0.050000000000000002775557561563,545.000000000000000000000000000000,0.289999999999999980015985556747,2333,4026,8.954086634632199448446954193059,1,0.420634876804426294238936634429
12,12_0,COMPLETED,SOBOL,0.320000000000000006661338147751,699.000000000000000000000000000000,1.000000000000000000000000000000,1267,433,5.959778799520806025213914836058,3,0.308818633316084723006156309566
13,13_0,COMPLETED,SOBOL,0.070000000000000006661338147751,412.000000000000000000000000000000,0.289999999999999980015985556747,2764,4720,4.557261828340590348318528413074,16,0.551624525343999305704301150399
14,14_0,COMPLETED,SOBOL,0.190000000000000002220446049250,412.000000000000000000000000000000,1.000000000000000000000000000000,4690,1782,8.734419666457920783386725815944,6,0.961081364203244414845528353908
15,15_0,COMPLETED,SOBOL,0.089999999999999996669330926125,553.000000000000000000000000000000,0.160000000000000003330669073875,1206,3686,2.019944114303216409211927384604,14,0.209784444537013781140188939389
16,16_0,COMPLETED,SOBOL,0.140000000000000013322676295502,470.000000000000000000000000000000,0.330000000000000015543122344752,1055,1589,6.777872506441549482758546218975,3,0.729612649822607650662575906608
17,17_0,COMPLETED,SOBOL,0.119999999999999995559107901499,6066.000000000000000000000000000000,0.680000000000000048849813083507,4851,3571,2.565578245364129372774186776951,20,0.473406109394505614229586853980
18,18_0,COMPLETED,SOBOL,0.209999999999999992228438827624,1166.000000000000000000000000000000,1.000000000000000000000000000000,2602,553,9.163760095421224605161114595830,10,0.010111625812947749869508129450
19,19_0,COMPLETED,SOBOL,0.089999999999999996669330926125,417.000000000000000000000000000000,0.140000000000000013322676295502,1418,4918,0.264443561395630244437171540994,13,0.755804296195507041566941097699
20,20_0,COMPLETED,SOBOL,0.170000000000000012212453270877,2787.000000000000000000000000000000,1.000000000000000000000000000000,2484,703,4.806603726416827093714800867019,14,0.892951289597898711924983672361
21,21_0,COMPLETED,SOBOL,0.100000000000000005551115123126,466.000000000000000000000000000000,0.450000000000000011102230246252,3487,3838,5.903822563299909731426851067226,7,0.153156771164387472961010416839
22,22_0,COMPLETED,SOBOL,0.160000000000000003330669073875,8113.000000000000000000000000000000,0.940000000000000057731597280508,4061,2167,2.349309761790558503946613200242,17,0.361548999411985261254187662416
23,23_0,COMPLETED,SOBOL,0.029999999999999998889776975375,794.000000000000000000000000000000,0.010000000000000000208166817117,45,2684,8.133550871621817890400052419864,5,0.623651669284328802334016472741
24,24_0,COMPLETED,SOBOL,0.460000000000000019984014443253,14104.000000000000000000000000000000,1.000000000000000000000000000000,335,52,1.862273792815394735100653633708,6,0.379494074834510697336042994721
25,25_0,COMPLETED,SOBOL,0.110000000000000000555111512313,2471.000000000000000000000000000000,0.479999999999999982236431605997,4307,4476,7.639243267173879914366807497572,14,0.635913803627714546706783949048
26,26_0,COMPLETED,SOBOL,0.149999999999999994448884876874,438.000000000000000000000000000000,1.000000000000000000000000000000,3163,1557,4.090103883042000454395292763365,4,0.849502666506916304101082459965
27,27_0,COMPLETED,SOBOL,0.040000000000000000832667268469,2305.000000000000000000000000000000,0.320000000000000006661338147751,2115,3286,5.180033204847015682048549933825,17,0.104023184489458797585825777787
