trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1393,1983,1.598094252854585617384941542696,0.048631289660930637763769368576,False,False
1,1_0,COMPLETED,SOBOL,0.739999999999999991118215802999,2099.000000000000000000000000000000,0.800000000000000044408920985006,4757,2978,6.435695553711616057057653961238,0.019939526402857156439640817780,True,True
2,2_0,COMPLETED,SOBOL,0.739999999999999991118215802999,1112.000000000000000000000000000000,0.760000000000000008881784197001,3576,957,4.853312016168610298905150557403,0.026690131534356627274195972177,True,True
3,3_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,75,4022,9.390650070266797655449408921413,0.005733102306723594776549646213,False,False
4,4_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,1201,201,5.604010180587881251312865060754,0.008873010999057443295989777710,False,False
5,5_0,COMPLETED,SOBOL,0.750000000000000000000000000000,4353.000000000000000000000000000000,0.770000000000000017763568394003,2690,4828,0.125336982223205273268007431398,0.035920456053689125974770490757,True,True
6,6_0,COMPLETED,SOBOL,0.750000000000000000000000000000,2032.000000000000000000000000000000,0.690000000000000057731597280508,4008,1870,8.580925545839592771812931459863,0.016902904701419176058951876485,True,True
7,7_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1.000000000000000000000000000000,0.000000000000000000000000000000,2382,3177,3.436691854452714522949463571422,0.039309388499241322556532196586,False,False
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,60.000000000000000000000000000000,0.000000000000000000000000000000,2046,779,8.007554364033975247139096609317,0.034240491309203209546740964697,True,False
9,9_0,COMPLETED,SOBOL,0.739999999999999991118215802999,3000.000000000000000000000000000000,0.670000000000000039968028886506,4307,4275,2.525219124511815849132290168200,0.010190473384689540878311753147,False,True
10,10_0,COMPLETED,SOBOL,0.750000000000000000000000000000,2063.000000000000000000000000000000,0.839999999999999968913755310496,2987,2233,5.943633534565568865559725963976,0.041086029427591715112999537496,False,True
11,11_0,COMPLETED,SOBOL,0.729999999999999982236431605997,9.000000000000000000000000000000,0.350000000000000033306690738755,862,2800,0.800619530253112388074043792585,0.015488764656707645211985990841,True,False
12,12_0,COMPLETED,SOBOL,0.729999999999999982236431605997,40.000000000000000000000000000000,0.000000000000000000000000000000,362,1418,4.196945420053787678682510886574,0.024834135197568687342117854655,True,False
13,13_0,COMPLETED,SOBOL,0.750000000000000000000000000000,5149.000000000000000000000000000000,0.750000000000000000000000000000,3248,3548,9.030885266427882029915963357780,0.044147618312388663130985122507,False,True
14,14_0,FAILED,SOBOL,,,,4431,568,2.489424499269575097315509992768,0.000935171171091496921876085047,False,True
