trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,0_0,COMPLETED,SOBOL,0.770000000000000017763568394003,59.000000000000000000000000000000,0.609999999999999986677323704498,2732,4479,0.505578663110733073082769806206,0.330343314528465270552004540150
1,1_0,COMPLETED,SOBOL,0.910000000000000031086244689504,271.000000000000000000000000000000,1.000000000000000000000000000000,1242,1008,0.119941048320382839809106201301,0.780246879296377260359918182075
2,2_0,COMPLETED,SOBOL,0.869999999999999995559107901499,134.000000000000000000000000000000,0.489999999999999991118215802999,1708,3468,0.965854776691645433572830370395,0.190579393234103916521249288962
3,3_0,COMPLETED,SOBOL,0.900000000000000022204460492503,274.000000000000000000000000000000,1.000000000000000000000000000000,4437,2019,0.408686379419639700394384362880,0.637315558396279846498089227680
4,4_0,COMPLETED,SOBOL,0.890000000000000013322676295502,149.000000000000000000000000000000,1.000000000000000000000000000000,4195,2781,0.178885724019259201300613426611,0.557957339229062210250731368433
5,5_0,COMPLETED,SOBOL,0.910000000000000031086244689504,201.000000000000000000000000000000,1.000000000000000000000000000000,1925,1734,0.696103288279846355024460535788,0.115119630156084895578061377819
6,6_0,COMPLETED,SOBOL,0.660000000000000031086244689504,47.000000000000000000000000000000,0.040000000000000000832667268469,204,4271,0.358444601388648143025505987680,0.913353475995361763217772477219
7,7_0,COMPLETED,SOBOL,0.920000000000000039968028886506,1366.000000000000000000000000000000,1.000000000000000000000000000000,3716,244,0.766505437906831454952794047131,0.475145306449383519886708882041
8,8_0,COMPLETED,SOBOL,0.849999999999999977795539507497,105.000000000000000000000000000000,1.000000000000000000000000000000,3388,3282,0.274369969792664036845053487923,0.031520817911252378695774467587
9,9_0,COMPLETED,SOBOL,0.800000000000000044408920985006,70.000000000000000000000000000000,0.200000000000000011102230246252,492,2478,0.850671323878690599507024217019,0.579129042232409130264159102808
10,10_0,COMPLETED,SOBOL,0.709999999999999964472863211995,40.000000000000000000000000000000,0.450000000000000011102230246252,2224,4937,0.188343732593581086876000085795,0.387159331802278738887679310210
11,11_0,COMPLETED,SOBOL,0.920000000000000039968028886506,310.000000000000000000000000000000,1.000000000000000000000000000000,3860,823,0.686675858937203842380370133469,0.938909486100077628201177049050
12,12_0,COMPLETED,SOBOL,0.869999999999999995559107901499,112.000000000000000000000000000000,0.959999999999999964472863211995,4697,3813,0.916407808659598255296430124872,0.864302539685741111341599207663
13,13_0,COMPLETED,SOBOL,0.930000000000000048849813083507,515.000000000000000000000000000000,1.000000000000000000000000000000,1333,429,0.458041862569749380629247070829,0.308653862377628707136523189547
14,14_0,COMPLETED,SOBOL,0.820000000000000062172489379009,79.000000000000000000000000000000,0.289999999999999980015985556747,875,2968,0.612099303074181033679224128718,0.724783771812915755816675300593
15,15_0,COMPLETED,SOBOL,0.900000000000000022204460492503,146.000000000000000000000000000000,1.000000000000000000000000000000,2980,1274,0.013390084726735949210985054947,0.165480231273919337064981505137
16,16_0,COMPLETED,SOBOL,0.849999999999999977795539507497,81.000000000000000000000000000000,0.910000000000000031086244689504,2882,3000,0.833988044219091562148093998985,0.877056386215612326928692255024
17,17_0,COMPLETED,SOBOL,0.880000000000000004440892098501,150.000000000000000000000000000000,0.500000000000000000000000000000,778,1550,0.290470779221504937783748800939,0.449811441915109744282830206430
18,18_0,COMPLETED,SOBOL,0.839999999999999968913755310496,105.000000000000000000000000000000,0.380000000000000004440892098501,1547,4010,0.639327138330787470010818651645,0.517093550708144888972128683235
19,19_0,COMPLETED,SOBOL,0.920000000000000039968028886506,554.000000000000000000000000000000,1.000000000000000000000000000000,4912,539,0.236153149308636789438509140382,0.094478093884885316899868712426
20,20_0,COMPLETED,SOBOL,0.849999999999999977795539507497,128.000000000000000000000000000000,0.849999999999999977795539507497,4036,4739,0.474218828227370992056677323490,0.227577163817361011188822317308
21,21_0,COMPLETED,SOBOL,0.900000000000000022204460492503,117.000000000000000000000000000000,1.000000000000000000000000000000,2400,713,0.899831141771748610480585739424,0.661887832758948246869579179474
22,22_0,COMPLETED,SOBOL,0.760000000000000008881784197001,53.000000000000000000000000000000,0.110000000000000000555111512313,356,3250,0.061214714841917157450712494438,0.370445640213787563688185855426
23,23_0,COMPLETED,SOBOL,0.890000000000000013322676295502,173.000000000000000000000000000000,1.000000000000000000000000000000,3251,2202,0.564796252410858845571794972784,0.801588973682373806539658289694
24,24_0,COMPLETED,SOBOL,0.839999999999999968913755310496,177.000000000000000000000000000000,0.849999999999999977795539507497,3540,4156,0.074540583543479449479818299551,0.699176750158891135988881160301
25,25_0,COMPLETED,SOBOL,0.920000000000000039968028886506,249.000000000000000000000000000000,0.670000000000000039968028886506,29,42,0.551439811913296606959988821473,0.127933471465483311613198225132
26,26_0,COMPLETED,SOBOL,0.660000000000000031086244689504,44.000000000000000000000000000000,0.810000000000000053290705182008,2061,2501,0.393951385332271475370191637921,0.842291410747915469947599831357
27,27_0,COMPLETED,SOBOL,0.900000000000000022204460492503,285.000000000000000000000000000000,1.000000000000000000000000000000,4332,1697,0.980007337726652605347510416323,0.267393187031149837107335542896
28,28_0,COMPLETED,SOBOL,0.880000000000000004440892098501,135.000000000000000000000000000000,0.989999999999999991118215802999,4535,3749,0.741979670001193913897452603123,0.413040285745635615821669262004
29,29_0,COMPLETED,SOBOL,0.900000000000000022204460492503,402.000000000000000000000000000000,0.800000000000000044408920985006,1805,2055,0.133530958928167825527921763751,0.976243230422958685466028327937
30,30_0,COMPLETED,SOBOL,0.800000000000000044408920985006,90.000000000000000000000000000000,0.220000000000000001110223024625,1028,4593,0.780734125427901770599703468179,0.053318808674812319392533055407
31,31_0,COMPLETED,SOBOL,0.869999999999999995559107901499,104.000000000000000000000000000000,1.000000000000000000000000000000,2517,1211,0.343816190330311632905591068265,0.620663765121251320699968800909
32,32_0,COMPLETED,SOBOL,0.800000000000000044408920985006,82.000000000000000000000000000000,0.739999999999999991118215802999,2646,3535,0.207301386758685118882894471426,0.795453269435092757966287990712
33,33_0,COMPLETED,SOBOL,0.890000000000000013322676295502,119.000000000000000000000000000000,0.520000000000000017763568394003,1001,1917,0.667748906692489985204019831144,0.345306045817211249016054352978
34,34_0,COMPLETED,SOBOL,0.859999999999999986677323704498,108.000000000000000000000000000000,0.410000000000000031086244689504,1793,4380,0.262109892344102257677462830543,0.683524802025407551830937791237
35,35_0,COMPLETED,SOBOL,0.920000000000000039968028886506,693.000000000000000000000000000000,1.000000000000000000000000000000,4679,1073,0.862900684535503392780242393201,0.237032278053462497346970394574
36,36_0,COMPLETED,SOBOL,0.869999999999999995559107901499,102.000000000000000000000000000000,0.969999999999999973354647408996,4267,4372,0.594116250848397586814542137290,0.068969407232478255331820093943
37,37_0,COMPLETED,SOBOL,0.910000000000000031086244689504,253.000000000000000000000000000000,1.000000000000000000000000000000,2152,177,0.031342420160770413650741517131,0.511563452808186380771360290964
38,38_0,COMPLETED,SOBOL,0.729999999999999982236431605997,50.000000000000000000000000000000,0.050000000000000002775557561563,134,2717,0.929642488047480619606233176455,0.459879925347864648710327628578
39,39_0,COMPLETED,SOBOL,0.900000000000000022204460492503,196.000000000000000000000000000000,1.000000000000000000000000000000,3488,1832,0.444837885102257135638836871294,0.898331728648394389757925182494
