trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,COMPLETED,SOBOL,0.729999999999999982236431605997,48.000000000000000000000000000000,0.000000000000000000000000000000,752,938,3365,0.938780692696571383848436198605,0.852198511123657187482649533194,1.540879813909530549054238690587,str\(\'ks-test\'\),str\(\'full\'\),717
1,1_0,FAILED,SOBOL,,,,4608,4669,378,0.164415981994941839960944207633,0.050934129582718014328523992162,5.763599998763763387898961809697,str\(\'t-test\'\),str\(\'bounded\'\),4626
2,2_0,COMPLETED,SOBOL,0.729999999999999982236431605997,37.000000000000000000000000000000,0.000000000000000000000000000000,3619,1613,4767,0.699142745867371573353921121452,0.401447048394009464722387292568,8.505130090272984944022027775645,str\(\'ks-test\'\),str\(\'bounded\'\),3187
3,3_0,COMPLETED,SOBOL,0.729999999999999982236431605997,21.000000000000000000000000000000,0.000000000000000000000000000000,2283,2765,1475,0.415996384719386713690880696959,0.687622804796323205955843604897,4.272950765424408992032567766728,str\(\'t-test\'\),str\(\'full\'\),2099
4,4_0,FAILED,SOBOL,,,,1452,2227,786,0.319730340456590045317142312342,0.525450257083401095492547483445,0.036891547602601354460816196479,str\(\'ks-test\'\),str\(\'bounded\'\),2957
5,5_0,FAILED,SOBOL,,,,2653,3380,2955,0.533695686656981749251826840919,0.313358197404071670000291760516,7.033754084336572454105862561846,str\(\'t-test\'\),str\(\'full\'\),1860
6,6_0,COMPLETED,SOBOL,0.729999999999999982236431605997,808.000000000000000000000000000000,0.000000000000000000000000000000,4169,324,2189,0.072550945369526748107702474044,0.228707996817305692083266421832,9.931308763477019851961813401431,str\(\'ks-test\'\),str\(\'full\'\),332
7,7_0,FAILED,SOBOL,,,,488,4054,4053,0.793297930862754574476980451436,0.924686093712225543050919895904,2.924376731035299492589274450438,str\(\'t-test\'\),str\(\'bounded\'\),4231
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,40.000000000000000000000000000000,0.000000000000000000000000000000,101,1400,2110,0.613968539008870717310628606356,0.116738214913755661283900622038,4.903098559340462792022208304843,str\(\'ks-test\'\),str\(\'bounded\'\),2766
9,9_0,FAILED,SOBOL,,,,3921,2982,4131,0.267473462626338032155359769604,0.793003515135496828136751901184,7.867159950416535707518050912768,str\(\'t-test\'\),str\(\'full\'\),1367
