trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,feature_id,batch_size,divergence,statistic,significance,subsets,detect_batch
568,568_0,RUNNING,SOBOL,,,,1447,12,1667,str\(\'H\'\),str\(\'tstat\'\),0.132117649113759394463585294943,85,3
569,569_0,RUNNING,SOBOL,,,,4588,13,3020,str\(\'KL\'\),str\(\'stdev\'\),0.560410789061337677452456773608,47,1
570,570_0,RUNNING,SOBOL,,,,2512,6,926,str\(\'H\'\),str\(\'stdev\'\),0.796430636517703516297217447573,19,3
571,571_0,RUNNING,SOBOL,,,,633,20,4387,str\(\'KL\'\),str\(\'tstat\'\),0.386289138885214933250011881682,57,2
572,572_0,RUNNING,SOBOL,,,,179,3,3660,str\(\'KL\'\),str\(\'stdev\'\),0.957958495022729006329598178127,38,3
573,573_0,RUNNING,SOBOL,,,,3319,24,2279,str\(\'H\'\),str\(\'tstat\'\),0.358282824240624908629371248026,100,1
574,574_0,RUNNING,SOBOL,,,,3821,9,3778,str\(\'KL\'\),str\(\'tstat\'\),0.097775856751948594935974767850,65,1
575,575_0,RUNNING,SOBOL,,,,1942,16,286,str\(\'H\'\),str\(\'stdev\'\),0.710731037562713052757601417397,3,2
576,576_0,RUNNING,SOBOL,,,,1880,12,3909,str\(\'KL\'\),str\(\'stdev\'\),0.779665173081681150968336169171,66,2
577,577_0,RUNNING,SOBOL,,,,3766,14,153,str\(\'H\'\),str\(\'tstat\'\),0.411828049715608379699460783741,4,3
578,578_0,RUNNING,SOBOL,,,,3335,5,3478,str\(\'KL\'\),str\(\'tstat\'\),0.165087896943092338197800472699,32,1
579,579_0,RUNNING,SOBOL,,,,202,21,2459,str\(\'H\'\),str\(\'stdev\'\),0.518670900905504828060088584607,94,2
580,580_0,RUNNING,SOBOL,,,,688,2,746,str\(\'H\'\),str\(\'tstat\'\),0.076624651128426188306796973393,13,2
581,581_0,RUNNING,SOBOL,,,,2574,24,4569,str\(\'KL\'\),str\(\'stdev\'\),0.740655690580606429485044372996,51,1
582,582_0,RUNNING,SOBOL,,,,4565,9,1800,str\(\'H\'\),str\(\'stdev\'\),0.994339875664561945178832047532,86,1
583,583_0,RUNNING,SOBOL,,,,1432,18,2890,str\(\'KL\'\),str\(\'tstat\'\),0.313131803272292008610833136117,48,2
584,584_0,RUNNING,SOBOL,,,,1653,3,1417,str\(\'KL\'\),str\(\'tstat\'\),0.004607705222442746648137124055,92,2
585,585_0,RUNNING,SOBOL,,,,4772,23,2643,str\(\'H\'\),str\(\'stdev\'\),0.680086620070040170915603994217,29,3
586,586_0,RUNNING,SOBOL,,,,3089,10,988,str\(\'KL\'\),str\(\'stdev\'\),0.926011034194380022732673296559,7,3
587,587_0,RUNNING,SOBOL,,,,1228,16,4947,str\(\'H\'\),str\(\'tstat\'\),0.264542616149410603210156978093,70,1
588,588_0,RUNNING,SOBOL,,,,463,6,3256,str\(\'H\'\),str\(\'stdev\'\),0.828293271115049689612419570039,39,1
589,589_0,RUNNING,SOBOL,,,,3582,19,2061,str\(\'KL\'\),str\(\'tstat\'\),0.480188173089176439933822848616,76,3
590,590_0,RUNNING,SOBOL,,,,4320,0,4312,str\(\'H\'\),str\(\'tstat\'\),0.225614041276276100500552956873,60,1
591,591_0,RUNNING,SOBOL,,,,2459,26,380,str\(\'KL\'\),str\(\'stdev\'\),0.590652490155771370261561514781,23,3
592,592_0,RUNNING,SOBOL,,,,2318,1,2719,str\(\'H\'\),str\(\'tstat\'\),0.648298025321215387606343938387,55,3
593,593_0,RUNNING,SOBOL,,,,4187,25,1348,str\(\'KL\'\),str\(\'stdev\'\),0.035468267692252995748614097238,18,2
594,594_0,RUNNING,SOBOL,,,,3676,8,4712,str\(\'H\'\),str\(\'stdev\'\),0.295845798591151842860114129508,46,3
595,595_0,RUNNING,SOBOL,,,,564,19,1230,str\(\'KL\'\),str\(\'tstat\'\),0.895639691099524459794167796645,83,2
596,596_0,RUNNING,SOBOL,,,,1048,11,1974,str\(\'KL\'\),str\(\'stdev\'\),0.448598538532853141624912041152,2,3
597,597_0,RUNNING,SOBOL,,,,2917,15,3336,str\(\'H\'\),str\(\'tstat\'\),0.858865407297387695173540578253,65,2
598,598_0,RUNNING,SOBOL,,,,4984,4,607,str\(\'KL\'\),str\(\'tstat\'\),0.622731344087049332181038607814,99,1
599,599_0,RUNNING,SOBOL,,,,1872,22,4078,str\(\'H\'\),str\(\'stdev\'\),0.194556492786854495768977812986,37,3
600,600_0,RUNNING,SOBOL,,,,1294,9,228,str\(\'H\'\),str\(\'stdev\'\),0.380524889580905412156397460421,81,1
601,601_0,RUNNING,SOBOL,,,,4430,17,3836,str\(\'KL\'\),str\(\'tstat\'\),0.810036493869498386288796609733,43,2
602,602_0,RUNNING,SOBOL,,,,2670,3,2220,str\(\'H\'\),str\(\'tstat\'\),0.550459443604573661623646785301,21,2
603,603_0,RUNNING,SOBOL,,,,787,24,3720,str\(\'KL\'\),str\(\'stdev\'\),0.134227386523038144661157389237,59,1
604,604_0,RUNNING,SOBOL,,,,25,6,4485,str\(\'KL\'\),str\(\'tstat\'\),0.708576829213649062033653081016,27,1
605,605_0,RUNNING,SOBOL,,,,3161,20,827,str\(\'H\'\),str\(\'stdev\'\),0.107682207053527240203649739669,90,2
606,606_0,RUNNING,SOBOL,,,,3980,12,3117,str\(\'KL\'\),str\(\'stdev\'\),0.344721475007012501112768632083,74,2
607,607_0,RUNNING,SOBOL,,,,2096,13,1570,str\(\'H\'\),str\(\'tstat\'\),0.963767702303826800935837582074,12,1
608,608_0,RUNNING,SOBOL,,,,2161,5,1019,str\(\'H\'\),str\(\'tstat\'\),0.060651875734329223355256743844,64,3
609,609_0,RUNNING,SOBOL,,,,4032,21,4921,str\(\'KL\'\),str\(\'stdev\'\),0.630841813290491715271457451308,2,2
610,610_0,RUNNING,SOBOL,,,,3206,11,1527,str\(\'H\'\),str\(\'stdev\'\),0.885561085848137752307707160071,36,1
611,611_0,RUNNING,SOBOL,,,,97,14,2538,str\(\'KL\'\),str\(\'tstat\'\),0.298193200763314958390282072287,99,1
612,612_0,RUNNING,SOBOL,,,,890,8,4260,str\(\'KL\'\),str\(\'stdev\'\),0.857070749368518569610841950634,17,3
613,613_0,RUNNING,SOBOL,,,,2762,17,427,str\(\'H\'\),str\(\'tstat\'\),0.458255743382498637039645927871,55,2
614,614_0,RUNNING,SOBOL,,,,4514,2,3127,str\(\'KL\'\),str\(\'tstat\'\),0.212429840857163071410340648981,83,3
615,615_0,RUNNING,SOBOL,,,,1405,25,2185,str\(\'H\'\),str\(\'stdev\'\),0.596991642028093294491952747194,45,2
616,616_0,RUNNING,SOBOL,,,,1758,10,3530,str\(\'H\'\),str\(\'stdev\'\),0.781130746427923461361331192165,89,1
617,617_0,RUNNING,SOBOL,,,,4902,16,2412,str\(\'KL\'\),str\(\'tstat\'\),0.401568090101704022742978850147,27,2
618,618_0,RUNNING,SOBOL,,,,2823,3,4038,str\(\'H\'\),str\(\'tstat\'\),0.148028101431205871829632769732,11,2
619,619_0,RUNNING,SOBOL,,,,947,22,29,str\(\'KL\'\),str\(\'stdev\'\),0.544525082685053396502894429432,74,1
620,620_0,RUNNING,SOBOL,,,,489,0,1769,str\(\'KL\'\),str\(\'tstat\'\),0.113199476547539229498440249699,43,3
