trial_index,arm_name,trial_status,generation_node,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,approximation_type,subset_bound
0,0_0,FAILED,SOBOL,3904,2488,451,0.063958299309015267941624927062,0.302535301089286778886133788546,0.110611097184009854466069100454,str\(\'ks-test\'\),str\(\'full\'\),4023
1,1_0,FAILED,SOBOL,2174,2574,3152,0.547260892219841532657653715432,0.886875276196747996948488435009,5.444319836193696637849370745244,str\(\'t-test\'\),str\(\'bounded\'\),2196
2,2_0,FAILED,SOBOL,1211,462,1414,0.410522031178697954789669211095,0.712642518380656841969766901457,8.435300481630489954909535299521,str\(\'ks-test\'\),str\(\'bounded\'\),1178
3,3_0,FAILED,SOBOL,2919,4590,4963,0.956924932792782789725549719151,0.098213444627821444576909470925,3.687467445441521718407784646843,str\(\'t-test\'\),str\(\'full\'\),2537
4,4_0,FAILED,SOBOL,3677,684,3105,0.770219519818201692196169005911,0.135885349709540609319802229038,1.847170536356978143288642968400,str\(\'ks-test\'\),str\(\'bounded\'\),199
5,5_0,FAILED,SOBOL,404,4343,794,0.349570076156407616441157415466,0.550643168089911316798179541365,6.517495185606182239723693783162,str\(\'t-test\'\),str\(\'full\'\),3589
6,6_0,FAILED,SOBOL,1370,1450,3783,0.735778237136080814906335945125,0.848105061776936008932636923419,9.784358811203389905131189152598,str\(\'ks-test\'\),str\(\'full\'\),4915
7,7_0,FAILED,SOBOL,4659,3567,2343,0.126783568736165752621758429086,0.465632891008630367402076899452,4.528155479199253541366942954483,str\(\'t-test\'\),str\(\'bounded\'\),1368
8,8_0,FAILED,SOBOL,4958,134,4188,0.271635709667578328918580155005,0.947182048467919202039411175065,2.751906612827442533131261370727,str\(\'ks-test\'\),str\(\'bounded\'\),426
9,9_0,FAILED,SOBOL,1666,4892,1879,0.848222889412194480662776641111,0.362844042886048545604182891111,8.124676627527922079252675757743,str\(\'t-test\'\),str\(\'full\'\),3289
