trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,0_0,FAILED,SOBOL,,,,3436,1910,666,0.473321287810802460160886084850,0.0000001
1,1_0,FAILED,SOBOL,,,,1642,3355,4418,0.566813637752085930365808508213,0.000000001
2,2_0,FAILED,SOBOL,,,,1183,299,1942,0.009037029786035419287593128956,0.000000000001
3,3_0,FAILED,SOBOL,,,,3895,3854,3190,0.913305318817496325500826515054,0.7
4,4_0,FAILED,SOBOL,,,,4832,734,3862,0.771288621807470931024397486908,0.2
5,5_0,COMPLETED,SOBOL,0.560000000000000053290705182008,8074.000000000000000000000000000000,0.119999999999999995559107901499,249,4679,110,0.178830127444118275326090383714,0.001
6,6_0,FAILED,SOBOL,,,,1958,1475,2595,0.744400277366861651273666211637,0.0001
7,7_0,FAILED,SOBOL,,,,3123,2530,1347,0.339104801632463925820104577724,0.6
8,8_0,FAILED,SOBOL,,,,2565,465,2818,0.201936478983610862014685949362,0.9
9,9_0,FAILED,SOBOL,,,,2357,4332,1563,0.856731486270204234401148823963,0.01
10,10_0,FAILED,SOBOL,,,,316,2369,4088,0.284324314616620554829751199577,0.5
11,11_0,FAILED,SOBOL,,,,4606,3501,342,0.627282325660809880751855871495,0.6
12,12_0,FAILED,SOBOL,,,,4297,1641,2335,0.559271219138055997177616518456,0.00001
13,13_0,FAILED,SOBOL,,,,628,3008,3589,0.403502446787431856556338516384,0.000000001
14,14_0,FAILED,SOBOL,,,,1419,1193,1074,0.952523270815610834105768844893,0.01
15,15_0,FAILED,SOBOL,,,,3505,4826,4820,0.110530462650582195216486525169,0.6
16,16_0,FAILED,SOBOL,,,,3595,1087,1859,0.707652880052104582553340605955,0.00001
17,17_0,FAILED,SOBOL,,,,1327,4954,3108,0.364764340560883304487305167640,0.0001
18,18_0,FAILED,SOBOL,,,,848,1747,593,0.805598291104659414152422414190,0.6
19,19_0,FAILED,SOBOL,,,,4074,2880,4344,0.150735715799033637152248843449,0.00000001
20,20_0,FAILED,SOBOL,,,,4389,2260,3606,0.039906005727127193127845572462,0.001
21,21_0,FAILED,SOBOL,,,,535,3627,2357,0.881829342339187860488891601562,0.9
22,22_0,FAILED,SOBOL,,,,2264,574,4881,0.448787981985136863460894574018,0.2
23,23_0,FAILED,SOBOL,,,,2661,4206,1131,0.604624322354793575229336966004,0.0000000001
24,24_0,FAILED,SOBOL,,,,2904,1288,4630,0.998617447305470751217626457219,0.00001
25,25_0,FAILED,SOBOL,,,,2174,2733,884,0.094281575383618476671188091132,0.4
26,26_0,FAILED,SOBOL,,,,153,920,3369,0.518535743489861533639384560956,0.1
27,27_0,FAILED,SOBOL,,,,4925,4475,2116,0.425112890196964132716317408267,0.3
28,28_0,COMPLETED,SOBOL,0.829999999999999960031971113494,7990.000000000000000000000000000000,1.000000000000000000000000000000,3987,115,209,0.263538770612329220632830129034,0.00000000001
29,29_0,FAILED,SOBOL,,,,1094,4060,3956,0.668901829237118383808535782009,0.01
30,30_0,FAILED,SOBOL,,,,1865,2094,1481,0.221260361738502969730646441349,0.0000001
31,31_0,FAILED,SOBOL,,,,3216,3148,2734,0.813649369677528766509055913048,0.001
32,32_0,FAILED,SOBOL,,,,3143,189,4181,0.617295955365523729696519694699,0.8
33,33_0,FAILED,SOBOL,,,,1779,3821,434,0.461471450738608846009469743876,0.3
34,34_0,FAILED,SOBOL,,,,1007,2019,2958,0.894493301728740308753629051353,0.00000001
35,35_0,FAILED,SOBOL,,,,3914,3386,1705,0.052566691558808088802212665769,0.001
36,36_0,FAILED,SOBOL,,,,4851,1516,971,0.136110642431303857646796018344,0.000001
37,37_0,FAILED,SOBOL,,,,73,2649,4718,0.790969825208187149456762199407,0.6
38,38_0,FAILED,SOBOL,,,,2094,692,2204,0.350146821843460187562158125729,0.1
39,39_0,FAILED,SOBOL,,,,2830,4559,3457,0.693047316048294281820574269659,0.00000000001
40,40_0,FAILED,SOBOL,,,,2741,2497,1957,0.830215631261467912338503083447,0.001
41,41_0,FAILED,SOBOL,,,,2337,3552,3206,0.237815620375797148744467790493,0.6
42,42_0,FAILED,SOBOL,,,,609,335,730,0.685475645471364303240591198119,0.000000001
43,43_0,FAILED,SOBOL,,,,4469,4280,4481,0.280116931142285474631847819182,0.5
44,44_0,FAILED,SOBOL,,,,4160,1170,2571,0.406600798673927787962867341776,0.000000000001
45,45_0,FAILED,SOBOL,,,,921,4725,1321,0.500027877291664313297303579020,0.001
46,46_0,FAILED,SOBOL,,,,1399,1662,3807,0.075761810239404439593080553550,0.4
47,47_0,COMPLETED,SOBOL,0.770000000000000017763568394003,11102.000000000000000000000000000000,1.000000000000000000000000000000,3681,3108,56,0.980086798185482610534791092505,0.0001
48,48_0,FAILED,SOBOL,,,,3576,1866,3345,0.322538599533960246290575923922,0.3
49,49_0,FAILED,SOBOL,,,,1502,2921,2090,0.727844959244132061471077577153,0.2
50,50_0,FAILED,SOBOL,,,,711,966,4576,0.162256251724436889594116451008,0.01
51,51_0,FAILED,SOBOL,,,,4367,4911,830,0.754710520762950198836449544615,0.0001
52,52_0,FAILED,SOBOL,,,,4682,542,1495,0.931817469825968136554195098142,0.000001
53,53_0,FAILED,SOBOL,,,,398,4096,2749,0.027544836498796940876809813403,0.0000001
54,54_0,FAILED,SOBOL,,,,2439,2291,274,0.585333343410864515021785337012,0.9
55,55_0,FAILED,SOBOL,,,,2641,3736,4020,0.491852006640285277505597605341,0.001
56,56_0,FAILED,SOBOL,,,,3041,820,490,0.097858889125287534804797928700,0.01
57,57_0,FAILED,SOBOL,,,,1881,4453,4242,0.939839742576703440768426389695,0.001
58,58_0,FAILED,SOBOL,,,,173,1388,1728,0.390838427912443886480531318739,0.00000000001
59,59_0,FAILED,SOBOL,,,,4749,2755,2976,0.546610592791810678825470404263,0.3
60,60_0,FAILED,SOBOL,,,,3811,2145,4975,0.641907458513975126557227213198,0.4
61,61_0,FAILED,SOBOL,,,,1113,3277,1223,0.298952721027657408736644129021,0.7
62,62_0,FAILED,SOBOL,,,,1572,63,3747,0.871348945502191774004074886761,0.0000001
63,63_0,FAILED,SOBOL,,,,3352,3930,2499,0.216542102472856629047370802255,0.8
64,64_0,FAILED,SOBOL,,,,3289,664,3527,0.948311643427237838110954726289,0.0000001
65,65_0,FAILED,SOBOL,,,,1632,4609,2279,0.106075300030410296647787049551,0.0000000001
66,66_0,FAILED,SOBOL,,,,1154,1544,4803,0.538386656979098932040983527259,0.6
67,67_0,FAILED,SOBOL,,,,3768,2598,1052,0.382374111454933884868268023638,0.00001
68,68_0,FAILED,SOBOL,,,,4705,1988,1625,0.306078793643042468275439205172,0.8
69,69_0,FAILED,SOBOL,,,,219,3433,2873,0.649280574142932942471873047907,0.000001
70,70_0,COMPLETED,SOBOL,0.750000000000000000000000000000,9879.000000000000000000000000000000,0.979999999999999982236431605997,1948,219,359,0.209176630722358813940786603780,0.9
71,71_0,FAILED,SOBOL,,,,2976,3774,4110,0.864215169522911330624026504665,0.5
72,72_0,COMPLETED,SOBOL,0.800000000000000044408920985006,8932.000000000000000000000000000000,1.000000000000000000000000000000,2594,1710,132,0.719737079516053146477361224242,0.7
73,73_0,FAILED,SOBOL,,,,2484,3077,3878,0.314198072267696248971446948417,0.00000000001
74,74_0,FAILED,SOBOL,,,,462,1123,1402,0.763058751393109524485680594807,0.001
75,75_0,FAILED,SOBOL,,,,4616,4756,2657,0.170356487574055803779771167683,0.000000001
76,76_0,FAILED,SOBOL,,,,4306,385,4395,0.020055575557053090252068727750,0.01
77,77_0,FAILED,SOBOL,,,,774,4253,649,0.924567637762054750361073729437,0.00000000001
78,78_0,FAILED,SOBOL,,,,1545,2447,3135,0.499094254311174156946151470038,0.6
79,79_0,FAILED,SOBOL,,,,3535,3580,1881,0.592830129260197291607425995608,0.0001
