trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,const,max_depth,threshold
0,0_0,COMPLETED,SOBOL,0.719999999999999973354647408996,3.000000000000000000000000000000,0.089999999999999996669330926125,455,2359,7.025926719069481407586863497272,9,0.282069158554077159539730246252
1,1_0,COMPLETED,SOBOL,0.619999999999999995559107901499,5.000000000000000000000000000000,0.460000000000000019984014443253,4976,4771,1.132283396130427721715250299894,13,0.636773046577349344232743533212
2,2_0,COMPLETED,SOBOL,0.729999999999999982236431605997,10.000000000000000000000000000000,0.989999999999999991118215802999,3479,468,8.364102366136386024209059542045,2,0.759233527451753653636501439905
3,3_0,COMPLETED,SOBOL,0.709999999999999964472863211995,3.000000000000000000000000000000,0.289999999999999980015985556747,1789,3037,4.734485667981208401045023492770,18,0.162598237210884677406141918254
4,4_0,COMPLETED,SOBOL,0.699999999999999955591079014994,4.000000000000000000000000000000,0.969999999999999973354647408996,2087,999,2.040845186645165121319678291911,19,0.077616157155483964102948846175
5,5_0,COMPLETED,SOBOL,0.660000000000000031086244689504,2.000000000000000000000000000000,0.299999999999999988897769753748,2566,3743,6.058168796107173292853076418396,5,0.970427521569654394362203220226
6,6_0,COMPLETED,SOBOL,0.680000000000000048849813083507,5.000000000000000000000000000000,1.000000000000000000000000000000,4053,1801,3.203716220702975903122933232225,11,0.600401007007807518967013038491
7,7_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.089999999999999996669330926125,743,4076,9.954072229517624492700633709319,6,0.448551549686118933291112398365
8,8_0,COMPLETED,SOBOL,0.729999999999999982236431605997,16.000000000000000000000000000000,1.000000000000000000000000000000,1071,210,2.639327054174616993265090059140,4,0.713379965830594264808439675107
9,9_0,COMPLETED,SOBOL,0.660000000000000031086244689504,104.000000000000000000000000000000,0.810000000000000053290705182008,4361,2623,9.243519338421522846260813821573,18,0.366242627060040848441246907896
10,10_0,COMPLETED,SOBOL,0.640000000000000013322676295502,3.000000000000000000000000000000,0.670000000000000039968028886506,2884,1992,1.496596762243658229607490284252,7,0.238228584069758664298888106714
11,11_0,COMPLETED,SOBOL,0.719999999999999973354647408996,2.000000000000000000000000000000,0.220000000000000001110223024625,2385,4560,5.367754337688908528036790812621,13,0.842434230631217362272877835494
12,12_0,COMPLETED,SOBOL,0.680000000000000048849813083507,10.000000000000000000000000000000,0.579999999999999960031971113494,1472,1272,7.673386450123042656912275560899,15,0.924962653584778360382756545732
13,13_0,COMPLETED,SOBOL,0.719999999999999973354647408996,3.000000000000000000000000000000,0.369999999999999995559107901499,3182,4016,4.190543171076104300709630479105,10,0.024615200178697706212549434213
14,14_0,COMPLETED,SOBOL,0.709999999999999964472863211995,11.000000000000000000000000000000,1.000000000000000000000000000000,4650,902,6.315069874683395312331413151696,16,0.404063254095613944016918139823
15,15_0,COMPLETED,SOBOL,0.719999999999999973354647408996,2.000000000000000000000000000000,0.020000000000000000416333634234,148,3178,0.568202466547489182246977179602,1,0.548372815357521137258345333976
16,16_0,COMPLETED,SOBOL,0.689999999999999946709294817992,19.000000000000000000000000000000,0.149999999999999994448884876874,242,776,8.808093082932755280012315779459,11,0.137825402125716200973926106599
17,17_0,COMPLETED,SOBOL,0.680000000000000048849813083507,3.000000000000000000000000000000,0.619999999999999995559107901499,4490,3344,3.060749853800982300811028835597,6,0.780997827151790224853300514951
18,18_0,COMPLETED,SOBOL,0.699999999999999955591079014994,4.000000000000000000000000000000,0.979999999999999982236431605997,3302,1417,5.185599805772304726758648030227,20,0.661766678586602208333999897150
19,19_0,COMPLETED,SOBOL,0.680000000000000048849813083507,3.000000000000000000000000000000,0.149999999999999994448884876874,1261,3829,1.702585850993171279199600576248,4,0.260038377115502927772183738853
20,20_0,COMPLETED,SOBOL,0.680000000000000048849813083507,2.000000000000000000000000000000,0.510000000000000008881784197001,2223,2118,4.008388788156212356739160895813,3,0.471352314319461562774904450634
21,21_0,COMPLETED,SOBOL,0.650000000000000022204460492503,2.000000000000000000000000000000,0.270000000000000017763568394003,2975,4394,7.879375687869266009499824576778,17,0.576664655445143559120424470166
22,22_0,COMPLETED,SOBOL,0.729999999999999982236431605997,96.000000000000000000000000000000,1.000000000000000000000000000000,4153,66,0.132776360055431724704888551969,8,0.947360256608575590497878238239
23,23_0,COMPLETED,SOBOL,0.680000000000000048849813083507,5.000000000000000000000000000000,0.190000000000000002220446049250,1194,2810,6.736492823306472033095815277193,14,0.101573324231430894837302503220
24,24_0,COMPLETED,SOBOL,0.670000000000000039968028886506,9.000000000000000000000000000000,0.250000000000000000000000000000,896,1674,0.671803008481860253198192367563,16,0.865447246734052932914948996768
25,25_0,COMPLETED,SOBOL,0.670000000000000039968028886506,3.000000000000000000000000000000,0.440000000000000002220446049250,3835,4243,7.422292890841141854707530001178,1,0.214217164417728783698535721669
26,26_0,COMPLETED,SOBOL,0.680000000000000048849813083507,9.000000000000000000000000000000,0.949999999999999955591079014994,2667,1143,4.567553869260475352120920433663,15,0.343511343274265523728416837912
27,27_0,COMPLETED,SOBOL,0.680000000000000048849813083507,4.000000000000000000000000000000,0.260000000000000008881784197001,1895,3555,8.585316497530788737435614166316,10,0.737185794522985826660033126245
28,28_0,COMPLETED,SOBOL,0.729999999999999982236431605997,11.000000000000000000000000000000,0.989999999999999991118215802999,1568,595,5.891237146383152101236646558391,8,0.523448656760156172396136753378
29,29_0,COMPLETED,SOBOL,0.680000000000000048849813083507,3.000000000000000000000000000000,0.589999999999999968913755310496,3629,2870,2.262059467036277027318647014908,12,0.426163520099595183321383728980
30,30_0,COMPLETED,SOBOL,0.699999999999999955591079014994,4.000000000000000000000000000000,0.920000000000000039968028886506,4787,2214,9.493591990865766661045199725777,3,0.049333778969943523073915514487
31,31_0,COMPLETED,SOBOL,0.680000000000000048849813083507,2.000000000000000000000000000000,0.050000000000000002775557561563,559,4958,3.600082727717235808739815183799,19,0.903144108744338147687358286930
32,32_0,COMPLETED,SOBOL,0.719999999999999973354647408996,46.000000000000000000000000000000,0.819999999999999951150186916493,522,318,1.382993884868919831632183559122,14,0.458175673197954880233595531536
33,33_0,COMPLETED,SOBOL,0.660000000000000031086244689504,3.000000000000000000000000000000,0.770000000000000017763568394003,4751,3062,5.480856586115435469253043265780,8,0.618066183937713509166655967420
34,34_0,COMPLETED,SOBOL,0.670000000000000039968028886506,4.000000000000000000000000000000,0.689999999999999946709294817992,3748,2482,2.760610935484990591248788405210,17,0.995645900707691877684624159883
35,35_0,COMPLETED,SOBOL,0.689999999999999946709294817992,3.000000000000000000000000000000,0.160000000000000003330669073875,1688,4757,9.122802836585789165724236227106,3,0.079687078459188348533714929545
