trial_index,arm_name,trial_status,generation_node,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
0,0_0,FAILED,SOBOL,2557,1778,39,327,0.643852082014083837435691748396
1,1_0,FAILED,SOBOL,2160,3878,65,884,0.205028543073683983122279528288
2,2_0,FAILED,SOBOL,1124,91,1,241,0.284494000539183611309113075549
3,3_0,FAILED,SOBOL,4179,2992,77,549,0.843186900775879655256517253292
4,4_0,FAILED,SOBOL,4564,1150,61,632,0.883518777968361979091582725232
5,5_0,FAILED,SOBOL,115,3268,35,63,0.448601193999871639128684819298
6,6_0,FAILED,SOBOL,1617,1982,98,813,0.056530731270089742968032453518
7,7_0,FAILED,SOBOL,3726,4863,22,493,0.619129753781482605745623004623
8,8_0,FAILED,SOBOL,3354,414,90,15,0.139327897338196643461927237695
9,9_0,FAILED,SOBOL,1402,2670,16,697,0.701926834339275940166658074304
10,10_0,FAILED,SOBOL,329,1457,53,428,0.808550843259319695910392056248
11,11_0,FAILED,SOBOL,4935,4200,28,861,0.373633352236822258163329024683
12,12_0,FAILED,SOBOL,3770,2285,13,945,0.398600318040698786692388466690
13,13_0,FAILED,SOBOL,871,4561,87,251,0.957293244302272805512643572001
14,14_0,FAILED,SOBOL,2415,847,50,625,0.537575021896511295871334823460
15,15_0,FAILED,SOBOL,2968,3571,74,180,0.098751430906355380789918285700
16,16_0,FAILED,SOBOL,3035,723,19,763,0.840799039212986820679418542568
17,17_0,FAILED,SOBOL,2328,3623,93,449,0.281127726251259424383732721253
18,18_0,FAILED,SOBOL,630,2409,32,676,0.231821849307045330101928470867
19,19_0,FAILED,SOBOL,3990,4510,56,113,0.669659379975870217016620244976
20,20_0,FAILED,SOBOL,4690,1352,83,193,0.569891633536666608605969486234
21,21_0,FAILED,SOBOL,555,4232,9,503,0.006329419136047363669828058619
22,22_0,FAILED,SOBOL,1474,519,71,373,0.491041082594543709660683816765
23,23_0,FAILED,SOBOL,3262,2638,47,932,0.924987860538065476134761411231
24,24_0,FAILED,SOBOL,3478,2087,67,575,0.316630720786750308182178059724
25,25_0,FAILED,SOBOL,1846,4832,42,136,0.750577413219958522461183747509
26,26_0,FAILED,SOBOL,185,1045,80,989,0.736472756549716001117644736951
27,27_0,FAILED,SOBOL,4475,3300,4,301,0.172910635095089665336232087611
28,28_0,FAILED,SOBOL,4244,215,32,380,0.088477224530652168188460393594
29,29_0,FAILED,SOBOL,1040,2941,58,815,0.526314781224355154876093365601
30,30_0,FAILED,SOBOL,1917,1654,19,61,0.976314432630315476302484967164
31,31_0,FAILED,SOBOL,2780,3929,95,745,0.416643086208030588579731556820
32,32_0,FAILED,SOBOL,2680,30,51,911,0.597501887645572438145791238640
33,33_0,FAILED,SOBOL,1979,3048,26,349,0.038808972537517548440089143469
34,34_0,FAILED,SOBOL,983,1840,88,527,0.458527325067669133673575743160
35,35_0,FAILED,SOBOL,4339,3822,14,216,0.897350897468626507169631167926
36,36_0,FAILED,SOBOL,4424,1882,49,105,0.872368703393265554346669432562
37,37_0,FAILED,SOBOL,275,4959,73,670,0.309769695753231655288573165308
38,38_0,FAILED,SOBOL,1741,1250,11,456,0.203145556708797803135979620492
39,39_0,FAILED,SOBOL,3544,3173,86,771,0.638063125805929276523897897277
40,40_0,FAILED,SOBOL,3133,1557,2,723,0.120379055382683869401816423306
41,41_0,FAILED,SOBOL,1487,4105,78,36,0.555296531533822412818324210093
42,42_0,FAILED,SOBOL,528,314,40,840,0.947366886446252443043647417653
43,43_0,FAILED,SOBOL,4834,2765,66,404,0.384767964316532040669471825822
44,44_0,FAILED,SOBOL,3969,908,100,292,0.344451315395534030106006184724
45,45_0,FAILED,SOBOL,769,3515,24,982,0.783274921257048895029129198520
46,46_0,FAILED,SOBOL,2194,2224,63,144,0.703809571608901007877534539148
47,47_0,FAILED,SOBOL,3052,4617,37,584,0.145116630475968122482299804688
48,48_0,FAILED,SOBOL,2824,2470,81,471,0.915420549334958200127232430532
49,49_0,FAILED,SOBOL,2441,4454,5,788,0.477583003794774418881985411645
50,50_0,FAILED,SOBOL,858,662,69,88,0.027583244571462273153628075306
51,51_0,FAILED,SOBOL,3899,3679,43,656,0.587254572404548480513142294512
52,52_0,FAILED,SOBOL,4918,619,21,540,0.671672754697501650511526349874
53,53_0,FAILED,SOBOL,463,2543,97,234,0.237725991625338806123579615814
54,54_0,FAILED,SOBOL,1263,1252,34,892,0.251830756112933151769084361149
55,55_0,FAILED,SOBOL,3376,4327,60,336,0.815392955642193606458079102595
56,56_0,FAILED,SOBOL,3631,945,30,159,0.426210631635040027020977504435
57,57_0,FAILED,SOBOL,1674,3396,54,601,0.989772738218307468471834908996
58,58_0,FAILED,SOBOL,54,2187,17,275,0.505061204884201253584308233258
59,59_0,FAILED,SOBOL,4664,4736,91,968,0.071114527322351933635857790250
60,60_0,FAILED,SOBOL,4114,1593,70,853,0.170897502033039938584835226720
61,61_0,FAILED,SOBOL,1229,3985,46,422,0.730568863326683692882568266214
62,62_0,FAILED,SOBOL,2070,277,82,704,0.779874610146507607488786106842
63,63_0,FAILED,SOBOL,2608,2885,8,23,0.342037038581445795859536929129
64,64_0,FAILED,SOBOL,2632,1194,87,605,0.041780702238902449330293364937
65,65_0,FAILED,SOBOL,2086,3139,12,169,0.604368218036368531898006040137
66,66_0,FAILED,SOBOL,1209,1925,75,957,0.898308539552614138123942666425
67,67_0,FAILED,SOBOL,4096,4982,49,271,0.463387241462245580425616253706
68,68_0,FAILED,SOBOL,4648,1816,15,409,0.300984603155404317753607301711
69,69_0,FAILED,SOBOL,30,3779,91,849,0.859681336484849456525125788176
70,70_0,FAILED,SOBOL,1692,66,28,27,0.627386009704321567781448720780
71,71_0,FAILED,SOBOL,3651,3102,53,717,0.188573839917778957042671095223
