trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,COMPLETED,SOBOL,0.680000000000000048849813083507,18.000000000000000000000000000000,0.330000000000000015543122344752,654,1809,8,0.866046839475631657911947058892
1,1_0,COMPLETED,SOBOL,0.689999999999999946709294817992,55.000000000000000000000000000000,0.680000000000000048849813083507,3674,4191,2,0.391360733272507810287521579085
2,2_0,COMPLETED,SOBOL,0.719999999999999973354647408996,52.000000000000000000000000000000,0.979999999999999982236431605997,4789,841,10,0.641663795016706006713036458677
3,3_0,COMPLETED,SOBOL,0.709999999999999964472863211995,92.000000000000000000000000000000,0.520000000000000017763568394003,2037,3145,5,0.116278956679627301640245207182
4,4_0,COMPLETED,SOBOL,0.729999999999999982236431605997,28.000000000000000000000000000000,0.989999999999999991118215802999,1608,460,2,0.231292498640716076563350611650
5,5_0,COMPLETED,SOBOL,0.689999999999999946709294817992,31.000000000000000000000000000000,0.890000000000000013322676295502,4047,3078,6,0.511056740997359204570216206776
6,6_0,COMPLETED,SOBOL,0.689999999999999946709294817992,15.000000000000000000000000000000,0.939999999999999946709294817992,2619,1877,4,0.260753201510757204317769719637
7,7_0,COMPLETED,SOBOL,0.699999999999999955591079014994,90.000000000000000000000000000000,0.100000000000000005551115123126,537,4573,8,0.981059916706755741344636589929
8,8_0,COMPLETED,SOBOL,0.699999999999999955591079014994,28.000000000000000000000000000000,0.179999999999999993338661852249,230,1147,3,0.617548616964370022941466231714
9,9_0,COMPLETED,SOBOL,0.670000000000000039968028886506,118.000000000000000000000000000000,0.680000000000000048849813083507,2947,3452,9,0.156506973231211293784426175080
10,10_0,COMPLETED,SOBOL,0.719999999999999973354647408996,17.000000000000000000000000000000,0.979999999999999982236431605997,4373,1507,1,0.903806617558002511891857011506
11,11_0,COMPLETED,SOBOL,0.689999999999999946709294817992,121.000000000000000000000000000000,0.270000000000000017763568394003,1300,3890,7,0.368675625985488308877791041596
12,12_0,COMPLETED,SOBOL,0.650000000000000022204460492503,38.000000000000000000000000000000,0.880000000000000004440892098501,2355,2221,10,0.471994807213544864676890711053
13,13_0,COMPLETED,SOBOL,0.699999999999999955591079014994,39.000000000000000000000000000000,0.729999999999999982236431605997,4491,4915,5,0.753708327805623357065201162186
14,14_0,COMPLETED,SOBOL,0.729999999999999982236431605997,72.000000000000000000000000000000,1.000000000000000000000000000000,3376,122,7,0.006406302202492952097001577272
15,15_0,COMPLETED,SOBOL,0.699999999999999955591079014994,37.000000000000000000000000000000,0.309999999999999997779553950750,972,2739,3,0.720865420633927000970686549408
16,16_0,COMPLETED,SOBOL,0.739999999999999991118215802999,38.000000000000000000000000000000,1.000000000000000000000000000000,1169,206,9,0.311640710674226273368958572973
17,17_0,COMPLETED,SOBOL,0.689999999999999946709294817992,6.000000000000000000000000000000,0.939999999999999946709294817992,3256,2511,3,0.961634719101712054367681048461
18,18_0,COMPLETED,SOBOL,0.729999999999999982236431605997,75.000000000000000000000000000000,0.949999999999999955591079014994,4680,2444,6,0.211958176191896191520314118861
19,19_0,COMPLETED,SOBOL,0.709999999999999964472863211995,50.000000000000000000000000000000,0.359999999999999986677323704498,2246,4827,1,0.561791532458737474797771938029
20,20_0,COMPLETED,SOBOL,0.729999999999999982236431605997,22.000000000000000000000000000000,0.959999999999999964472863211995,1426,1282,5,0.661192289080470785300747138535
21,21_0,COMPLETED,SOBOL,0.670000000000000039968028886506,265.000000000000000000000000000000,0.750000000000000000000000000000,4172,3977,9,0.065776407511904833036453510431
22,22_0,COMPLETED,SOBOL,0.709999999999999964472863211995,11.000000000000000000000000000000,0.979999999999999982236431605997,3060,1056,2,0.815452472679316975323615679372
23,23_0,COMPLETED,SOBOL,0.699999999999999955591079014994,180.000000000000000000000000000000,0.010000000000000000208166817117,36,3673,7,0.411040993271395538322110496665
24,24_0,COMPLETED,SOBOL,0.670000000000000039968028886506,123.000000000000000000000000000000,0.119999999999999995559107901499,333,2123,2,0.049436967611312866710537861081
25,25_0,COMPLETED,SOBOL,0.709999999999999964472863211995,123.000000000000000000000000000000,0.440000000000000002220446049250,2743,4505,8,0.709177129274234152589428958890
26,26_0,COMPLETED,SOBOL,0.729999999999999982236431605997,32.000000000000000000000000000000,1.000000000000000000000000000000,3855,532,4,0.460517328519374158357635451466
27,27_0,COMPLETED,SOBOL,0.709999999999999964472863211995,35.000000000000000000000000000000,0.520000000000000017763568394003,1724,2837,10,0.796706213021650899719361405005
28,28_0,COMPLETED,SOBOL,0.709999999999999964472863211995,29.000000000000000000000000000000,0.989999999999999991118215802999,1919,776,6,0.915600108910352039615077046619
29,29_0,COMPLETED,SOBOL,0.709999999999999964472863211995,102.000000000000000000000000000000,0.880000000000000004440892098501,4988,3394,1,0.326031824106350565095624460810
30,30_0,COMPLETED,SOBOL,0.709999999999999964472863211995,11.000000000000000000000000000000,0.979999999999999982236431605997,3563,1566,8,0.574689243584871278791581516998
31,31_0,COMPLETED,SOBOL,0.680000000000000048849813083507,164.000000000000000000000000000000,0.160000000000000003330669073875,841,4262,4,0.168328485941514366386329015768
