trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,0_0,FAILED,SOBOL,,,,1351,0.720466467618942285611183251604,0.050030747510492801222170555775,3414,3353,2912
1,1_0,FAILED,SOBOL,,,,2534,0.051756108624860644451537439181,0.805662231441587217695143863239,2028,765,2277
2,2_0,FAILED,SOBOL,,,,4867,0.795903443127870535711565480597,0.256407212324440469952691046274,3990,2065,373
3,3_0,FAILED,SOBOL,,,,1206,0.493897599231451767121114926340,0.513527994634583540012329194724,104,4478,4739
4,4_0,COMPLETED,SOBOL,0.530000000000000026645352591004,9294.000000000000000000000000000000,1.000000000000000000000000000000,324,0.883210366433486382398143632599,0.945534611415117964838827901985,847,4110,3255
5,5_0,FAILED,SOBOL,,,,4143,0.343149877237156009091023634028,0.190845377711579194945912263393,4418,1854,1388
6,6_0,FAILED,SOBOL,,,,3370,0.566854400146752590572418739612,0.746961446957662755785634089989,1443,323,636
7,7_0,COMPLETED,SOBOL,0.550000000000000044408920985006,3043.000000000000000000000000000000,1.000000000000000000000000000000,2034,0.143998417682945717421816311798,0.490786721013486360032374022921,2513,3066,3772
8,8_0,COMPLETED,SOBOL,0.530000000000000026645352591004,8503.000000000000000000000000000000,1.000000000000000000000000000000,2346,0.853167125482112154166713935410,0.686627869062125695265308422677,4737,1185,4603
9,9_0,FAILED,SOBOL,,,,3683,0.434213774241507033391229697372,0.426491887139156478081503109934,1172,3441,200
10,10_0,FAILED,SOBOL,,,,3830,0.663700707172974913028440369089,0.885199369786307199703401238366,2814,4976,2144
11,11_0,COMPLETED,SOBOL,0.579999999999999960031971113494,1955.000000000000000000000000000000,1.000000000000000000000000000000,10,0.111949337141588334265662751932,0.126552683454006914542944173263,1748,2231,2737
12,12_0,FAILED,SOBOL,,,,893,0.501319000303745321289738967607,0.316864757867529989177057814231,2333,1356,4222
13,13_0,FAILED,SOBOL,,,,4554,0.211011710863560436601815695212,0.577942989088594871738280289719,3714,3944,1127
14,14_0,FAILED,SOBOL,,,,2846,0.949247139269486117640894917713,0.110485674764961003258001426275,429,2646,1840
15,15_0,FAILED,SOBOL,,,,1663,0.276641823602840286611126430216,0.870078417463228115380502458720,4310,235,3744
16,16_0,FAILED,SOBOL,,,,1862,0.990743809139356002013698798692,0.376256911825388673520365045988,1370,4657,1014
17,17_0,FAILED,SOBOL,,,,3045,0.283296212034299943471893357128,0.635374504951760177284825203969,2802,1933,4111
18,18_0,FAILED,SOBOL,,,,4440,0.556703879792243228052939230110,0.177682319717481745913190138708,716,869,3554
19,19_0,RUNNING,SOBOL,,,,779,0.231066996790468687228425892499,0.935314420603215679328457099473,4648,3144,1649
20,20_0,COMPLETED,SOBOL,0.520000000000000017763568394003,7338.000000000000000000000000000000,1.000000000000000000000000000000,214,0.652537802333012173505721875699,0.619278943253681046776648599916,3828,2963,8
21,21_0,FAILED,SOBOL,,,,4033,0.073741018427535887092005850718,0.361164512511342739031761084334,206,530,4414
22,22_0,RUNNING,SOBOL,,,,3573,0.828603315711021415346237972699,0.825654931254684920638453604624,3154,1674,2627
23,23_0,COMPLETED,SOBOL,0.530000000000000026645352591004,7217.000000000000000000000000000000,1.000000000000000000000000000000,2237,0.382117253344506024870241844837,0.069029799820855261560659243969,2032,4243,2029
24,24_0,FAILED,SOBOL,,,,1923,0.624676490873098400058438528504,0.761422914000228101549794246239,511,2372,1512
25,25_0,RUNNING,SOBOL,,,,3260,0.166490922283381220792009003162,0.008633405305445193689273253312,4128,4803,3375
26,26_0,RUNNING,SOBOL,,,,4346,0.923245862090960156542962522508,0.555045258548110709284628683235,2357,3662,3971
27,27_0,RUNNING,SOBOL,,,,526,0.348343084020540094680740139665,0.300770261330530030985386247266,3474,1094,838
28,28_0,RUNNING,SOBOL,,,,1091,0.769878935027867528084755122109,0.242038304619491106972617444626,3122,13,2478
29,29_0,RUNNING,SOBOL,,,,4752,0.440340372569859028750727247825,0.995830975698307141463772040879,1695,2738,3112
30,30_0,COMPLETED,SOBOL,0.560000000000000053290705182008,11878.000000000000000000000000000000,1.000000000000000000000000000000,2731,0.711741248970851336785869989399,0.440610281227156508343512086867,4948,3804,4860
31,31_0,FAILED,SOBOL,,,,1549,0.015985484467819333076477050781,0.695892247896641502613590546389,1021,1528,495
32,32_0,FAILED,SOBOL,,,,1432,0.809902867274358895244290579285,0.896273040896281569800407851289,2180,3032,886
33,33_0,COMPLETED,SOBOL,0.550000000000000044408920985006,13007.000000000000000000000000000000,1.000000000000000000000000000000,2771,0.480356214797124259074934116143,0.154462911460548635300682462912,3261,464,4001
34,34_0,FAILED,SOBOL,,,,4792,0.734214618779718830587910360919,0.658715648293495159570909436297,256,1742,3346
35,35_0,FAILED,SOBOL,,,,974,0.038465992528945211481605781501,0.415420208791270839654430346854,3837,4173,1462
36,36_0,COMPLETED,SOBOL,0.540000000000000035527136788005,11500.000000000000000000000000000000,1.000000000000000000000000000000,566,0.584782000793144129957568111422,0.108154935020953413271627141512,4580,4434,603
37,37_0,FAILED,SOBOL,,,,4229,0.126589293951168663232564881582,0.849019008090719617953823217249,685,2158,4986
38,38_0,FAILED,SOBOL,,,,3143,0.900886702459305577228576566995,0.337922352934256209344709986908,2676,643,2984
39,39_0,FAILED,SOBOL,,,,1963,0.325992014408111596690531541753,0.580275543138384808372620682348,1281,3368,2371
40,40_0,COMPLETED,SOBOL,0.530000000000000026645352591004,7901.000000000000000000000000000000,1.000000000000000000000000000000,2275,0.676960368584841543082575299195,0.277467179372906658230135690246,1010,239,1639
41,41_0,FAILED,SOBOL,,,,3456,0.098170722931623460860706131825,0.515859128469601246891329537902,4900,2514,3486
42,42_0,FAILED,SOBOL,,,,3915,0.866678051514551017753262840415,0.047697621842846274486937829806,1586,4026,4180
43,43_0,COMPLETED,SOBOL,0.540000000000000035527136788005,7994.000000000000000000000000000000,1.000000000000000000000000000000,252,0.420183899128809545953089354953,0.784604257155209761087633069110,2976,1303,1024
44,44_0,COMPLETED,SOBOL,0.550000000000000044408920985006,13675.000000000000000000000000000000,1.000000000000000000000000000000,661,0.966435453064739657946802253718,0.719050661275163260910403550952,3561,2305,1884
45,45_0,FAILED,SOBOL,,,,4478,0.258995945978909736240325401013,0.479712655812501886920529159397,2485,4873,2538
46,46_0,FAILED,SOBOL,,,,3083,0.518758586155250722704579402489,0.956606862310320105180494465458,4157,3593,4501
47,47_0,FAILED,SOBOL,,,,1744,0.193114564901217811154765513493,0.218757977699860939324594255595,581,1160,155
48,48_0,FAILED,SOBOL,,,,1625,0.539271434051916020990802280721,0.536907216090709016320658975019,2642,4356,2728
49,49_0,FAILED,SOBOL,,,,2964,0.248957006359472876599880919457,0.295517202904447939815213430848,1530,1611,2074
50,50_0,FAILED,SOBOL,,,,4672,0.973547403465956473489484324091,0.766674158120527859949788762606,4487,565,268
51,51_0,FAILED,SOBOL,,,,855,0.300950177818536779295044425453,0.026773262068629264526231636978,875,2821,4613
52,52_0,COMPLETED,SOBOL,0.530000000000000026645352591004,4161.000000000000000000000000000000,1.000000000000000000000000000000,128,0.815100481556728428955693743774,0.467552168136462553693633026342,56,3266,3597
53,53_0,FAILED,SOBOL,,,,3791,0.396139040296897282367183379392,0.707935211870819314228242546960,3979,855,1753
54,54_0,FAILED,SOBOL,,,,3644,0.639271000809967571143488385133,0.229993347883224480421304747324,1883,1976,1216
55,55_0,COMPLETED,SOBOL,0.530000000000000026645352591004,8683.000000000000000000000000000000,1.000000000000000000000000000000,2464,0.087526769030839210450345433401,0.968891081551089827783584951248,3305,4564,4368
56,56_0,COMPLETED,SOBOL,0.530000000000000026645352591004,5681.000000000000000000000000000000,1.000000000000000000000000000000,2150,0.905561434186994973494222449517,0.165639749834313981802225157480,4279,1445,4788
57,57_0,FAILED,SOBOL,,,,3331,0.365509035009890792533582271062,0.908373091369867324829101562500,362,3858,401
58,58_0,FAILED,SOBOL,,,,4104,0.606756030337885055025992642186,0.403196426752954695249542282909,3625,2733,2247
59,59_0,COMPLETED,SOBOL,0.550000000000000044408920985006,8066.000000000000000000000000000000,1.000000000000000000000000000000,441,0.183892909621819866661240894246,0.647418889140710218654817253991,2207,145,2864
60,60_0,FAILED,SOBOL,,,,1167,0.697985956769436644009374504094,0.830907595589757019816090632958,1854,943,3879
