trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_samples,n_clusters,threshold
0,0_0,COMPLETED,SOBOL,0.450000000000000011102230246252,323.000000000000000000000000000000,0.800000000000000044408920985006,2806,2832,7,0.036737581856548788550309581069
1,1_0,COMPLETED,SOBOL,0.550000000000000044408920985006,175.000000000000000000000000000000,0.619999999999999995559107901499,689,1026,5,0.570310816247016183488938168011
2,2_0,COMPLETED,SOBOL,0.470000000000000028865798640254,450.000000000000000000000000000000,0.209999999999999992228438827624,1297,4990,10,0.423376432260498425375061515297
3,3_0,COMPLETED,SOBOL,0.579999999999999960031971113494,116.000000000000000000000000000000,1.000000000000000000000000000000,4663,1778,2,0.965794793995097267114147143729
4,4_0,COMPLETED,SOBOL,0.479999999999999982236431605997,354.000000000000000000000000000000,0.800000000000000044408920985006,4032,4111,4,0.850094516847282655191975209164
5,5_0,COMPLETED,SOBOL,0.570000000000000062172489379009,418.000000000000000000000000000000,0.719999999999999973354647408996,1924,2305,6,0.261922337554395201486556743475
6,6_0,COMPLETED,SOBOL,0.330000000000000015543122344752,268.000000000000000000000000000000,0.020000000000000000416333634234,71,3711,2,0.736820146845653667355691140983
7,7_0,COMPLETED,SOBOL,0.619999999999999995559107901499,254.000000000000000000000000000000,1.000000000000000000000000000000,3428,499,8,0.155423001741990446378238743819
8,8_0,COMPLETED,SOBOL,0.450000000000000011102230246252,450.000000000000000000000000000000,0.619999999999999995559107901499,3546,4446,1,0.326074686150997883338220617588
9,9_0,COMPLETED,SOBOL,0.489999999999999991118215802999,138.000000000000000000000000000000,0.330000000000000015543122344752,496,1405,9,0.781679047852754549374765247194
10,10_0,COMPLETED,SOBOL,0.410000000000000031086244689504,236.000000000000000000000000000000,0.760000000000000008881784197001,2354,2737,3,0.211764444211497898651330729081
11,11_0,COMPLETED,SOBOL,0.609999999999999986677323704498,209.000000000000000000000000000000,0.989999999999999991118215802999,4153,790,7,0.676214171199128077915929679875
12,12_0,COMPLETED,SOBOL,0.540000000000000035527136788005,379.000000000000000000000000000000,0.940000000000000057731597280508,4772,3147,10,0.513732413545250898856409094151
13,13_0,COMPLETED,SOBOL,0.600000000000000088817841970013,668.000000000000000000000000000000,1.000000000000000000000000000000,1732,106,3,0.097091368999332183786776795387
14,14_0,COMPLETED,SOBOL,0.440000000000000002220446049250,558.000000000000000000000000000000,0.220000000000000001110223024625,1128,4036,7,0.901407388700172340634253487224
15,15_0,COMPLETED,SOBOL,0.500000000000000000000000000000,155.000000000000000000000000000000,0.959999999999999964472863211995,2917,2089,5,0.491541616285219806758988170259
16,16_0,COMPLETED,SOBOL,0.440000000000000002220446049250,467.000000000000000000000000000000,0.650000000000000022204460492503,3065,3883,9,0.687837557442486313696861088829
17,17_0,COMPLETED,SOBOL,0.520000000000000017763568394003,111.000000000000000000000000000000,0.440000000000000002220446049250,938,1929,1,0.168832666832953698365926697988
18,18_0,COMPLETED,SOBOL,0.510000000000000008881784197001,261.000000000000000000000000000000,0.410000000000000031086244689504,1585,3307,6,0.832773282846435924930972305447
19,19_0,COMPLETED,SOBOL,0.609999999999999986677323704498,421.000000000000000000000000000000,1.000000000000000000000000000000,4961,259,3,0.307019769581034773775485291480
20,20_0,COMPLETED,SOBOL,0.540000000000000035527136788005,296.000000000000000000000000000000,0.979999999999999982236431605997,4320,2584,3,0.378322666261345141869298913662
21,21_0,COMPLETED,SOBOL,0.520000000000000017763568394003,82.000000000000000000000000000000,1.000000000000000000000000000000,2222,630,9,0.983072361968457708591984101076
22,22_0,COMPLETED,SOBOL,0.359999999999999986677323704498,1272.000000000000000000000000000000,0.050000000000000002775557561563,330,4606,5,0.023345171259716152728502791547
23,23_0,COMPLETED,SOBOL,0.570000000000000062172489379009,201.000000000000000000000000000000,0.989999999999999991118215802999,3677,1558,7,0.619276151156052945268015719193
24,24_0,COMPLETED,SOBOL,0.450000000000000011102230246252,281.000000000000000000000000000000,0.770000000000000017763568394003,3258,3548,4,0.914799661736935387779112716089
25,25_0,COMPLETED,SOBOL,0.560000000000000053290705182008,112.000000000000000000000000000000,0.540000000000000035527136788005,198,349,8,0.442575898438692105774094898152
26,26_0,COMPLETED,SOBOL,0.300000000000000044408920985006,305.000000000000000000000000000000,0.419999999999999984456877655248,2095,4261,2,0.558786294797435356684900398250
27,27_0,COMPLETED,SOBOL,0.540000000000000035527136788005,466.000000000000000000000000000000,0.969999999999999973354647408996,3904,2468,10,0.079814146785065528955094293906
28,28_0,COMPLETED,SOBOL,0.470000000000000028865798640254,707.000000000000000000000000000000,0.729999999999999982236431605997,4513,4827,6,0.229085562959313399078453699076
29,29_0,COMPLETED,SOBOL,0.579999999999999960031971113494,144.000000000000000000000000000000,0.830000000000000071054273576010,1482,1628,4,0.631116393413394649591907636932
30,30_0,COMPLETED,SOBOL,0.470000000000000028865798640254,258.000000000000000000000000000000,0.239999999999999991118215802999,840,2982,8,0.375057413114234794448975662817
31,31_0,COMPLETED,SOBOL,0.520000000000000017763568394003,88.000000000000000000000000000000,0.989999999999999991118215802999,2619,1189,1,0.768269765699282292104044245207
32,32_0,COMPLETED,SOBOL,0.380000000000000004440892098501,342.000000000000000000000000000000,0.410000000000000031086244689504,2521,4851,3,0.596386264327913528937585851963
33,33_0,COMPLETED,SOBOL,0.510000000000000008881784197001,168.000000000000000000000000000000,0.450000000000000011102230246252,897,1800,7,0.015051459960639477358990134803
34,34_0,COMPLETED,SOBOL,0.520000000000000017763568394003,127.000000000000000000000000000000,0.470000000000000028865798640254,1504,2967,1,0.990410469489172107238061926182
35,35_0,COMPLETED,SOBOL,0.609999999999999986677323704498,257.000000000000000000000000000000,0.989999999999999991118215802999,4377,1010,9,0.402175949459895487603233732443
36,36_0,COMPLETED,SOBOL,0.500000000000000000000000000000,599.000000000000000000000000000000,0.790000000000000035527136788005,3766,3650,7,0.283124753631651404628399859575
37,37_0,COMPLETED,SOBOL,0.489999999999999991118215802999,93.000000000000000000000000000000,1.000000000000000000000000000000,2113,599,5,0.825484581697732200389339141111
38,38_0,COMPLETED,SOBOL,0.340000000000000024424906541753,717.000000000000000000000000000000,0.050000000000000002775557561563,259,4168,10,0.177114863982424153299177760346
39,39_0,COMPLETED,SOBOL,0.530000000000000026645352591004,214.000000000000000000000000000000,0.969999999999999973354647408996,3161,2211,3,0.710746632041409642788210021536
40,40_0,COMPLETED,SOBOL,0.530000000000000026645352591004,346.000000000000000000000000000000,0.959999999999999964472863211995,3656,2719,10,0.760973469004034952511972278444
41,41_0,COMPLETED,SOBOL,0.520000000000000017763568394003,114.000000000000000000000000000000,0.470000000000000028865798640254,465,923,2,0.351170037325471640077267920788
42,42_0,COMPLETED,SOBOL,0.359999999999999986677323704498,859.000000000000000000000000000000,0.410000000000000031086244689504,2322,4467,8,0.654048343880102023284450751817
43,43_0,COMPLETED,SOBOL,0.600000000000000088817841970013,196.000000000000000000000000000000,0.989999999999999991118215802999,4262,1266,5,0.237344958597794170040984340631
44,44_0,COMPLETED,SOBOL,0.479999999999999982236431605997,473.000000000000000000000000000000,0.859999999999999986677323704498,4901,3940,2,0.071512728404253725345007808301
45,45_0,COMPLETED,SOBOL,0.560000000000000053290705182008,303.000000000000000000000000000000,0.690000000000000057731597280508,1681,2144,8,0.535903921723365761486945757497
46,46_0,COMPLETED,SOBOL,0.460000000000000019984014443253,289.000000000000000000000000000000,0.280000000000000026645352591004,1077,3247,4,0.466451945969834913530149833605
47,47_0,COMPLETED,SOBOL,0.589999999999999968913755310496,1114.000000000000000000000000000000,1.000000000000000000000000000000,3046,45,6,0.922114841340109681055992041365
48,48_0,COMPLETED,SOBOL,0.429999999999999993338661852249,399.000000000000000000000000000000,0.680000000000000048849813083507,2858,3406,2,0.132533114913851030047808876589
49,49_0,COMPLETED,SOBOL,0.609999999999999986677323704498,372.000000000000000000000000000000,1.000000000000000000000000000000,1224,197,10,0.728526435546576922597239445167
50,50_0,COMPLETED,SOBOL,0.500000000000000000000000000000,442.000000000000000000000000000000,0.400000000000000022204460492503,1870,3788,4,0.269260445075109600132634568581
51,51_0,COMPLETED,SOBOL,0.579999999999999960031971113494,187.000000000000000000000000000000,0.979999999999999982236431605997,4753,1985,8,0.873947800045832945414758796687
52,52_0,COMPLETED,SOBOL,0.470000000000000028865798640254,807.000000000000000000000000000000,0.670000000000000039968028886506,4132,4627,9,0.941899778045713897967061711824
53,53_0,COMPLETED,SOBOL,0.489999999999999991118215802999,92.000000000000000000000000000000,0.989999999999999991118215802999,2489,1418,1,0.416087731111794700833428350961
54,54_0,COMPLETED,SOBOL,0.440000000000000002220446049250,319.000000000000000000000000000000,0.200000000000000011102230246252,596,2567,6,0.578593013396486610666613614740
55,55_0,COMPLETED,SOBOL,0.600000000000000088817841970013,251.000000000000000000000000000000,0.989999999999999991118215802999,3488,764,4,0.059646656455472110702764609869
56,56_0,COMPLETED,SOBOL,0.440000000000000002220446049250,318.000000000000000000000000000000,0.660000000000000031086244689504,3290,4318,6,0.484245319589972522678067434754
57,57_0,COMPLETED,SOBOL,0.350000000000000033306690738755,131.000000000000000000000000000000,0.029999999999999998889776975375,89,2373,3,0.877520012911409130751394513936
58,58_0,COMPLETED,SOBOL,0.500000000000000000000000000000,870.000000000000000000000000000000,0.419999999999999984456877655248,1985,3488,9,0.120023319466039543601532102457
59,59_0,COMPLETED,SOBOL,0.619999999999999995559107901499,244.000000000000000000000000000000,1.000000000000000000000000000000,3935,449,1,0.521991809183731669818939735705
60,60_0,COMPLETED,SOBOL,0.540000000000000035527136788005,288.000000000000000000000000000000,0.930000000000000048849813083507,4564,3117,5,0.667912752818316191039116347383
