trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
163,163_0,COMPLETED,SOBOL,0.059999999999999997779553950750,10081.000000000000000000000000000000,0.000000000000000000000000000000,2252,2975,0.122330829218029971117154275362,0.843066690005362051607562534628,str\(\'kl\'\),0.050317509723827251455485765064,True
164,164_0,COMPLETED,SOBOL,0.050000000000000002775557561563,4039.000000000000000000000000000000,0.020000000000000000416333634234,1590,218,0.370344328152015789257234246179,0.907463697550818348958046044572,str\(\'kl\'\),0.012409477895125746449433989937,False
165,165_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2532.000000000000000000000000000000,0.000000000000000000000000000000,4711,3506,0.743916283415630430475573575677,0.346166957147419462881288154676,str\(\'intersection\'\),0.099238197989761828265997678500,True
166,166_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1881.000000000000000000000000000000,0.000000000000000000000000000000,3237,1863,0.249151142654940482845660199018,0.733512536350637622817316696455,str\(\'intersection\'\),0.075236785225570201873779296875,False
167,167_0,FAILED,SOBOL,,,,113,4516,0.872481740592047527727004307962,0.047432604933157561377665700775,str\(\'kl\'\),0.033379211267456417033816507001,True
168,168_0,COMPLETED,SOBOL,0.040000000000000000832667268469,2476.000000000000000000000000000000,0.000000000000000000000000000000,372,1215,0.134492379266768685708299813086,0.282452266136184348965798562858,str\(\'intersection\'\),0.045497244177386167440779729532,False
169,169_0,FAILED,SOBOL,,,,3505,2624,0.757580038685351619953678437014,0.968741898585110949859711126919,str\(\'kl\'\),0.066238407492637638163124336188,True
170,170_0,COMPLETED,SOBOL,0.059999999999999997779553950750,4101.000000000000000000000000000000,0.000000000000000000000000000000,4530,2080,0.262753144606947874883928761847,0.107492436431348328818025095188,str\(\'kl\'\),0.087230029031634334635292304938,False
171,171_0,RUNNING,SOBOL,,,,1399,4104,0.636569941923022297736167729454,0.669066929204389482244152986823,str\(\'intersection\'\),0.021473771585151554819326236156,True
172,172_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1990.000000000000000000000000000000,0.000000000000000000000000000000,1984,1277,0.884644026773050429213185452682,0.608598800830543074091849575780,str\(\'intersection\'\),0.039825336700305344339589908031,False
173,173_0,RUNNING,SOBOL,,,,3867,4867,0.010837629752233624014223778431,0.171866646183654658841533091618,str\(\'kl\'\),0.071822682507336144119847176626,True
174,174_0,RUNNING,SOBOL,,,,2840,414,0.514379017440602215316403089673,0.783494237551465633195846294257,str\(\'kl\'\),0.092797564379870897677271557313,False
175,175_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2546.000000000000000000000000000000,0.000000000000000000000000000000,959,3389,0.389331738976761709825069601720,0.471605949062854024056434809609,str\(\'intersection\'\),0.015818088790401817894659686203,True
176,176_0,COMPLETED,SOBOL,0.050000000000000002775557561563,4957.000000000000000000000000000000,0.000000000000000000000000000000,1165,505,0.799707902934402192762775030133,0.713470855858176933317338352936,str\(\'kl\'\),0.067885029437020419362802670094,True
177,177_0,COMPLETED,SOBOL,0.050000000000000002775557561563,1958.000000000000000000000000000000,0.010000000000000000208166817117,3046,3159,0.175661278810352095014479800739,0.027515293614938856475715667216,str\(\'intersection\'\),0.043630982171744110698075047594,False
178,178_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2893.000000000000000000000000000000,0.000000000000000000000000000000,4052,1517,0.679262687303125889393129455129,0.896196118792518925388890238537,str\(\'intersection\'\),0.019827155675739050605388413828,True
179,179_0,FAILED,SOBOL,,,,2169,4805,0.304457420505583276071348564074,0.335018512845039362346710731799,str\(\'kl\'\),0.089096286343410616148652536594,False
180,180_0,COMPLETED,SOBOL,0.059999999999999997779553950750,5407.000000000000000000000000000000,0.000000000000000000000000000000,1506,2006,0.049572362968698144292112317544,0.395401963701471681478238906493,str\(\'kl\'\),0.062219389611855156763109420126,True
181,181_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1832.000000000000000000000000000000,0.000000000000000000000000000000,4637,4351,0.922387554178014434924648412562,0.831921874314546561102190480597,str\(\'intersection\'\),0.049209159854799518207801867220,False
182,182_0,RUNNING,SOBOL,,,,3633,997,0.427622465467080492551588122296,0.212619208093732608988446486364,str\(\'intersection\'\),0.025421386379748583950188844938,True
183,183_0,RUNNING,SOBOL,,,,500,2708,0.551709946429356890007511537988,0.524476088272407658941176578082,str\(\'kl\'\),0.083413735190406443353872134594,False
184,184_0,RUNNING,SOBOL,,,,299,1634,0.441376101370900886244896810240,0.771373816104605758425805106526,str\(\'intersection\'\),0.096718119205906991076027168219,True
185,185_0,RUNNING,SOBOL,,,,3423,4610,0.565707948502153112890766806231,0.459361128699034448885640813387,str\(\'kl\'\),0.014798235725611449259409013735,False
186,186_0,COMPLETED,SOBOL,0.050000000000000002775557561563,2767.000000000000000000000000000000,0.020000000000000000416333634234,4916,154,0.070880883403122429964327011476,0.589653496399521803716936574347,str\(\'kl\'\),0.036014638449996715097167765407,True
187,187_0,RUNNING,SOBOL,,,,1794,3744,0.943453611977398409749184793327,0.152802177553996443304384911244,str\(\'intersection\'\),0.072908460246399048321208624657,False
188,188_0,RUNNING,SOBOL,,,,2379,879,0.688629378298297512017711596854,0.088550760611891751739044309488,str\(\'intersection\'\),0.079791149729862814732328502032,True
189,189_0,COMPLETED,SOBOL,0.059999999999999997779553950750,7511.000000000000000000000000000000,0.000000000000000000000000000000,4253,2903,0.314067050019279148109774268960,0.649998831963166545655496975087,str\(\'kl\'\),0.031637056414037946494577369094,False
190,190_0,RUNNING,SOBOL,,,,2758,2357,0.817608370786532812068969633401,0.270328335048630852277540270734,str\(\'kl\'\),0.052826253492385157051192123845,True
191,191_0,COMPLETED,SOBOL,0.059999999999999997779553950750,2045.000000000000000000000000000000,0.000000000000000000000000000000,886,3766,0.193316904610022904931199150269,0.956500587861984996607134235092,str\(\'intersection\'\),0.056009211400523790935768175814,False
192,192_0,COMPLETED,SOBOL,0.059999999999999997779553950750,1800.000000000000000000000000000000,0.000000000000000000000000000000,937,1831,0.848830321218818406592276915035,0.464597049742937084904070843550,str\(\'intersection\'\),0.084703581593930724058516545938,False
193,193_0,FAILED,SOBOL,,,,2803,4489,0.224525292363017797692137378363,0.776363705387339009256209010346,str\(\'kl\'\),0.026681012501940132297661989469,True
