trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,max_window_size,min_window_size,min_p_value
139,139_0,COMPLETED,SOBOL,0.729999999999999982236431605997,2.000000000000000000000000000000,0.040000000000000000832667268469,1770,3246,4890,0.403697939824778584405606807195
140,140_0,COMPLETED,SOBOL,0.680000000000000048849813083507,2.000000000000000000000000000000,0.029999999999999998889776975375,2083,1151,2877,0.256871859409660119322182936230
141,141_0,COMPLETED,SOBOL,0.689999999999999946709294817992,8.000000000000000000000000000000,0.770000000000000017763568394003,2745,2988,1511,0.607285378568060640880332812230
142,142_0,COMPLETED,SOBOL,0.660000000000000031086244689504,2.000000000000000000000000000000,0.040000000000000000832667268469,4728,1696,4308,0.119012378346733754819197770303
143,143_0,COMPLETED,SOBOL,0.680000000000000048849813083507,5.000000000000000000000000000000,0.080000000000000001665334536938,394,4783,52,0.765547346774116177492430779239
144,144_0,COMPLETED,SOBOL,0.689999999999999946709294817992,2.000000000000000000000000000000,0.010000000000000000208166817117,524,1861,3615,0.463416127927321952473249666582
145,145_0,COMPLETED,SOBOL,0.709999999999999964472863211995,9.000000000000000000000000000000,0.930000000000000048849813083507,4940,4948,2014,0.674883802951034117434403469815
146,146_0,COMPLETED,SOBOL,0.699999999999999955591079014994,2.000000000000000000000000000000,0.020000000000000000416333634234,2548,1005,4821,0.160241658814530812948717652944
147,147_0,COMPLETED,SOBOL,0.719999999999999973354647408996,8.000000000000000000000000000000,0.680000000000000048849813083507,1960,2842,798,0.949625377126876224487261879403
148,148_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.000000000000000000000000000000,1651,268,1285,0.835020417689159466512194285315
149,149_0,COMPLETED,SOBOL,0.739999999999999991118215802999,53.000000000000000000000000000000,1.000000000000000000000000000000,3484,3431,3122,0.061245166806690398697554655882
150,150_0,COMPLETED,SOBOL,0.709999999999999964472863211995,10.000000000000000000000000000000,0.989999999999999991118215802999,4001,1907,275,0.539763343754597002543960115872
151,151_0,COMPLETED,SOBOL,0.709999999999999964472863211995,2.000000000000000000000000000000,0.020000000000000000416333634234,840,3820,4065,0.312688034848123797004859625304
152,152_0,COMPLETED,SOBOL,0.729999999999999982236431605997,79.000000000000000000000000000000,1.000000000000000000000000000000,1097,682,576,0.076454405171144754205236893085
153,153_0,COMPLETED,SOBOL,0.540000000000000035527136788005,2.000000000000000000000000000000,0.059999999999999997779553950750,4337,2520,3817,0.787372377890255270571628898324
154,154_0,COMPLETED,SOBOL,0.699999999999999955591079014994,2.000000000000000000000000000000,0.040000000000000000832667268469,3136,1539,1616,0.297238260462414471962944162442
155,155_0,COMPLETED,SOBOL,0.680000000000000048849813083507,10.000000000000000000000000000000,0.479999999999999982236431605997,1381,4626,2747,0.587171800157520906715546971100
156,156_0,COMPLETED,SOBOL,0.719999999999999973354647408996,2.000000000000000000000000000000,0.050000000000000002775557561563,2317,2190,4488,0.690100906055793217319660470821
157,157_0,COMPLETED,SOBOL,0.660000000000000031086244689504,7.000000000000000000000000000000,0.719999999999999973354647408996,2828,4103,1166,0.415775476556085044066435330024
158,158_0,COMPLETED,SOBOL,0.689999999999999946709294817992,2.000000000000000000000000000000,0.010000000000000000208166817117,4653,552,3330,0.934167734279669814689839313360
