trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,0_0,COMPLETED,SOBOL,0.560000000000000053290705182008,62.000000000000000000000000000000,0.000000000000000000000000000000,1923,159,2.753752970755100282218563734205,0.032266361325979237006933431076,False,True
1,1_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4042,3048,6.703052401968278672939050011337,0.023215980392415076771772675102,True,False
2,2_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,3388,2412,0.357841292815282985273483973288,0.041197514372412119554311971115,True,False
3,3_0,COMPLETED,SOBOL,0.550000000000000044408920985006,264.000000000000000000000000000000,0.000000000000000000000000000000,39,4678,8.937806974643841328997950768098,0.001137268935795873389671406528,False,True
4,4_0,COMPLETED,SOBOL,0.550000000000000044408920985006,211.000000000000000000000000000000,0.000000000000000000000000000000,1174,1627,6.215938368028961491518202819861,0.009788893134798856004996636671,False,True
5,5_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,2824,3893,4.490680049999618006495438748971,0.044048499679658563443762631096,True,False
6,6_0,COMPLETED,SOBOL,0.550000000000000044408920985006,1.000000000000000000000000000000,0.000000000000000000000000000000,4748,631,8.135963016621769128278174321167,0.014079445660579951310475976811,True,False
7,7_0,COMPLETED,SOBOL,0.550000000000000044408920985006,208.000000000000000000000000000000,0.000000000000000000000000000000,1867,3520,2.409574442774057523308783856919,0.029703902847599241571208139590,False,True
8,8_0,COMPLETED,SOBOL,0.550000000000000044408920985006,248.000000000000000000000000000000,0.000000000000000000000000000000,1457,2157,8.014168588769621237588580697775,0.049316337167285388687343328229,True,True
9,9_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,4494,4892,1.280866948341019329049572661461,0.009253055369481445052715073984,False,False
10,10_0,COMPLETED,SOBOL,0.550000000000000044408920985006,0.000000000000000000000000000000,0.000000000000000000000000000000,2609,570,5.095811128554866620277152833296,0.027236766397953034168910591006,False,False
