trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,FAILED,SOBOL,,,,120,54,0.487553089022636387817044578696,0.388791502475738515176573173449,606,EDFSMode.RANDOM
1,1_0,FAILED,SOBOL,,,,4501,8,0.753827573796734262678853610851,0.663150603525340609500915434182,342,EDFSMode.RANDOM
2,2_0,FAILED,SOBOL,,,,2555,92,0.198508174398913966873791991929,0.009005159534513949154410639153,236,EDFSMode.RANDOM
3,3_0,FAILED,SOBOL,,,,1925,44,0.560355286361649662651984726836,0.783325615860521740074773333617,932,EDFSMode.RANDOM
4,4_0,FAILED,SOBOL,,,,1827,82,0.887903086928650719933386881166,0.945690803438425042770631989697,792,EDFSMode.RANDOM
5,5_0,FAILED,SOBOL,,,,3707,34,0.368702134182676666274147692093,0.223024525016546237843328981398,150,EDFSMode.RANDOM
6,6_0,FAILED,SOBOL,,,,4247,68,0.678962593505158973350432916050,0.574675956025719636421911218349,486,EDFSMode.RANDOM
7,7_0,COMPLETED,SOBOL,0.709999999999999964472863211995,9694.000000000000000000000000000000,0.560000000000000053290705182008,1117,22,0.064189008923247456439575842069,0.350021802976727469669526726648,688,EDFSMode.RANDOM
8,8_0,FAILED,SOBOL,,,,794,95,0.699269216550514105534830378019,0.186076864406466480073021330099,415,EDFSMode.RANDOM
9,9_0,FAILED,SOBOL,,,,3925,43,0.058744728988036516714732471200,0.897047711357474297777514493646,618,EDFSMode.RANDOM
10,10_0,FAILED,SOBOL,,,,3365,58,0.989163175160065244462259670399,0.305277490437030785130900767399,948,EDFSMode.RANDOM
11,11_0,FAILED,SOBOL,,,,1486,4,0.253066055761650199329437782580,0.518236212015152020171626645606,304,EDFSMode.RANDOM
12,12_0,FAILED,SOBOL,,,,2247,72,0.173799997193738814393881852993,0.742980942793190490824883909227,166,EDFSMode.RANDOM
13,13_0,FAILED,SOBOL,,,,2877,18,0.568250942504033407232100216788,0.456926399119198300979860505322,861,EDFSMode.RANDOM
14,14_0,FAILED,SOBOL,,,,4842,83,0.383840677464380886085848487710,0.870953053198754822972205147380,759,EDFSMode.RANDOM
15,15_0,FAILED,SOBOL,,,,463,31,0.873864254610613011564623775485,0.084937165401875971970646617137,498,EDFSMode.RANDOM
16,16_0,COMPLETED,SOBOL,0.729999999999999982236431605997,1230.000000000000000000000000000000,0.330000000000000015543122344752,605,85,0.008208137420937419367894527511,0.624208778271451603103514571558,900,EDFSMode.RANDOM
17,17_0,FAILED,SOBOL,,,,4974,26,0.734086960246786435213550703338,0.334269062349572765313610034354,246,EDFSMode.RANDOM
18,18_0,FAILED,SOBOL,,,,3009,74,0.311872201034799234609096174609,0.993774991745129177012074705999,360,EDFSMode.RANDOM
19,19_0,FAILED,SOBOL,,,,2388,14,0.946076829524710727348235650425,0.203847401196137062440172371680,553,EDFSMode.RANDOM
20,20_0,FAILED,SOBOL,,,,1354,62,0.619259974835440485385618103464,0.059326037393882868897776461381,691,EDFSMode.RANDOM
21,21_0,COMPLETED,SOBOL,0.579999999999999960031971113494,4959.000000000000000000000000000000,0.029999999999999998889776975375,3224,2,0.138510764500126254405998338370,0.766411712097004094168539722887,447,EDFSMode.RANDOM
22,22_0,FAILED,SOBOL,,,,3783,100,0.815530550101772000459732225863,0.435714516492560488547525210379,105,EDFSMode.RANDOM
23,23_0,FAILED,SOBOL,,,,663,41,0.426455534102395172890709318381,0.644761535318568390628968245437,817,EDFSMode.RANDOM
24,24_0,FAILED,SOBOL,,,,946,63,0.804238599045202118276165492716,0.826932870807126185752622404834,287,EDFSMode.RANDOM
