trial_index,arm_name,trial_status,generation_node,ACCURACY,RUNTIME,REQLABELS,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
0,0_0,FAILED,SOBOL,,,,880,85,0.908706700563430835870804003207,0.151604110211133957797358107200,658,EDFSMode.RANDOM
1,1_0,COMPLETED,SOBOL,0.450000000000000011102230246252,2684.000000000000000000000000000000,1.000000000000000000000000000000,3501,13,0.169047521719709048504398651858,0.919624780081212511717581037374,139,EDFSMode.RANDOM
2,2_0,FAILED,SOBOL,,,,3918,51,0.708376431146636620361789482558,0.428382865929976097696396664105,488,EDFSMode.RANDOM
3,3_0,FAILED,SOBOL,,,,1693,29,0.463910167701542364149247532623,0.627239265641197585310351314547,986,EDFSMode.RANDOM
4,4_0,COMPLETED,SOBOL,0.050000000000000002775557561563,1167.000000000000000000000000000000,1.000000000000000000000000000000,2097,73,0.101062375942245125104435032881,0.591039843510836382378670350590,833,EDFSMode.RANDOM
5,5_0,FAILED,SOBOL,,,,4794,50,0.852431794412434107321985266026,0.353202872149646296406899637077,345,EDFSMode.RANDOM
6,6_0,COMPLETED,SOBOL,0.369999999999999995559107901499,1547.000000000000000000000000000000,1.000000000000000000000000000000,2789,89,0.266337190426886083471913480025,0.860035047108307471042110137205,214,EDFSMode.RANDOM
7,7_0,FAILED,SOBOL,,,,332,16,0.530249629387631982169182265352,0.068627557447180145833165454405,737,EDFSMode.RANDOM
8,8_0,COMPLETED,SOBOL,0.220000000000000001110223024625,1257.000000000000000000000000000000,0.400000000000000022204460492503,156,57,0.359907543433830134915751841618,0.253076368119567629566546429487,195,EDFSMode.RANDOM
9,9_0,FAILED,SOBOL,,,,3004,34,0.624218295011669366267881287058,0.553288462169468364670876781020,602,EDFSMode.RANDOM
10,10_0,COMPLETED,SOBOL,0.260000000000000008881784197001,961.000000000000000000000000000000,1.000000000000000000000000000000,4422,79,0.007664768639951944489974167141,0.046471402088180187306409862913,929,EDFSMode.RANDOM
11,11_0,COMPLETED,SOBOL,0.140000000000000013322676295502,8922.000000000000000000000000000000,0.939999999999999946709294817992,2429,6,0.759127938015386471981571503420,0.775503999566659385500599910301,544,EDFSMode.RANDOM
12,12_0,FAILED,SOBOL,,,,1283,94,0.677089232627302362033105964656,0.941782842691987753802607130638,402,EDFSMode.RANDOM
13,13_0,FAILED,SOBOL,,,,4368,22,0.432286521418020153184613718622,0.236137059427797807442672706202,777,EDFSMode.RANDOM
14,14_0,FAILED,SOBOL,,,,3208,66,0.939698401464149402073644523625,0.727363869855180422696605546662,681,EDFSMode.RANDOM
15,15_0,COMPLETED,SOBOL,0.380000000000000004440892098501,998.000000000000000000000000000000,1.000000000000000000000000000000,1134,44,0.199885484371334326558766747439,0.466132340019568824907025827997,270,EDFSMode.RANDOM
16,16_0,FAILED,SOBOL,,,,951,64,0.580642610101029243985237826564,0.816382160326465933231077087839,958,EDFSMode.RANDOM
17,17_0,COMPLETED,SOBOL,0.320000000000000006661338147751,841.000000000000000000000000000000,1.000000000000000000000000000000,3410,40,0.341656446117907741655272957360,0.110728766644373533001299847456,460,EDFSMode.RANDOM
18,18_0,FAILED,SOBOL,,,,4165,98,0.784749520588666205078709481313,0.601955868922174008872616468580,110,EDFSMode.RANDOM
19,19_0,COMPLETED,SOBOL,0.280000000000000026645352591004,689.000000000000000000000000000000,1.000000000000000000000000000000,1466,24,0.043017185090109703871075197412,0.340731956940144298240369380437,630,EDFSMode.RANDOM
20,20_0,COMPLETED,SOBOL,0.110000000000000000555111512313,892.000000000000000000000000000000,1.000000000000000000000000000000,2324,76,0.397969627428799876955878289664,0.378606191506609346397738136147,765,EDFSMode.RANDOM
21,21_0,COMPLETED,SOBOL,0.369999999999999995559107901499,5017.000000000000000000000000000000,0.989999999999999991118215802999,4547,2,0.648604735014960187555743686971,0.678810675138607599876650056103,243,EDFSMode.RANDOM
22,22_0,COMPLETED,SOBOL,0.309999999999999997779553950750,1066.000000000000000000000000000000,1.000000000000000000000000000000,2879,61,0.221121322898194194728205275169,0.171993906907737248435097399124,373,EDFSMode.RANDOM
23,23_0,FAILED,SOBOL,,,,261,36,0.982360390085726953302014408109,0.901034122239798285214362749684,861,EDFSMode.RANDOM
24,24_0,COMPLETED,SOBOL,0.209999999999999992228438827624,858.000000000000000000000000000000,0.500000000000000000000000000000,515,93,0.127360140614211553300449963899,0.715130892669782025627966959291,516,EDFSMode.RANDOM
25,25_0,FAILED,SOBOL,,,,2587,18,0.888445499295368756875745930301,0.477301539162173882324680107558,902,EDFSMode.RANDOM
26,26_0,FAILED,SOBOL,,,,4996,71,0.491420057797804454846612998153,0.984133411116898004777908681717,573,EDFSMode.RANDOM
27,27_0,FAILED,SOBOL,,,,1914,46,0.741718713901936999022268537374,0.192718311037868267332484606413,167,EDFSMode.RANDOM
28,28_0,FAILED,SOBOL,,,,1798,55,0.816104770446196225996970952110,0.027627570515498519471142557791,299,EDFSMode.RANDOM
29,29_0,COMPLETED,SOBOL,0.280000000000000026645352591004,785.000000000000000000000000000000,1.000000000000000000000000000000,3794,31,0.074466182135045536072404104289,0.795655856380239168146317751962,709,EDFSMode.RANDOM
30,30_0,FAILED,SOBOL,,,,3626,83,0.549475334219634570231960424280,0.304413639225065701943151452724,805,EDFSMode.RANDOM
31,31_0,COMPLETED,SOBOL,0.280000000000000026645352591004,977.000000000000000000000000000000,0.890000000000000013322676295502,775,9,0.310887486571446047811662083404,0.503262428518384652420536440331,430,EDFSMode.RANDOM
32,32_0,COMPLETED,SOBOL,0.190000000000000002220446049250,603.000000000000000000000000000000,0.429999999999999993338661852249,635,53,0.028344323540106415582062737712,0.881475867798551915299754000443,733,EDFSMode.RANDOM
33,33_0,FAILED,SOBOL,,,,3725,27,0.768233930371701734252098958677,0.175833984548225991106917831530,235,EDFSMode.RANDOM
34,34_0,COMPLETED,SOBOL,0.369999999999999995559107901499,1720.000000000000000000000000000000,1.000000000000000000000000000000,3850,87,0.354395406417548630706448875571,0.667059034578502130230504008068,335,EDFSMode.RANDOM
35,35_0,COMPLETED,SOBOL,0.220000000000000001110223024625,11781.000000000000000000000000000000,0.869999999999999995559107901499,1781,11,0.599092101568356127927472698502,0.405831404756754610119173776184,855,EDFSMode.RANDOM
36,36_0,FAILED,SOBOL,,,,2010,90,0.961962631635367881877130002977,0.313379296144470576024332331144,991,EDFSMode.RANDOM
37,37_0,COMPLETED,SOBOL,0.340000000000000024424906541753,949.000000000000000000000000000000,1.000000000000000000000000000000,4862,15,0.210332533115521080890886196357,0.613595111751928934396005388408,468,EDFSMode.RANDOM
38,38_0,FAILED,SOBOL,,,,2564,75,0.670967029714956919583812577912,0.106772662661969663933092533625,148,EDFSMode.RANDOM
39,39_0,FAILED,SOBOL,,,,576,49,0.406793880961835385701164113925,0.835808981698006436822367959394,635,EDFSMode.RANDOM
40,40_0,FAILED,SOBOL,,,,205,80,0.701828786540776516922335304116,0.530493380254134505591423476289,291,EDFSMode.RANDOM
41,41_0,COMPLETED,SOBOL,0.170000000000000012212453270877,7438.000000000000000000000000000000,0.900000000000000022204460492503,2897,5,0.437748436925932737917577242115,0.292652456829324392195701420860,677,EDFSMode.RANDOM
