trial_index,arm_name,trial_status,generation_method,n_samples,threshold,outlier_detector_kwargs
0,0_0,FAILED,Sobol,466,0.584506678581237837377670985006,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
1,1_0,FAILED,Sobol,907,0.735511973872780888683564626263,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
2,2_0,FAILED,Sobol,531,0.628416054509580268572221939394,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
3,3_0,FAILED,Sobol,416,0.669748565182089805603027343750,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
4,4_0,FAILED,Sobol,134,0.771137271821499048485293315025,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
5,5_0,FAILED,Sobol,256,0.620751413144171371172319595644,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
6,6_0,FAILED,Sobol,860,0.594499706476926847997788172506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
7,7_0,FAILED,Sobol,453,0.477780934236943788384621711884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
8,8_0,FAILED,Sobol,930,0.592734595015645071569565516256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
9,9_0,FAILED,Sobol,171,0.713599358312785758684526626894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
10,10_0,FAILED,Sobol,531,0.686101965047419160015351735638,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
11,11_0,FAILED,Sobol,661,0.713100649043917789171587173769,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
12,12_0,FAILED,Sobol,489,0.630388017930090471807602625631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
13,13_0,FAILED,Sobol,114,0.562632165476679935167680923769,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
14,14_0,FAILED,Sobol,194,0.268812388554215464520069645005,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
15,15_0,FAILED,Sobol,550,0.780710741318762391216523610638,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
16,16_0,FAILED,Sobol,951,0.400009511038661003112792968750,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
17,17_0,FAILED,Sobol,455,0.291449811309576034545898437500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
18,18_0,FAILED,Sobol,867,0.641479664668440863195542078756,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
19,19_0,FAILED,Sobol,109,0.527426671236753463745117187500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
20,20_0,FAILED,Sobol,564,0.566087361425161361694335937500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
21,21_0,FAILED,Sobol,391,0.562014486826956316534165125631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
22,22_0,FAILED,Sobol,417,0.272340750135481368676693136877,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
23,23_0,FAILED,Sobol,707,0.467139069922268446166668809383,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
24,24_0,FAILED,Sobol,209,0.564646595530212014324433766888,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
25,25_0,FAILED,Sobol,371,0.738464566320180981762177907513,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
26,26_0,FAILED,Sobol,320,0.518607116490602537695053797506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
27,27_0,FAILED,Sobol,911,0.676157928258180662695053797506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
28,28_0,FAILED,Sobol,652,0.384341313876211676525684879380,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
29,29_0,FAILED,Sobol,414,0.709695761278271719518784266256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
30,30_0,FAILED,Sobol,386,0.286519326642155680584522770005,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
31,31_0,FAILED,Sobol,941,0.586488979123532816473129969381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
32,32_0,FAILED,Sobol,982,0.250693529658019553796322043127,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
33,33_0,FAILED,Sobol,842,0.621998872794210955206040125631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
34,34_0,FAILED,Sobol,398,0.476346514001488752221291633759,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
35,35_0,FAILED,Sobol,826,0.370833750069141432348374110006,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
36,36_0,FAILED,Sobol,286,0.318890394829213663641098719381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
37,37_0,FAILED,Sobol,291,0.250958276540040992053093305003,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
38,38_0,FAILED,Sobol,554,0.620791236683726377343361946259,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
39,39_0,FAILED,Sobol,377,0.734237550757825374603271484375,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
40,40_0,FAILED,Sobol,141,0.279185643047094367297233930003,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
41,41_0,FAILED,Sobol,365,0.276677722297608896795395594381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
