start_time,end_time,run_time,program_string,n_samples,n_windows,disjoint_training_windows,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727795220,1727795714,494,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 357 n_windows 38 disjoint_training_windows False,357,38,False,0.2963627592860588,0,None,i7181,476,0.00013897870342690586
1727795220,1727795721,501,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 507 n_windows 161 disjoint_training_windows False,507,161,False,0.30551736613603475,0,None,i7181,484,0.00019168227784041976
1727795241,1727795723,482,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 270 n_windows 167 disjoint_training_windows False,270,167,False,0.2925072358900145,0,None,i7174,471,0.00010674065041846655
1727795241,1727795730,489,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 486 n_windows 132 disjoint_training_windows False,486,132,False,0.3020405209840811,0,None,i7174,478,0.00018572543094170363
1727795220,1727795739,519,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 977 n_windows 97 disjoint_training_windows False,977,97,False,0.31944766039556194,0,None,i7181,502,0.0003524342604726765
1727795189,1727795781,592,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 819 n_windows 46 disjoint_training_windows False,819,46,False,0.3182537385431742,0,None,i7186,544,0.0002967383569037077
1727795190,1727795786,596,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 951 n_windows 62 disjoint_training_windows False,951,62,False,0.3262614568258563,0,None,i7186,549,0.00033528508297708354
1727795189,1727795790,601,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 924 n_windows 86 disjoint_training_windows False,924,86,False,0.31823444283646884,0,None,i7186,552,0.00033451454930742203
1727795201,1727795800,599,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 151 n_windows 86 disjoint_training_windows False,151,86,False,0.27531837916063673,0,None,i7186,563,8.443595363609715e-05
1727795241,1727795928,687,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 UDetect n_samples 209 n_windows 105 disjoint_training_windows False,209,105,False,0.3472551857211771,0,None,i7174,676,0.0007199582268477177
