start_time,end_time,run_time,program_string,n_reference_samples,recent_samples_proportion,threshold,result,exit_code,signal,hostname,OO_Info_runtime,OO_Info_lpd
1727633202,1727633873,671,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2514459720212253,0,None,i7186,664,2.2568565701643696e-05
1727633333,1727633883,550,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 335 recent_samples_proportion 0.32872823159049636 threshold 0.541447449674492,335,0.32872823159049636,0.541447449674492,0.2961589483839846,0,None,i7186,543,0.00013065388982214145
1727633322,1727633918,596,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 93 recent_samples_proportion 0.4404650002595386 threshold 0.5309740394883645,93,0.4404650002595386,0.5309740394883645,0.2644561022672456,0,None,i7186,589,4.0239428201328784e-05
1727633342,1727633965,623,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2515472744814279,0,None,i7181,615,2.2569276534308043e-05
1727633322,1727633998,676,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 0.40436877957720774 threshold 0.5,50,0.40436877957720774,0.5,0.2515159189580318,0,None,i7186,669,2.2592081384579973e-05
1727633407,1727634017,610,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.25132899179932466,0,None,i7181,603,2.2563264644999343e-05
1727633447,1727634021,574,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513917028461168,0,None,i7174,567,2.2567738482411018e-05
1727633427,1727634031,604,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2514134105161602,0,None,i7181,597,2.258169470796937e-05
1727633467,1727634031,564,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 50 recent_samples_proportion 1 threshold 0.5,50,1,0.5,0.2513699951760733,0,None,i7174,558,2.2574634142486956e-05
1727633507,1727634031,524,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_omniopt.py PokerHand 1000 DiscriminativeDriftDetector2019 n_reference_samples 158 recent_samples_proportion 0.5743783534346899 threshold 0.5562406609206938,158,0.5743783534346899,0.5562406609206938,0.27856488181379646,0,None,i7181,517,6.58507173461627e-05
