trial_index,arm_name,trial_status,generation_method,result,n_samples,confidence,feature_proportion,n_clusters
0,0_0,COMPLETED,Sobol,0.299364447660395605055327905575,392,0.250000000000000000000000000000,0.125973188877105707339509876874,1
1,1_0,COMPLETED,Sobol,0.310570429329474206880945530429,661,0.010000000000000000208166817117,0.129536976665258402041658314374,1
2,2_0,COMPLETED,Sobol,0.272050168837433714585927191365,124,0.250000000000000000000000000000,0.004527391307055950511739617070,2
3,3_0,COMPLETED,Sobol,0.272345634346357945432259839436,127,0.025000000000000001387778780781,0.188410873524844646453857421875,2
4,4_0,COMPLETED,Sobol,0.316195127834056899374104432354,721,0.100000000000000005551115123126,0.025189650245010852813720703125,1
5,5_0,COMPLETED,Sobol,0.317855764592378187138876910467,861,0.001000000000000000020816681712,0.095915075019001969081067215939,1
6,6_0,COMPLETED,Sobol,0.322983598649300485128321724915,974,0.100000000000000005551115123126,0.002316499501466751011896638701,1
7,7_0,COMPLETED,Sobol,0.308909792571152919116173052316,610,0.100000000000000005551115123126,0.103769115358591082487471624063,2
8,8_0,COMPLETED,Sobol,0.291261456825856246410921812640,335,0.250000000000000000000000000000,0.094662074930965900421142578125,2
9,9_0,COMPLETED,Sobol,0.305904486251808993557688154397,521,0.250000000000000000000000000000,0.175773870013654243127376730627,3
10,10_0,COMPLETED,Sobol,0.289911963338157274705508825718,268,0.025000000000000001387778780781,0.088243950903415691033870871252,2
11,11_0,COMPLETED,Sobol,0.314307766521948916960127462517,703,0.025000000000000001387778780781,0.151831477321684366055265513751,4
12,12_0,COMPLETED,Sobol,0.299522431259044874529706703470,466,0.001000000000000000020816681712,0.134880634583532804660066517499,1
13,13_0,COMPLETED,Sobol,0.320090448625180878927665162337,880,0.100000000000000005551115123126,0.054677539132535458998862765156,2
14,14_0,COMPLETED,Sobol,0.284035214664737134526717454719,218,0.050000000000000002775557561563,0.188544376567006122247249777502,1
15,15_0,COMPLETED,Sobol,0.318912204534491094953807532875,766,0.010000000000000000208166817117,0.025302996300160886938845905547,4
16,16_0,COMPLETED,Sobol,0.314120839363241644015545261936,182,0.001000000000000000020816681712,0.011049367859959602702901726445,4
17,17_0,COMPLETED,Sobol,0.313270622286541233769696646050,717,0.025000000000000001387778780781,0.115910582058131705895931418127,4
18,18_0,COMPLETED,Sobol,0.318783164495899606905027212633,843,0.250000000000000000000000000000,0.087754449248313909359708873126,3
19,19_0,COMPLETED,Sobol,0.279965026531596716807825941942,159,0.100000000000000005551115123126,0.071889520995318895169035045001,4
20,20_0,COMPLETED,BoTorch,0.267884708152436035177856865630,100,0.050000000000000002775557561563,0.177883868649023973995682013083,3
21,21_0,COMPLETED,BoTorch,0.264487457790641533605935364903,100,0.250000000000000000000000000000,0.027738805364601382130729234632,3
22,22_0,COMPLETED,BoTorch,0.265705499276410961329020210542,100,0.250000000000000000000000000000,0.062866928559237936213754949222,2
23,23_0,COMPLETED,BoTorch,0.273271828268210281720484999823,100,0.010000000000000000208166817117,0.200000000000000011102230246252,2
24,24_0,FAILED,BoTorch,,100,0.250000000000000000000000000000,0.000000000000000000000000000000,1
25,25_0,FAILED,BoTorch,,100,0.250000000000000000000000000000,0.000000000000000000000000000000,3
26,26_0,COMPLETED,BoTorch,0.271438736131210833768534484989,100,0.005000000000000000104083408559,0.200000000000000011102230246252,1
27,27_0,COMPLETED,BoTorch,0.270335262904003892359128258249,100,0.100000000000000005551115123126,0.096077322497792383426684637016,2
28,28_0,COMPLETED,BoTorch,0.269007477086348312234065360826,100,0.025000000000000001387778780781,0.200000000000000011102230246252,3
29,29_0,COMPLETED,BoTorch,0.265430535455861038585112510191,100,0.100000000000000005551115123126,0.200000000000000011102230246252,3
30,30_0,FAILED,BoTorch,,100,0.100000000000000005551115123126,0.000000000000000000000000000000,2
31,31_0,COMPLETED,BoTorch,0.268408104196816155173621609720,100,0.050000000000000002775557561563,0.156571684842136849002969256617,2
32,32_0,COMPLETED,BoTorch,0.285082006753497374518246942898,100,0.001000000000000000020816681712,0.200000000000000011102230246252,3
33,33_0,COMPLETED,BoTorch,0.270660877954655099131286988268,100,0.100000000000000005551115123126,0.045550926298050381513249362797,1
34,34_0,COMPLETED,BoTorch,0.267842498794018335495081828412,100,0.050000000000000002775557561563,0.200000000000000011102230246252,4
35,35_0,COMPLETED,BoTorch,0.266488181379643029877968274377,100,0.250000000000000000000000000000,0.057876130083879789856027286987,3
36,36_0,COMPLETED,BoTorch,0.265090448625180941100154541346,100,0.250000000000000000000000000000,0.147416184455075177650584805633,3
37,37_0,COMPLETED,BoTorch,0.270454655089242601562204981747,100,0.100000000000000005551115123126,0.088106778025058174463879367977,2
38,38_0,COMPLETED,BoTorch,0.269813072841292855841288655938,100,0.025000000000000001387778780781,0.171349745133378444927885198013,1
39,39_0,FAILED,BoTorch,,100,0.100000000000000005551115123126,0.000000000000000000000000000000,3
40,24_0,FAILED,BoTorch,,100,0.250000000000000000000000000000,0.000000000000000000000000000000,1
41,25_0,FAILED,BoTorch,,100,0.250000000000000000000000000000,0.000000000000000000000000000000,3
42,42_0,FAILED,BoTorch,,100,0.010000000000000000208166817117,0.000000000000000000000000000000,1
43,24_0,FAILED,BoTorch,,100,0.250000000000000000000000000000,0.000000000000000000000000000000,1
44,44_0,COMPLETED,BoTorch,0.265677761698022152359044412151,100,0.250000000000000000000000000000,0.017034812548118678787734125990,1
45,25_0,FAILED,BoTorch,,100,0.250000000000000000000000000000,0.000000000000000000000000000000,3
