trial_index,arm_name,trial_status,generation_method,generation_node,xresultx,iiuu
0,0_0,COMPLETED,Sobol,GenerationStep_0,5871.280431747436523437500000000000,5871.280431747436523437500000000000
1,1_0,COMPLETED,BoTorch,GenerationStep_1,-9984.475154975893019582144916057587,-9984.475154975893019582144916057587
