trial_index,arm_name,trial_status,generation_method,generation_node,VAL_LOSS,RAM_USAGE,RUNTIME,lr,epochs,width_height,val_split
0,0_0,COMPLETED,Sobol,GenerationStep_0,1.526799999999999934985339677951,637.610000000000013642420526593924,193.000000000000000000000000000000,0.044135078787803649902343750000,33,10.000000000000000000000000000000,0.2
1,1_0,COMPLETED,Sobol,GenerationStep_0,1.528299999999999991828758538759,657.100000000000022737367544323206,155.000000000000000000000000000000,0.096818234678357845135465709063,43,20.000000000000000000000000000000,0.2
2,2_0,COMPLETED,Sobol,GenerationStep_0,1.498799999999999910116343926347,638.429999999999949977791402488947,51.000000000000000000000000000000,0.063131384085863828659057617188,36,5.000000000000000000000000000000,0.2
3,3_0,COMPLETED,Sobol,GenerationStep_0,1.008999999999999896971303314785,654.649999999999977262632455676794,60.000000000000000000000000000000,0.015129622351378203132243882578,45,15.000000000000000000000000000000,0.2
4,4_0,COMPLETED,Sobol,GenerationStep_0,0.094200000000000005950795411991,669.799999999999954525264911353588,61.000000000000000000000000000000,0.003199218027293682271861019473,39,20.000000000000000000000000000000,0.2
5,5_0,COMPLETED,Sobol,GenerationStep_0,1.523700000000000054356519285648,637.840000000000031832314562052488,77.000000000000000000000000000000,0.055893245153129100799560546875,50,10.000000000000000000000000000000,0.2
6,6_0,COMPLETED,Sobol,GenerationStep_0,1.548699999999999965538677315635,652.600000000000022737367544323206,53.000000000000000000000000000000,0.084889546222984793577559514688,31,15.000000000000000000000000000000,0.2
7,7_0,COMPLETED,Sobol,GenerationStep_0,1.138300000000000089528384705773,639.629999999999995452526491135359,62.000000000000000000000000000000,0.036901326663792137494635170469,42,5.000000000000000000000000000000,0.2
8,8_0,COMPLETED,Sobol,GenerationStep_0,1.073499999999999898747660154186,651.679999999999949977791402488947,60.000000000000000000000000000000,0.030494145303964617643721624063,37,15.000000000000000000000000000000,0.2
9,9_0,COMPLETED,Sobol,GenerationStep_0,1.538999999999999923616655905789,642.620000000000004547473508864641,73.000000000000000000000000000000,0.078598340600728996974133622189,47,5.000000000000000000000000000000,0.2
10,10_0,COMPLETED,Sobol,GenerationStep_0,1.523600000000000065369931689929,660.279999999999972715158946812153,47.000000000000000000000000000000,0.062282094731926918029785156250,34,20.000000000000000000000000000000,0.2
11,11_0,COMPLETED,Sobol,GenerationStep_0,0.200399999999999994804156244754,637.620000000000004547473508864641,54.000000000000000000000000000000,0.009508707001805305827901726445,45,10.000000000000000000000000000000,0.2
12,12_0,COMPLETED,Sobol,GenerationStep_0,1.523099999999999898392388786306,643.490000000000009094947017729282,39.000000000000000000000000000000,0.021429982874542476828372272735,30,5.000000000000000000000000000000,0.2
13,13_0,COMPLETED,Sobol,GenerationStep_0,1.530699999999999949551465761033,651.820000000000050022208597511053,50.000000000000000000000000000000,0.069523306284099820051558538125,40,15.000000000000000000000000000000,0.2
14,14_0,COMPLETED,Sobol,GenerationStep_0,1.527600000000000068922645368730,637.250000000000000000000000000000,61.000000000000000000000000000000,0.090524004120379697457821066564,38,10.000000000000000000000000000000,0.2
15,15_0,COMPLETED,Sobol,GenerationStep_0,1.525700000000000056132876125048,667.009999999999990905052982270718,85.000000000000000000000000000000,0.037737074214965110607877818438,48,20.000000000000000000000000000000,0.2
16,16_0,COMPLETED,Sobol,GenerationStep_0,1.524799999999999933208982838551,640.610000000000013642420526593924,67.000000000000000000000000000000,0.042851168848574164305098577188,38,5.000000000000000000000000000000,0.2
17,17_0,COMPLETED,Sobol,GenerationStep_0,1.530999999999999916511228548188,648.779999999999972715158946812153,83.000000000000000000000000000000,0.091632657684385776519775390625,49,15.000000000000000000000000000000,0.2
18,18_0,COMPLETED,Sobol,GenerationStep_0,1.525900000000000034106051316485,636.340000000000031832314562052488,56.000000000000000000000000000000,0.073760057054460051451094670938,30,10.000000000000000000000000000000,0.2
19,19_0,COMPLETED,Sobol,GenerationStep_0,1.448800000000000087752027866372,666.039999999999963620211929082870,61.000000000000000000000000000000,0.023422180674970149993896484375,41,20.000000000000000000000000000000,0.2
20,20_0,COMPLETED,BoTorch,GenerationStep_1,0.385500000000000009325873406851,637.460000000000036379788070917130,47.000000000000000000000000000000,0.005433621215199058683553712257,38,10.000000000000000000000000000000,0.2
21,21_0,COMPLETED,BoTorch,GenerationStep_1,0.104999999999999996114219413812,636.570000000000050022208597511053,70.000000000000000000000000000000,0.003843007513212946379271839348,46,10.000000000000000000000000000000,0.2
