trial_index,arm_name,trial_status,generation_method,n_samples,threshold,outlier_detector_kwargs
0,0_0,FAILED,Sobol,325,0.541526317596435546875000000000,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
1,1_0,FAILED,Sobol,760,0.459834042377769980358692691880,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
2,2_0,FAILED,Sobol,593,0.589490253664553209844712000631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
3,3_0,FAILED,Sobol,707,0.401162487082183383257927289378,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
4,4_0,FAILED,Sobol,727,0.788136108964681669775131922506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
5,5_0,FAILED,Sobol,697,0.729604725353419913957964126894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
6,6_0,FAILED,Sobol,843,0.424736041016876730846973941880,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
7,7_0,FAILED,Sobol,694,0.483117106370627935607586778133,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
8,8_0,FAILED,Sobol,891,0.339169675298035211419289680634,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
9,9_0,FAILED,Sobol,165,0.497392511181533381048325281881,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
10,10_0,FAILED,Sobol,714,0.458329000137746356280388226878,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
11,11_0,FAILED,Sobol,197,0.359839267469942603039356754380,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
12,12_0,FAILED,Sobol,413,0.246973514184355757983269086253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
13,13_0,FAILED,Sobol,461,0.775248949602246328893784266256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
14,14_0,FAILED,Sobol,455,0.781949071958661257042422221275,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
15,15_0,FAILED,Sobol,738,0.585306618362665176391601562500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
16,16_0,FAILED,Sobol,957,0.431722381338477179113510828756,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
17,17_0,FAILED,Sobol,217,0.351987626962363742144646039378,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
18,18_0,FAILED,Sobol,311,0.557319524697959423065185546875,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
19,19_0,FAILED,Sobol,149,0.636483061872422761773293586884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
20,20_0,FAILED,Sobol,708,0.300860379636287700311214621252,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
21,21_0,FAILED,Sobol,202,0.376869459636509418487548828125,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
22,22_0,FAILED,Sobol,473,0.641342558525502814958940689394,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
23,23_0,FAILED,Sobol,703,0.368861048482358455657958984375,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
24,24_0,FAILED,Sobol,932,0.477852365933358724792157090633,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
25,25_0,FAILED,Sobol,630,0.768429628200829162310014908144,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
26,26_0,FAILED,Sobol,533,0.504730672389268941735451790009,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
27,27_0,FAILED,Sobol,571,0.629271448962390511638886891888,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
28,28_0,FAILED,Sobol,874,0.637722997367382138378388845013,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
29,29_0,FAILED,Sobol,310,0.768968463875353336334228515625,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
30,30_0,FAILED,Sobol,553,0.415929633006453580712502571259,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
31,31_0,FAILED,Sobol,769,0.621626959368586584631088953756,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
32,32_0,FAILED,Sobol,644,0.260170608386397383959831586253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
33,33_0,FAILED,Sobol,283,0.203518569841980939694181529376,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
34,34_0,FAILED,Sobol,747,0.673048477433621950005715461884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
35,35_0,FAILED,Sobol,557,0.765503410808742179582964126894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
36,36_0,FAILED,Sobol,668,0.483660927042365129668866075008,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
37,37_0,FAILED,Sobol,367,0.641067931614816233221176844381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
38,38_0,FAILED,Sobol,169,0.674245301447808809136574836884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
39,39_0,FAILED,Sobol,991,0.459659642353653974389260383759,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
40,40_0,FAILED,Sobol,481,0.232012098096311097927824107501,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
41,41_0,FAILED,Sobol,219,0.276130382344126734661671207505,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
42,42_0,FAILED,Sobol,504,0.204085977189242845364347545001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
43,43_0,FAILED,Sobol,359,0.519650568440556570593003016256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
44,44_0,FAILED,Sobol,623,0.620689673162996835564797493134,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
45,45_0,FAILED,Sobol,102,0.779603476822376295629624110006,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
46,46_0,FAILED,Sobol,944,0.631080757640302247857277961884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
47,47_0,FAILED,Sobol,700,0.787533354572951926897417251894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
48,48_0,FAILED,Sobol,243,0.267112697847187552380177066880,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
49,49_0,FAILED,Sobol,370,0.600552315078675791326645594381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
50,50_0,FAILED,Sobol,364,0.279377605393528960497917523753,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
51,51_0,FAILED,Sobol,921,0.285823559947311900408806195628,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
52,52_0,FAILED,Sobol,181,0.279042646661400828289600895005,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
53,53_0,FAILED,Sobol,919,0.252637347206473350524902343750,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
54,54_0,FAILED,Sobol,783,0.615374389849603242730324836884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
55,55_0,FAILED,Sobol,464,0.446953290700912497790397992503,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
56,56_0,FAILED,Sobol,481,0.595578250661492392126206141256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
57,57_0,FAILED,Sobol,446,0.277438246458768855706722433752,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
58,58_0,FAILED,Sobol,780,0.343441623449325605932358485006,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
59,59_0,FAILED,Sobol,226,0.773754827305674686144243423769,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
60,60_0,FAILED,Sobol,634,0.297400320507586024554314008128,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
61,61_0,FAILED,Sobol,676,0.585614874586463107775102798769,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
62,62_0,FAILED,Sobol,119,0.500571446865797131664521657513,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
63,63_0,FAILED,Sobol,927,0.689842327311635084008401008759,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
64,64_0,FAILED,Sobol,593,0.579875141754746525890595876263,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
65,65_0,FAILED,Sobol,930,0.431458101607859190185223496883,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
66,66_0,FAILED,Sobol,199,0.326081657595932550286477180634,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
67,67_0,FAILED,Sobol,862,0.606394630670547551964943977509,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
68,68_0,FAILED,Sobol,931,0.337904874049127168511574836884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
69,69_0,FAILED,Sobol,777,0.335071026906371138842644086253,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
70,70_0,FAILED,Sobol,208,0.718686725944280624389648437500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
71,71_0,FAILED,Sobol,581,0.710001554898917808245073501894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
72,72_0,FAILED,Sobol,480,0.435308024846017382891716351878,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
73,73_0,FAILED,Sobol,659,0.457254102081060431750358930003,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
74,74_0,FAILED,Sobol,966,0.269495479017496153417710047506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
75,75_0,FAILED,Sobol,285,0.795861918106675281237016861269,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
76,76_0,FAILED,Sobol,393,0.326598214171826883855942469381,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
77,77_0,FAILED,Sobol,552,0.797354917228221937719467860006,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
78,78_0,FAILED,Sobol,270,0.665293453447520777288559656881,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
79,79_0,FAILED,Sobol,551,0.422940100915730032848927066880,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
80,80_0,FAILED,Sobol,645,0.221519226022064696923763449377,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
81,81_0,FAILED,Sobol,584,0.641323590278625621508012955019,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
82,82_0,FAILED,Sobol,985,0.303535252250731024670216129380,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
83,83_0,FAILED,Sobol,101,0.759625910222530453808076345013,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
84,84_0,FAILED,Sobol,983,0.644724852591753050390366297506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
85,85_0,FAILED,Sobol,652,0.215401367656886583157316295001,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
86,86_0,FAILED,Sobol,970,0.451091244630515642022317024384,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
87,87_0,FAILED,Sobol,183,0.383875441551208562707131477509,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
88,88_0,FAILED,Sobol,675,0.583736818097531862115090461884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
89,89_0,FAILED,Sobol,836,0.438342785649001642767075281881,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
90,90_0,FAILED,Sobol,663,0.328480108454823560570901008759,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
91,91_0,FAILED,Sobol,991,0.711596833914518445141084157513,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
92,92_0,FAILED,Sobol,571,0.612727713957428976598862391256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
93,93_0,FAILED,Sobol,347,0.386778363958001136779785156250,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
94,94_0,FAILED,Sobol,512,0.689135760813951558922951790009,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
95,95_0,FAILED,Sobol,218,0.791679222136735916137695312500,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
96,96_0,FAILED,Sobol,948,0.764161095395684331066377126263,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
97,97_0,FAILED,Sobol,581,0.505770501680672168731689453125,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
98,98_0,FAILED,Sobol,598,0.722909412533044859472397547506,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
99,99_0,FAILED,Sobol,439,0.355002414248883790826027961884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
100,100_0,FAILED,Sobol,759,0.647829246893525168005112391256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
101,101_0,FAILED,Sobol,398,0.749300012364983558654785156250,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
102,102_0,FAILED,Sobol,695,0.574252281151712007378762336884,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
103,103_0,FAILED,Sobol,429,0.669639695994556083391557876894,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
104,104_0,FAILED,Sobol,534,0.766071642376482619951616470644,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
105,105_0,FAILED,Sobol,707,0.787183037400245755321748220013,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
106,106_0,FAILED,Sobol,643,0.601950503699481553887551399384,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
107,107_0,FAILED,Sobol,139,0.252548363246023699346665125631,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
108,108_0,FAILED,Sobol,989,0.638481207564473240978486501263,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
109,109_0,FAILED,Sobol,106,0.672331315651536032262924891256,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
110,110_0,FAILED,Sobol,554,0.420112941972911380084099164378,"{'nu':0.5,'kernel':'rbf','gamma':'auto'}"
