start_time,end_time,run_time,program_string,lr,epochs,width_height,val_split,VAL_LOSS,RAM_USAGE,RUNTIME,exit_code,signal,hostname
1739368175,1739368368,193,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.04413507878780365 --epochs=33 --validation_split=0.2 --width=10 --height=10,0.04413507878780365,33,10,0.2,1.5268,637.61,193,0,None,arbeitsrechner
1739368380,1739368535,155,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.09681823467835785 --epochs=43 --validation_split=0.2 --width=20 --height=20,0.09681823467835785,43,20,0.2,1.5283,657.1,155,0,None,arbeitsrechner
1739368540,1739368591,51,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06313138408586383 --epochs=36 --validation_split=0.2 --width=5 --height=5,0.06313138408586383,36,5,0.2,1.4988,638.43,51,0,None,arbeitsrechner
1739368594,1739368654,60,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.015129622351378203 --epochs=45 --validation_split=0.2 --width=15 --height=15,0.015129622351378203,45,15,0.2,1.009,654.65,60,0,None,arbeitsrechner
1739368659,1739368720,61,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0031992180272936823 --epochs=39 --validation_split=0.2 --width=20 --height=20,0.0031992180272936823,39,20,0.2,0.0942,669.8,61,0,None,arbeitsrechner
1739368724,1739368801,77,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0558932451531291 --epochs=50 --validation_split=0.2 --width=10 --height=10,0.0558932451531291,50,10,0.2,1.5237,637.84,77,0,None,arbeitsrechner
1739368806,1739368859,53,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.0848895462229848 --epochs=31 --validation_split=0.2 --width=15 --height=15,0.0848895462229848,31,15,0.2,1.5487,652.6,53,0,None,arbeitsrechner
1739368864,1739368926,62,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.03690132666379214 --epochs=42 --validation_split=0.2 --width=5 --height=5,0.03690132666379214,42,5,0.2,1.1383,639.63,62,0,None,arbeitsrechner
1739368931,1739368991,60,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.030494145303964618 --epochs=37 --validation_split=0.2 --width=15 --height=15,0.030494145303964618,37,15,0.2,1.0735,651.68,60,0,None,arbeitsrechner
1739368996,1739369069,73,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.078598340600729 --epochs=47 --validation_split=0.2 --width=5 --height=5,0.078598340600729,47,5,0.2,1.539,642.62,73,0,None,arbeitsrechner
1739369075,1739369122,47,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.06228209473192692 --epochs=34 --validation_split=0.2 --width=20 --height=20,0.06228209473192692,34,20,0.2,1.5236,660.28,47,0,None,arbeitsrechner
1739369126,1739369180,54,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.009508707001805306 --epochs=45 --validation_split=0.2 --width=10 --height=10,0.009508707001805306,45,10,0.2,0.2004,637.62,54,0,None,arbeitsrechner
1739369185,1739369224,39,bash /home/s3811141/repos/OmniOpt/ax/.tests/example_network/run.sh --learning_rate=0.021429982874542477 --epochs=30 --validation_split=0.2 --width=5 --height=5,0.021429982874542477,30,5,0.2,1.5231,643.49,39,0,None,arbeitsrechner
