trial_index,arm_name,trial_status,generation_method,result,n_samples,n_windows,disjoint_training_windows
0,0_0,COMPLETED,Sobol,0.264511510078202394247171014285,374,28,True
1,1_0,COMPLETED,Sobol,0.290230201564048884144142448349,422,149,False
2,2_0,COMPLETED,Sobol,0.264511510078202394247171014285,223,144,True
3,3_0,COMPLETED,Sobol,0.264511510078202394247171014285,226,89,True
4,4_0,COMPLETED,Sobol,0.264511510078202394247171014285,871,127,True
5,5_0,COMPLETED,Sobol,0.264511510078202394247171014285,925,154,True
6,6_0,COMPLETED,Sobol,0.301960568344531332662938893918,234,193,False
7,7_0,COMPLETED,Sobol,0.297664941072805389055133673537,794,25,False
8,8_0,COMPLETED,Sobol,0.292653375922458436342310506006,509,131,False
9,9_0,COMPLETED,Sobol,0.264511510078202394247171014285,761,149,True
10,10_0,COMPLETED,Sobol,0.264511510078202394247171014285,524,65,True
11,11_0,COMPLETED,Sobol,0.300804053309835839336017215828,938,219,False
12,12_0,COMPLETED,Sobol,0.301244630465910323557920946769,269,46,False
13,13_0,COMPLETED,Sobol,0.270899878841282082397867725376,180,54,False
14,14_0,COMPLETED,Sobol,0.264511510078202394247171014285,333,121,True
15,15_0,COMPLETED,Sobol,0.264511510078202394247171014285,874,150,True
16,16_0,COMPLETED,Sobol,0.264511510078202394247171014285,200,50,True
17,17_0,COMPLETED,Sobol,0.264511510078202394247171014285,338,153,True
18,18_0,COMPLETED,Sobol,0.264511510078202394247171014285,987,238,True
19,19_0,COMPLETED,Sobol,0.264511510078202394247171014285,231,90,True
20,20_0,COMPLETED,BoTorch,0.264511510078202394247171014285,574,126,True
21,21_0,COMPLETED,BoTorch,0.264511510078202394247171014285,621,203,True
22,22_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,64,True
23,23_0,COMPLETED,BoTorch,0.264511510078202394247171014285,491,101,True
24,24_0,COMPLETED,BoTorch,0.264511510078202394247171014285,441,93,True
25,25_0,COMPLETED,BoTorch,0.264511510078202394247171014285,449,100,True
26,26_0,COMPLETED,BoTorch,0.264511510078202394247171014285,573,125,True
27,27_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,188,True
28,28_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,60,True
29,29_0,COMPLETED,BoTorch,0.308404009252120303585797955748,320,154,False
30,30_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,69,True
31,31_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,51,True
32,32_0,COMPLETED,BoTorch,0.264511510078202394247171014285,612,115,True
33,33_0,COMPLETED,BoTorch,0.264511510078202394247171014285,313,86,True
34,34_0,COMPLETED,BoTorch,0.264511510078202394247171014285,289,73,True
35,35_0,COMPLETED,BoTorch,0.264511510078202394247171014285,268,81,True
36,36_0,COMPLETED,BoTorch,0.264511510078202394247171014285,483,250,True
37,37_0,COMPLETED,BoTorch,0.264511510078202394247171014285,574,119,True
38,38_0,COMPLETED,BoTorch,0.280592576274920180168237493490,100,25,False
39,39_0,COMPLETED,BoTorch,0.264511510078202394247171014285,592,119,True
40,40_0,COMPLETED,BoTorch,0.264511510078202394247171014285,354,90,True
41,38_0,COMPLETED,BoTorch,0.280592576274920180168237493490,100,25,False
42,42_0,COMPLETED,BoTorch,0.264511510078202394247171014285,312,84,True
43,43_0,COMPLETED,BoTorch,0.264511510078202394247171014285,563,131,True
44,44_0,COMPLETED,BoTorch,0.264511510078202394247171014285,336,88,True
45,45_0,COMPLETED,BoTorch,0.264511510078202394247171014285,186,64,True
46,46_0,COMPLETED,BoTorch,0.264511510078202394247171014285,589,136,True
47,47_0,COMPLETED,BoTorch,0.264511510078202394247171014285,198,74,True
48,48_0,COMPLETED,BoTorch,0.264511510078202394247171014285,618,142,True
49,49_0,COMPLETED,BoTorch,0.277894041193964103086955219624,100,35,True
50,50_0,COMPLETED,BoTorch,0.264511510078202394247171014285,572,135,True
51,51_0,COMPLETED,BoTorch,0.279656349818261928952267680870,100,34,True
52,52_0,COMPLETED,BoTorch,0.279656349818261928952267680870,100,25,True
53,53_0,COMPLETED,BoTorch,0.264511510078202394247171014285,569,139,True
54,54_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,70,True
55,55_0,COMPLETED,BoTorch,0.264511510078202394247171014285,594,139,True
56,56_0,COMPLETED,BoTorch,0.264511510078202394247171014285,607,161,True
57,57_0,COMPLETED,BoTorch,0.264511510078202394247171014285,612,168,True
58,58_0,COMPLETED,BoTorch,0.264511510078202394247171014285,592,160,True
59,38_0,COMPLETED,BoTorch,0.280592576274920180168237493490,100,25,False
60,60_0,COMPLETED,BoTorch,0.264511510078202394247171014285,698,188,True
61,61_0,COMPLETED,BoTorch,0.301850424055512767118614192441,960,189,False
62,62_0,COMPLETED,BoTorch,0.264511510078202394247171014285,633,172,True
63,63_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,25,True
64,64_0,COMPLETED,BoTorch,0.264511510078202394247171014285,611,164,True
65,65_0,COMPLETED,BoTorch,0.279656349818261928952267680870,100,31,True
66,66_0,COMPLETED,BoTorch,0.264511510078202394247171014285,631,177,True
67,67_0,COMPLETED,BoTorch,0.264511510078202394247171014285,816,172,True
68,68_0,COMPLETED,BoTorch,0.264511510078202394247171014285,410,135,True
69,69_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,137,True
70,70_0,COMPLETED,BoTorch,0.264511510078202394247171014285,763,221,True
71,71_0,COMPLETED,BoTorch,0.282575173477255248144501820207,100,68,False
72,72_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,250,True
73,73_0,COMPLETED,BoTorch,0.302070712633549898207263595395,1000,151,False
74,74_0,COMPLETED,BoTorch,0.283566472078422782132633983565,100,70,False
75,75_0,COMPLETED,BoTorch,0.304879392003524651855173033255,100,250,False
76,76_0,COMPLETED,BoTorch,0.281528802731578320361904843594,100,65,False
77,77_0,COMPLETED,BoTorch,0.264511510078202394247171014285,706,235,True
78,78_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,77,True
79,74_0,COMPLETED,BoTorch,0.283566472078422782132633983565,100,70,False
80,80_0,RUNNING,BoTorch,,100,73,False
81,81_0,RUNNING,BoTorch,,570,25,True
82,82_0,COMPLETED,BoTorch,0.264511510078202394247171014285,703,250,True
83,83_0,COMPLETED,BoTorch,0.264511510078202394247171014285,630,25,True
84,84_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,178,True
85,85_0,COMPLETED,BoTorch,0.264511510078202394247171014285,643,25,True
86,72_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,250,True
87,87_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,64,True
88,88_0,COMPLETED,BoTorch,0.301575063332966131213197513716,956,192,False
89,89_0,COMPLETED,BoTorch,0.264511510078202394247171014285,483,138,True
90,72_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,250,True
91,91_0,COMPLETED,BoTorch,0.280317215552373655285123277281,100,40,False
92,92_0,COMPLETED,BoTorch,0.264511510078202394247171014285,313,225,True
93,93_0,COMPLETED,BoTorch,0.264511510078202394247171014285,296,250,True
94,94_0,COMPLETED,BoTorch,0.302346073356096534112680274120,1000,250,False
95,95_0,COMPLETED,BoTorch,0.264511510078202394247171014285,788,59,True
96,96_0,COMPLETED,BoTorch,0.264511510078202394247171014285,895,210,True
97,97_0,COMPLETED,BoTorch,0.264511510078202394247171014285,876,25,True
98,98_0,COMPLETED,BoTorch,0.264511510078202394247171014285,810,92,True
99,99_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,108,True
100,100_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,51,True
101,101_0,COMPLETED,BoTorch,0.264511510078202394247171014285,211,250,True
102,102_0,COMPLETED,BoTorch,0.264511510078202394247171014285,255,192,True
103,103_0,COMPLETED,BoTorch,0.264511510078202394247171014285,819,71,True
104,104_0,COMPLETED,BoTorch,0.264511510078202394247171014285,860,41,True
105,105_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,217,True
106,106_0,COMPLETED,BoTorch,0.264511510078202394247171014285,779,73,True
107,107_0,COMPLETED,BoTorch,0.264511510078202394247171014285,925,67,True
108,108_0,COMPLETED,BoTorch,0.264511510078202394247171014285,138,114,True
109,109_0,COMPLETED,BoTorch,0.264511510078202394247171014285,689,108,True
110,110_0,COMPLETED,BoTorch,0.264511510078202394247171014285,532,218,True
111,111_0,COMPLETED,BoTorch,0.264511510078202394247171014285,185,173,True
112,112_0,COMPLETED,BoTorch,0.264511510078202394247171014285,535,217,True
113,113_0,COMPLETED,BoTorch,0.290891067298160610476998044760,532,250,False
114,114_0,COMPLETED,BoTorch,0.264511510078202394247171014285,493,212,True
115,115_0,COMPLETED,BoTorch,0.264511510078202394247171014285,553,229,True
116,116_0,COMPLETED,BoTorch,0.264511510078202394247171014285,443,158,True
117,117_0,COMPLETED,BoTorch,0.264511510078202394247171014285,542,218,True
118,118_0,COMPLETED,BoTorch,0.264511510078202394247171014285,147,122,True
119,119_0,COMPLETED,BoTorch,0.264511510078202394247171014285,527,214,True
120,120_0,COMPLETED,BoTorch,0.264511510078202394247171014285,898,106,True
121,121_0,COMPLETED,BoTorch,0.264511510078202394247171014285,147,123,True
122,122_0,COMPLETED,BoTorch,0.264511510078202394247171014285,408,166,True
123,123_0,COMPLETED,BoTorch,0.292157726621874669348244424327,494,113,False
124,124_0,COMPLETED,BoTorch,0.264511510078202394247171014285,674,112,True
125,125_0,COMPLETED,BoTorch,0.264511510078202394247171014285,460,213,True
126,126_0,COMPLETED,BoTorch,0.264511510078202394247171014285,494,25,True
127,127_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,126,True
128,128_0,COMPLETED,BoTorch,0.264511510078202394247171014285,436,54,True
129,129_0,COMPLETED,BoTorch,0.264511510078202394247171014285,397,154,True
130,130_0,COMPLETED,BoTorch,0.264511510078202394247171014285,615,54,True
131,131_0,COMPLETED,BoTorch,0.264511510078202394247171014285,401,153,True
132,132_0,COMPLETED,BoTorch,0.264511510078202394247171014285,771,31,True
133,133_0,COMPLETED,BoTorch,0.264511510078202394247171014285,919,65,True
134,134_0,COMPLETED,BoTorch,0.264511510078202394247171014285,509,206,True
135,135_0,COMPLETED,BoTorch,0.264511510078202394247171014285,193,182,True
136,136_0,COMPLETED,BoTorch,0.264511510078202394247171014285,927,62,True
137,137_0,COMPLETED,BoTorch,0.286154862870360182647289093438,137,25,False
138,138_0,COMPLETED,BoTorch,0.297609868928296106282971322798,1000,25,False
139,139_0,COMPLETED,BoTorch,0.303172155523736108762022922747,586,190,False
140,140_0,COMPLETED,BoTorch,0.264511510078202394247171014285,686,75,True
141,141_0,COMPLETED,BoTorch,0.293149025223042203336376587686,258,80,False
142,142_0,COMPLETED,BoTorch,0.264511510078202394247171014285,297,143,True
143,143_0,COMPLETED,BoTorch,0.295021478136358594746013750409,294,83,False
144,144_0,COMPLETED,BoTorch,0.264511510078202394247171014285,567,71,True
145,145_0,COMPLETED,BoTorch,0.303337371957264068100812437478,580,196,False
146,146_0,COMPLETED,BoTorch,0.264511510078202394247171014285,532,82,True
147,147_0,COMPLETED,BoTorch,0.264511510078202394247171014285,701,47,True
148,148_0,COMPLETED,BoTorch,0.264511510078202394247171014285,558,192,True
149,149_0,COMPLETED,BoTorch,0.264511510078202394247171014285,305,140,True
150,150_0,COMPLETED,BoTorch,0.305264897015089742282611950941,586,197,False
151,151_0,COMPLETED,BoTorch,0.264511510078202394247171014285,1000,199,True
152,152_0,COMPLETED,BoTorch,0.302731578367661624540119191806,578,194,False
153,153_0,COMPLETED,BoTorch,0.303998237691375683411365571374,588,200,False
154,154_0,COMPLETED,BoTorch,0.264511510078202394247171014285,905,167,True
155,155_0,COMPLETED,BoTorch,0.264511510078202394247171014285,831,235,True
156,156_0,COMPLETED,BoTorch,0.264511510078202394247171014285,870,192,True
157,157_0,COMPLETED,BoTorch,0.264511510078202394247171014285,140,91,True
158,158_0,COMPLETED,BoTorch,0.264511510078202394247171014285,391,230,True
159,159_0,COMPLETED,BoTorch,0.264511510078202394247171014285,246,227,True
160,160_0,COMPLETED,BoTorch,0.264511510078202394247171014285,443,183,True
161,161_0,COMPLETED,BoTorch,0.264511510078202394247171014285,851,224,True
162,162_0,COMPLETED,BoTorch,0.264511510078202394247171014285,611,93,True
163,163_0,COMPLETED,BoTorch,0.264511510078202394247171014285,679,163,True
164,164_0,COMPLETED,BoTorch,0.264511510078202394247171014285,394,230,True
165,165_0,COMPLETED,BoTorch,0.264511510078202394247171014285,151,91,True
166,166_0,COMPLETED,BoTorch,0.264511510078202394247171014285,657,133,True
167,167_0,COMPLETED,BoTorch,0.264511510078202394247171014285,695,125,True
168,168_0,COMPLETED,BoTorch,0.299977971142196264686674567201,1000,75,False
169,169_0,COMPLETED,BoTorch,0.264511510078202394247171014285,749,171,True
170,170_0,COMPLETED,BoTorch,0.264511510078202394247171014285,886,76,True
171,171_0,COMPLETED,BoTorch,0.264511510078202394247171014285,446,118,True
172,172_0,COMPLETED,BoTorch,0.264511510078202394247171014285,481,232,True
173,173_0,COMPLETED,BoTorch,0.264511510078202394247171014285,542,56,True
174,174_0,COMPLETED,BoTorch,0.264511510078202394247171014285,916,47,True
175,175_0,COMPLETED,BoTorch,0.264511510078202394247171014285,896,85,True
176,176_0,COMPLETED,BoTorch,0.264511510078202394247171014285,305,162,True
177,177_0,COMPLETED,BoTorch,0.264511510078202394247171014285,406,188,True
178,178_0,COMPLETED,BoTorch,0.264511510078202394247171014285,368,138,True
179,179_0,COMPLETED,BoTorch,0.264511510078202394247171014285,378,189,True
180,180_0,COMPLETED,BoTorch,0.264511510078202394247171014285,916,48,True
181,181_0,COMPLETED,BoTorch,0.264511510078202394247171014285,447,231,True
182,182_0,COMPLETED,BoTorch,0.264511510078202394247171014285,508,156,True
183,183_0,COMPLETED,BoTorch,0.264511510078202394247171014285,537,148,True
184,184_0,COMPLETED,BoTorch,0.297995373939861196710410240485,454,172,False
185,185_0,COMPLETED,BoTorch,0.264511510078202394247171014285,538,162,True
186,186_0,COMPLETED,BoTorch,0.264511510078202394247171014285,518,159,True
187,187_0,COMPLETED,BoTorch,0.264511510078202394247171014285,397,239,True
188,188_0,COMPLETED,BoTorch,0.264511510078202394247171014285,615,37,True
189,189_0,COMPLETED,BoTorch,0.264511510078202394247171014285,442,237,True
190,190_0,COMPLETED,BoTorch,0.264511510078202394247171014285,453,236,True
191,191_0,COMPLETED,BoTorch,0.264511510078202394247171014285,663,70,True
192,192_0,COMPLETED,BoTorch,0.264511510078202394247171014285,539,178,True
193,193_0,COMPLETED,BoTorch,0.264511510078202394247171014285,534,113,True
194,194_0,COMPLETED,BoTorch,0.264511510078202394247171014285,518,109,True
195,195_0,COMPLETED,BoTorch,0.264511510078202394247171014285,481,202,True
196,196_0,COMPLETED,BoTorch,0.264511510078202394247171014285,589,214,True
197,197_0,COMPLETED,BoTorch,0.264511510078202394247171014285,499,132,True
198,198_0,COMPLETED,BoTorch,0.264511510078202394247171014285,532,96,True
199,199_0,COMPLETED,BoTorch,0.299372177552593932148283784045,1000,120,False
200,200_0,COMPLETED,BoTorch,0.264511510078202394247171014285,528,104,True
201,201_0,COMPLETED,BoTorch,0.264511510078202394247171014285,511,109,True
202,202_0,COMPLETED,BoTorch,0.264511510078202394247171014285,533,89,True
203,203_0,COMPLETED,BoTorch,0.264511510078202394247171014285,568,105,True
204,204_0,COMPLETED,BoTorch,0.264511510078202394247171014285,461,206,True
205,205_0,COMPLETED,BoTorch,0.264511510078202394247171014285,530,108,True
206,206_0,COMPLETED,BoTorch,0.264511510078202394247171014285,502,203,True
207,207_0,COMPLETED,BoTorch,0.264511510078202394247171014285,514,215,True
208,208_0,COMPLETED,BoTorch,0.264511510078202394247171014285,500,122,True
209,199_0,COMPLETED,BoTorch,0.299372177552593932148283784045,1000,120,False
210,210_0,COMPLETED,BoTorch,0.264511510078202394247171014285,899,56,True
211,211_0,COMPLETED,BoTorch,0.264511510078202394247171014285,480,124,True
212,212_0,COMPLETED,BoTorch,0.264511510078202394247171014285,629,147,True
213,213_0,COMPLETED,BoTorch,0.264511510078202394247171014285,629,88,True
214,214_0,COMPLETED,BoTorch,0.264511510078202394247171014285,306,96,True
215,215_0,COMPLETED,BoTorch,0.264511510078202394247171014285,392,112,True
216,216_0,COMPLETED,BoTorch,0.264511510078202394247171014285,286,91,True
217,217_0,COMPLETED,BoTorch,0.264511510078202394247171014285,492,186,True
218,218_0,COMPLETED,BoTorch,0.264511510078202394247171014285,471,193,True
219,219_0,COMPLETED,BoTorch,0.264511510078202394247171014285,469,182,True
220,220_0,COMPLETED,BoTorch,0.264511510078202394247171014285,530,121,True
221,221_0,COMPLETED,BoTorch,0.264511510078202394247171014285,634,101,True
222,222_0,COMPLETED,BoTorch,0.264511510078202394247171014285,394,199,True
223,223_0,COMPLETED,BoTorch,0.264511510078202394247171014285,571,105,True
224,224_0,COMPLETED,BoTorch,0.264511510078202394247171014285,539,170,True
225,225_0,COMPLETED,BoTorch,0.264511510078202394247171014285,578,111,True
226,226_0,COMPLETED,BoTorch,0.264511510078202394247171014285,558,171,True
227,227_0,COMPLETED,BoTorch,0.264511510078202394247171014285,485,146,True
228,228_0,COMPLETED,BoTorch,0.264511510078202394247171014285,606,76,True
229,229_0,COMPLETED,BoTorch,0.264511510078202394247171014285,883,90,True
230,230_0,COMPLETED,BoTorch,0.264511510078202394247171014285,635,76,True
231,231_0,COMPLETED,BoTorch,0.264511510078202394247171014285,886,93,True
232,232_0,COMPLETED,BoTorch,0.264511510078202394247171014285,408,132,True
233,233_0,COMPLETED,BoTorch,0.264511510078202394247171014285,559,89,True
234,234_0,COMPLETED,BoTorch,0.264511510078202394247171014285,430,145,True
235,235_0,COMPLETED,BoTorch,0.264511510078202394247171014285,467,211,True
236,236_0,COMPLETED,BoTorch,0.264511510078202394247171014285,189,88,True
237,237_0,COMPLETED,BoTorch,0.264511510078202394247171014285,529,130,True
238,238_0,COMPLETED,BoTorch,0.264511510078202394247171014285,943,48,True
239,239_0,COMPLETED,BoTorch,0.264511510078202394247171014285,823,107,True
240,240_0,COMPLETED,BoTorch,0.264511510078202394247171014285,396,224,True
241,241_0,COMPLETED,BoTorch,0.264511510078202394247171014285,761,134,True
242,242_0,COMPLETED,BoTorch,0.264511510078202394247171014285,446,145,True
243,243_0,COMPLETED,BoTorch,0.264511510078202394247171014285,505,226,True
244,244_0,COMPLETED,BoTorch,0.264511510078202394247171014285,619,88,True
245,245_0,COMPLETED,BoTorch,0.264511510078202394247171014285,827,109,True
246,246_0,COMPLETED,BoTorch,0.264511510078202394247171014285,649,82,True
247,247_0,COMPLETED,BoTorch,0.264511510078202394247171014285,476,220,True
248,248_0,COMPLETED,BoTorch,0.264511510078202394247171014285,498,131,True
249,249_0,COMPLETED,BoTorch,0.264511510078202394247171014285,518,121,True
250,250_0,COMPLETED,BoTorch,0.264511510078202394247171014285,817,89,True
251,251_0,COMPLETED,BoTorch,0.264511510078202394247171014285,799,89,True
252,252_0,COMPLETED,BoTorch,0.264511510078202394247171014285,733,140,True
253,253_0,COMPLETED,BoTorch,0.264511510078202394247171014285,477,219,True
254,254_0,COMPLETED,BoTorch,0.264511510078202394247171014285,512,138,True
255,255_0,COMPLETED,BoTorch,0.264511510078202394247171014285,458,220,True
256,256_0,COMPLETED,BoTorch,0.264511510078202394247171014285,528,144,True
257,257_0,COMPLETED,BoTorch,0.264511510078202394247171014285,310,165,True
258,258_0,COMPLETED,BoTorch,0.303888093402357117867040869896,233,218,False
259,259_0,COMPLETED,BoTorch,0.264511510078202394247171014285,158,151,True
260,260_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,151,True
261,261_0,COMPLETED,BoTorch,0.295902632448507563189821212291,388,228,False
262,262_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,158,True
263,263_0,COMPLETED,BoTorch,0.294966405991849311973851399671,420,241,False
264,264_0,COMPLETED,BoTorch,0.264511510078202394247171014285,336,37,True
265,265_0,COMPLETED,BoTorch,0.264511510078202394247171014285,972,155,True
266,266_0,COMPLETED,BoTorch,0.264511510078202394247171014285,777,120,True
267,267_0,COMPLETED,BoTorch,0.264511510078202394247171014285,591,62,True
268,268_0,COMPLETED,BoTorch,0.264511510078202394247171014285,162,141,True
269,269_0,COMPLETED,BoTorch,0.302015640489040615435101244657,1000,213,False
270,270_0,COMPLETED,BoTorch,0.264511510078202394247171014285,976,33,True
271,271_0,COMPLETED,BoTorch,0.264511510078202394247171014285,221,70,True
272,272_0,COMPLETED,BoTorch,0.264511510078202394247171014285,536,188,True
273,273_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,148,True
274,274_0,COMPLETED,BoTorch,0.264511510078202394247171014285,555,25,True
275,275_0,COMPLETED,BoTorch,0.264511510078202394247171014285,585,250,True
276,276_0,COMPLETED,BoTorch,0.264511510078202394247171014285,100,76,True
