trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_reference_samples,recent_samples_proportion,threshold
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,3.000000000000000000000000000000,10.509999999999999786837179271970,971,2840,0.071326187655329706394091715538,0.380800199329853039653670521147
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.640000000000000124344978758018,2794,465,0.934634788349270828611281558551,0.841233969762921307555814109946
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.390000000000000124344978758018,3976,3980,0.288715305464342264496480083835,0.151081818792969002629433816765
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,2.000000000000000000000000000000,18.280000000000001136868377216160,2290,1506,0.705552379615604907669990097929,0.564642268784344203425007435726
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,50.000000000000000000000000000000,0.000000000000000000000000000000,1631,4493,0.797089850395917842718063184293,0.656093474529683584606232216174
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,157.000000000000000000000000000000,12.179999999999999715782905695960,4645,1888,0.193035506898537267961302177355,0.121389343935996291135026581287
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,42.000000000000000000000000000000,0.000000000000000000000000000000,3307,3689,0.593353352926671462341801088769,0.933110139459371601411419305805
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,92.000000000000000000000000000000,19.589999999999999857891452847980,468,1142,0.416262169362977163533656721484,0.351656405117362735879282809037
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,40.000000000000000000000000000000,11.419999999999999928945726423990,108,4086,0.508151713987812447825831441151,0.056709877235814928897461584256
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,44.000000000000000000000000000000,0.000000000000000000000000000000,3668,1710,0.497565489772707203464108260960,0.720776274273172035123025125358
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,3.000000000000000000000000000000,5.259999999999999786837179271970,4986,2735,0.850129396690055716412359743117,0.286946957757696519131229706545
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,4.000000000000000000000000000000,7.820000000000000284217094304040,1288,261,0.143894279133528479874826189189,0.997823871629312630915364934481
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2026,3248,0.360272428024560220638505825264,0.777460588933900020869316449534
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,16.000000000000000000000000000000,42.890000000000000568434188608080,4239,643,0.630096700584515945209318488196,0.444561671918258072278007375644
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,2.000000000000000000000000000000,2.729999999999999982236431605997,3078,4934,0.031931186553090809554511508850,0.500960733467712970856666743202
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,2.000000000000000000000000000000,8.109999999999999431565811391920,688,2387,0.977928344992920806078018358676,0.214752410648390651415340357744
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,815,4711,0.442673238918185218970791083848,0.892929285563528574165559348330
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,3.000000000000000000000000000000,13.750000000000000000000000000000,2950,2335,0.547709095457568739817588721053,0.321174755576997983386178248111
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,3.000000000000000000000000000000,6.080000000000000071054273576010,4132,3360,0.166879445828497396941969554973,0.639758420750498824070007231057
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,2.000000000000000000000000000000,27.309999999999998721023075631820,2134,886,0.842996860610321196993766079686,0.083629287015646702752036389938
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,4.000000000000000000000000000000,9.279999999999999360511537815910,1475,2623,0.685004135096445643249296608701,0.179061748858541258666576823089
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,231.000000000000000000000000000000,4.110000000000000319744231092045,4801,18,0.320730319440364841643287263651,0.606343570411205345926930476708
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,2.000000000000000000000000000000,4.099999999999999644728632119950,3463,4309,0.954958361955359547046384705027,0.417155911076813934457163668412
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,2.000000000000000000000000000000,10.810000000000000497379915032070,312,1762,0.039078995518386366869734160900,0.859939399175345897674560546875
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,2.000000000000000000000000000000,1.959999999999999964472863211995,576,3465,0.879472231958061456680297851562,0.546487662421539455159802400885
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,6.000000000000000000000000000000,23.519999999999999573674358543940,3200,1090,0.110666569044813520306114185132,0.238913375755771983932618240942
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4517,4605,0.728328138988465045855491553084,0.800175336698070172047891901457
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,5.000000000000000000000000000000,7.919999999999999928945726423990,1757,2131,0.281304872019216445355738187573,0.476916644228622343959500540223
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,2.000000000000000000000000000000,4.559999999999999609201495331945,2495,3868,0.248213217204436648044563185067,0.260412761716172114212497490371
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3771,1263,0.757764770705252832527776263305,0.953702226603403646620904510200
