trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,feature_proportion,n_clusters,confidence
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,34.000000000000000000000000000000,5.500000000000000000000000000000,1563,4646,0.879937461972236656393420162203,35,0.001
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,23.000000000000000000000000000000,109.719999999999998863131622783840,2932,226,0.368935947263613339686116887606,13,0.25
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,20.000000000000000000000000000000,4.709999999999999964472863211995,4713,3657,0.167851875619962814800700812157,11,0.01
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,6.000000000000000000000000000000,11.230000000000000426325641456060,1081,1826,0.585165283113718071028586109605,39,0.025
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,3.000000000000000000000000000000,4.629999999999999893418589635985,156,3118,0.461216226618736957476585303084,1,0.25
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,6.000000000000000000000000000000,8.000000000000000000000000000000,3788,2380,0.784967135971412099948452123499,48,0.005
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,120.000000000000000000000000000000,3.209999999999999964472863211995,3257,3935,0.740559157801792045106026307622,27,0.01
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,1162.000000000000000000000000000000,22.170000000000001705302565824240,1888,923,0.011245115209370850489767335034,24,0.025
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,89.000000000000000000000000000000,6.820000000000000284217094304040,2322,3142,0.509290990201756388344733750273,21,0.05
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,1034.000000000000000000000000000000,12.250000000000000000000000000000,3457,1379,0.240605034653097404895305544414,30,0.005
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,10891.000000000000000000000000000000,1.070000000000000062172489379009,4213,4809,0.288933415319770570128810049937,45,0.001
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,8.000000000000000000000000000000,71.780000000000001136868377216160,346,322,0.963182504108175630008759071643,4,0.1
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,35.000000000000000000000000000000,4.129999999999999893418589635985,647,4114,0.083267549576237803732325915007,42,0.025
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,12.000000000000000000000000000000,24.019999999999999573674358543940,4513,1032,0.663954136505722991579148128949,8,0.25
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,4.000000000000000000000000000000,11.650000000000000355271367880050,2508,2588,0.868943352632224552678508189274,16,0.01
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.059999999999999609201495331945,1373,1919,0.381944898942485455695106111307,32,0.25
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,5.000000000000000000000000000000,5.019999999999999573674358543940,1452,2665,0.761429864501580566660265958490,34,0.1
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,5.000000000000000000000000000000,8.949999999999999289457264239900,2741,2153,0.484821400713175532093401898237,18,0.025
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,26.000000000000000000000000000000,2.220000000000000195399252334028,4591,4348,0.034969260174781087446849170419,9,0.05
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,277.000000000000000000000000000000,17.339999999999999857891452847980,882,1110,0.716889590723440051078796386719,44,0.001
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.469999999999999973354647408996,582,4888,0.330283783549442877536250762205,6,0.25
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,22.000000000000000000000000000000,40.020000000000003126388037344441,4291,557,0.918641612239181948318389459018,46,0.025
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,5.000000000000000000000000000000,4.950000000000000177635683940025,3691,3377,0.624003606498241381039804309694,32,0.25
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,64.000000000000000000000000000000,10.779999999999999360511537815910,2402,1457,0.129082644568756232938966377333,22,0.01
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.509999999999999786837179271970,2123,3857,0.625115545436739972195994141657,25,0.25
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,161.000000000000000000000000000000,12.460000000000000852651282912120,3334,688,0.122036512942984703977700178257,28,0.001
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,5.000000000000000000000000000000,7.769999999999999573674358543940,4022,2883,0.420596794972196208473036449504,49,0.1
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.990000000000000213162820728030,234,2302,0.830238960705697581765605264081,3,0.05
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.569999999999999840127884453977,1160,3579,0.216881097886711365907430604238,41,0.05
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,9.000000000000000000000000000000,18.190000000000001278976924368180,4947,1592,0.532960765479132514421678479266,12,0.1
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,3.000000000000000000000000000000,1.330000000000000071054273576010,3010,4412,0.986719983777031295346660044743,15,0.025
