trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,12.000000000000000000000000000000,16.170000000000001705302565824240,2108,1016,220,238,46
26,,,,,,,,,,,,,,,26_0,ABANDONED,SOBOL,,,956,3194,892,86,115
27,,,,,,,,,,,,,,,27_0,ABANDONED,SOBOL,,,4636,2115,420,175,194
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,41.000000000000000000000000000000,33.270000000000003126388037344441,4602,4804,181,217,52
29,,,,,,,,,,,,,,,29_0,ABANDONED,SOBOL,,,1059,1149,636,57,132
30,,,,,,,,,,,,,,,30_0,ABANDONED,SOBOL,,,2132,3393,496,154,217
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,36.000000000000000000000000000000,42.670000000000001705302565824240,3449,1925,945,119,108
32,,,,,,,,,,,,,,,32_0,ABANDONED,SOBOL,,,2551,2930,549,65,86
33,,,,,,,,,,,,,,,33_0,ABANDONED,SOBOL,,,82,4019,872,2,187
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,55.000000000000000000000000000000,6.080000000000000071054273576010,4250,49,315,225,12
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,27.000000000000000000000000000000,14.679999999999999715782905695960,3837,3748,767,180,146
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,34.000000000000000000000000000000,3.209999999999999964472863211995,504,2205,295,82,39
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,30.000000000000000000000000000000,13.279999999999999360511537815910,1306,4525,593,241,122
38,,,,,,,,,,,,,,,38_0,ABANDONED,SOBOL,,,3388,4374,398,44,242
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,8.000000000000000000000000000000,61.380000000000002557953848736361,2203,329,918,203,69
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,44.000000000000000000000000000000,3.470000000000000195399252334028,857,2651,215,105,30
41,,,,,,,,,,,,,,,41_0,ABANDONED,SOBOL,,,4815,1418,726,141,170
42,,,,,,,,,,,,,,,42_0,ABANDONED,SOBOL,,,4893,2738,258,10,97
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,13.000000000000000000000000000000,8.669999999999999928945726423990,778,1311,808,233,204
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,29.000000000000000000000000000000,15.669999999999999928945726423990,3153,535,616,169,56
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,50.000000000000000000000000000000,1.350000000000000088817841970013,2881,4613,876,146,2
46,,,,,,,,,,,,,,,46_0,ABANDONED,SOBOL,,,1540,686,437,112,175
47,,,,,,,,,,,,,,,47_0,ABANDONED,SOBOL,,,426,3524,701,209,228
48,,,,,,,,,,,,,,,48_0,ABANDONED,SOBOL,,,3915,2409,236,49,89
49,,,,,,,,,,,,,,,49_0,ABANDONED,SOBOL,,,4171,3871,659,97,190
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,5.000000000000000000000000000000,70.239999999999994884092302527279,159,177,154,134,112
51,,,,,,,,,,,,,,,51_0,ABANDONED,SOBOL,,,1626,3095,982,36,42
52,,,,,,,,,,,,,,,52_0,COMPLETED,SOBOL,16.000000000000000000000000000000,23.710000000000000852651282912120,2786,1588,455,195,151
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,133.000000000000000000000000000000,1.959999999999999964472863211995,1898,2052,527,28,20
54,,,,,,,,,,,,,,,54_0,COMPLETED,SOBOL,38.000000000000000000000000000000,39.409999999999996589394868351519,1137,4971,355,188,71
55,,,,,,,,,,,,,,,55_0,ABANDONED,SOBOL,,,4524,963,837,89,246
56,,,,,,,,,,,,,,,56_0,ABANDONED,SOBOL,,,4480,4033,344,130,130
57,,,,,,,,,,,,,,,57_0,COMPLETED,SOBOL,28.000000000000000000000000000000,142.919999999999987494447850622237,1113,26,846,97,55
58,,,,,,,,,,,,,,,58_0,ABANDONED,SOBOL,,,3717,1740,547,33,219
59,,,,,,,,,,,,,,,59_0,ABANDONED,SOBOL,,,2742,3408,963,25,226
60,,,,,,,,,,,,,,,60_0,COMPLETED,SOBOL,24.000000000000000000000000000000,35.030000000000001136868377216160,1601,1900,475,248,84
61,,,,,,,,,,,,,,,61_0,COMPLETED,SOBOL,37.000000000000000000000000000000,1.489999999999999991118215802999,213,4810,646,89,15
62,,,,,,,,,,,,,,,62_0,COMPLETED,SOBOL,41.000000000000000000000000000000,6.620000000000000106581410364015,3959,2586,744,233,37
63,,,,,,,,,,,,,,,63_0,ABANDONED,SOBOL,,,450,1473,194,13,147
64,,,,,,,,,,,,,,,64_0,ABANDONED,SOBOL,,,1486,4300,928,173,201
65,,,,,,,,,,,,,,,65_0,ABANDONED,SOBOL,,,2847,374,384,74,124
66,,,,,,,,,,,,,,,66_0,COMPLETED,SOBOL,38.000000000000000000000000000000,53.469999999999998863131622783840,3197,4462,125,113,70
67,,,,,,,,,,,,,,,67_0,ABANDONED,SOBOL,,,2461,847,567,149,239
68,,,,,,,,,,,,,,,68_0,ABANDONED,SOBOL,,,725,3675,301,52,172
69,,,,,,,,,,,,,,,69_0,COMPLETED,SOBOL,44.000000000000000000000000000000,5.610000000000000319744231092045,4859,2248,765,210,28
70,,,,,,,,,,,,,,,70_0,ABANDONED,SOBOL,,,4780,3587,235,80,206
71,,,,,,,,,,,,,,,71_0,COMPLETED,SOBOL,23.000000000000000000000000000000,35.329999999999998294697434175760,803,2356,707,177,96
72,,,,,,,,,,,,,,,72_0,ABANDONED,SOBOL,,,2228,4686,411,18,58
73,,,,,,,,,,,,,,,73_0,COMPLETED,SOBOL,14.000000000000000000000000000000,22.320000000000000284217094304040,3432,642,905,240,135
74,,,,,,,,,,,,,,,74_0,COMPLETED,SOBOL,27.000000000000000000000000000000,5.870000000000000106581410364015,3081,4213,603,201,173
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,226.000000000000000000000000000000,1.449999999999999955591079014994,1252,480,85,41,4
76,,,,,,,,,,,,,,,76_0,COMPLETED,SOBOL,24.000000000000000000000000000000,48.799999999999997157829056959599,528,2812,787,138,87
77,,,,,,,,,,,,,,,77_0,ABANDONED,SOBOL,,,3881,1267,275,104,231
78,,,,,,,,,,,,,,,78_0,ABANDONED,SOBOL,,,4284,4956,823,59,113
79,,,,,,,,,,,,,,,79_0,COMPLETED,SOBOL,413.000000000000000000000000000000,18.309999999999998721023075631820,135,988,365,218,188
80,,,,,,,,,,,,,,,80_0,ABANDONED,SOBOL,,,1836,3242,506,121,152
81,,,,,,,,,,,,,,,81_0,COMPLETED,SOBOL,25.000000000000000000000000000000,5.549999999999999822364316059975,2508,2086,58,156,40
82,,,,,,,,,,,,,,,82_0,COMPLETED,SOBOL,51.000000000000000000000000000000,4.389999999999999680255768907955,3483,3081,453,164,18
83,,,,,,,,,,,,,,,83_0,ABANDONED,SOBOL,,,2186,1612,988,67,159
84,,,,,,,,,,,,,,,84_0,ABANDONED,SOBOL,,,4558,211,688,5,73
85,,,,,,,,,,,,,,,85_0,ABANDONED,SOBOL,,,4680,2880,912,107,181
86,,,,,,,,,,,,,,,86_0,COMPLETED,SOBOL,62.000000000000000000000000000000,1.989999999999999991118215802999,981,1803,400,135,10
87,,,,,,,,,,,,,,,87_0,ABANDONED,SOBOL,,,2054,3969,728,46,80
88,,,,,,,,,,,,,,,88_0,COMPLETED,SOBOL,1236.000000000000000000000000000000,3.910000000000000142108547152020,2630,4756,286,235,215
89,,,,,,,,,,,,,,,89_0,ABANDONED,SOBOL,,,1782,1177,780,22,102
90,,,,,,,,,,,,,,,90_0,COMPLETED,SOBOL,21.000000000000000000000000000000,2.750000000000000000000000000000,3,3345,109,174,50
91,,,,,,,,,,,,,,,91_0,ABANDONED,SOBOL,,,4327,1954,582,84,126
92,,,,,,,,,,,,,,,92_0,COMPLETED,SOBOL,7.000000000000000000000000000000,22.640000000000000568434188608080,582,437,563,223,168
93,,,,,,,,,,,,,,,93_0,ABANDONED,SOBOL,,,1384,2523,329,71,236
94,,,,,,,,,,,,,,,94_0,COMPLETED,SOBOL,29.000000000000000000000000000000,12.789999999999999147348717087880,3037,1526,863,160,67
95,,,,,,,,,,,,,,,95_0,COMPLETED,SOBOL,33.000000000000000000000000000000,27.899999999999998578914528479800,3310,3622,630,152,120
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,30.000000000000000000000000000000,7.259999999999999786837179271970,934,4398,948,215,144
97,,,,,,,,,,,,,,,97_0,COMPLETED,SOBOL,109.000000000000000000000000000000,2.899999999999999911182158029987,4736,900,489,62,33
98,,,,,,,,,,,,,,,98_0,ABANDONED,SOBOL,,,4971,4583,521,182,234
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,28.000000000000000000000000000000,2.950000000000000177635683940025,2359,3495,838,243,8
100,,,,,,,,,,,,,,,100_0,ABANDONED,SOBOL,,,3231,2459,349,30,177
101,,,,,,,,,,,,,,,101_0,ABANDONED,SOBOL,,,2959,2709,145,38,139
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,30.000000000000000000000000000000,1.889999999999999902300373832986,1462,1359,672,189,61
103,,,,,,,,,,,,,,,103_0,ABANDONED,SOBOL,,,347,4120,470,99,99
104,,,,,,,,,,,,,,,104_0,ABANDONED,SOBOL,,,3993,583,972,128,210
105,,,,,,,,,,,,,,,105_0,COMPLETED,SOBOL,34.000000000000000000000000000000,31.780000000000001136868377216160,4093,3140,426,207,77
106,,,,,,,,,,,,,,,106_0,ABANDONED,SOBOL,,,238,2179,890,54,248
107,,,,,,,,,,,,,,,107_0,ABANDONED,SOBOL,,,1704,4863,249,144,163
108,,,,,,,,,,,,,,,108_0,COMPLETED,SOBOL,42.000000000000000000000000000000,2.490000000000000213162820728030,2708,1090,692,118,22
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,68.000000000000000000000000000000,4.030000000000000248689957516035,3605,3765,803,79,44
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,15.000000000000000000000000000000,80.129999999999995452526491135359,1976,304,259,167,157
111,,,,,,,,,,,,,,,111_0,ABANDONED,SOBOL,,,1215,2988,619,16,192
112,,,,,,,,,,,,,,,112_0,ABANDONED,SOBOL,,,4422,4503,784,32,217
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,15.000000000000000000000000000000,33.439999999999997726263245567679,1247,815,282,245,107
114,,,,,,,,,,,,,,,114_0,COMPLETED,SOBOL,59.000000000000000000000000000000,5.589999999999999857891452847980,1970,3727,610,93,54
115,,,,,,,,,,,,,,,115_0,ABANDONED,SOBOL,,,2723,2628,412,130,184
116,,,,,,,,,,,,,,,116_0,COMPLETED,SOBOL,3723.000000000000000000000000000000,2.069999999999999840127884453977,1696,1440,900,101,16
117,,,,,,,,,,,,,,,117_0,COMPLETED,SOBOL,914.000000000000000000000000000000,27.100000000000001421085471520200,271,4352,230,190,83
118,,,,,,,,,,,,,,,118_0,ABANDONED,SOBOL,,,4072,351,708,40,226
119,,,,,,,,,,,,,,,119_0,ABANDONED,SOBOL,,,4016,3371,132,116,125
120,,,,,,,,,,,,,,,120_0,ABANDONED,SOBOL,,,318,1947,681,142,200
121,,,,,,,,,,,,,,,121_0,ABANDONED,SOBOL,,,1468,4782,447,52,149
122,,,,,,,,,,,,,,,122_0,COMPLETED,SOBOL,1086.000000000000000000000000000000,8.990000000000000213162820728030,2940,1171,991,206,37
123,,,,,,,,,,,,,,,123_0,COMPLETED,SOBOL,1193.000000000000000000000000000000,3.660000000000000142108547152020,3215,3997,505,229,30
124,,,,,,,,,,,,,,,124_0,ABANDONED,SOBOL,,,668,2908,827,165,240
125,,,,,,,,,,,,,,,125_0,COMPLETED,SOBOL,1409.000000000000000000000000000000,98.459999999999993747223925311118,4991,1795,363,77,70
126,,,,,,,,,,,,,,,126_0,COMPLETED,SOBOL,27.000000000000000000000000000000,9.560000000000000497379915032070,4757,3112,644,199,133
127,,,,,,,,,,,,,,,127_0,ABANDONED,SOBOL,,,903,1571,172,47,58
128,,,,,,,,,,,,,,,128_0,COMPLETED,SOBOL,26.000000000000000000000000000000,32.329999999999998294697434175760,2290,3889,968,137,95
129,,,,,,,,,,,,,,,129_0,ABANDONED,SOBOL,,,3293,160,473,109,207
130,,,,,,,,,,,,,,,130_0,COMPLETED,SOBOL,27.000000000000000000000000000000,62.229999999999996873611962655559,1391,946,540,176,88
131,,,,,,,,,,,,,,,131_0,COMPLETED,SOBOL,132.000000000000000000000000000000,1.090000000000000079936057773011,552,3264,338,24,3
132,,,,,,,,,,,,,,,132_0,COMPLETED,SOBOL,19.000000000000000000000000000000,10.150000000000000355271367880050,3781,2035,850,238,174
133,,,,,,,,,,,,,,,133_0,COMPLETED,SOBOL,46.000000000000000000000000000000,76.269999999999996020960679743439,4306,4166,302,158,41
134,,,,,,,,,,,,,,,134_0,ABANDONED,SOBOL,,,37,518,760,69,152
135,,,,,,,,,,,,,,,135_0,ABANDONED,SOBOL,,,2645,1294,568,6,113
136,,,,,,,,,,,,,,,136_0,ABANDONED,SOBOL,,,3545,3542,925,61,74
137,,,,,,,,,,,,,,,137_0,ABANDONED,SOBOL,,,2049,2392,391,213,244
138,,,,,,,,,,,,,,,138_0,ABANDONED,SOBOL,,,1012,4630,751,123,160
139,,,,,,,,,,,,,,,139_0,COMPLETED,SOBOL,3111.000000000000000000000000000000,3.350000000000000088817841970013,4656,668,191,150,17
140,,,,,,,,,,,,,,,140_0,COMPLETED,SOBOL,23.000000000000000000000000000000,0.000000000000000000000000000000,4544,3663,463,242,223
141,,,,,,,,,,,,,,,141_0,ABANDONED,SOBOL,,,1036,2280,974,20,79
142,,,,,,,,,,,,,,,142_0,COMPLETED,SOBOL,29.000000000000000000000000000000,2.220000000000000195399252334028,2151,4449,147,179,12
143,,,,,,,,,,,,,,,143_0,ABANDONED,SOBOL,,,3510,879,665,82,181
144,,,,,,,,,,,,,,,144_0,ABANDONED,SOBOL,,,2532,4288,843,106,127
145,,,,,,,,,,,,,,,145_0,COMPLETED,SOBOL,47.000000000000000000000000000000,11.769999999999999573674358543940,1798,405,349,140,50
146,,,,,,,,,,,,,,,146_0,ABANDONED,SOBOL,,,139,2575,520,43,104
147,,,,,,,,,,,,,,,147_0,COMPLETED,SOBOL,45.000000000000000000000000000000,13.519999999999999573674358543940,3893,4719,625,155,65
148,,,,,,,,,,,,,,,148_0,COMPLETED,SOBOL,23.000000000000000000000000000000,11.830000000000000071054273576010,1288,3317,800,216,167
149,,,,,,,,,,,,,,,149_0,COMPLETED,SOBOL,72.000000000000000000000000000000,2.490000000000000213162820728030,3053,2011,266,57,25
150,,,,,,,,,,,,,,,150_0,ABANDONED,SOBOL,,,3405,2845,245,2,32
151,,,,,,,,,,,,,,,151_0,COMPLETED,SOBOL,17.000000000000000000000000000000,21.600000000000001421085471520200,2266,1849,693,224,144
152,,,,,,,,,,,,,,,152_0,ABANDONED,SOBOL,,,800,3943,427,64,196
153,,,,,,,,,,,,,,,153_0,COMPLETED,SOBOL,17.000000000000000000000000000000,45.609999999999999431565811391920,4791,135,885,162,121
154,,,,,,,,,,,,,,,154_0,COMPLETED,SOBOL,908.000000000000000000000000000000,2.970000000000000195399252334028,722,263,583,196,7
155,,,,,,,,,,,,,,,155_0,COMPLETED,SOBOL,24.000000000000000000000000000000,47.439999999999997726263245567679,2500,3010,287,98,92
156,,,,,,,,,,,,,,,156_0,ABANDONED,SOBOL,,,3171,1664,776,132,234
157,,,,,,,,,,,,,,,157_0,ABANDONED,SOBOL,,,2818,3171,734,187,211
158,,,,,,,,,,,,,,,158_0,ABANDONED,SOBOL,,,1522,2137,207,91,99
159,,,,,,,,,,,,,,,159_0,COMPLETED,SOBOL,1084.000000000000000000000000000000,44.679999999999999715782905695960,450,4885,909,250,63
160,,,,,,,,,,,,,,,160_0,ABANDONED,SOBOL,,,3972,1039,407,27,138
161,,,,,,,,,,,,,,,161_0,COMPLETED,SOBOL,4280.000000000000000000000000000000,2.569999999999999840127884453977,4194,2662,953,72,20
162,,,,,,,,,,,,,,,162_0,COMPLETED,SOBOL,448.000000000000000000000000000000,17.600000000000001421085471520200,217,1397,489,170,164
163,,,,,,,,,,,,,,,163_0,ABANDONED,SOBOL,,,1564,4063,630,11,247
164,,,,,,,,,,,,,,,164_0,COMPLETED,SOBOL,431.000000000000000000000000000000,64.480000000000003979039320256561,2767,611,187,231,78
165,,,,,,,,,,,,,,,165_0,COMPLETED,SOBOL,31.000000000000000000000000000000,24.699999999999999289457264239900,3745,4538,322,208,116
166,,,,,,,,,,,,,,,166_0,ABANDONED,SOBOL,,,1917,771,865,50,193
167,,,,,,,,,,,,,,,167_0,COMPLETED,SOBOL,66.000000000000000000000000000000,7.280000000000000248689957516035,4466,2485,556,111,44
168,,,,,,,,,,,,,,,168_0,ABANDONED,SOBOL,,,1168,1548,514,75,220
169,,,,,,,,,,,,,,,169_0,COMPLETED,SOBOL,26.000000000000000000000000000000,4.500000000000000000000000000000,1893,4224,374,235,182
170,,,,,,,,,,,,,,,170_0,COMPLETED,SOBOL,103.000000000000000000000000000000,2.029999999999999804600747665972,3701,459,814,11,10
171,,,,,,,,,,,,,,,171_0,COMPLETED,SOBOL,40.000000000000000000000000000000,5.089999999999999857891452847980,2801,4377,679,50,48
172,,,,,,,,,,,,,,,172_0,COMPLETED,SOBOL,16.000000000000000000000000000000,34.409999999999996589394868351519,1618,923,138,211,129
173,,,,,,,,,,,,,,,173_0,ABANDONED,SOBOL,,,193,3600,996,114,211
174,,,,,,,,,,,,,,,174_0,COMPLETED,SOBOL,32.000000000000000000000000000000,44.670000000000001705302565824240,4150,2334,445,148,105
175,,,,,,,,,,,,,,,175_0,ABANDONED,SOBOL,,,3937,3947,899,192,238
176,,,,,,,,,,,,,,,176_0,ABANDONED,SOBOL,,,396,101,418,35,64
177,,,,,,,,,,,,,,,177_0,COMPLETED,SOBOL,50.000000000000000000000000000000,5.799999999999999822364316059975,1547,2859,715,131,28
178,,,,,,,,,,,,,,,178_0,ABANDONED,SOBOL,,,2862,1825,227,95,165
179,,,,,,,,,,,,,,,179_0,ABANDONED,SOBOL,,,3137,3323,268,87,143
180,,,,,,,,,,,,,,,180_0,COMPLETED,SOBOL,26.000000000000000000000000000000,13.289999999999999147348717087880,2446,1976,794,186,35
181,,,,,,,,,,,,,,,181_0,COMPLETED,SOBOL,15.000000000000000000000000000000,39.600000000000001421085471520200,4913,1200,596,247,198
182,,,,,,,,,,,,,,,182_0,COMPLETED,SOBOL,91.000000000000000000000000000000,1.129999999999999893418589635985,4835,4880,378,122,5
183,,,,,,,,,,,,,,,183_0,ABANDONED,SOBOL,,,824,1073,934,156,179
184,,,,,,,,,,,,,,,184_0,COMPLETED,SOBOL,24.000000000000000000000000000000,45.210000000000000852651282912120,3371,2162,736,218,94
185,,,,,,,,,,,,,,,185_0,COMPLETED,SOBOL,27.000000000000000000000000000000,28.039999999999999147348717087880,3096,3006,758,226,100
186,,,,,,,,,,,,,,,186_0,ABANDONED,SOBOL,,,1312,1698,309,4,209
187,,,,,,,,,,,,,,,187_0,COMPLETED,SOBOL,26.000000000000000000000000000000,12.609999999999999431565811391920,474,3782,574,164,139
188,,,,,,,,,,,,,,,188_0,COMPLETED,SOBOL,1704.000000000000000000000000000000,2.709999999999999964472863211995,3860,286,119,67,60
189,,,,,,,,,,,,,,,189_0,ABANDONED,SOBOL,,,4228,3511,539,18,162
190,,,,,,,,,,,,,,,190_0,COMPLETED,SOBOL,637.000000000000000000000000000000,10.269999999999999573674358543940,115,2441,28,240,23
191,,,,,,,,,,,,,,,191_0,COMPLETED,SOBOL,1537.000000000000000000000000000000,62.920000000000001705302565824240,1852,4601,856,80,76
192,,,,,,,,,,,,,,,192_0,ABANDONED,SOBOL,,,2567,718,335,178,249
193,,,,,,,,,,,,,,,193_0,ABANDONED,SOBOL,,,2126,566,655,103,115
194,,,,,,,,,,,,,,,194_0,COMPLETED,SOBOL,923.000000000000000000000000000000,60.390000000000000568434188608080,1090,2726,483,201,47
195,,,,,,,,,,,,,,,195_0,ABANDONED,SOBOL,,,4579,1342,954,42,154
196,,,,,,,,,,,,,,,196_0,ABANDONED,SOBOL,,,4623,4317,698,70,110
197,,,,,,,,,,,,,,,197_0,ABANDONED,SOBOL,,,959,357,243,160,216
198,,,,,,,,,,,,,,,198_0,ABANDONED,SOBOL,,,2073,2603,883,8,133
199,,,,,,,,,,,,,,,199_0,COMPLETED,SOBOL,34.000000000000000000000000000000,11.880000000000000781597009336110,3588,1455,433,222,52
200,,,,,,,,,,,,,,,200_0,COMPLETED,SOBOL,29.000000000000000000000000000000,2.899999999999999911182158029987,2611,3693,77,214,14
201,,,,,,,,,,,,,,,201_0,ABANDONED,SOBOL,,,1720,2231,612,63,187
202,,,,,,,,,,,,,,,202_0,ABANDONED,SOBOL,,,61,4479,253,153,225
203,,,,,,,,,,,,,,,203_0,COMPLETED,SOBOL,44.000000000000000000000000000000,7.950000000000000177635683940025,4350,830,810,125,85
204,,,,,,,,,,,,,,,204_0,ABANDONED,SOBOL,,,3816,2951,358,45,202
205,,,,,,,,,,,,,,,205_0,COMPLETED,SOBOL,18.000000000000000000000000000000,28.679999999999999715782905695960,606,1723,829,197,123
206,,,,,,,,,,,,,,,206_0,ABANDONED,SOBOL,,,2974,9,530,134,146
207,,,,,,,,,,,,,,,207_0,COMPLETED,SOBOL,32.000000000000000000000000000000,6.580000000000000071054273576010,3327,4827,981,173,169
208,,,,,,,,,,,,,,,208_0,COMPLETED,SOBOL,24.000000000000000000000000000000,3.709999999999999964472863211995,2344,1097,460,85,31
209,,,,,,,,,,,,,,,209_0,COMPLETED,SOBOL,30.000000000000000000000000000000,57.920000000000001705302565824240,878,3426,664,236,67
210,,,,,,,,,,,,,,,210_0,COMPLETED,SOBOL,43.000000000000000000000000000000,12.400000000000000355271367880050,4947,3220,871,145,57
211,,,,,,,,,,,,,,,211_0,ABANDONED,SOBOL,,,644,2108,320,117,136
212,,,,,,,,,,,,,,,212_0,COMPLETED,SOBOL,27.000000000000000000000000000000,4.179999999999999715782905695960,2422,4934,554,206,205
213,,,,,,,,,,,,,,,213_0,ABANDONED,SOBOL,,,2896,3846,499,17,90
214,,,,,,,,,,,,,,,214_0,COMPLETED,SOBOL,5.000000000000000000000000000000,18.000000000000000000000000000000,1444,233,938,229,228
215,,,,,,,,,,,,,,,215_0,COMPLETED,SOBOL,98.000000000000000000000000000000,1.780000000000000026645352591004,4050,1634,639,168,1
216,,,,,,,,,,,,,,,216_0,COMPLETED,SOBOL,28.000000000000000000000000000000,8.869999999999999218402990663890,4116,4664,216,244,149
217,,,,,,,,,,,,,,,217_0,ABANDONED,SOBOL,,,296,664,721,29,43
218,,,,,,,,,,,,,,,218_0,COMPLETED,SOBOL,28.000000000000000000000000000000,16.820000000000000284217094304040,1642,3565,393,181,110
219,,,,,,,,,,,,,,,219_0,ABANDONED,SOBOL,,,2689,2378,919,93,191
220,,,,,,,,,,,,,,,220_0,ABANDONED,SOBOL,,,3667,2789,589,100,245
221,,,,,,,,,,,,,,,221_0,COMPLETED,SOBOL,44.000000000000000000000000000000,3.270000000000000017763568394003,1995,1288,102,126,72
222,,,,,,,,,,,,,,,222_0,COMPLETED,SOBOL,97.000000000000000000000000000000,1.209999999999999964472863211995,1193,4191,774,37,18
223,,,,,,,,,,,,,,,223_0,COMPLETED,SOBOL,14.000000000000000000000000000000,26.929999999999999715782905695960,4388,503,292,190,158
224,,,,,,,,,,,,,,,224_0,ABANDONED,SOBOL,,,4380,4186,241,124,227
225,,,,,,,,,,,,,,,225_0,COMPLETED,SOBOL,23.000000000000000000000000000000,78.709999999999993747223925311118,1204,498,697,153,83
226,,,,,,,,,,,,,,,226_0,COMPLETED,SOBOL,19.000000000000000000000000000000,1.360000000000000097699626167014,2003,2775,431,63,16
227,,,,,,,,,,,,,,,227_0,COMPLETED,SOBOL,17.000000000000000000000000000000,13.429999999999999715782905695960,3655,1274,881,214,185
