trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,n_permutations,update_interval,n_consecutive_deviations
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,167.000000000000000000000000000000,1.340000000000000079936057773011,4402,3301,576,54,9
1,,,,,,,,,,,,,,,1_0,ABANDONED,SOBOL,,,2030,4702,751,114,220
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,1078.000000000000000000000000000000,8.820000000000000284217094304040,3639,1241,311,143,82
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,921.000000000000000000000000000000,30.350000000000001421085471520200,2664,3926,200,167,105
4,,,,,,,,,,,,,,,4_0,ABANDONED,SOBOL,,,1680,152,741,75,213
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,776.000000000000000000000000000000,4.660000000000000142108547152020,291,2827,383,228,128
6,,,,,,,,,,,,,,,6_0,ABANDONED,SOBOL,,,4127,1866,934,15,49
7,,,,,,,,,,,,,,,7_0,ABANDONED,SOBOL,,,4037,4432,480,95,166
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,18.000000000000000000000000000000,5.429999999999999715782905695960,372,896,961,183,26
9,,,,,,,,,,,,,,,9_0,ABANDONED,SOBOL,,,1408,3646,165,31,64
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,17.000000000000000000000000000000,0.000000000000000000000000000000,2925,2298,652,246,237
11,,,,,,,,,,,,,,,11_0,ABANDONED,SOBOL,,,3276,2558,857,192,199
12,,,,,,,,,,,,,,,12_0,ABANDONED,SOBOL,,,2384,1520,331,39,118
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,36.000000000000000000000000000000,2.819999999999999840127884453977,646,4272,534,128,35
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,39.000000000000000000000000000000,27.829999999999998294697434175760,4702,4085,997,220,93
15,,,,,,,,,,,,,,,15_0,ABANDONED,SOBOL,,,881,589,440,7,233
16,,,,,,,,,,,,,,,16_0,ABANDONED,SOBOL,,,2305,2684,674,158,179
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,140.000000000000000000000000000000,1.100000000000000088817841970013,3353,1375,139,68,6
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,34.000000000000000000000000000000,68.480000000000003979039320256561,3003,3461,371,123,60
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,23.000000000000000000000000000000,18.940000000000001278976924368180,1330,2463,820,150,141
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,24.000000000000000000000000000000,57.560000000000002273736754432321,3803,749,511,212,102
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,15.000000000000000000000000000000,17.629999999999999005240169935860,57,1642,601,110,75
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,45.000000000000000000000000000000,4.400000000000000355271367880050,1757,3818,273,199,23
23,,,,,,,,,,,,,,,23_0,ABANDONED,SOBOL,,,2585,241,794,47,161
24,,,,,,,,,,,,,,,24_0,ABANDONED,SOBOL,,,3561,4907,717,23,154
