trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,detection_buf_size,overlap,alpha,gamma,statistical_test,subset_bound,approximation_type
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,336,630,3308,0.745457191348075864922861910600,0.354507339417934441705426706903,7.340038604795933174784750008257,str\(\'t-test\'\),37,str\(\'bounded\'\)
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,4816.000000000000000000000000000000,0.000000000000000000000000000000,2536,4861,1433,0.374118120428174716352032191935,0.797959959661588058565939718392,0.988505974945612320148313756363,str\(\'ks-test\'\),5,str\(\'bounded\'\)
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,3848,1697,3764,0.853511620510369550807183713914,0.625462721027433832254871504119,3.574872083825059387862665971625,str\(\'t-test\'\),19,str\(\'bounded\'\)
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,1641,2774,640,0.234617061555385586490984906050,0.215125899249687779768436257655,9.733551463629119382403587223962,str\(\'ks-test\'\),48,str\(\'bounded\'\)
4,,,,,,,,,,,,,,,4_0,FAILED,SOBOL,,,1947,2416,2140,0.056015383847057821642412278607,0.072514857228845361336588837275,5.447316038987599640108783205505,str\(\'t-test\'\),20,str\(\'bounded\'\)
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,4754,3193,2764,0.934182663720101169602116897295,0.517968312850222045717885066551,1.636155006320215710147181198408,str\(\'ks-test\'\),40,str\(\'bounded\'\)
6,,,,,,,,,,,,,,,6_0,FAILED,SOBOL,,,3564,260,87,0.415271330688148754273214535715,0.908774368964135659254566235177,4.183544469640590790504575124942,str\(\'t-test\'\),26,str\(\'bounded\'\)
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,753,4172,4462,0.542992317751049946572550197743,0.492580105582252125717701574104,7.879967605239712291620435280493,str\(\'ks-test\'\),10,str\(\'bounded\'\)
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,1234,1439,521,0.944679248031228824267202526244,0.820472087020054474670871513808,8.810250527367927020350180100650,str\(\'t-test\'\),25,str\(\'bounded\'\)
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,3435,2842,4896,0.076346531622111801773655770376,0.269860066629946215854829461023,2.623972151583991774259629892185,str\(\'ks-test\'\),42,str\(\'bounded\'\)
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,4590,1236,2252,0.586866343498229969810608963598,0.159733970737084757240964449920,0.076665828428231178048868343922,str\(\'t-test\'\),30,str\(\'bounded\'\)
11,,,,,,,,,,,,,,,11_0,FAILED,SOBOL,,,2383,4524,2877,0.465087341714650381874207596411,0.743477086644619755695373441995,6.377675545425154801648659486091,str\(\'ks-test\'\),11,str\(\'bounded\'\)
12,,,,,,,,,,,,,,,12_0,FAILED,SOBOL,,,1517,356,4346,0.262116600256413201375238486435,0.604304074147716141496289310453,8.169046795708126751378586050123,str\(\'t-test\'\),32,str\(\'bounded\'\)
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,4324,3964,1220,0.639277544207870973558271998627,0.047819324396550656752769015156,4.520014112676494555387307627825,str\(\'ks-test\'\),3,str\(\'bounded\'\)
14,,,,,,,,,,,,,,,14_0,FAILED,SOBOL,,,2978,1970,3587,0.151614884510636344083778226377,0.376261840751394627258008540593,1.933567247579805581381151569076,str\(\'t-test\'\),14,str\(\'bounded\'\)
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,167,3673,1711,0.780220336709171569111731514568,0.961990491267293745814015437645,5.775450247284957150384343549376,str\(\'ks-test\'\),46,str\(\'bounded\'\)
16,,,,,,,,,,,,,,,16_0,FAILED,SOBOL,,,152,2142,4712,0.383576747093349712525167660715,0.240860323835164313877044151013,4.899149736763909857018006732687,str\(\'ks-test\'\),15,str\(\'bounded\'\)
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,2954,3545,337,0.513185980334877944741833744047,0.668685597820207422437022160011,8.741893006227909879157778050285,str\(\'t-test\'\),44,str\(\'bounded\'\)
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,4103,533,2986,0.026254493303596974224101145978,0.776877799898386012245055098902,6.133545114614070037362125731306,str\(\'ks-test\'\),34,str\(\'bounded\'\)
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,1308,3821,2360,0.902411700826138307718338182895,0.319789411352947361422138783382,2.488538657950237542593185935402,str\(\'t-test\'\),2,str\(\'bounded\'\)
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,2292,1059,1053,0.822732398796826580600338729710,0.458871180627495045545316543212,3.045566325364634341354985735961,str\(\'ks-test\'\),29,str\(\'bounded\'\)
