trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,n_windows,disjoint_training_windows
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,5.000000000000000000000000000000,7.540000000000000035527136788005,2928,1856,1353,False
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,2.000000000000000000000000000000,4.769999999999999573674358543940,3222,4719,405,False
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2130,2033,4908,True
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,10.000000000000000000000000000000,4.000000000000000000000000000000,91,3410,2356,False
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4010,1077,2952,True
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.120000000000000106581410364015,3838,3138,779,False
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,266,1118,3913,True
50,,,,,,,,,,,,,,,50_0,COMPLETED,SOBOL,5.000000000000000000000000000000,1.310000000000000053290705182008,1957,4995,1485,False
51,,,,,,,,,,,,,,,51_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3396,1996,3212,True
52,,,,,,,,,,,,,,,52_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3066,3921,4796,True
53,,,,,,,,,,,,,,,53_0,COMPLETED,SOBOL,4.000000000000000000000000000000,10.800000000000000710542735760100,1661,1586,509,False
54,,,,,,,,,,,,,,,54_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1185,2963,3002,True
55,,,,,,,,,,,,,,,55_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.000000000000000000000000000000,4791,279,2308,False
56,,,,,,,,,,,,,,,56_0,COMPLETED,SOBOL,9.000000000000000000000000000000,1.320000000000000062172489379009,4447,4503,2596,False
57,,,,,,,,,,,,,,,57_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,826,2483,2098,True
58,,,,,,,,,,,,,,,58_0,COMPLETED,SOBOL,14.000000000000000000000000000000,1.209999999999999964472863211995,1327,3626,4547,False
59,,,,,,,,,,,,,,,59_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2696,626,143,True
60,,,,,,,,,,,,,,,60_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3657,2785,1695,True
61,,,,,,,,,,,,,,,61_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.880000000000000004440892098501,2244,450,3617,False
62,,,,,,,,,,,,,,,62_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,537,4093,1145,True
63,,,,,,,,,,,,,,,63_0,COMPLETED,SOBOL,10.000000000000000000000000000000,1.830000000000000071054273576010,4114,1408,4162,False
64,,,,,,,,,,,,,,,64_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4085,4582,1014,True
65,,,,,,,,,,,,,,,65_0,COMPLETED,SOBOL,10.000000000000000000000000000000,4.299999999999999822364316059975,488,2249,4306,False
66,,,,,,,,,,,,,,,66_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2214,3547,1871,True
67,,,,,,,,,,,,,,,67_0,COMPLETED,SOBOL,7.000000000000000000000000000000,2.180000000000000159872115546023,3608,861,3444,False
68,,,,,,,,,,,,,,,68_0,COMPLETED,SOBOL,10.000000000000000000000000000000,3.740000000000000213162820728030,2687,2551,4409,False
69,,,,,,,,,,,,,,,69_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1259,528,278,True
70,,,,,,,,,,,,,,,70_0,COMPLETED,SOBOL,8.000000000000000000000000000000,3.089999999999999857891452847980,816,4327,2766,False
71,,,,,,,,,,,,,,,71_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4379,1330,1916,True
72,,,,,,,,,,,,,,,72_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4820,3372,2830,True
73,,,,,,,,,,,,,,,73_0,COMPLETED,SOBOL,7.000000000000000000000000000000,3.399999999999999911182158029987,1234,1040,2487,False
74,,,,,,,,,,,,,,,74_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1690,4761,4941,True
75,,,,,,,,,,,,,,,75_0,COMPLETED,SOBOL,2.000000000000000000000000000000,6.299999999999999822364316059975,3114,2073,380,False
76,,,,,,,,,,,,,,,76_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.209999999999999964472863211995,3406,3843,1300,False
77,,,,,,,,,,,,,,,77_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2026,1820,3380,True
78,,,,,,,,,,,,,,,78_0,COMPLETED,SOBOL,3.000000000000000000000000000000,3.229999999999999982236431605997,276,3041,911,False
79,,,,,,,,,,,,,,,79_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3906,44,3774,True
80,,,,,,,,,,,,,,,80_0,COMPLETED,SOBOL,10.000000000000000000000000000000,1.659999999999999920063942226989,4039,2921,2226,False
81,,,,,,,,,,,,,,,81_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,141,236,3094,True
82,,,,,,,,,,,,,,,82_0,COMPLETED,SOBOL,4.000000000000000000000000000000,2.069999999999999840127884453977,2159,3957,582,False
83,,,,,,,,,,,,,,,83_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3271,1622,4732,True
84,,,,,,,,,,,,,,,84_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2937,4954,3198,True
85,,,,,,,,,,,,,,,85_0,COMPLETED,SOBOL,6.000000000000000000000000000000,4.830000000000000071054273576010,1869,1954,1489,False
86,,,,,,,,,,,,,,,86_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1057,3175,4055,True
87,,,,,,,,,,,,,,,87_0,COMPLETED,SOBOL,5.000000000000000000000000000000,9.199999999999999289457264239900,5000,1155,628,False
88,,,,,,,,,,,,,,,88_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.719999999999999973354647408996,4554,4135,4118,False
89,,,,,,,,,,,,,,,89_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,644,1450,1199,True
90,,,,,,,,,,,,,,,90_0,COMPLETED,SOBOL,11.000000000000000000000000000000,1.889999999999999902300373832986,1433,2749,3730,False
91,,,,,,,,,,,,,,,91_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2514,414,1592,True
92,,,,,,,,,,,,,,,92_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3468,3666,11,True
93,,,,,,,,,,,,,,,93_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.699999999999999955591079014994,2352,668,4669,False
94,,,,,,,,,,,,,,,94_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,347,4466,2123,True
95,,,,,,,,,,,,,,,95_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.679999999999999715782905695960,4223,2446,2562,False
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,13.000000000000000000000000000000,1.320000000000000062172489379009,4325,3513,4871,False
97,,,,,,,,,,,,,,,97_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,402,827,448,True
98,,,,,,,,,,,,,,,98_0,COMPLETED,SOBOL,11.000000000000000000000000000000,5.209999999999999964472863211995,2445,4625,2916,False
99,,,,,,,,,,,,,,,99_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3532,2293,2399,True
100,,,,,,,,,,,,,,,100_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2617,4293,845,True
101,,,,,,,,,,,,,,,101_0,COMPLETED,SOBOL,9.000000000000000000000000000000,1.679999999999999937827510620991,1486,1296,3842,False
102,,,,,,,,,,,,,,,102_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,737,2595,1389,True
103,,,,,,,,,,,,,,,103_0,COMPLETED,SOBOL,5.000000000000000000000000000000,1.340000000000000079936057773011,4616,572,3293,False
104,,,,,,,,,,,,,,,104_0,COMPLETED,SOBOL,7.000000000000000000000000000000,2.930000000000000159872115546023,4898,4804,1765,False
105,,,,,,,,,,,,,,,105_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1003,2117,3552,True
106,,,,,,,,,,,,,,,106_0,COMPLETED,SOBOL,9.000000000000000000000000000000,2.259999999999999786837179271970,1777,3338,1064,False
107,,,,,,,,,,,,,,,107_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2873,1005,4258,True
108,,,,,,,,,,,,,,,108_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3167,3085,2657,True
109,,,,,,,,,,,,,,,109_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2106,88,2023,False
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,47,3809,4456,True
111,,,,,,,,,,,,,,,111_0,COMPLETED,SOBOL,4.000000000000000000000000000000,6.990000000000000213162820728030,3976,1786,229,False
112,,,,,,,,,,,,,,,112_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3804,4001,3661,True
113,,,,,,,,,,,,,,,113_0,COMPLETED,SOBOL,5.000000000000000000000000000000,5.410000000000000142108547152020,222,1666,1658,False
114,,,,,,,,,,,,,,,114_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1934,2887,4205,True
115,,,,,,,,,,,,,,,115_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.000000000000000000000000000000,3342,202,1109,False
116,,,,,,,,,,,,,,,116_0,COMPLETED,SOBOL,10.000000000000000000000000000000,1.389999999999999902300373832986,3011,3219,2055,False
117,,,,,,,,,,,,,,,117_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1637,1199,2632,True
118,,,,,,,,,,,,,,,118_0,COMPLETED,SOBOL,1.000000000000000000000000000000,2.080000000000000071054273576010,1141,4920,100,False
119,,,,,,,,,,,,,,,119_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4758,1920,4583,True
120,,,,,,,,,,,,,,,120_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4481,2715,476,True
121,,,,,,,,,,,,,,,121_0,COMPLETED,SOBOL,4.000000000000000000000000000000,0.000000000000000000000000000000,870,380,4842,False
122,,,,,,,,,,,,,,,122_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1351,4179,2275,True
123,,,,,,,,,,,,,,,123_0,COMPLETED,SOBOL,7.000000000000000000000000000000,3.259999999999999786837179271970,2750,1494,3047,False
124,,,,,,,,,,,,,,,124_0,COMPLETED,SOBOL,15.000000000000000000000000000000,6.190000000000000390798504668055,3711,4432,3947,False
125,,,,,,,,,,,,,,,125_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2268,2412,733,True
126,,,,,,,,,,,,,,,126_0,COMPLETED,SOBOL,13.000000000000000000000000000000,1.570000000000000062172489379009,581,3710,3246,False
127,,,,,,,,,,,,,,,127_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4148,711,1439,True
128,,,,,,,,,,,,,,,128_0,COMPLETED,SOBOL,13.000000000000000000000000000000,49.500000000000000000000000000000,4164,3897,4029,False
129,,,,,,,,,,,,,,,129_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,562,1838,660,True
130,,,,,,,,,,,,,,,130_0,COMPLETED,SOBOL,10.000000000000000000000000000000,2.709999999999999964472863211995,2294,2980,3173,False
131,,,,,,,,,,,,,,,131_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3683,21,1522,True
132,,,,,,,,,,,,,,,132_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2768,3431,549,True
133,,,,,,,,,,,,,,,133_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.760000000000000008881784197001,1335,1056,4759,False
134,,,,,,,,,,,,,,,134_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,898,4699,2192,True
135,,,,,,,,,,,,,,,135_0,COMPLETED,SOBOL,10.000000000000000000000000000000,2.810000000000000053290705182008,4456,2053,3120,False
136,,,,,,,,,,,,,,,136_0,COMPLETED,SOBOL,6.000000000000000000000000000000,4.240000000000000213162820728030,4746,2533,2138,False
137,,,,,,,,,,,,,,,137_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1155,474,2559,True
138,,,,,,,,,,,,,,,138_0,COMPLETED,SOBOL,1.000000000000000000000000000000,1.850000000000000088817841970013,1616,4351,26,False
139,,,,,,,,,,,,,,,139_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3035,1390,4666,True
140,,,,,,,,,,,,,,,140_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3329,4565,3734,True
141,,,,,,,,,,,,,,,141_0,COMPLETED,SOBOL,7.000000000000000000000000000000,5.030000000000000248689957516035,1944,2191,1575,False
142,,,,,,,,,,,,,,,142_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,199,3568,4122,True
143,,,,,,,,,,,,,,,143_0,COMPLETED,SOBOL,6.000000000000000000000000000000,12.039999999999999147348717087880,3824,922,1183,False
144,,,,,,,,,,,,,,,144_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,3965,3605,2740,True
145,,,,,,,,,,,,,,,145_0,COMPLETED,SOBOL,5.000000000000000000000000000000,5.599999999999999644728632119950,61,647,1950,False
146,,,,,,,,,,,,,,,146_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2084,4524,4383,True
147,,,,,,,,,,,,,,,147_0,COMPLETED,SOBOL,3.000000000000000000000000000000,6.160000000000000142108547152020,3191,2463,312,False
148,,,,,,,,,,,,,,,148_0,COMPLETED,SOBOL,5.000000000000000000000000000000,1.600000000000000088817841970013,2860,4075,1839,False
149,,,,,,,,,,,,,,,149_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1788,1426,3469,True
150,,,,,,,,,,,,,,,150_0,COMPLETED,SOBOL,4.000000000000000000000000000000,5.009999999999999786837179271970,980,2803,981,False
151,,,,,,,,,,,,,,,151_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4918,432,4331,True
152,,,,,,,,,,,,,,,152_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4633,4974,928,True
153,,,,,,,,,,,,,,,153_0,COMPLETED,SOBOL,10.000000000000000000000000000000,3.189999999999999946709294817992,718,2016,3769,False
154,,,,,,,,,,,,,,,154_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1512,3159,1316,True
155,,,,,,,,,,,,,,,155_0,COMPLETED,SOBOL,7.000000000000000000000000000000,6.549999999999999822364316059975,2589,1097,3376,False
156,,,,,,,,,,,,,,,156_0,COMPLETED,SOBOL,13.000000000000000000000000000000,0.890000000000000013322676295502,3550,2944,4945,False
157,,,,,,,,,,,,,,,157_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2429,297,365,True
158,,,,,,,,,,,,,,,158_0,COMPLETED,SOBOL,10.000000000000000000000000000000,3.919999999999999928945726423990,429,3940,2833,False
159,,,,,,,,,,,,,,,159_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4300,1568,2472,True
160,,,,,,,,,,,,,,,160_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4245,3102,94,True
161,,,,,,,,,,,,,,,161_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,327,143,4596,False
162,,,,,,,,,,,,,,,162_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,2365,3785,2050,True
163,,,,,,,,,,,,,,,163_0,COMPLETED,SOBOL,6.000000000000000000000000000000,7.650000000000000355271367880050,3457,1726,2645,False
164,,,,,,,,,,,,,,,164_0,COMPLETED,SOBOL,14.000000000000000000000000000000,2.359999999999999875655021241982,2536,4821,4191,False
165,,,,,,,,,,,,,,,165_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1409,2176,1116,True
166,,,,,,,,,,,,,,,166_0,COMPLETED,SOBOL,13.000000000000000000000000000000,3.000000000000000000000000000000,656,3318,3647,False
167,,,,,,,,,,,,,,,167_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4540,944,1665,True
168,,,,,,,,,,,,,,,168_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4972,4239,3281,True
169,,,,,,,,,,,,,,,169_0,COMPLETED,SOBOL,4.000000000000000000000000000000,7.009999999999999786837179271970,1082,1278,1416,False
170,,,,,,,,,,,,,,,170_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,1852,2655,3981,True
171,,,,,,,,,,,,,,,171_0,COMPLETED,SOBOL,5.000000000000000000000000000000,20.269999999999999573674358543940,2953,596,711,False
172,,,,,,,,,,,,,,,172_0,COMPLETED,SOBOL,11.000000000000000000000000000000,6.389999999999999680255768907955,3244,3456,2299,False
173,,,,,,,,,,,,,,,173_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2188,810,3011,True
174,,,,,,,,,,,,,,,174_0,COMPLETED,SOBOL,2.000000000000000000000000000000,2.220000000000000195399252334028,124,4687,499,False
175,,,,,,,,,,,,,,,175_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,4058,2313,4806,True
176,,,,,,,,,,,,,,,176_0,COMPLETED,SOBOL,5.000000000000000000000000000000,2.910000000000000142108547152020,3879,4412,1383,False
177,,,,,,,,,,,,,,,177_0,COMPLETED,SOBOL,0.000000000000000000000000000000,0.000000000000000000000000000000,301,2350,3307,True
