trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,window_size,ev_threshold,delta,divergence_metric,sample_period,online_scaling
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,16.000000000000000000000000000000,0.000000000000000000000000000000,2573,2382,0.742152894377708483020228413807,0.817142018914222667547164746793,str\(\'kl\'\),0.086645431518554694161338147751,False
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,14,2914,0.040498158141970636014761453225,0.137504828607663526218729543871,str\(\'intersection\'\),0.021609506951645020278451880813,True
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,2142,862,0.790442511918023282824208308739,0.649750668020918964451482224831,str\(\'intersection\'\),0.037123687537387019264034648813,False
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,21.000000000000000000000000000000,0.000000000000000000000000000000,4663,3768,0.495075670173391713113630885346,0.329253828553482896790427503220,str\(\'kl\'\),0.074029121622443197492380306812,True
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,12.000000000000000000000000000000,0.000000000000000000000000000000,4113,553,0.223170960498973725005811274968,0.475478318929672238990491450750,str\(\'kl\'\),0.093479013359174134567552982844,False
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,6.000000000000000000000000000000,0.000000000000000000000000000000,1593,4699,0.549726729894056909131450083805,0.546530814457684810392379404220,str\(\'intersection\'\),0.017896119076758622290501676844,True
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,1183,1441,0.298747160740196693318182497023,0.057616768948733805555395548481,str\(\'intersection\'\),0.053009856734424834479035837376,False
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,72.000000000000000000000000000000,0.000000000000000000000000000000,3743,3233,0.969220592755824283948129505006,0.986815994199365387196110077639,str\(\'kl\'\),0.055462256511673337089352031626,True
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,10.000000000000000000000000000000,0.000000000000000000000000000000,3167,1083,0.340408035507425654753177468592,0.619966194290667793609372893116,str\(\'intersection\'\),0.071794813601300119798587218156,False
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,34.000000000000000000000000000000,0.000000000000000000000000000000,649,4291,0.886618296327069455031733014039,0.424466568857431392203238829097,str\(\'kl\'\),0.039800182189792400466732402720,True
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,19.000000000000000000000000000000,0.000000000000000000000000000000,1489,1926,0.139594023093581209860047920301,0.913077892985194927710779211338,str\(\'kl\'\),0.029996156375855211051462134719,False
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,9.000000000000000000000000000000,0.000000000000000000000000000000,4047,2782,0.592362182434648221196482609230,0.108931240402162080038728220188,str\(\'intersection\'\),0.078871279610320935149481158533,True
