trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,3747,0.587555244326591452619368283194,0.676995641589164698359581961995,799,219,170
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,3250.000000000000000000000000000000,1.300000000000000044408920985006,1119,0.387943016165867460287586254708,0.378128287376835958699672346484,2580,2765,2781
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,3559.000000000000000000000000000000,0.209999999999999992228438827624,1519,0.801881199602037630924655786657,0.876663075022399373992243454268,1361,1890,4138
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,3971,0.220709400199353700244842002576,0.177490143653005361112917626087,4560,1096,1664
4,,,,,,,,,,,,,,,4_0,FAILED,SOBOL,,,4527,0.881068368399515744471273137606,0.361148284140974273892510382211,3931,1480,660
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,5592.000000000000000000000000000000,0.670000000000000039968028886506,1899,0.081096823794767264326210920444,0.569108550533652279845853172446,1992,2490,3267
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,1231.000000000000000000000000000000,4.940000000000000390798504668055,424,0.728629732005298125230297046073,0.069608782717958089802934296131,3210,3364,4897
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,1555.000000000000000000000000000000,0.309999999999999997779553950750,2877,0.311192370805889351181861002260,0.859669756343588220559581714042,169,605,2428
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,2644,0.818148483669385306882304575993,0.010375982806086540138901241903,2380,2946,1376
9,,,,,,,,,,,,,,,9_0,FAILED,SOBOL,,,31,0.144023348586633792578481916280,0.810845476273447274273564744362,4161,183,3762
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,1273.000000000000000000000000000000,1.469999999999999973354647408996,2287,0.540960817631334078825489086739,0.311399011125788105491807300496,404,1057,3069
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,7087.000000000000000000000000000000,0.460000000000000019984014443253,4764,0.498869858518242836886713575950,0.508844152340665489830939804961,3603,2071,546
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,4189.000000000000000000000000000000,0.190000000000000002220446049250,4364,0.649386252807453323576680759288,0.949791561128571659722297226836,2973,2342,2170
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,5901.000000000000000000000000000000,1.820000000000000062172489379009,1751,0.326120548492297546161466925696,0.245555218337103725589898317594,1033,1552,4570
14,,,,,,,,,,,,,,,14_0,FAILED,SOBOL,,,881,0.988461270257830593166659127746,0.744021489914506672924687791237,4791,676,3525
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,3359,0.034135999348014596510569873544,0.450354604355990895125927409026,1750,3219,987
16,,,,,,,,,,,,,,,16_0,FAILED,SOBOL,,,3228,0.945193967139348334427495501586,0.770487116908654567914993549493,3292,1284,4411
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,698,0.028391097681596876717291522141,0.035019838595762846356063136000,84,1858,2015
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,1704,0.660453435357660101345800285344,0.533540877670049651371186882898,3866,2735,1147
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,4098,0.360090991869568832761672183551,0.270987540561705819719406918011,2054,407,3679
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,4948,0.523276951121166344904622746981,0.205257149320095783062711802813,1433,465,3921
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,2417,0.440739762431010595467029133943,0.974616871662437933565570347128,4486,3443,1529
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,298,0.869905548140406659207712891657,0.475111564265564056963597749927,704,2569,387
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,2691,0.171902542855590589887526675739,0.703791537297889568947084626416,2671,1339,2915
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,3085,0.709978944612666973412729021220,0.415746595151722408978400835622,4876,2116,3421
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,530,0.254044453615322685102739797003,0.654850301425904057772697797191,1668,883,819
