trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,k_neighbors,n_permutations,significance_level
1186,1754678644.000000000000000000000000000000,1754681312.000000000000000000000000000000,2668.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 3910 n_samples 604 k_neighbors 23 n_permutations 14 significance_level 0.6118987535052002,0.000000000000000000000000000000,,i7081,2641.000000000000000000000000000000,590.855468750000000000000000000000,573.119904252819537759933155030012,-1.000000000000000000000000000000,0.330000000000000015543122344752,1.617499999999999937827510620991,5778508.000000000000000000000000000000,1186_0,COMPLETED,SOBOL,2641.000000000000000000000000000000,7.120000000000000106581410364015,3910,604,23,14,0.611898753505200176938672029792
1187,,,,,,,,,,,,,,,1187_0,RUNNING,SOBOL,,,4678,4379,44,160,0.693165323998779059344599318138
1188,,,,,,,,,,,,,,,1188_0,RUNNING,SOBOL,,,997,1066,70,613,0.229325278110802166509074595524
1189,,,,,,,,,,,,,,,1189_0,RUNNING,SOBOL,,,1753,3150,12,437,0.397583592977374777888144308235
1190,,,,,,,,,,,,,,,1190_0,FAILED,SOBOL,,,2602,2335,76,858,0.931381935127079452207965459820
1191,,,,,,,,,,,,,,,1191_0,FAILED,SOBOL,,,2617,3160,61,230,0.629046817967668148163795649452
1192,,,,,,,,,,,,,,,1192_0,FAILED,SOBOL,,,1748,2334,28,558,0.164841732269152996259720111993
1193,,,,,,,,,,,,,,,1193_0,FAILED,SOBOL,,,1012,4391,92,492,0.457788754830136868090306734302
1194,,,,,,,,,,,,,,,1194_0,FAILED,SOBOL,,,4674,1064,21,788,0.991952895229682329869547174894
1195,,,,,,,,,,,,,,,1195_0,FAILED,SOBOL,,,3924,3919,39,883,0.823715777626261136390439787647
1196,,,,,,,,,,,,,,,1196_0,FAILED,SOBOL,,,399,588,74,338,0.344377102667465795349244217505
1197,,,,,,,,,,,,,,,1197_0,FAILED,SOBOL,,,2478,2690,8,645,0.029259739330038430499270063478
1198,,,,,,,,,,,,,,,1198_0,FAILED,SOBOL,,,3171,1857,81,69,0.547308066958561489911971875699
1199,,,,,,,,,,,,,,,1199_0,FAILED,SOBOL,,,3502,4790,5,287,0.188744998104870331800952953927
1200,,,,,,,,,,,,,,,1200_0,FAILED,SOBOL,,,2183,695,82,990,0.730823679413646454250397255237
1201,,,,,,,,,,,,,,,1201_0,FAILED,SOBOL,,,107,3521,50,56,0.890308580346405475935966933321
1202,,,,,,,,,,,,,,,1202_0,FAILED,SOBOL,,,4258,1925,64,728,0.433781997349113213058302562786
1203,,,,,,,,,,,,,,,1203_0,FAILED,SOBOL,,,4969,3054,97,569,0.259196460228413361193133823690
1204,,,,,,,,,,,,,,,1204_0,FAILED,SOBOL,,,681,1464,17,149,0.785167887233197636653869722068
1205,,,,,,,,,,,,,,,1205_0,FAILED,SOBOL,,,1414,4324,52,839,0.585965631764382099966326222784
1206,1754680800.000000000000000000000000000000,1754685274.000000000000000000000000000000,4474.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier NNDVI recent_samples_size 2909 n_samples 233 k_neighbors 35 n_permutations 387 significance_level 0.11429878970235587,0.000000000000000000000000000000,,i7004,4440.000000000000000000000000000000,577.601562500000000000000000000000,553.609129764573935972293838858604,-1.000000000000000000000000000000,0.320000000000000006661338147751,1.622875000000000067501559897210,5778540.000000000000000000000000000000,1206_0,COMPLETED,SOBOL,4440.000000000000000000000000000000,2.310000000000000053290705182008,2909,233,35,387,0.114298789702355865771643550488
1207,,,,,,,,,,,,,,,1207_0,RUNNING,SOBOL,,,2970,4109,88,660,0.965275007471442236806069558952
