trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,gamma,alpha,use_mmd2,use_k2s_test
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,2241.000000000000000000000000000000,3.520000000000000017763568394003,2386,4471,8.204418586909770993997881305404,0.039319729894399642333713273956,True,True
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4339,175,4.861850589297712410541407734854,0.018539288046304138596331867461,False,False
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3494,3110,5.955953495217487514423737593461,0.032920301573816687645823719777,False,False
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,1481.000000000000000000000000000000,8.050000000000000710542735760100,447,2250,2.110509781430475406693858531071,0.010194888380356134649495913891,True,True
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,2058.000000000000000000000000000000,8.570000000000000284217094304040,692,3516,2.985060493204742648742922028759,0.002657053503207862463902921846,True,True
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2645,1876,8.831030316387302292469030362554,0.031183204427827151267171856830,False,False
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,2.000000000000000000000000000000,2.520000000000000017763568394003,4602,3911,0.238907676308415833910103742710,0.019895749122370035011364564070,False,False
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,291.000000000000000000000000000000,46.990000000000001989519660128281,1554,708,6.577988725537434966383898427011,0.047250460523180666527753857054,True,True
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,1896.000000000000000000000000000000,4.959999999999999964472863211995,1695,2772,1.027659554098732774818358848279,0.027258345565758648060272761882,False,True
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,13.000000000000000000000000000000,0.000000000000000000000000000000,4742,1913,7.040844530496746855874334869441,0.006671258759219199016565760019,True,False
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,3091,4808,3.134532298618927459443739280687,0.044786937889177355631709076533,True,False
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,474.000000000000000000000000000000,51.060000000000002273736754432321,1138,513,9.933777378230356447375015704893,0.022254881120286881812653234647,False,True
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,2384.000000000000000000000000000000,10.439999999999999502620084967930,304,4278,5.163139222107828274488383613061,0.014717143976129592325419181975,False,True
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,22.000000000000000000000000000000,21.219999999999998863131622783840,3351,1075,1.655797987685538874558233146672,0.043049932575318965166655260646,True,False
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,11.000000000000000000000000000000,0.000000000000000000000000000000,3896,3149,8.060648727308027616800245596096,0.008027439913246781078015601452,True,False
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,995.000000000000000000000000000000,25.079999999999998294697434175760,1943,1509,3.757482592238113205951322015608,0.035188788988627497933414645104,False,True
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,8.000000000000000000000000000000,0.000000000000000000000000000000,2184,3295,7.273473728269339133589710399974,0.021072038876358421127799047667,True,False
