trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,significance,gamma,max_node_size,max_tree_depth,max_time_stationary
0,1753865531.000000000000000000000000000000,1753868238.000000000000000000000000000000,2707.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1500 significance 0.9647418023347855 gamma 0.09030407151579857 max_node_size 385 max_tree_depth 1733 max_time_stationary 4691,0.000000000000000000000000000000,,i7186,2696.000000000000000000000000000000,591.445312500000000000000000000000,562.628058938419144396902993321419,-1.000000000000000000000000000000,0.359999999999999986677323704498,1.625000000000000000000000000000,5694461.000000000000000000000000000000,0_0,COMPLETED,SOBOL,2696.000000000000000000000000000000,4.940000000000000390798504668055,1500,0.964741802334785458761245990900,0.090304071515798570168875869513,385,1733,4691
1,1753865597.000000000000000000000000000000,1753867867.000000000000000000000000000000,2270.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2804 significance 0.49963002754561603 gamma 0.8741286190394312 max_node_size 4499 max_tree_depth 2749 max_time_stationary 384,0.000000000000000000000000000000,,i7184,2241.000000000000000000000000000000,657.011718750000000000000000000000,609.033894496681455166253726929426,-1.000000000000000000000000000000,0.359999999999999986677323704498,1.625000000000000000000000000000,5694464.000000000000000000000000000000,1_0,COMPLETED,SOBOL,2241.000000000000000000000000000000,4.940000000000000390798504668055,2804,0.499630027545616028916697359818,0.874128619039431176140908519301,4499,2749,384
2,1753865597.000000000000000000000000000000,1753870192.000000000000000000000000000000,4595.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 4777 significance 0.5485364040229469 gamma 0.29183981793001296 max_node_size 2383 max_tree_depth 1894 max_time_stationary 1667,0.000000000000000000000000000000,,i7184,4569.000000000000000000000000000000,625.992187500000000000000000000000,604.090805419389994312950875610113,-1.000000000000000000000000000000,0.349999999999999977795539507497,1.625000000000000000000000000000,5694467.000000000000000000000000000000,2_0,COMPLETED,SOBOL,4569.000000000000000000000000000000,4.940000000000000390798504668055,4777,0.548536404022946899594614933449,0.291839817930012956903595977565,2383,1894,1667
3,1753865597.000000000000000000000000000000,1753868236.000000000000000000000000000000,2639.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 1091 significance 0.01907114457897842 gamma 0.5138115505520254 max_node_size 2737 max_tree_depth 845 max_time_stationary 3572,0.000000000000000000000000000000,,i7184,2616.000000000000000000000000000000,625.191406250000000000000000000000,598.805175781250000000000000000000,-1.000000000000000000000000000000,0.359999999999999986677323704498,1.625000000000000000000000000000,5694469.000000000000000000000000000000,3_0,COMPLETED,SOBOL,2616.000000000000000000000000000000,2.549999999999999822364316059975,1091,0.019071144578978418970827135581,0.513811550552025431137792566005,2737,845,3572
4,1753865577.000000000000000000000000000000,1753865880.000000000000000000000000000000,303.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 38 significance 0.7380418410599232 gamma 0.9744957007598132 max_node_size 3506 max_tree_depth 1 max_time_stationary 4336,0.000000000000000000000000000000,,i7182,272.000000000000000000000000000000,581.941406250000000000000000000000,566.861718750000022737367544323206,-1.000000000000000000000000000000,0.380000000000000004440892098501,1.625000000000000000000000000000,5694479.000000000000000000000000000000,4_0,COMPLETED,SOBOL,272.000000000000000000000000000000,4.389999999999999680255768907955,38,0.738041841059923209300563939905,0.974495700759813177072032885917,3506,1,4336
5,1753865608.000000000000000000000000000000,1753869473.000000000000000000000000000000,3865.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3803 significance 0.21100525669381023 gamma 0.1906608306542039 max_node_size 1379 max_tree_depth 2513 max_time_stationary 1206,0.000000000000000000000000000000,,i7181,3836.000000000000000000000000000000,622.710937500000000000000000000000,599.402637224740942656353581696749,-1.000000000000000000000000000000,0.349999999999999977795539507497,1.625000000000000000000000000000,5694489.000000000000000000000000000000,5_0,COMPLETED,SOBOL,3836.000000000000000000000000000000,4.400000000000000355271367880050,3803,0.211005256693810233636909856614,0.190660830654203888867570526600,1379,2513,1206
6,1753865609.000000000000000000000000000000,1753869158.000000000000000000000000000000,3549.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3626 significance 0.7740257037729025 gamma 0.6472297217380255 max_node_size 4244 max_tree_depth 3348 max_time_stationary 2412,0.000000000000000000000000000000,,i7180,3516.000000000000000000000000000000,555.980468750000000000000000000000,515.151747881355959179927594959736,-1.000000000000000000000000000000,0.359999999999999986677323704498,1.625000000000000000000000000000,5694497.000000000000000000000000000000,6_0,COMPLETED,SOBOL,3516.000000000000000000000000000000,4.940000000000000390798504668055,3626,0.774025703772902473609462958848,0.647229721738025509658598366514,4244,3348,2412
7,1753865614.000000000000000000000000000000,1753866370.000000000000000000000000000000,756.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2400 significance 0.3074446433745325 gamma 0.4252666442468762 max_node_size 876 max_tree_depth 923 max_time_stationary 2985,0.000000000000000000000000000000,,i7179,725.000000000000000000000000000000,598.691406250000000000000000000000,578.456562500000018189894035458565,-1.000000000000000000000000000000,0.380000000000000004440892098501,1.625000000000000000000000000000,5694504.000000000000000000000000000000,7_0,COMPLETED,SOBOL,725.000000000000000000000000000000,4.650000000000000355271367880050,2400,0.307444643374532478041771810240,0.425266644246876213131258737121,876,923,2985
8,1753865597.000000000000000000000000000000,1753865961.000000000000000000000000000000,364.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 2072 significance 0.5875174022950232 gamma 0.711785924391821 max_node_size 1575 max_tree_depth 3045 max_time_stationary 3330,0.000000000000000000000000000000,,i7184,338.000000000000000000000000000000,599.941406250000000000000000000000,575.085937500000000000000000000000,-1.000000000000000000000000000000,0.380000000000000004440892098501,1.625000000000000000000000000000,5694513.000000000000000000000000000000,8_0,COMPLETED,SOBOL,338.000000000000000000000000000000,4.940000000000000390798504668055,2072,0.587517402295023249969574408169,0.711785924391820978840428324474,1575,3045,3330
9,1753865654.000000000000000000000000000000,1753868510.000000000000000000000000000000,2856.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier CDLEEDS recent_samples_size 3306 significance 0.12043380521982908 gamma 0.4971248030774295 max_node_size 3228 max_tree_depth 1437 max_time_stationary 1441,0.000000000000000000000000000000,,i7177,2822.000000000000000000000000000000,629.441406250000000000000000000000,601.990358164612644031876698136330,-1.000000000000000000000000000000,0.359999999999999986677323704498,1.625000000000000000000000000000,5694521.000000000000000000000000000000,9_0,COMPLETED,SOBOL,2822.000000000000000000000000000000,4.389999999999999680255768907955,3306,0.120433805219829076493809338899,0.497124803077429511244389459534,3228,1437,1441
