trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_subspaces,feature_percentage,alpha,window_size,mode
749,1753429871.000000000000000000000000000000,1753429959.000000000000000000000000000000,88.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2632 n_subspaces 50 feature_percentage 0.8892573974151164 alpha 0.30220350898988546 window_size 418 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7183,75.000000000000000000000000000000,703.941406250000000000000000000000,703.941406250000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.969846153846153802291496504040,5679325.000000000000000000000000000000,749_0,COMPLETED,SOBOL,75.000000000000000000000000000000,24.230000000000000426325641456060,2632,50,0.889257397415116446204308431334,0.302203508989885460955804319383,418,EDFSMode.RANDOM
750,1753430862.000000000000000000000000000000,1753430899.000000000000000000000000000000,37.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4137 n_subspaces 82 feature_percentage 0.0941325662266463 alpha 0.5543457302749157 window_size 237 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7146,23.000000000000000000000000000000,727.703125000000000000000000000000,713.703125000000000000000000000000,-1.000000000000000000000000000000,0.689999999999999946709294817992,0.984461538461538387956295537151,5679471.000000000000000000000000000000,750_0,COMPLETED,SOBOL,23.000000000000000000000000000000,51.899999999999998578914528479800,4137,82,0.094132566226646299800684403181,0.554345730274915737822993833106,237,EDFSMode.RANDOM
751,1753430862.000000000000000000000000000000,1753430893.000000000000000000000000000000,31.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2012 n_subspaces 12 feature_percentage 0.6795062104519457 alpha 0.19246709474921225 window_size 842 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7142,20.000000000000000000000000000000,705.164062500000000000000000000000,704.764062500000022737367544323206,-1.000000000000000000000000000000,0.680000000000000048849813083507,0.914769230769230778932410430571,5679478.000000000000000000000000000000,751_0,COMPLETED,SOBOL,20.000000000000000000000000000000,15.619999999999999218402990663890,2012,12,0.679506210451945702466503007599,0.192467094749212253024239771548,842,EDFSMode.RANDOM
752,1753430890.000000000000000000000000000000,1753430915.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2164 n_subspaces 87 feature_percentage 0.4234963623341173 alpha 0.8710294027552009 window_size 459 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7143,16.000000000000000000000000000000,703.992187500000000000000000000000,703.992187500000000000000000000000,-1.000000000000000000000000000000,0.680000000000000048849813083507,0.988615384615384562572160120908,5679484.000000000000000000000000000000,752_0,COMPLETED,SOBOL,16.000000000000000000000000000000,24.059999999999998721023075631820,2164,87,0.423496362334117304460079367345,0.871029402755200909957977728482,459,EDFSMode.RANDOM
753,1753430921.000000000000000000000000000000,1753430946.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4297 n_subspaces 8 feature_percentage 0.833442066444084 alpha 0.3898860382065177 window_size 619 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7146,11.000000000000000000000000000000,705.707031250000000000000000000000,705.707031250000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.952307692307692410516040126822,5679491.000000000000000000000000000000,753_0,COMPLETED,SOBOL,11.000000000000000000000000000000,24.390000000000000568434188608080,4297,8,0.833442066444084028731253965816,0.389886038206517682169760519173,619,EDFSMode.RANDOM
754,1753430953.000000000000000000000000000000,1753430978.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 2784 n_subspaces 74 feature_percentage 0.13237399602122604 alpha 0.6381905027125031 window_size 938 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7183,8.000000000000000000000000000000,703.386718750000000000000000000000,703.386718750000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.865846153846153820943243317743,5679499.000000000000000000000000000000,754_0,COMPLETED,SOBOL,8.000000000000000000000000000000,13.169999999999999928945726423990,2784,74,0.132373996021226042474339124055,0.638190502712503104909558260260,938,EDFSMode.RANDOM
755,1753430960.000000000000000000000000000000,1753431016.000000000000000000000000000000,56.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 1167 n_subspaces 46 feature_percentage 0.5949415722284466 alpha 0.12427316159941255 window_size 198 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7140,35.000000000000000000000000000000,709.667968750000000000000000000000,705.001302083333371228945907205343,-1.000000000000000000000000000000,0.689999999999999946709294817992,0.974769230769230832223115612578,5679506.000000000000000000000000000000,755_0,COMPLETED,SOBOL,35.000000000000000000000000000000,62.049999999999997157829056959599,1167,46,0.594941572228446569070570149051,0.124273161599412554356725024718,198,EDFSMode.RANDOM
756,1753430980.000000000000000000000000000000,1753431042.000000000000000000000000000000,62.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 181 n_subspaces 55 feature_percentage 0.9356143842767924 alpha 0.15826402335241438 window_size 300 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7150,26.000000000000000000000000000000,706.679687500000000000000000000000,706.679687500000000000000000000000,-1.000000000000000000000000000000,0.689999999999999946709294817992,0.292384615384615409450219658538,5679511.000000000000000000000000000000,756_0,COMPLETED,SOBOL,26.000000000000000000000000000000,44.770000000000003126388037344441,181,55,0.935614384276792443451142844424,0.158264023352414379131047894589,300,EDFSMode.RANDOM
757,1753430984.000000000000000000000000000000,1753431009.000000000000000000000000000000,25.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 3681 n_subspaces 28 feature_percentage 0.3375728183742613 alpha 0.5808091182000935 window_size 820 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7146,9.000000000000000000000000000000,701.875000000000000000000000000000,701.875000000000000000000000000000,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.883076923076923092637002810079,5679514.000000000000000000000000000000,757_0,COMPLETED,SOBOL,9.000000000000000000000000000000,15.160000000000000142108547152020,3681,28,0.337572818374261285345738770047,0.580809118200093510431258891913,820,EDFSMode.RANDOM
758,1753430980.000000000000000000000000000000,1753431056.000000000000000000000000000000,76.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 WaveformPre 2000 HoeffdingTreeClassifier EDFS recent_samples_size 4552 n_subspaces 93 feature_percentage 0.6342437332961708 alpha 0.32860598011128606 window_size 724 mode EDFSMode.RANDOM,0.000000000000000000000000000000,,i7145,63.000000000000000000000000000000,706.078125000000000000000000000000,705.855902777777828305261209607124,-1.000000000000000000000000000000,0.699999999999999955591079014994,0.893615384615384589217512711912,5679516.000000000000000000000000000000,758_0,COMPLETED,SOBOL,63.000000000000000000000000000000,11.589999999999999857891452847980,4552,93,0.634243733296170786317702550150,0.328605980111286055667108030320,724,EDFSMode.RANDOM
