trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,n_windows,disjoint_training_windows
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,10,1553,2131,True
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,13.000000000000000000000000000000,3.910000000000000142108547152020,2993,4275,3865,False
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4683,404,323,True
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,7.000000000000000000000000000000,4.150000000000000355271367880050,2324,2539,3600,False
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,9.000000000000000000000000000000,13.599999999999999644728632119950,1674,1214,4428,False
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4004,3350,1453,True
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,10.000000000000000000000000000000,15.730000000000000426325641456060,3642,1974,3110,False
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,689,4695,1094,True
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1171,91,2721,True
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,5.000000000000000000000000000000,10.240000000000000213162820728030,3177,2852,695,False
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4145,1866,4822,True
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,8.000000000000000000000000000000,3.879999999999999893418589635985,1512,3963,1838,False
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,2.000000000000000000000000000000,19.140000000000000568434188608080,2152,2286,97,False
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4833,4382,3365,True
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,6.000000000000000000000000000000,18.739999999999998436805981327780,2537,902,2372,False
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,482,3662,4095,True
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,4.000000000000000000000000000000,29.210000000000000852651282912120,409,776,782,False
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2767,3495,2516,True
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,7.000000000000000000000000000000,5.959999999999999964472863211995,4906,2433,1673,False
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,47.000000000000000000000000000000,0.000000000000000000000000000000,1922,4567,4948,True
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,40.000000000000000000000000000000,0.000000000000000000000000000000,1273,1682,3276,True
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,132.000000000000000000000000000000,4.589999999999999857891452847980,4228,3815,303,False
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3417,259,4261,True
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,7.000000000000000000000000000000,3.979999999999999982236431605997,1088,2978,2245,False
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,302.000000000000000000000000000000,6.809999999999999609201495331945,928,2121,4031,False
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,36.000000000000000000000000000000,0.000000000000000000000000000000,3559,4880,2004,True
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,312.000000000000000000000000000000,10.939999999999999502620084967930,3765,1089,3511,False
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1758,3183,529,True
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2397,571,1288,True
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,398.000000000000000000000000000000,9.279999999999999360511537815910,4454,2665,4554,False
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2920,1369,1181,True
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,9.000000000000000000000000000000,2.299999999999999822364316059975,239,4127,2905,False
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,5.000000000000000000000000000000,0.000000000000000000000000000000,165,370,4699,False
33,,,,,,,,,,,,,,,33_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2836,2651,1726,True
34,,,,,,,,,,,,,,,34_0,COMPLETED,SOBOL,9.000000000000000000000000000000,12.070000000000000284217094304040,4525,1442,2755,False
35,,,,,,,,,,,,,,,35_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2479,4308,738,True
36,,,,,,,,,,,,,,,36_0,COMPLETED,SOBOL,45.000000000000000000000000000000,0.000000000000000000000000000000,1830,1940,2484,True
37,,,,,,,,,,,,,,,37_0,COMPLETED,SOBOL,532.000000000000000000000000000000,6.190000000000000390798504668055,3846,4807,4218,False
38,,,,,,,,,,,,,,,38_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3485,1103,54,True
39,,,,,,,,,,,,,,,39_0,COMPLETED,SOBOL,9.000000000000000000000000000000,2.580000000000000071054273576010,843,3384,3330,False
40,,,,,,,,,,,,,,,40_0,COMPLETED,SOBOL,4.000000000000000000000000000000,13.550000000000000710542735760100,1015,1755,446,False
41,,,,,,,,,,,,,,,41_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3335,3996,3712,True
42,,,,,,,,,,,,,,,42_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.000000000000000000000000000000,4301,58,2097,False
43,,,,,,,,,,,,,,,43_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1358,2964,3821,True
44,,,,,,,,,,,,,,,44_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1997,790,2999,True
45,,,,,,,,,,,,,,,45_0,COMPLETED,SOBOL,6.000000000000000000000000000000,4.099999999999999644728632119950,4990,3696,971,False
46,,,,,,,,,,,,,,,46_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2696,2252,4471,True
47,,,,,,,,,,,,,,,47_0,COMPLETED,SOBOL,7.000000000000000000000000000000,1.790000000000000035527136788005,327,4494,1488,False
48,,,,,,,,,,,,,,,48_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,566,2400,3546,True
49,,,,,,,,,,,,,,,49_0,COMPLETED,SOBOL,3.000000000000000000000000000000,5.769999999999999573674358543940,2613,4678,572,False
