trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,max_window_size,min_window_size,min_p_value
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,5.000000000000000000000000000000,1.300000000000000044408920985006,1343,2868,2058,0.028376911851204930647973867508
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2772,1902,3667,0.558704028344061187638658338983
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3909,3852,409,0.402903768507670623222338690539
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,26,1069,3868,0.933352283323369946721470569173
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,3.000000000000000000000000000000,2.240000000000000213162820728030,678,4968,2693,0.773080904669314672439384139579
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4607,271,1782,0.304666811887640498479612460869
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3400,3315,4774,0.648279176393989464699529889913
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.000000000000000000000000000000,2017,1763,753,0.179743681568279856097802849035
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,2.000000000000000000000000000000,5.299999999999999822364316059975,2252,4243,4607,0.359407855743542281601321519702
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3635,835,1118,0.827348912397865232648541677918
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4999,2790,2938,0.234484050027746693256602839028
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.000000000000000000000000000000,1069,2449,1339,0.702547576708346555030004765285
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,416,3549,222,0.613490247476659700254231211147
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4299,1372,4253,0.082599714533518997505723291397
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,3.000000000000000000000000000000,0.000000000000000000000000000000,3006,4421,2323,0.988138928532507287982866728271
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1577,349,3204,0.457125921841897042696700736997
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,1801,4632,1048,0.676774926923401687339776344743
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2918,600,4521,0.146372376277204591099589947589
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,149.000000000000000000000000000000,1.649999999999999911182158029987,4074,3648,1409,0.801698139108996787882688295213
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,45.000000000000000000000000000000,0.000000000000000000000000000000,503,1432,3024,0.271174067340604951770188790761
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1138,2533,4163,0.422692773346602934658733374818
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4755,2231,156,0.891121335985232132514965996961
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,218.000000000000000000000000000000,10.609999999999999431565811391920,3567,4186,3294,0.048044451385829599343590956551
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,42.000000000000000000000000000000,0.000000000000000000000000000000,2496,739,2389,0.516594531425461189755310442706
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2105,3258,3577,0.960983743175491733623516665830
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3176,1667,1991,0.493058585316035913326260242684
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,7.000000000000000000000000000000,1.139999999999999902300373832986,4520,4710,3958,0.586457483770418952495617759268
