trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,2573,1021,1324,0.147760324954986560497260938973,0.00000000001
1,,,,,,,,,,,,,,,1_0,FAILED,SOBOL,,,964,3955,4172,0.687978892978280742731556074432,0.8
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,1702,1258,906,0.405024740425869833604366476720,0.5
3,,,,,,,,,,,,,,,3_0,FAILED,SOBOL,,,4492,3719,3604,0.945372984839603303086619234818,0.001
4,,,,,,,,,,,,,,,4_0,FAILED,SOBOL,,,4066,2014,4670,0.777224246792495243596476939274,0.7
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,1930,2992,2368,0.322649494327604757781813304973,0.9
6,,,,,,,,,,,,,,,6_0,FAILED,SOBOL,,,89,372,2559,0.519902729021385345831163249386,0.4
7,,,,,,,,,,,,,,,7_0,FAILED,SOBOL,,,3563,4633,407,0.065441950650885705176307283182,0.000000001
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,3167,1681,2932,0.306106090951710929637386016111,0.000000000001
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,1461.000000000000000000000000000000,1.680000000000000159872115546023,328,3286,4,0.858150763217359835444142390770,0.3
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,2316,666,4922,0.048845720490440724947944772794,0.00001
11,,,,,,,,,,,,,,,11_0,FAILED,SOBOL,,,3837,4300,2146,0.600760238623246567435387532896,0.00000000001
12,,,,,,,,,,,,,,,12_0,FAILED,SOBOL,,,4722,104,1147,0.675343024656176571518528817251,0.1
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,1316,4910,3372,0.224779538691043861975416007226,0.0001
14,,,,,,,,,,,,,,,14_0,FAILED,SOBOL,,,725,2213,1707,0.932668117130175278184367471113,0.6
15,,,,,,,,,,,,,,,15_0,FAILED,SOBOL,,,2968,2803,3779,0.481991132954135537147521972656,0.0000001
16,,,,,,,,,,,,,,,16_0,FAILED,SOBOL,,,3034,2440,188,0.553220103180035893686294912186,0.8
17,,,,,,,,,,,,,,,17_0,FAILED,SOBOL,,,815,2556,3120,0.095470256110653281544919934731,0.0000001
18,,,,,,,,,,,,,,,18_0,FAILED,SOBOL,,,1563,176,1963,0.810423843506723695639948346070,0.5
19,,,,,,,,,,,,,,,19_0,FAILED,SOBOL,,,4944,4821,4733,0.352803198803216200296617444110,0.0000000001
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,3922,933,3228,0.434200385371223074315594203654,0.00000001
21,,,,,,,,,,,,,,,21_0,FAILED,SOBOL,,,2386,4093,998,0.977594046140089600882561171602,0.000000001
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,555,1790,3923,0.176817710995674143292788471626,0.00001
23,,,,,,,,,,,,,,,23_0,FAILED,SOBOL,,,3409,3235,1856,0.720325821742415439707940549852,0.001
24,,,,,,,,,,,,,,,24_0,FAILED,SOBOL,,,3648,600,4302,0.898616094125434750061742761318,0.5
25,,,,,,,,,,,,,,,25_0,FAILED,SOBOL,,,159,4388,1448,0.452689616827294250001045838872,0.000000001
26,,,,,,,,,,,,,,,26_0,FAILED,SOBOL,,,2157,2084,3475,0.641415924783796054242657191935,0.01
27,,,,,,,,,,,,,,,27_0,FAILED,SOBOL,,,4308,2901,781,0.195360721003264181661052134586,0.000000000001
28,,,,,,,,,,,,,,,28_0,FAILED,SOBOL,,,4558,1523,2200,0.020397110255435110109933916078,0.1
29,,,,,,,,,,,,,,,29_0,FAILED,SOBOL,,,1792,3512,4506,0.567804773854091782148145739484,0.000001
30,,,,,,,,,,,,,,,30_0,FAILED,SOBOL,,,1210,1132,576,0.277783824063837503359764014021,0.8
31,,,,,,,,,,,,,,,31_0,FAILED,SOBOL,,,2795,3904,2722,0.825076561801135532903117564274,0.2
32,,,,,,,,,,,,,,,32_0,FAILED,SOBOL,,,2683,1334,4938,0.746930066531524050610357789992,0.1
33,,,,,,,,,,,,,,,33_0,FAILED,SOBOL,,,1167,3642,2088,0.167817379644140590722045658367,0.0000000001
34,,,,,,,,,,,,,,,34_0,FAILED,SOBOL,,,1836,945,2835,0.988543596241623134801557171158,0.3
35,,,,,,,,,,,,,,,35_0,FAILED,SOBOL,,,4671,4032,138,0.409545359332114444761430149811,0.4
36,,,,,,,,,,,,,,,36_0,FAILED,SOBOL,,,4274,452,1570,0.367193447837606046224578904003,0.0001
37,,,,,,,,,,,,,,,37_0,FAILED,SOBOL,,,2035,4554,3874,0.782449948424473351593633196899,0.00000001
38,,,,,,,,,,,,,,,38_0,FAILED,SOBOL,,,282,1934,1202,0.125393369942903509794973615499,0.000000000001
39,,,,,,,,,,,,,,,39_0,FAILED,SOBOL,,,3682,3071,3353,0.540779072895646084617737869848,0.000001
40,,,,,,,,,,,,,,,40_0,FAILED,SOBOL,,,3297,744,809,0.830177580101415513169627047318,0.000001
41,,,,,,,,,,,,,,,41_0,FAILED,SOBOL,,,511,4224,3736,0.255078896043822167527537203568,0.3
42,,,,,,,,,,,,,,,42_0,FAILED,SOBOL,,,2431,1604,1339,0.588560483124107136632119363640,0.2
43,,,,,,,,,,,,,,,43_0,FAILED,SOBOL,,,4035,3362,4115,0.013346873205155134617383438922,0.001
44,,,,,,,,,,,,,,,44_0,FAILED,SOBOL,,,4910,2292,2613,0.211640212597325433341310940705,0.01
45,,,,,,,,,,,,,,,45_0,FAILED,SOBOL,,,1441,2723,390,0.638720082955434920179982327682,0.9
46,,,,,,,,,,,,,,,46_0,FAILED,SOBOL,,,937,26,4535,0.453436239905655402715467516828,0.001
