trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_reference_samples,n_recent_samples,threshold,stability_offset
47,,,,,,,,,,,,,,,47_0,FAILED,SOBOL,,,3069,4990,2462,0.880387383781373489277655153273,0.000000000001
48,,,,,,,,,,,,,,,48_0,FAILED,SOBOL,,,2847,252,3573,0.091953931670635938311342272300,0.9
49,,,,,,,,,,,,,,,49_0,FAILED,SOBOL,,,690,4743,641,0.510872831549495476366473667440,0.4
50,,,,,,,,,,,,,,,50_0,FAILED,SOBOL,,,1351,2363,4279,0.333628610549494608594756073217,0.2
51,,,,,,,,,,,,,,,51_0,FAILED,SOBOL,,,4844,2633,1507,0.752661484522745061198634175526,0.5
52,,,,,,,,,,,,,,,52_0,FAILED,SOBOL,,,3793,1870,514,0.959733667753636887631785157282,0.8
53,,,,,,,,,,,,,,,53_0,FAILED,SOBOL,,,2204,3156,2743,0.376958581574261208935183731228,0.01
54,,,,,,,,,,,,,,,54_0,FAILED,SOBOL,,,440,853,2337,0.717994270579889404260143237479,0.0000000001
55,,,,,,,,,,,,,,,55_0,FAILED,SOBOL,,,3211,4172,4406,0.135348862649872891950053599430,0.000001
56,,,,,,,,,,,,,,,56_0,FAILED,SOBOL,,,3441,2162,1939,0.487123498219996675651088935410,0.2
57,,,,,,,,,,,,,,,57_0,FAILED,SOBOL,,,55,2825,4794,0.910053664598614031611134578270,0.6
58,,,,,,,,,,,,,,,58_0,COMPLETED,SOBOL,9108.000000000000000000000000000000,0.070000000000000006661338147751,1964,522,287,0.245444772472605099444820098142,0.0000001
59,,,,,,,,,,,,,,,59_0,FAILED,SOBOL,,,4189,4464,2979,0.668261440640315451666708668199,0.00001
60,,,,,,,,,,,,,,,60_0,FAILED,SOBOL,,,4448,1210,4061,0.617130205705761936130215872254,0.00000001
61,,,,,,,,,,,,,,,61_0,FAILED,SOBOL,,,1589,3824,1754,0.046181225627660749122327388250,0.4
62,,,,,,,,,,,,,,,62_0,FAILED,SOBOL,,,1076,1444,3165,0.858866039330139718899204126501,0.000000001
63,,,,,,,,,,,,,,,63_0,FAILED,SOBOL,,,2617,3592,1020,0.287786905119195579594304490456,0.001
64,,,,,,,,,,,,,,,64_0,FAILED,SOBOL,,,2623,1906,3406,0.918958143536001470508267630066,0.9
65,,,,,,,,,,,,,,,65_0,FAILED,SOBOL,,,1029,3118,1103,0.495775342512875805134342499514,0.01
66,,,,,,,,,,,,,,,66_0,FAILED,SOBOL,,,1620,421,3823,0.661567856883630178721489301097,0.001
67,,,,,,,,,,,,,,,67_0,FAILED,SOBOL,,,4376,4605,1672,0.238514734109863651978500342921,0.0000000001
68,,,,,,,,,,,,,,,68_0,COMPLETED,SOBOL,2398.000000000000000000000000000000,0.170000000000000012212453270877,4177,993,58,0.039224061906337738536709736081,0.0000001
69,,,,,,,,,,,,,,,69_0,FAILED,SOBOL,,,2017,4004,2908,0.610425676628947311286310650758,0.0000000001
70,,,,,,,,,,,,,,,70_0,FAILED,SOBOL,,,29,1384,2171,0.296435418227687486059096499957,0.00000001
71,,,,,,,,,,,,,,,71_0,FAILED,SOBOL,,,3508,3612,4868,0.867751007044687883151823371009,0.00000000001
72,,,,,,,,,,,,,,,72_0,FAILED,SOBOL,,,3278,76,2422,0.502208197887986873553245459334,0.2
73,,,,,,,,,,,,,,,73_0,FAILED,SOBOL,,,415,4960,4645,0.083054627966135746719444910013,0.0001
74,,,,,,,,,,,,,,,74_0,FAILED,SOBOL,,,2256,2340,432,0.759602527691051410130285148625,0.00000001
75,,,,,,,,,,,,,,,75_0,FAILED,SOBOL,,,3782,2695,2505,0.340318803636357192221595369119,0.3
76,,,,,,,,,,,,,,,76_0,FAILED,SOBOL,,,4772,1573,4206,0.383668285883963122717688065677,0.9
77,,,,,,,,,,,,,,,77_0,FAILED,SOBOL,,,1381,3413,1279,0.966678042106330348559595222468,0.000000001
78,,,,,,,,,,,,,,,78_0,FAILED,SOBOL,,,643,715,3648,0.126460504265502093890205514981,0.000000000001
79,,,,,,,,,,,,,,,79_0,FAILED,SOBOL,,,2852,4271,871,0.709356762276962427016258061485,0.5
80,,,,,,,,,,,,,,,80_0,FAILED,SOBOL,,,3099,805,4462,0.263966778544709068654583461466,0.2
81,,,,,,,,,,,,,,,81_0,FAILED,SOBOL,,,865,4200,2234,0.838815564287826442857465281122,0.0000001
82,,,,,,,,,,,,,,,82_0,FAILED,SOBOL,,,1447,1820,2688,0.006637644778937101287807909245,0.6
83,,,,,,,,,,,,,,,83_0,FAILED,SOBOL,,,4862,3186,620,0.581615632887929723260356240644,0.000000001
84,,,,,,,,,,,,,,,84_0,FAILED,SOBOL,,,4009,2392,1424,0.631779515670612412669981949875,0.0000000001
85,,,,,,,,,,,,,,,85_0,FAILED,SOBOL,,,2497,2586,4355,0.204949543626978980537245433879,0.5
86,,,,,,,,,,,,,,,86_0,FAILED,SOBOL,,,500,283,727,0.889051541559398139646930303570,0.000001
87,,,,,,,,,,,,,,,87_0,FAILED,SOBOL,,,3349,4693,3499,0.462336019493639449606803282222,0.4
88,,,,,,,,,,,,,,,88_0,FAILED,SOBOL,,,3735,1475,974,0.159169342419132581190055475417,0.01
89,,,,,,,,,,,,,,,89_0,FAILED,SOBOL,,,271,3541,3281,0.738044622933492044936087950191,0.7
90,,,,,,,,,,,,,,,90_0,FAILED,SOBOL,,,2102,1239,1802,0.416502047169953593108715494964,0.3
91,,,,,,,,,,,,,,,91_0,FAILED,SOBOL,,,4248,3777,3947,0.995248601201921712089415450464,0.4
92,,,,,,,,,,,,,,,92_0,FAILED,SOBOL,,,4623,472,3077,0.789143056297674783117201968707,0.0000000001
93,,,,,,,,,,,,,,,93_0,FAILED,SOBOL,,,1842,4494,221,0.374123962083831418379276101405,0.1
94,,,,,,,,,,,,,,,94_0,FAILED,SOBOL,,,1094,2114,4699,0.531875069841742487142255413346,0.8
95,,,,,,,,,,,,,,,95_0,FAILED,SOBOL,,,2713,2853,2007,0.116741049766540525012281648287,0.5
96,,,,,,,,,,,,,,,96_0,COMPLETED,SOBOL,9521.000000000000000000000000000000,0.340000000000000024424906541753,2747,344,336,0.443559985516592869547736199820,0.00001
97,,,,,,,,,,,,,,,97_0,FAILED,SOBOL,,,1217,4681,2638,0.890223665816709419651431289822,0.1
98,,,,,,,,,,,,,,,98_0,FAILED,SOBOL,,,1720,1984,2437,0.201828200619667774695642492588,0.00000001
99,,,,,,,,,,,,,,,99_0,FAILED,SOBOL,,,4589,3042,4589,0.648606330897659066891947077238,0.9
100,,,,,,,,,,,,,,,100_0,FAILED,SOBOL,,,4361,1305,3702,0.574990897016599777913370417082,0.0000001
101,,,,,,,,,,,,,,,101_0,FAILED,SOBOL,,,2146,3692,854,0.026846030415967107873864705425,0.8
102,,,,,,,,,,,,,,,102_0,FAILED,SOBOL,,,227,1071,4071,0.816657959900796370789066713769,0.0000000001
103,,,,,,,,,,,,,,,103_0,FAILED,SOBOL,,,3622,3924,1373,0.268642295666038977142164867473,0.7
104,,,,,,,,,,,,,,,104_0,FAILED,SOBOL,,,3384,2263,3839,0.103872737457975747310534586632,0.00001
105,,,,,,,,,,,,,,,105_0,FAILED,SOBOL,,,622,2772,1615,0.562347295587882434197979364399,0.6
106,,,,,,,,,,,,,,,106_0,FAILED,SOBOL,,,2376,152,3309,0.345600955087691563694107799165,0.001
107,,,,,,,,,,,,,,,107_0,FAILED,SOBOL,,,3975,4883,1237,0.803960587356239542167202216660,0.8
108,,,,,,,,,,,,,,,108_0,FAILED,SOBOL,,,4974,636,2034,0.971142687076702704196407012205,0.4
109,,,,,,,,,,,,,,,109_0,FAILED,SOBOL,,,1491,4350,4962,0.427024315247312213905672706460,0.0001
110,,,,,,,,,,,,,,,110_0,COMPLETED,SOBOL,8445.000000000000000000000000000000,0.589999999999999968913755310496,821,1653,114,0.729471573606133460998535156250,0.00000001
111,,,,,,,,,,,,,,,111_0,FAILED,SOBOL,,,2987,3334,2889,0.185224475294351570431317099974,0.2
112,,,,,,,,,,,,,,,112_0,FAILED,SOBOL,,,2897,1743,1778,0.849004535470157861709594726562,0.6
113,,,,,,,,,,,,,,,113_0,FAILED,SOBOL,,,755,3262,4008,0.297699802536517399431659214315,0.7
114,,,,,,,,,,,,,,,114_0,FAILED,SOBOL,,,1269,883,1073,0.607212073570117305543192287587,0.4
115,,,,,,,,,,,,,,,115_0,FAILED,SOBOL,,,4728,4124,3140,0.056021314730867743936215674694,0.000001
116,,,,,,,,,,,,,,,116_0,FAILED,SOBOL,,,3904,204,4838,0.231982258290052423266303094351,0.000000001
117,,,,,,,,,,,,,,,117_0,FAILED,SOBOL,,,2290,4773,1905,0.681805804923176772547321888851,0.9
118,,,,,,,,,,,,,,,118_0,FAILED,SOBOL,,,380,2470,3013,0.473588175723329174449105494205,0.1
119,,,,,,,,,,,,,,,119_0,FAILED,SOBOL,,,3156,2506,243,0.923541400605812690116636076709,0.0001
120,,,,,,,,,,,,,,,120_0,FAILED,SOBOL,,,3552,1162,2786,0.696397970762103746267257520230,0.000000001
121,,,,,,,,,,,,,,,121_0,FAILED,SOBOL,,,141,3854,480,0.156901379328221096676188039964,0.9
122,,,,,,,,,,,,,,,122_0,FAILED,SOBOL,,,1904,1551,4440,0.938186385793611354877441499411,0.8
123,,,,,,,,,,,,,,,123_0,FAILED,SOBOL,,,4134,3464,2294,0.398576296148821729303790561971,0.00000001
124,,,,,,,,,,,,,,,124_0,FAILED,SOBOL,,,4499,2035,665,0.316181538827717323325572351678,0.00000000001
125,,,,,,,,,,,,,,,125_0,FAILED,SOBOL,,,1654,2932,3519,0.770034316562116183391140111780,0.2
126,,,,,,,,,,,,,,,126_0,FAILED,SOBOL,,,995,552,1561,0.074572057845070954806843133156,0.5
127,,,,,,,,,,,,,,,127_0,FAILED,SOBOL,,,2501,4415,4255,0.528294681446626834819824125589,0.0000001
128,,,,,,,,,,,,,,,128_0,FAILED,SOBOL,,,2537,1639,716,0.053771912025287749159474515182,0.3
129,,,,,,,,,,,,,,,129_0,FAILED,SOBOL,,,1001,3396,3488,0.593869603784754840347659410327,0.00000001
130,,,,,,,,,,,,,,,130_0,FAILED,SOBOL,,,1670,781,1432,0.311154342882335177566943684724,0.8
131,,,,,,,,,,,,,,,131_0,FAILED,SOBOL,,,4523,4254,4364,0.851138060547411479106472143030,0.0001
132,,,,,,,,,,,,,,,132_0,FAILED,SOBOL,,,4107,14,2658,0.933467740802094381180609161675,0.8
133,,,,,,,,,,,,,,,133_0,FAILED,SOBOL,,,1888,4972,589,0.479257515085861063308669827165,0.001
134,,,,,,,,,,,,,,,134_0,FAILED,SOBOL,,,135,2279,4490,0.676264240276068462343062037689,0.0000001
135,,,,,,,,,,,,,,,135_0,FAILED,SOBOL,,,3517,2708,2262,0.221924336310476061351337762062,0.3
136,,,,,,,,,,,,,,,136_0,FAILED,SOBOL,,,3131,970,4708,0.400341967010870602994287992260,0.1
137,,,,,,,,,,,,,,,137_0,FAILED,SOBOL,,,365,4055,2016,0.952020208993926697615961529664,0.7
138,,,,,,,,,,,,,,,138_0,FAILED,SOBOL,,,2284,1363,3065,0.142955961450934421197445090002,0.9
139,,,,,,,,,,,,,,,139_0,FAILED,SOBOL,,,3868,3664,211,0.694747701644897408534973237693,0.001
140,,,,,,,,,,,,,,,140_0,FAILED,SOBOL,,,4763,1934,1830,0.518859687229618393722319069639,0.00001
141,,,,,,,,,,,,,,,141_0,FAILED,SOBOL,,,1274,3063,3976,0.068418979203328497695757448582,0.000000000001
142,,,,,,,,,,,,,,,142_0,FAILED,SOBOL,,,772,448,943,0.776059144604951178791907295818,0.00000000001
143,,,,,,,,,,,,,,,143_0,FAILED,SOBOL,,,2922,4548,3251,0.325748590711504248940144634616,0.1
144,,,,,,,,,,,,,,,144_0,FAILED,SOBOL,,,2993,533,2160,0.646357638299465131481724711193,0.0000000001
145,,,,,,,,,,,,,,,145_0,FAILED,SOBOL,,,857,4483,4857,0.188485013291239733579374160399,0.001
146,,,,,,,,,,,,,,,146_0,COMPLETED,SOBOL,6574.000000000000000000000000000000,5.019999999999999573674358543940,1516,2175,67,0.903679399589076615129101810453,0.7
147,,,,,,,,,,,,,,,147_0,FAILED,SOBOL,,,4990,2840,2917,0.445692324602976419622990533753,0.000000001
148,,,,,,,,,,,,,,,148_0,FAILED,SOBOL,,,3958,1408,3792,0.278567925754934553328467927713,0.2
149,,,,,,,,,,,,,,,149_0,FAILED,SOBOL,,,2349,3558,1642,0.822328016806393891080517732917,0.000001
150,,,,,,,,,,,,,,,150_0,FAILED,SOBOL,,,587,1173,3434,0.021303272342309356041090140366,0.0000001
151,,,,,,,,,,,,,,,151_0,FAILED,SOBOL,,,3378,3794,1131,0.564934161027893400053301320440,0.9
152,,,,,,,,,,,,,,,152_0,FAILED,SOBOL,,,3608,2364,3656,0.805726016558706792380917249830,0.00000001
153,,,,,,,,,,,,,,,153_0,FAILED,SOBOL,,,202,2641,880,0.359435012511909013355193565076,0.0001
154,,,,,,,,,,,,,,,154_0,FAILED,SOBOL,,,2110,257,4195,0.548400215836241877731538352236,0.01
155,,,,,,,,,,,,,,,155_0,FAILED,SOBOL,,,4354,4750,1269,0.102224137650802737731225988682,0.8
156,,,,,,,,,,,,,,,156_0,FAILED,SOBOL,,,4594,828,460,0.175789722736924891588472519288,0.0000000001
157,,,,,,,,,,,,,,,157_0,FAILED,SOBOL,,,1755,4149,2533,0.723318260740488772064793465688,0.01
158,,,,,,,,,,,,,,,158_0,FAILED,SOBOL,,,1243,1841,2391,0.433050805164501062538562337068,0.000000000001
159,,,,,,,,,,,,,,,159_0,FAILED,SOBOL,,,2764,3134,4615,0.980708069650456315535791418370,0.1
160,,,,,,,,,,,,,,,160_0,FAILED,SOBOL,,,2720,702,3044,0.591537452191114421218287588999,0.3
161,,,,,,,,,,,,,,,161_0,FAILED,SOBOL,,,1131,4334,273,0.012303890898823739014078526566,0.00001
162,,,,,,,,,,,,,,,162_0,FAILED,SOBOL,,,1867,1718,4810,0.833276616999879427005737397849,0.5
163,,,,,,,,,,,,,,,163_0,FAILED,SOBOL,,,4638,3316,1877,0.253913853341713569022886076709,0.1
164,,,,,,,,,,,,,,,164_0,FAILED,SOBOL,,,4232,2202,1084,0.460083523545414208033577097012,0.000000000001
165,,,,,,,,,,,,,,,165_0,FAILED,SOBOL,,,2076,2784,3151,0.875704550880938792367658152216,0.9
166,,,,,,,,,,,,,,,166_0,FAILED,SOBOL,,,236,92,1770,0.218409080749377620955797851821,0.0000001
167,,,,,,,,,,,,,,,167_0,FAILED,SOBOL,,,3729,4895,3999,0.633915658107027435441693796747,0.0001
168,,,,,,,,,,,,,,,168_0,FAILED,SOBOL,,,3334,1282,1533,0.985810037858784182773774773523,0.00000000001
169,,,,,,,,,,,,,,,169_0,FAILED,SOBOL,,,475,3742,4226,0.410344923518598081457753323775,0.00000001
170,,,,,,,,,,,,,,,170_0,FAILED,SOBOL,,,2462,1050,696,0.744074923636391716286198061425,0.000000001
171,,,,,,,,,,,,,,,171_0,FAILED,SOBOL,,,4002,3976,3549,0.168738535778596987491084746580,0.3
172,,,,,,,,,,,,,,,172_0,FAILED,SOBOL,,,4868,372,4431,0.118502675618976358040690399775,0.7
173,,,,,,,,,,,,,,,173_0,FAILED,SOBOL,,,1482,4626,2285,0.545705323915928630640337360092,0.001
174,,,,,,,,,,,,,,,174_0,FAILED,SOBOL,,,891,2010,2798,0.360180685682222223586990139665,0.0000000001
175,,,,,,,,,,,,,,,175_0,FAILED,SOBOL,,,3115,2985,491,0.787498259840533121334260613366,0.000001
176,,,,,,,,,,,,,,,176_0,FAILED,SOBOL,,,2889,2096,4102,0.248437270956113925857167146205,0.00000001
177,,,,,,,,,,,,,,,177_0,FAILED,SOBOL,,,650,2920,1403,0.667233392896130705906898583635,0.3
178,,,,,,,,,,,,,,,178_0,FAILED,SOBOL,,,1396,613,3674,0.490237581215798856604237698775,0.5
179,,,,,,,,,,,,,,,179_0,FAILED,SOBOL,,,4797,4403,825,0.908904024906456498023032963829,0.2
180,,,,,,,,,,,,,,,180_0,FAILED,SOBOL,,,3755,1096,2448,0.865497793553397065657861730870,0.000000001
181,,,,,,,,,,,,,,,181_0,FAILED,SOBOL,,,2240,3871,4600,0.283089137656614198146343142071,0.00001
182,,,,,,,,,,,,,,,182_0,FAILED,SOBOL,,,409,1485,327,0.623884027760475912138815601793,0.6
183,,,,,,,,,,,,,,,183_0,FAILED,SOBOL,,,3244,3482,2629,0.041361397769302130078550305825,0.001
184,,,,,,,,,,,,,,,184_0,COMPLETED,SOBOL,1260.000000000000000000000000000000,0.130000000000000004440892098501,3483,176,86,0.330880006069317444961086494004,0.5
185,,,,,,,,,,,,,,,185_0,FAILED,SOBOL,,,14,4829,2861,0.753445645699277521956105374557,0.001
186,,,,,,,,,,,,,,,186_0,FAILED,SOBOL,,,2010,2444,2065,0.089083259359002117672154952288,0.3
187,,,,,,,,,,,,,,,187_0,FAILED,SOBOL,,,4142,2562,4993,0.511779053121805160841972792696,0.0001
188,,,,,,,,,,,,,,,188_0,FAILED,SOBOL,,,4411,1765,3301,0.711118622353300477989535011147,0.00000001
189,,,,,,,,,,,,,,,189_0,FAILED,SOBOL,,,1625,3212,1228,0.140290516680106530644778217720,0.4
190,,,,,,,,,,,,,,,190_0,FAILED,SOBOL,,,1045,904,3851,0.952736435014754579064799600019,0.00000000001
191,,,,,,,,,,,,,,,191_0,FAILED,SOBOL,,,2649,4072,1625,0.382021827552467607702624263766,0.0000000001
192,,,,,,,,,,,,,,,192_0,FAILED,SOBOL,,,2582,122,3931,0.762594728747382766265161535557,0.6
193,,,,,,,,,,,,,,,193_0,FAILED,SOBOL,,,1071,4845,1864,0.339291053319349888983680330057,0.01
194,,,,,,,,,,,,,,,194_0,FAILED,SOBOL,,,1573,2230,3217,0.505322459340095564428452235006,0.00000000001
195,,,,,,,,,,,,,,,195_0,FAILED,SOBOL,,,4422,2736,987,0.081904809817671772598224322337,0.2
196,,,,,,,,,,,,,,,196_0,FAILED,SOBOL,,,4213,1668,1991,0.133092555915936827659606933594,0.9
197,,,,,,,,,,,,,,,197_0,FAILED,SOBOL,,,1980,3347,4762,0.704658697387203547535250436340,0.4
198,,,,,,,,,,,,,,,198_0,COMPLETED,SOBOL,4545.000000000000000000000000000000,0.100000000000000005551115123126,61,655,157,0.390421929482370588804229782909,0.0000001
199,,,,,,,,,,,,,,,199_0,FAILED,SOBOL,,,3477,4362,3090,0.961858392704278197804512728908,0.000000001
200,,,,,,,,,,,,,,,200_0,FAILED,SOBOL,,,3237,1963,565,0.658819073947146560676912940835,0.6
201,,,,,,,,,,,,,,,201_0,FAILED,SOBOL,,,457,3014,2711,0.239299073742702594902453938630,0.3
202,,,,,,,,,,,,,,,202_0,FAILED,SOBOL,,,2209,321,2208,0.916087768651545064635399739927,0.00000001
203,,,,,,,,,,,,,,,203_0,FAILED,SOBOL,,,3828,4656,4515,0.496681266658008102599097810526,0.000000000001
204,,,,,,,,,,,,,,,204_0,FAILED,SOBOL,,,4808,1078,3444,0.289559948457404958688243823417,0.00000001
205,,,,,,,,,,,,,,,205_0,FAILED,SOBOL,,,1343,3928,750,0.872692482618614984168914361362,0.0000001
206,,,,,,,,,,,,,,,206_0,FAILED,SOBOL,,,675,1313,4329,0.032226531740277994386723037223,0.5
207,,,,,,,,,,,,,,,207_0,FAILED,SOBOL,,,2821,3692,1476,0.615489220034331041553343766282,0.7
208,,,,,,,,,,,,,,,208_0,FAILED,SOBOL,,,3063,1536,2567,0.419479313664138320216778765825,0.001
209,,,,,,,,,,,,,,,209_0,FAILED,SOBOL,,,903,3451,416,0.994205321468412894780897204328,0.6
210,,,,,,,,,,,,,,,210_0,FAILED,SOBOL,,,1414,1143,4659,0.162268200861290096126410276156,0.01
211,,,,,,,,,,,,,,,211_0,FAILED,SOBOL,,,4894,3842,2357,0.736879758687689845331192373123,0.00000001
212,,,,,,,,,,,,,,,212_0,FAILED,SOBOL,,,4050,582,933,0.538522056054323905449621179287,0.00000000001
213,,,,,,,,,,,,,,,213_0,FAILED,SOBOL,,,2455,4452,3632,0.112058514293283228990816269288,0.000000001
214,,,,,,,,,,,,,,,214_0,FAILED,SOBOL,,,547,2068,1293,0.795912102906033425142595660873,0.0001
215,,,,,,,,,,,,,,,215_0,FAILED,SOBOL,,,3303,2968,4141,0.369319358779117479230080789421,0.4
216,,,,,,,,,,,,,,,216_0,FAILED,SOBOL,,,3699,876,1696,0.003904264852404594563634043780,0.0000001
217,,,,,,,,,,,,,,,217_0,FAILED,SOBOL,,,308,4120,3768,0.582415018618106850034621402301,0.9
218,,,,,,,,,,,,,,,218_0,FAILED,SOBOL,,,2070,1735,1155,0.261111338222399347319679918655,0.5
219,,,,,,,,,,,,,,,219_0,FAILED,SOBOL,,,4279,3262,3381,0.839737017849460198881672567950,0.0000000001
220,,,,,,,,,,,,,,,220_0,FAILED,SOBOL,,,4664,2491,4891,0.882160668779164547359528114612,0.2
221,,,,,,,,,,,,,,,221_0,FAILED,SOBOL,,,1800,2534,2116,0.467262448970228450040309553515,0.0001
222,,,,,,,,,,,,,,,222_0,FAILED,SOBOL,,,1141,227,2960,0.624767050942406032554288231040,0.1
223,,,,,,,,,,,,,,,223_0,COMPLETED,SOBOL,4433.000000000000000000000000000000,1.129999999999999893418589635985,2667,4798,33,0.209997557615861307755977804845,0.00000000001
224,,,,,,,,,,,,,,,224_0,FAILED,SOBOL,,,2789,2310,2309,0.350542371176183198411280272921,0.8
