trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,delta
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2146,0.870404445052146868988529604394
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.609999999999999986677323704498,4516,0.314026765367016180707793182592
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2732,0.603544413534924384379110051668
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,1.000000000000000000000000000000,19.870000000000000994759830064140,25,0.085907551310956481449565558250
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,914,0.733319705016911016492997532623
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.890000000000000013322676295502,3207,0.205936423731967799266584506768
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3923,0.992505053913220747219270378991
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,1293,0.441974917083978680043543363354
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,1762,0.551586721420288084161143160600
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,7.000000000000000000000000000000,17.120000000000000994759830064140,4079,0.010552603429183363137333628856
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3677,0.783483149094507114185148566321
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.660000000000000031086244689504,1072,0.281676937617361566879026213428
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,492,0.912771031789481601670388499770
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2887,0.401218579707667222233880011117
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,4984,0.673200166871771199517127115541
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,1.000000000000000000000000000000,6.139999999999999680255768907955,2301,0.138013316616415970816689195999
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,2394,0.633798452280461832586411219381
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,2.000000000000000000000000000000,1.110000000000000097699626167014,4697,0.176839621154591453144888646420
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,3059,0.904922899862751317634490533237
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,1.000000000000000000000000000000,0.000000000000000000000000000000,439,0.408735920563340182631861807749
