trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_SLURM_JOB_ID,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,feature_id,p,big_windowSize,small_windowSize
7915,,,,,,,,,,,,,,,7915_0,ABANDONED,SOBOL,,,3107,1,136,959,1286
7916,,,,,,,,,,,,,,,7916_0,ABANDONED,SOBOL,,,3366,4,18,517,1110
7917,,,,,,,,,,,,,,,7917_0,ABANDONED,SOBOL,,,2269,1,486,1385,518
7918,,,,,,,,,,,,,,,7918_0,ABANDONED,SOBOL,,,444,2,200,316,489
7919,,,,,,,,,,,,,,,7919_0,ABANDONED,SOBOL,,,4041,0,290,1711,1893
7920,,,,,,,,,,,,,,,7920_0,ABANDONED,SOBOL,,,3819,2,67,835,905
7921,,,,,,,,,,,,,,,7921_0,ABANDONED,SOBOL,,,546,0,407,1200,1496
7922,,,,,,,,,,,,,,,7922_0,ABANDONED,SOBOL,,,2373,4,151,6,1530
7923,1754085274.000000000000000000000000000000,1754085286.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 3146 feature_id 1 p 369 big_windowSize 1905 small_windowSize 125,1.000000000000000000000000000000,,i7186,5736421.000000000000000000000000000000,,,,,,,7923_0,FAILED,SOBOL,,,3146,1,369,1905,125
7924,1754085337.000000000000000000000000000000,1754085349.000000000000000000000000000000,12.000000000000000000000000000000,module load GCCcore/10.3.0 Python && source /data/horse/ws/s4122485-compPerfDD/benchmark/venv/bin/activate && python main_mtr.py 1 1 SineClustersPre 2000 HoeffdingTreeClassifier WindowKDE recent_samples_size 2858 feature_id 4 p 470 big_windowSize 1589 small_windowSize 294,1.000000000000000000000000000000,,i7186,5736425.000000000000000000000000000000,,,,,,,7924_0,FAILED,SOBOL,,,2858,4,470,1589,294
7925,,,,,,,,,,,,,,,7925_0,ABANDONED,SOBOL,,,1448,2,3,440,1822
7926,,,,,,,,,,,,,,,7926_0,ABANDONED,SOBOL,,,796,3,306,1259,1165
7927,,,,,,,,,,,,,,,7927_0,ABANDONED,SOBOL,,,4705,1,214,645,697
7928,,,,,,,,,,,,,,,7928_0,ABANDONED,SOBOL,,,4410,3,279,281,1364
7929,,,,,,,,,,,,,,,7929_0,ABANDONED,SOBOL,,,1127,1,250,1629,772
7930,,,,,,,,,,,,,,,7930_0,ABANDONED,SOBOL,,,1783,2,443,576,243
7931,,,,,,,,,,,,,,,7931_0,ABANDONED,SOBOL,,,2566,0,38,1459,1647
7932,,,,,,,,,,,,,,,7932_0,ABANDONED,SOBOL,,,3439,3,186,1020,1940
7933,,,,,,,,,,,,,,,7933_0,ABANDONED,SOBOL,,,2039,0,342,885,411
7934,,,,,,,,,,,,,,,7934_0,ABANDONED,SOBOL,,,214,4,102,1814,565
7935,,,,,,,,,,,,,,,7935_0,ABANDONED,SOBOL,,,4114,2,380,216,1032
7936,,,,,,,,,,,,,,,7936_0,ABANDONED,SOBOL,,,4105,4,263,1146,1750
7937,,,,,,,,,,,,,,,7937_0,ABANDONED,SOBOL,,,202,2,234,766,347
7938,,,,,,,,,,,,,,,7938_0,ABANDONED,SOBOL,,,2048,3,458,1944,629
7939,,,,,,,,,,,,,,,7939_0,ABANDONED,SOBOL,,,3452,0,55,93,1222
7940,,,,,,,,,,,,,,,7940_0,ABANDONED,SOBOL,,,2577,2,172,400,1428
7941,,,,,,,,,,,,,,,7941_0,ABANDONED,SOBOL,,,1788,0,325,1503,961
