trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,batch_size,theta,lambida
0,,,,,,,,,,,,,,,0_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3160,1738,0.205352120710909358258788870444,0.406627942621707927361995871252
1,,,,,,,,,,,,,,,1_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,720,4902,0.763805912420712385113574782736,0.574034294068813344402713028103
2,,,,,,,,,,,,,,,2_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2191,742,0.321197042882349348413839607019,0.129771550044417371960747686899
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4790,2655,0.645537522714119349487305044022,0.858552895914763247731116280193
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,2.000000000000000000000000000000,4.129999999999999893418589635985,4014,42,0.897769390545412937498781502654,0.980408888582140258804997756670
5,,,,,,,,,,,,,,,5_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,1414,3130,0.067120901822298767447350087423,0.007975079990923405331981754784
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,560,2484,0.502946113755647128407133550354,0.695892666153609784629452406080
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2999,4322,0.468300051650870574615481700675,0.284833861280232691903790964716
8,,,,,,,,,,,,,,,8_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2802,1170,0.571510057345218980273671149916,0.121392214108258483795665938487
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,204,3008,0.395451246090792130072344434666,0.890102084092795897696248630382
10,,,,,,,,,,,,,,,10_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,1847,1385,0.954638803930487500615242879576,0.343655258990824219456072796675
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4289,4473,0.013800931138079612636726523078,0.675740132693201323021980897465
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4449,1899,0.253321860390529007833748664780,0.553946123849600513544544355682
13,,,,,,,,,,,,,,,13_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2009,3812,0.717175554574280949005071761349,0.465513474926352477378799221697
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,980,552,0.149194299800042062820182309224,0.768305695831775659065954187099
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3579,3715,0.815953188367653625689968066581,0.243248050626367340321110077639
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3624,356,0.407872326102666549196840151126,0.729024909554049416193777233275
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,1184,3441,0.622985320351459037624408665579,0.251693024093285200315506244806
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,79.000000000000000000000000000000,6.459999999999999964472863211995,2039,2172,0.055970756959449502465631098858,0.951181360254064189874156909354
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4639,4008,0.973438945592101645409854882018,0.037224471075460313640448362094
20,,,,,,,,,,,,,,,20_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4165,1424,0.726190314529836178358834786195,0.162920241167768847789787400870
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,58.000000000000000000000000000000,0.000000000000000000000000000000,1566,4590,0.301375085023418087804003562269,0.825428030567243675719169004878
22,,,,,,,,,,,,,,,22_0,COMPLETED,SOBOL,74.000000000000000000000000000000,0.000000000000000000000000000000,95,1053,0.861545052562374569227188203513,0.377386414768174305311987382083
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,57.000000000000000000000000000000,0.000000000000000000000000000000,2535,2969,0.171400761517975480652253850167,0.603269200449809472885931427300
24,,,,,,,,,,,,,,,24_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2954,2210,0.805520844788663037405740396935,0.797531917339190821181205137691
25,,,,,,,,,,,,,,,25_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,355,4126,0.223627821692265554842649066813,0.213998066546395415699066688830
26,,,,,,,,,,,,,,,26_0,COMPLETED,SOBOL,60.000000000000000000000000000000,0.000000000000000000000000000000,1384,238,0.658471606321167191033794097166,0.520812573628500086186932094279
27,,,,,,,,,,,,,,,27_0,COMPLETED,SOBOL,57.000000000000000000000000000000,0.000000000000000000000000000000,3824,3404,0.373131009843107319667865340307,0.498653719117864990817423631597
28,,,,,,,,,,,,,,,28_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,4914,859,0.113232408219575891861197192156,0.372897868735715731780544501817
29,,,,,,,,,,,,,,,29_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,2473,2694,0.920427858071401705508662871580,0.646506060967221851676356436656
30,,,,,,,,,,,,,,,30_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,829,1699,0.476851374295074459386256648941,0.088244595581665641326196691807
31,,,,,,,,,,,,,,,31_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3427,4784,0.550483506687078572028326561849,0.923227784095332015823487381567
32,,,,,,,,,,,,,,,32_0,COMPLETED,SOBOL,2.000000000000000000000000000000,0.000000000000000000000000000000,3320,627,0.937698631487507316961682590772,0.618559400919824864395479835366
