trial_index,start_time,end_time,run_time,program_string,exit_code,signal,hostname,OO_Info_runtime,OO_Info_peak_memory,OO_Info_mean_memory,OO_Info_lpd,OO_Info_accuracy,OO_Info_portion_req_label,OO_Info_SLURM_JOB_ID,arm_name,trial_status,generation_node,RUNTIME,MTR,recent_samples_size,n_samples,const,max_depth,threshold
0,,,,,,,,,,,,,,,0_0,FAILED,SOBOL,,,4507,4335,7.474708983838558751244818267878,11,0.864968725442886388066199288005
1,,,,,,,,,,,,,,,1_0,FAILED,SOBOL,,,1198,2488,3.847292883290909237814503285335,10,0.076174804605543613988949402938
2,,,,,,,,,,,,,,,2_0,FAILED,SOBOL,,,1282,2615,8.377904592628590663139220851008,18,0.461471388464793574879507787045
3,,,,,,,,,,,,,,,3_0,COMPLETED,SOBOL,133.000000000000000000000000000000,14.169999999999999928945726423990,3017,768,0.444272161534056075904430826995,3,0.721418062636628776296277010260
4,,,,,,,,,,,,,,,4_0,COMPLETED,SOBOL,3031.000000000000000000000000000000,1.379999999999999893418589635985,3243,3683,3.114623767865821957201433178852,2,0.524266610311344249950593621179
5,,,,,,,,,,,,,,,5_0,FAILED,SOBOL,,,2461,588,5.726508943828754638616373995319,19,0.285334958223626034001796369921
6,,,,,,,,,,,,,,,6_0,COMPLETED,SOBOL,334.000000000000000000000000000000,3.620000000000000106581410364015,23,4466,1.508377010247670124698515792261,6,0.179276325836777689071155350575
7,,,,,,,,,,,,,,,7_0,COMPLETED,SOBOL,11283.000000000000000000000000000000,7.469999999999999751310042483965,4275,1372,9.832583179736509748636308358982,15,0.887604047138243923420475312014
8,,,,,,,,,,,,,,,8_0,FAILED,SOBOL,,,3921,3045,2.327982894098385990844235493569,20,0.034533997807651761746683405363
9,,,,,,,,,,,,,,,9_0,COMPLETED,SOBOL,2.000000000000000000000000000000,9.769999999999999573674358543940,378,1120,9.011737643252127227810888143722,1,0.774049178212881106020404331503
10,,,,,,,,,,,,,,,10_0,FAILED,SOBOL,,,2180,3828,3.231174945591948954870531451888,14,0.636833571149036270497845180216
11,,,,,,,,,,,,,,,11_0,COMPLETED,SOBOL,2338.000000000000000000000000000000,5.620000000000000106581410364015,3525,1903,5.608718113468960986267575208331,7,0.429089326115325075949868960379
12,,,,,,,,,,,,,,,12_0,COMPLETED,SOBOL,9789.000000000000000000000000000000,0.000000000000000000000000000000,2657,4896,7.948856057533995489450262539322,8,0.325500500196591047163963139610
13,,,,,,,,,,,,,,,13_0,FAILED,SOBOL,,,1641,1724,0.874522206104360599887570515421,13,0.616634752443060318860545976349
14,,,,,,,,,,,,,,,14_0,COMPLETED,SOBOL,590.000000000000000000000000000000,0.830000000000000071054273576010,922,3176,6.342605723994784838737359677907,5,0.970713325850665609273448808381
15,,,,,,,,,,,,,,,15_0,COMPLETED,SOBOL,1052.000000000000000000000000000000,0.000000000000000000000000000000,4783,3,4.980597633985802907830020558322,16,0.213106951486319307065286920988
16,,,,,,,,,,,,,,,16_0,COMPLETED,SOBOL,1292.000000000000000000000000000000,2.479999999999999982236431605997,4899,3358,9.344390307175926224658724095207,6,0.699160361921414730268509174493
17,,,,,,,,,,,,,,,17_0,COMPLETED,SOBOL,466.000000000000000000000000000000,76.469999999999998863131622783840,648,185,1.957587575374171162678749169572,15,0.491233652750030169720218964358
18,,,,,,,,,,,,,,,18_0,COMPLETED,SOBOL,2.000000000000000000000000000000,1.330000000000000071054273576010,1835,4762,5.238237270632759567945413436973,2,0.096835135485976941982499965889
19,,,,,,,,,,,,,,,19_0,COMPLETED,SOBOL,4850.000000000000000000000000000000,10.109999999999999431565811391920,2618,1590,3.563760560995899329128633326036,18,0.836289618439972404217996881926
20,,,,,,,,,,,,,,,20_0,FAILED,SOBOL,,,3641,3958,1.244936447410844193584011918574,17,0.908138086721301029946573635243
21,,,,,,,,,,,,,,,21_0,COMPLETED,SOBOL,407.000000000000000000000000000000,3.910000000000000142108547152020,1906,2033,7.616222614185885753101956652245,4,0.150714250851422537635926346411
22,,,,,,,,,,,,,,,22_0,FAILED,SOBOL,,,572,2866,4.648031239157543126339078298770,11,0.262960491316393041305587985335
23,,,,,,,,,,,,,,,23_0,COMPLETED,SOBOL,1086.000000000000000000000000000000,10.150000000000000355271367880050,3882,941,6.713105489413254467478964215843,9,0.554155396400019539804304713471
